<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
AFKS,D,20150106,000000,12.25
AFKS,D,20150107,000000,12.37
AFKS,D,20150109,000000,12.6
AFKS,D,20150110,000000,12.61
AFKS,D,20150113,000000,12.13
AFKS,D,20150114,000000,12.25
AFKS,D,20150115,000000,12.6
AFKS,D,20150116,000000,12.54
AFKS,D,20150117,000000,12.43
AFKS,D,20150120,000000,12.48
AFKS,D,20150121,000000,12.5
AFKS,D,20150122,000000,12.63
AFKS,D,20150123,000000,13.6
AFKS,D,20150124,000000,13.62
AFKS,D,20150127,000000,12.9
AFKS,D,20150128,000000,12.72
AFKS,D,20150129,000000,12.4
AFKS,D,20150130,000000,12.74
AFKS,D,20150131,000000,13.33
AFKS,D,20150203,000000,14.05
AFKS,D,20150204,000000,15.4
AFKS,D,20150205,000000,16.75
AFKS,D,20150206,000000,16.2
AFKS,D,20150207,000000,16.5
AFKS,D,20150210,000000,17.6
AFKS,D,20150211,000000,17.84
AFKS,D,20150212,000000,17.85
AFKS,D,20150213,000000,18.38
AFKS,D,20150214,000000,18.85
AFKS,D,20150217,000000,20.05
AFKS,D,20150218,000000,19.1
AFKS,D,20150219,000000,18.82
AFKS,D,20150220,000000,18.17
AFKS,D,20150221,000000,18.28
AFKS,D,20150225,000000,17.32
AFKS,D,20150226,000000,17.71
AFKS,D,20150227,000000,18.03
AFKS,D,20150228,000000,18.32
AFKS,D,20150303,000000,18.12
AFKS,D,20150304,000000,18
AFKS,D,20150305,000000,17.6
AFKS,D,20150306,000000,17.41
AFKS,D,20150307,000000,16.9
AFKS,D,20150311,000000,15.7
AFKS,D,20150312,000000,15.06
AFKS,D,20150313,000000,15.31
AFKS,D,20150314,000000,14.83
AFKS,D,20150317,000000,14.89
AFKS,D,20150318,000000,16
AFKS,D,20150319,000000,16.52
AFKS,D,20150320,000000,16.35
AFKS,D,20150321,000000,16.6
AFKS,D,20150324,000000,16.59
AFKS,D,20150325,000000,16.89
AFKS,D,20150326,000000,17.6
AFKS,D,20150327,000000,17.04
AFKS,D,20150328,000000,17.3
AFKS,D,20150331,000000,17.4
AFKS,D,20150401,000000,17.9
AFKS,D,20150402,000000,17.75
AFKS,D,20150403,000000,17.85
AFKS,D,20150404,000000,17.65
AFKS,D,20150407,000000,17.7
AFKS,D,20150408,000000,17.23
AFKS,D,20150409,000000,16.61
AFKS,D,20150410,000000,16.3
AFKS,D,20150411,000000,16.72
AFKS,D,20150414,000000,16.68
AFKS,D,20150415,000000,16.37
AFKS,D,20150416,000000,17.12
AFKS,D,20150417,000000,17.25
AFKS,D,20150418,000000,17.15
AFKS,D,20150421,000000,16.44
AFKS,D,20150422,000000,16.43
AFKS,D,20150423,000000,16.25
AFKS,D,20150424,000000,15.9
AFKS,D,20150425,000000,16.06
AFKS,D,20150428,000000,16.05
AFKS,D,20150429,000000,16.12
AFKS,D,20150430,000000,16
AFKS,D,20150501,000000,15.96
AFKS,D,20150506,000000,16.3
AFKS,D,20150507,000000,16.25
AFKS,D,20150508,000000,16.11
AFKS,D,20150509,000000,16.31
AFKS,D,20150513,000000,16.2
AFKS,D,20150514,000000,16.28
AFKS,D,20150515,000000,16.58
AFKS,D,20150516,000000,16.78
AFKS,D,20150519,000000,17
AFKS,D,20150520,000000,16.9
AFKS,D,20150521,000000,16.85
AFKS,D,20150522,000000,16.98
AFKS,D,20150523,000000,17
AFKS,D,20150526,000000,16.86
AFKS,D,20150527,000000,16.91
AFKS,D,20150528,000000,16.97
AFKS,D,20150529,000000,16.96
AFKS,D,20150530,000000,16.9
AFKS,D,20150602,000000,16.87
AFKS,D,20150603,000000,17.1
AFKS,D,20150604,000000,16.93
AFKS,D,20150605,000000,17.22
AFKS,D,20150606,000000,17.67
AFKS,D,20150609,000000,17.76
AFKS,D,20150610,000000,17.96
AFKS,D,20150611,000000,17.82
AFKS,D,20150612,000000,17.92
AFKS,D,20150616,000000,18.51
AFKS,D,20150617,000000,18.38
