<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
AFLT,D,20150106,000000,33.21
AFLT,D,20150107,000000,33.07
AFLT,D,20150109,000000,35.17
AFLT,D,20150110,000000,34
AFLT,D,20150113,000000,34.45
AFLT,D,20150114,000000,35
AFLT,D,20150115,000000,36.55
AFLT,D,20150116,000000,36.65
AFLT,D,20150117,000000,36.05
AFLT,D,20150120,000000,36.34
AFLT,D,20150121,000000,37.2
AFLT,D,20150122,000000,38.1
AFLT,D,20150123,000000,39.55
AFLT,D,20150124,000000,40.15
AFLT,D,20150127,000000,38.26
AFLT,D,20150128,000000,38
AFLT,D,20150129,000000,38.11
AFLT,D,20150130,000000,37.3
AFLT,D,20150131,000000,38.25
AFLT,D,20150203,000000,37.34
AFLT,D,20150204,000000,37.55
AFLT,D,20150205,000000,37.09
AFLT,D,20150206,000000,37.75
AFLT,D,20150207,000000,38
AFLT,D,20150210,000000,37.6
AFLT,D,20150211,000000,37.83
AFLT,D,20150212,000000,38
AFLT,D,20150213,000000,39.39
AFLT,D,20150214,000000,40.4
AFLT,D,20150217,000000,40.41
AFLT,D,20150218,000000,40.15
AFLT,D,20150219,000000,40.98
AFLT,D,20150220,000000,39.93
AFLT,D,20150221,000000,40
AFLT,D,20150225,000000,39.6
AFLT,D,20150226,000000,38.99
AFLT,D,20150227,000000,39.5
AFLT,D,20150228,000000,39.19
AFLT,D,20150303,000000,39.5
AFLT,D,20150304,000000,39.89
AFLT,D,20150305,000000,38.55
AFLT,D,20150306,000000,38.47
AFLT,D,20150307,000000,38.96
AFLT,D,20150311,000000,36.65
AFLT,D,20150312,000000,36.65
AFLT,D,20150313,000000,38.45
AFLT,D,20150314,000000,37.18
AFLT,D,20150317,000000,36.5
AFLT,D,20150318,000000,35.01
AFLT,D,20150319,000000,35.1
AFLT,D,20150320,000000,35
AFLT,D,20150321,000000,33.5
AFLT,D,20150324,000000,34
AFLT,D,20150325,000000,34.24
AFLT,D,20150326,000000,33.6
AFLT,D,20150327,000000,32.5
AFLT,D,20150328,000000,32.7
AFLT,D,20150331,000000,34.04
AFLT,D,20150401,000000,34
AFLT,D,20150402,000000,36.14
AFLT,D,20150403,000000,35.76
AFLT,D,20150404,000000,35.76
AFLT,D,20150407,000000,36.5
AFLT,D,20150408,000000,36.6
AFLT,D,20150409,000000,35.75
AFLT,D,20150410,000000,35.1
AFLT,D,20150411,000000,38
AFLT,D,20150414,000000,37.13
AFLT,D,20150415,000000,37.7
AFLT,D,20150416,000000,38.5
AFLT,D,20150417,000000,39.16
AFLT,D,20150418,000000,38.28
AFLT,D,20150421,000000,37.75
AFLT,D,20150422,000000,37.72
AFLT,D,20150423,000000,38.99
AFLT,D,20150424,000000,38.65
AFLT,D,20150425,000000,39.2
AFLT,D,20150428,000000,39.33
AFLT,D,20150429,000000,39
AFLT,D,20150430,000000,39.5
AFLT,D,20150501,000000,38.15
AFLT,D,20150506,000000,40.2
AFLT,D,20150507,000000,40.41
AFLT,D,20150508,000000,40.02
AFLT,D,20150509,000000,40.7
AFLT,D,20150513,000000,40.5
AFLT,D,20150514,000000,41.49
AFLT,D,20150515,000000,41.09
AFLT,D,20150516,000000,40.61
AFLT,D,20150519,000000,40.52
AFLT,D,20150520,000000,39.9
AFLT,D,20150521,000000,38.85
AFLT,D,20150522,000000,39.28
AFLT,D,20150523,000000,41.2
AFLT,D,20150526,000000,41.1
AFLT,D,20150527,000000,40.23
AFLT,D,20150528,000000,40.4
AFLT,D,20150529,000000,40.75
AFLT,D,20150530,000000,41.1
AFLT,D,20150602,000000,40.53
AFLT,D,20150603,000000,40
AFLT,D,20150604,000000,39.3
AFLT,D,20150605,000000,40.07
AFLT,D,20150606,000000,39.8
AFLT,D,20150609,000000,40
AFLT,D,20150610,000000,40.8
AFLT,D,20150611,000000,41.1
AFLT,D,20150612,000000,39.78
AFLT,D,20150616,000000,39.45
AFLT,D,20150617,000000,39.7
AFLT,D,20150618,000000,39.27
AFLT,D,20150619,000000,38.97
AFLT,D,20150620,000000,37.9
AFLT,D,20150623,000000,38.78
AFLT,D,20150624,000000,39.04
AFLT,D,20150625,000000,38.72
AFLT,D,20150626,000000,38.3
AFLT,D,20150627,000000,39.16
AFLT,D,20150630,000000,38
AFLT,D,20150701,000000,38.24
AFLT,D,20150702,000000,37.3
