<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
AGRO,D,20200104,000000,648.4
AGRO,D,20200107,000000,646
AGRO,D,20200109,000000,646.4
AGRO,D,20200110,000000,644.4
AGRO,D,20200111,000000,640.8
AGRO,D,20200114,000000,642.6
AGRO,D,20200115,000000,645.2
AGRO,D,20200116,000000,644
AGRO,D,20200117,000000,648.4
AGRO,D,20200118,000000,652
AGRO,D,20200121,000000,670
AGRO,D,20200122,000000,661
AGRO,D,20200123,000000,639.2
AGRO,D,20200124,000000,650.6
AGRO,D,20200125,000000,661.8
AGRO,D,20200128,000000,653.6
AGRO,D,20200129,000000,649
AGRO,D,20200130,000000,650.2
AGRO,D,20200131,000000,649.4
AGRO,D,20200201,000000,640
AGRO,D,20200204,000000,641
AGRO,D,20200205,000000,645.2
AGRO,D,20200206,000000,644.8
AGRO,D,20200207,000000,646
AGRO,D,20200208,000000,644
AGRO,D,20200211,000000,645
AGRO,D,20200212,000000,646.2
AGRO,D,20200213,000000,650.8
AGRO,D,20200214,000000,651.2
AGRO,D,20200215,000000,657.6
AGRO,D,20200218,000000,655.2
AGRO,D,20200219,000000,653.4
AGRO,D,20200220,000000,646
AGRO,D,20200221,000000,649.4
AGRO,D,20200222,000000,649
AGRO,D,20200226,000000,634.6
AGRO,D,20200227,000000,628.6
AGRO,D,20200228,000000,604.4
AGRO,D,20200229,000000,574.2
AGRO,D,20200303,000000,595.8
AGRO,D,20200304,000000,609.8
AGRO,D,20200305,000000,600.8
AGRO,D,20200306,000000,592.8
AGRO,D,20200307,000000,564.6
AGRO,D,20200311,000000,530.8
AGRO,D,20200312,000000,523
AGRO,D,20200313,000000,488.4
AGRO,D,20200314,000000,483
AGRO,D,20200317,000000,461
AGRO,D,20200318,000000,451.8
AGRO,D,20200319,000000,448.8
AGRO,D,20200320,000000,474
AGRO,D,20200321,000000,500.2
AGRO,D,20200324,000000,522.6
AGRO,D,20200325,000000,577
AGRO,D,20200326,000000,546.8
AGRO,D,20200327,000000,556
AGRO,D,20200328,000000,550
