<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
CHMF,D,20200104,000000,945.8
CHMF,D,20200107,000000,929
CHMF,D,20200109,000000,927.2
CHMF,D,20200110,000000,928.2
CHMF,D,20200111,000000,937.4
CHMF,D,20200114,000000,960.2
CHMF,D,20200115,000000,967.8
CHMF,D,20200116,000000,960.2
CHMF,D,20200117,000000,963.4
CHMF,D,20200118,000000,977.2
CHMF,D,20200121,000000,990.6
CHMF,D,20200122,000000,978.6
CHMF,D,20200123,000000,959.2
CHMF,D,20200124,000000,962
CHMF,D,20200125,000000,956.2
CHMF,D,20200128,000000,930
CHMF,D,20200129,000000,938.6
CHMF,D,20200130,000000,941.2
CHMF,D,20200131,000000,931
CHMF,D,20200201,000000,911.4
CHMF,D,20200204,000000,904.2
CHMF,D,20200205,000000,912.4
CHMF,D,20200206,000000,923.4
CHMF,D,20200207,000000,925
CHMF,D,20200208,000000,935.4
CHMF,D,20200211,000000,922
CHMF,D,20200212,000000,923.4
CHMF,D,20200213,000000,938
CHMF,D,20200214,000000,926
CHMF,D,20200215,000000,928
CHMF,D,20200218,000000,924.6
CHMF,D,20200219,000000,914.6
CHMF,D,20200220,000000,914
CHMF,D,20200221,000000,915.8
CHMF,D,20200222,000000,908
CHMF,D,20200226,000000,890
CHMF,D,20200227,000000,886.4
CHMF,D,20200228,000000,865.4
CHMF,D,20200229,000000,814.6
CHMF,D,20200303,000000,810.6
CHMF,D,20200304,000000,820.4
CHMF,D,20200305,000000,827
CHMF,D,20200306,000000,830
CHMF,D,20200307,000000,808.6
CHMF,D,20200311,000000,829
CHMF,D,20200312,000000,824
CHMF,D,20200313,000000,776.8
CHMF,D,20200314,000000,809.6
CHMF,D,20200317,000000,818.8
CHMF,D,20200318,000000,800.4
CHMF,D,20200319,000000,780
CHMF,D,20200320,000000,812
CHMF,D,20200321,000000,812.6
CHMF,D,20200324,000000,793.6
CHMF,D,20200325,000000,843.8
CHMF,D,20200326,000000,853.4
CHMF,D,20200327,000000,848.8
CHMF,D,20200328,000000,825.4
CHMF,D,20200331,000000,843.6
CHMF,D,20200401,000000,866.6
CHMF,D,20200402,000000,848.4
CHMF,D,20200403,000000,859.6
CHMF,D,20200404,000000,882
CHMF,D,20200407,000000,892.8
CHMF,D,20200408,000000,888
CHMF,D,20200409,000000,899.2
CHMF,D,20200410,000000,905
CHMF,D,20200411,000000,900
CHMF,D,20200414,000000,882.2
CHMF,D,20200415,000000,899
CHMF,D,20200416,000000,861.2
CHMF,D,20200417,000000,857.4
CHMF,D,20200418,000000,864.6
CHMF,D,20200421,000000,874.2
CHMF,D,20200422,000000,866
CHMF,D,20200423,000000,868.6
CHMF,D,20200424,000000,870
CHMF,D,20200425,000000,862.4
CHMF,D,20200428,000000,869
CHMF,D,20200429,000000,870
CHMF,D,20200430,000000,875.6
CHMF,D,20200501,000000,889.6
CHMF,D,20200505,000000,871
CHMF,D,20200506,000000,873.2
CHMF,D,20200507,000000,870.6
CHMF,D,20200508,000000,869.2
CHMF,D,20200509,000000,871.4
CHMF,D,20200513,000000,853.4
CHMF,D,20200514,000000,838
CHMF,D,20200515,000000,823.4
CHMF,D,20200516,000000,824.2
CHMF,D,20200519,000000,861
CHMF,D,20200520,000000,862.4
CHMF,D,20200521,000000,884.4
CHMF,D,20200522,000000,863.6
CHMF,D,20200523,000000,872
CHMF,D,20200526,000000,908
CHMF,D,20200527,000000,905
CHMF,D,20200528,000000,919.4
CHMF,D,20200529,000000,940
CHMF,D,20200530,000000,934.6
CHMF,D,20200602,000000,939
CHMF,D,20200603,000000,945
CHMF,D,20200604,000000,954.6
CHMF,D,20200605,000000,940.6
CHMF,D,20200606,000000,949
CHMF,D,20200609,000000,944
CHMF,D,20200610,000000,948
CHMF,D,20200611,000000,950.4
CHMF,D,20200612,000000,939
CHMF,D,20200616,000000,879.2
CHMF,D,20200617,000000,880
CHMF,D,20200618,000000,883.6
