<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ENPG,D,20200221,000000,814
ENPG,D,20200222,000000,800
ENPG,D,20200226,000000,763.2
ENPG,D,20200227,000000,755
ENPG,D,20200228,000000,736.3
ENPG,D,20200229,000000,721
ENPG,D,20200303,000000,731
ENPG,D,20200304,000000,739.7
ENPG,D,20200305,000000,736
ENPG,D,20200306,000000,720.3
ENPG,D,20200307,000000,679.9
ENPG,D,20200311,000000,636
ENPG,D,20200312,000000,641.4
ENPG,D,20200313,000000,582
ENPG,D,20200314,000000,589.9
ENPG,D,20200317,000000,566.6
ENPG,D,20200318,000000,566.3
ENPG,D,20200319,000000,540.8
ENPG,D,20200320,000000,542.3
ENPG,D,20200321,000000,564.6
ENPG,D,20200324,000000,560.2
ENPG,D,20200325,000000,580
ENPG,D,20200326,000000,590
ENPG,D,20200327,000000,581.7
ENPG,D,20200328,000000,561.7
ENPG,D,20200331,000000,553
ENPG,D,20200401,000000,552.2
ENPG,D,20200402,000000,551.9
ENPG,D,20200403,000000,550.5
ENPG,D,20200404,000000,548
ENPG,D,20200407,000000,550.7
ENPG,D,20200408,000000,555.7
ENPG,D,20200409,000000,568.8
ENPG,D,20200410,000000,559.7
ENPG,D,20200411,000000,553.8
ENPG,D,20200414,000000,549.5
ENPG,D,20200415,000000,557
ENPG,D,20200416,000000,561
ENPG,D,20200417,000000,572.1
ENPG,D,20200418,000000,572
ENPG,D,20200421,000000,568.9
ENPG,D,20200422,000000,553.9
ENPG,D,20200423,000000,577
ENPG,D,20200424,000000,597.4
ENPG,D,20200425,000000,618.8
ENPG,D,20200428,000000,660
ENPG,D,20200429,000000,636
ENPG,D,20200430,000000,628.5
ENPG,D,20200501,000000,620
ENPG,D,20200505,000000,655
ENPG,D,20200506,000000,648
ENPG,D,20200507,000000,644
ENPG,D,20200508,000000,637
ENPG,D,20200509,000000,630
ENPG,D,20200513,000000,620.5
ENPG,D,20200514,000000,615
ENPG,D,20200515,000000,607
ENPG,D,20200516,000000,604.5
ENPG,D,20200519,000000,605
ENPG,D,20200520,000000,600
ENPG,D,20200521,000000,605
ENPG,D,20200522,000000,601
ENPG,D,20200523,000000,594
ENPG,D,20200526,000000,616
ENPG,D,20200527,000000,612
ENPG,D,20200528,000000,612.5
ENPG,D,20200529,000000,620
ENPG,D,20200530,000000,618
ENPG,D,20200602,000000,622
ENPG,D,20200603,000000,626.5
ENPG,D,20200604,000000,622.5
ENPG,D,20200605,000000,593
ENPG,D,20200606,000000,609
ENPG,D,20200609,000000,611
ENPG,D,20200610,000000,618
ENPG,D,20200611,000000,621
