<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
FEES,D,20200104,000000,0.2082
FEES,D,20200107,000000,0.2097
FEES,D,20200109,000000,0.20782
FEES,D,20200110,000000,0.2123
FEES,D,20200111,000000,0.20602
FEES,D,20200114,000000,0.206
FEES,D,20200115,000000,0.20676
FEES,D,20200116,000000,0.20396
FEES,D,20200117,000000,0.20676
FEES,D,20200118,000000,0.22
FEES,D,20200121,000000,0.21802
FEES,D,20200122,000000,0.2134
FEES,D,20200123,000000,0.214
FEES,D,20200124,000000,0.2087
FEES,D,20200125,000000,0.2182
FEES,D,20200128,000000,0.21176
FEES,D,20200129,000000,0.21694
FEES,D,20200130,000000,0.22448
FEES,D,20200131,000000,0.22498
FEES,D,20200201,000000,0.21914
FEES,D,20200204,000000,0.222
FEES,D,20200205,000000,0.22348
FEES,D,20200206,000000,0.229
FEES,D,20200207,000000,0.2248
FEES,D,20200208,000000,0.22312
FEES,D,20200211,000000,0.2255
FEES,D,20200212,000000,0.22278
FEES,D,20200213,000000,0.22562
FEES,D,20200214,000000,0.22964
FEES,D,20200215,000000,0.231
FEES,D,20200218,000000,0.2331
FEES,D,20200219,000000,0.22746
FEES,D,20200220,000000,0.23346
FEES,D,20200221,000000,0.23676
FEES,D,20200222,000000,0.24322
FEES,D,20200226,000000,0.227
FEES,D,20200227,000000,0.228
FEES,D,20200228,000000,0.2183
FEES,D,20200229,000000,0.207
FEES,D,20200303,000000,0.205
FEES,D,20200304,000000,0.21158
FEES,D,20200305,000000,0.20614
FEES,D,20200306,000000,0.20172
FEES,D,20200307,000000,0.1929
FEES,D,20200311,000000,0.17128
FEES,D,20200312,000000,0.16392
FEES,D,20200313,000000,0.146
FEES,D,20200314,000000,0.15006
FEES,D,20200317,000000,0.15012
FEES,D,20200318,000000,0.14962
FEES,D,20200319,000000,0.13636
FEES,D,20200320,000000,0.144
FEES,D,20200321,000000,0.15046
FEES,D,20200324,000000,0.149
FEES,D,20200325,000000,0.162
FEES,D,20200326,000000,0.16266
FEES,D,20200327,000000,0.16
FEES,D,20200328,000000,0.15506
FEES,D,20200331,000000,0.15406
FEES,D,20200401,000000,0.16098
FEES,D,20200402,000000,0.15922
FEES,D,20200403,000000,0.15962
FEES,D,20200404,000000,0.16432
FEES,D,20200407,000000,0.1785
FEES,D,20200408,000000,0.17414
FEES,D,20200409,000000,0.17824
FEES,D,20200410,000000,0.18002
FEES,D,20200411,000000,0.1808
FEES,D,20200414,000000,0.177
FEES,D,20200415,000000,0.17812
FEES,D,20200416,000000,0.173
FEES,D,20200417,000000,0.1748
FEES,D,20200418,000000,0.1752
FEES,D,20200421,000000,0.1722
FEES,D,20200422,000000,0.17204
FEES,D,20200423,000000,0.1772
FEES,D,20200424,000000,0.1821
FEES,D,20200425,000000,0.1812
FEES,D,20200428,000000,0.18
FEES,D,20200429,000000,0.18214
FEES,D,20200430,000000,0.1854
FEES,D,20200501,000000,0.18354
FEES,D,20200505,000000,0.18336
FEES,D,20200506,000000,0.183
FEES,D,20200507,000000,0.1815
FEES,D,20200508,000000,0.1824
FEES,D,20200509,000000,0.1863
FEES,D,20200513,000000,0.188
FEES,D,20200514,000000,0.18828
FEES,D,20200515,000000,0.18694
FEES,D,20200516,000000,0.18204
FEES,D,20200519,000000,0.18698
FEES,D,20200520,000000,0.18796
FEES,D,20200521,000000,0.19296
FEES,D,20200522,000000,0.192
FEES,D,20200523,000000,0.19578
FEES,D,20200526,000000,0.19892
FEES,D,20200527,000000,0.1955
FEES,D,20200528,000000,0.19216
FEES,D,20200529,000000,0.18676
FEES,D,20200530,000000,0.18354
FEES,D,20200602,000000,0.18398
FEES,D,20200603,000000,0.184
FEES,D,20200604,000000,0.1875
FEES,D,20200605,000000,0.18362
FEES,D,20200606,000000,0.1838
FEES,D,20200609,000000,0.184
FEES,D,20200610,000000,0.182
FEES,D,20200611,000000,0.188
FEES,D,20200612,000000,0.1855
FEES,D,20200616,000000,0.1844
FEES,D,20200617,000000,0.18744
FEES,D,20200618,000000,0.188
FEES,D,20200619,000000,0.191
FEES,D,20200620,000000,0.1857
FEES,D,20200623,000000,0.18762
FEES,D,20200624,000000,0.19002
FEES,D,20200626,000000,0.19064
FEES,D,20200627,000000,0.1859
FEES,D,20200630,000000,0.18838
FEES,D,20200701,000000,0.1867
FEES,D,20200703,000000,0.18908
FEES,D,20200704,000000,0.19014
FEES,D,20200707,000000,0.19322
FEES,D,20200708,000000,0.1897
FEES,D,20200709,000000,0.19198
FEES,D,20200710,000000,0.19008
FEES,D,20200711,000000,0.1913
FEES,D,20200714,000000,0.18942
FEES,D,20200715,000000,0.186
FEES,D,20200716,000000,0.1849
FEES,D,20200717,000000,0.18488
FEES,D,20200718,000000,0.1895
FEES,D,20200721,000000,0.19294
FEES,D,20200722,000000,0.196
