<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
FIVE,D,20180202,000000,2110
FIVE,D,20180203,000000,2052
FIVE,D,20180206,000000,2089.5
FIVE,D,20180207,000000,2070
FIVE,D,20180208,000000,2090
FIVE,D,20180209,000000,2134
FIVE,D,20180210,000000,2046
FIVE,D,20180213,000000,2100.5
FIVE,D,20180214,000000,2140
FIVE,D,20180215,000000,2150.5
FIVE,D,20180216,000000,2144
FIVE,D,20180217,000000,2130
FIVE,D,20180220,000000,2079.5
FIVE,D,20180221,000000,1979.5
FIVE,D,20180222,000000,1958
FIVE,D,20180223,000000,1996.5
FIVE,D,20180227,000000,2017
FIVE,D,20180228,000000,2017
FIVE,D,20180301,000000,2015
FIVE,D,20180302,000000,2040
FIVE,D,20180303,000000,2000.5
FIVE,D,20180306,000000,2016
FIVE,D,20180307,000000,1943.5
FIVE,D,20180308,000000,1946.5
FIVE,D,20180310,000000,1955.5
FIVE,D,20180313,000000,1960.5
FIVE,D,20180314,000000,1910
FIVE,D,20180315,000000,1885.5
FIVE,D,20180316,000000,1965
FIVE,D,20180317,000000,1965
FIVE,D,20180320,000000,1915
FIVE,D,20180321,000000,1891
FIVE,D,20180322,000000,1920
FIVE,D,20180323,000000,1875
FIVE,D,20180324,000000,1858
FIVE,D,20180327,000000,1811
FIVE,D,20180328,000000,1846.5
FIVE,D,20180329,000000,1838.5
FIVE,D,20180330,000000,1932
FIVE,D,20180331,000000,1932
FIVE,D,20180403,000000,1949.5
FIVE,D,20180404,000000,1948
FIVE,D,20180405,000000,1959
FIVE,D,20180406,000000,2050
FIVE,D,20180407,000000,2025
FIVE,D,20180410,000000,1892.5
FIVE,D,20180411,000000,1925
FIVE,D,20180412,000000,1875
FIVE,D,20180413,000000,1913.5
FIVE,D,20180414,000000,1901
FIVE,D,20180417,000000,1930
FIVE,D,20180418,000000,1969
FIVE,D,20180419,000000,2055
FIVE,D,20180420,000000,1974
FIVE,D,20180421,000000,1974.5
FIVE,D,20180424,000000,1940
FIVE,D,20180425,000000,1906.5
FIVE,D,20180426,000000,1800
FIVE,D,20180427,000000,1740
FIVE,D,20180428,000000,1800
FIVE,D,20180429,000000,1803.5
FIVE,D,20180501,000000,1795.5
FIVE,D,20180503,000000,1815
FIVE,D,20180504,000000,1801
FIVE,D,20180505,000000,1835
FIVE,D,20180508,000000,1856.5
FIVE,D,20180509,000000,1845
FIVE,D,20180511,000000,1802
FIVE,D,20180512,000000,1799.5
FIVE,D,20180515,000000,1854
FIVE,D,20180516,000000,1911
FIVE,D,20180517,000000,1917.5
FIVE,D,20180518,000000,1925
FIVE,D,20180519,000000,1880
FIVE,D,20180522,000000,1864.5
FIVE,D,20180523,000000,1844
FIVE,D,20180524,000000,1871.5
FIVE,D,20180525,000000,1813
FIVE,D,20180526,000000,1844.5
FIVE,D,20180529,000000,1915
FIVE,D,20180530,000000,1840
FIVE,D,20180531,000000,1785
FIVE,D,20180601,000000,1808
FIVE,D,20180602,000000,1748
FIVE,D,20180605,000000,1771
FIVE,D,20180606,000000,1770
FIVE,D,20180607,000000,1758.5
FIVE,D,20180608,000000,1743.5
FIVE,D,20180609,000000,1675
FIVE,D,20180610,000000,1683.5
FIVE,D,20180612,000000,1675.5
FIVE,D,20180614,000000,1650.5
FIVE,D,20180615,000000,1645.5
FIVE,D,20180616,000000,1627.5
FIVE,D,20180619,000000,1645
FIVE,D,20180620,000000,1682
FIVE,D,20180621,000000,1730
FIVE,D,20180622,000000,1770
FIVE,D,20180623,000000,1729
FIVE,D,20180626,000000,1766.5
FIVE,D,20180627,000000,1743
FIVE,D,20180628,000000,1690
FIVE,D,20180629,000000,1673.5
FIVE,D,20180630,000000,1727
FIVE,D,20180703,000000,1687
FIVE,D,20180704,000000,1617.5
FIVE,D,20180705,000000,1645.5
FIVE,D,20180706,000000,1700
FIVE,D,20180707,000000,1685
FIVE,D,20180710,000000,1751.5
FIVE,D,20180711,000000,1780
FIVE,D,20180712,000000,1715.5
FIVE,D,20180713,000000,1721
FIVE,D,20180714,000000,1758
FIVE,D,20180717,000000,1760
FIVE,D,20180718,000000,1767
FIVE,D,20180719,000000,1840
FIVE,D,20180720,000000,1768
FIVE,D,20180721,000000,1691.5
FIVE,D,20180724,000000,1738
FIVE,D,20180725,000000,1734
FIVE,D,20180726,000000,1720
FIVE,D,20180727,000000,1758.5
FIVE,D,20180728,000000,1727.5
FIVE,D,20180731,000000,1728
FIVE,D,20180801,000000,1680
FIVE,D,20180802,000000,1731
FIVE,D,20180803,000000,1700
FIVE,D,20180804,000000,1682.5
FIVE,D,20180807,000000,1707
FIVE,D,20180808,000000,1710
FIVE,D,20180809,000000,1719
FIVE,D,20180810,000000,1672
FIVE,D,20180811,000000,1617
FIVE,D,20180814,000000,1624
FIVE,D,20180815,000000,1583
FIVE,D,20180816,000000,1577
FIVE,D,20180817,000000,1540.5
FIVE,D,20180818,000000,1571
FIVE,D,20180821,000000,1590.5
FIVE,D,20180822,000000,1607
FIVE,D,20180823,000000,1608
FIVE,D,20180824,000000,1556
FIVE,D,20180825,000000,1575
FIVE,D,20180828,000000,1580
FIVE,D,20180829,000000,1532
FIVE,D,20180830,000000,1540.5
FIVE,D,20180831,000000,1529.5
