<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
FLOT,D,20201008,000000,100.5
FLOT,D,20201009,000000,100.5
FLOT,D,20201010,000000,103
FLOT,D,20201013,000000,103.55
FLOT,D,20201014,000000,103.2
FLOT,D,20201015,000000,103
FLOT,D,20201016,000000,100.26
FLOT,D,20201017,000000,100.47
FLOT,D,20201020,000000,100.4
FLOT,D,20201021,000000,100.07
FLOT,D,20201022,000000,98.59
FLOT,D,20201023,000000,96.5
FLOT,D,20201024,000000,96.31
FLOT,D,20201027,000000,99.1
FLOT,D,20201028,000000,98.6
FLOT,D,20201029,000000,97.3
FLOT,D,20201030,000000,97.89
FLOT,D,20201031,000000,98.09
FLOT,D,20201103,000000,97.96
FLOT,D,20201104,000000,97.31
FLOT,D,20201106,000000,97.55
FLOT,D,20201107,000000,97.03
FLOT,D,20201110,000000,96.65
FLOT,D,20201111,000000,96.8
FLOT,D,20201112,000000,96.67
FLOT,D,20201113,000000,96.57
FLOT,D,20201114,000000,96.59
FLOT,D,20201117,000000,97.7
FLOT,D,20201118,000000,97.77
FLOT,D,20201119,000000,95.98
FLOT,D,20201120,000000,96.9
FLOT,D,20201121,000000,97.51
FLOT,D,20201124,000000,97.52
FLOT,D,20201125,000000,97.31
FLOT,D,20201126,000000,97.45
FLOT,D,20201127,000000,97.41
FLOT,D,20201128,000000,97.19
FLOT,D,20201201,000000,96.29
FLOT,D,20201202,000000,96.9
FLOT,D,20201203,000000,96.75
FLOT,D,20201204,000000,96.95
FLOT,D,20201205,000000,96.98
FLOT,D,20201208,000000,96.16
FLOT,D,20201209,000000,96.11
FLOT,D,20201210,000000,96.1
FLOT,D,20201211,000000,95.89
FLOT,D,20201212,000000,95.76
FLOT,D,20201215,000000,95.02
FLOT,D,20201216,000000,94.85
FLOT,D,20201217,000000,94.48
FLOT,D,20201218,000000,93.69
FLOT,D,20201219,000000,93.45
FLOT,D,20201222,000000,92.57
FLOT,D,20201223,000000,92.7
FLOT,D,20201224,000000,92
FLOT,D,20201225,000000,90.9
FLOT,D,20201226,000000,92
FLOT,D,20201229,000000,90.61
FLOT,D,20201230,000000,90.54
FLOT,D,20201231,000000,90.58
FLOT,D,20210105,000000,92.1
FLOT,D,20210106,000000,93.58
FLOT,D,20210107,000000,93.3
FLOT,D,20210109,000000,93.5
FLOT,D,20210112,000000,93.59
FLOT,D,20210113,000000,92.27
FLOT,D,20210114,000000,92.6
FLOT,D,20210115,000000,92.49
FLOT,D,20210116,000000,91.35
FLOT,D,20210119,000000,92
FLOT,D,20210120,000000,91.42
FLOT,D,20210121,000000,91.62
FLOT,D,20210122,000000,91.42
FLOT,D,20210123,000000,91.04
FLOT,D,20210126,000000,90.84
FLOT,D,20210127,000000,90.89
FLOT,D,20210128,000000,90.69
FLOT,D,20210129,000000,91.4
FLOT,D,20210130,000000,91.52
FLOT,D,20210202,000000,91.5
FLOT,D,20210203,000000,91.49
FLOT,D,20210204,000000,91.1
FLOT,D,20210205,000000,90.92
FLOT,D,20210206,000000,90.65
FLOT,D,20210209,000000,91
FLOT,D,20210210,000000,90.93
FLOT,D,20210211,000000,90.08
FLOT,D,20210212,000000,90.05
FLOT,D,20210213,000000,89.81
FLOT,D,20210216,000000,90.02
FLOT,D,20210217,000000,90.14
FLOT,D,20210218,000000,89.85
FLOT,D,20210219,000000,89.08
FLOT,D,20210220,000000,91.39
FLOT,D,20210221,000000,92.06
FLOT,D,20210223,000000,89.65
FLOT,D,20210225,000000,90.16
FLOT,D,20210226,000000,90.52
FLOT,D,20210227,000000,90.2
FLOT,D,20210302,000000,90.92
FLOT,D,20210303,000000,93.2
FLOT,D,20210304,000000,91.6
FLOT,D,20210305,000000,90.65
FLOT,D,20210306,000000,90.16
FLOT,D,20210310,000000,90.41
FLOT,D,20210311,000000,90.64
FLOT,D,20210312,000000,90.69
FLOT,D,20210313,000000,90.7
FLOT,D,20210316,000000,91.12
FLOT,D,20210317,000000,91.3
FLOT,D,20210318,000000,90.85
FLOT,D,20210319,000000,90.96
FLOT,D,20210320,000000,90.7
FLOT,D,20210323,000000,90.3
FLOT,D,20210324,000000,90
FLOT,D,20210325,000000,89.15
FLOT,D,20210326,000000,89.93
FLOT,D,20210327,000000,89.97
FLOT,D,20210330,000000,89.99
FLOT,D,20210331,000000,90.39
FLOT,D,20210401,000000,90.3
FLOT,D,20210402,000000,89.29
FLOT,D,20210403,000000,89.56
FLOT,D,20210406,000000,89.8
FLOT,D,20210407,000000,89.24
FLOT,D,20210408,000000,89.15
FLOT,D,20210409,000000,89.41
FLOT,D,20210410,000000,89.6
FLOT,D,20210413,000000,90.48
FLOT,D,20210414,000000,89.91
FLOT,D,20210415,000000,90.51
FLOT,D,20210416,000000,91.2
