<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,D,20200104,000000,259
GAZP,D,20200107,000000,256.55
GAZP,D,20200109,000000,255.79
GAZP,D,20200110,000000,254.07
GAZP,D,20200111,000000,251.9
GAZP,D,20200114,000000,251.5
GAZP,D,20200115,000000,250
GAZP,D,20200116,000000,251.3
GAZP,D,20200117,000000,254.26
GAZP,D,20200118,000000,255.39
GAZP,D,20200121,000000,253.5
GAZP,D,20200122,000000,252.99
GAZP,D,20200123,000000,248.1
GAZP,D,20200124,000000,239.3
GAZP,D,20200125,000000,237.95
GAZP,D,20200128,000000,230.96
GAZP,D,20200129,000000,235
GAZP,D,20200130,000000,232
GAZP,D,20200131,000000,231.53
GAZP,D,20200201,000000,226.7
GAZP,D,20200204,000000,227.64
GAZP,D,20200205,000000,230.5
GAZP,D,20200206,000000,232.56
GAZP,D,20200207,000000,231.38
GAZP,D,20200208,000000,229.11
GAZP,D,20200211,000000,225.2
GAZP,D,20200212,000000,233.9
GAZP,D,20200213,000000,238.03
GAZP,D,20200214,000000,233.55
GAZP,D,20200215,000000,232.5
GAZP,D,20200218,000000,233.75
GAZP,D,20200219,000000,230.5
GAZP,D,20200220,000000,231.9
GAZP,D,20200221,000000,234.6
GAZP,D,20200222,000000,232
GAZP,D,20200226,000000,224.68
GAZP,D,20200227,000000,224.76
GAZP,D,20200228,000000,217.5
GAZP,D,20200229,000000,202.65
GAZP,D,20200303,000000,198.78
GAZP,D,20200304,000000,201.48
GAZP,D,20200305,000000,200
GAZP,D,20200306,000000,198
GAZP,D,20200307,000000,188.27
GAZP,D,20200311,000000,171
GAZP,D,20200312,000000,172.03
GAZP,D,20200313,000000,163.73
GAZP,D,20200314,000000,166.1
GAZP,D,20200317,000000,168.07
GAZP,D,20200318,000000,167
GAZP,D,20200319,000000,166.34
GAZP,D,20200320,000000,174.56
GAZP,D,20200321,000000,176.26
GAZP,D,20200324,000000,168.35
GAZP,D,20200325,000000,177.95
GAZP,D,20200326,000000,180.2
GAZP,D,20200327,000000,181.5
GAZP,D,20200328,000000,174.5
GAZP,D,20200331,000000,176.44
GAZP,D,20200401,000000,181.41
GAZP,D,20200402,000000,180.06
GAZP,D,20200403,000000,187.04
GAZP,D,20200404,000000,189.77
GAZP,D,20200407,000000,191.1
GAZP,D,20200408,000000,191.22
GAZP,D,20200409,000000,194.11
GAZP,D,20200410,000000,193.86
GAZP,D,20200411,000000,192
GAZP,D,20200414,000000,188.07
GAZP,D,20200415,000000,190.11
GAZP,D,20200416,000000,184.25
GAZP,D,20200417,000000,184.3
GAZP,D,20200418,000000,184.68
GAZP,D,20200421,000000,185.51
GAZP,D,20200422,000000,181.92
GAZP,D,20200423,000000,188.36
GAZP,D,20200424,000000,188.73
GAZP,D,20200425,000000,185.71
GAZP,D,20200428,000000,186.29
GAZP,D,20200429,000000,188.5
GAZP,D,20200430,000000,193.87
GAZP,D,20200501,000000,190
GAZP,D,20200505,000000,185.7
GAZP,D,20200506,000000,190
GAZP,D,20200507,000000,187.05
GAZP,D,20200508,000000,185.85
GAZP,D,20200509,000000,185.34
GAZP,D,20200513,000000,186.17
GAZP,D,20200514,000000,184.2
GAZP,D,20200515,000000,183.91
GAZP,D,20200516,000000,183.85
GAZP,D,20200519,000000,192.5
GAZP,D,20200520,000000,194.2
GAZP,D,20200521,000000,196.74
GAZP,D,20200522,000000,194.74
GAZP,D,20200523,000000,194.35
GAZP,D,20200526,000000,197.55
GAZP,D,20200527,000000,196.86
GAZP,D,20200528,000000,194.73
GAZP,D,20200529,000000,196.86
GAZP,D,20200530,000000,199.95
GAZP,D,20200602,000000,198.72
GAZP,D,20200603,000000,201.97
GAZP,D,20200604,000000,208
GAZP,D,20200605,000000,201.46
GAZP,D,20200606,000000,203.05
GAZP,D,20200609,000000,204.91
GAZP,D,20200610,000000,204.84
GAZP,D,20200611,000000,201.75
GAZP,D,20200612,000000,196.74
GAZP,D,20200616,000000,194.2
GAZP,D,20200617,000000,196.59
GAZP,D,20200618,000000,195.86
GAZP,D,20200619,000000,193
GAZP,D,20200620,000000,195.81
GAZP,D,20200623,000000,194.3
GAZP,D,20200624,000000,194.83
GAZP,D,20200626,000000,192.25
GAZP,D,20200627,000000,193
GAZP,D,20200630,000000,197.94
GAZP,D,20200701,000000,194.31
GAZP,D,20200703,000000,195.28
GAZP,D,20200704,000000,197.2
GAZP,D,20200707,000000,199.99
GAZP,D,20200708,000000,197.96
GAZP,D,20200709,000000,201.17
GAZP,D,20200710,000000,199.44
GAZP,D,20200711,000000,200.94
GAZP,D,20200714,000000,195.7
GAZP,D,20200715,000000,193.6
GAZP,D,20200716,000000,182.26
GAZP,D,20200717,000000,183.32
GAZP,D,20200718,000000,184.65
GAZP,D,20200721,000000,188.36
GAZP,D,20200722,000000,186.78
GAZP,D,20200723,000000,187.15
GAZP,D,20200724,000000,184.69
GAZP,D,20200725,000000,185.45
GAZP,D,20200728,000000,185.03
GAZP,D,20200729,000000,184.3
GAZP,D,20200730,000000,184.69
GAZP,D,20200731,000000,182.52
GAZP,D,20200801,000000,182.59
GAZP,D,20200804,000000,183.6
GAZP,D,20200805,000000,183.31
GAZP,D,20200806,000000,189.15
GAZP,D,20200807,000000,189.07
GAZP,D,20200808,000000,187.23
GAZP,D,20200811,000000,187.7
GAZP,D,20200812,000000,189.7
GAZP,D,20200813,000000,192.8
GAZP,D,20200814,000000,193.76
GAZP,D,20200815,000000,192.83
GAZP,D,20200818,000000,190.47
GAZP,D,20200819,000000,190.3
GAZP,D,20200820,000000,189.26
GAZP,D,20200821,000000,186.95
GAZP,D,20200822,000000,184.51
GAZP,D,20200825,000000,187.1
GAZP,D,20200826,000000,186.25
GAZP,D,20200827,000000,187.48
GAZP,D,20200828,000000,184.58
GAZP,D,20200829,000000,182.9
GAZP,D,20200901,000000,181.01
GAZP,D,20200902,000000,184.22
GAZP,D,20200903,000000,181.95
GAZP,D,20200904,000000,179.13
GAZP,D,20200905,000000,179.55
GAZP,D,20200908,000000,177.04
GAZP,D,20200909,000000,172.95
GAZP,D,20200910,000000,173.69
GAZP,D,20200911,000000,173.8
GAZP,D,20200912,000000,178.05
GAZP,D,20200915,000000,178.19
GAZP,D,20200916,000000,182.22
GAZP,D,20200917,000000,183.26
GAZP,D,20200918,000000,183.9
GAZP,D,20200919,000000,181.52
GAZP,D,20200922,000000,177.17
GAZP,D,20200923,000000,179
GAZP,D,20200924,000000,177
GAZP,D,20200925,000000,174.23
GAZP,D,20200926,000000,173.77
GAZP,D,20200929,000000,172.74
GAZP,D,20200930,000000,171.44
GAZP,D,20201001,000000,169.97
GAZP,D,20201002,000000,168.4
GAZP,D,20201003,000000,169.47
GAZP,D,20201006,000000,170.64
GAZP,D,20201007,000000,171.35
GAZP,D,20201008,000000,168.23
GAZP,D,20201009,000000,167.43
GAZP,D,20201010,000000,166.97
GAZP,D,20201013,000000,169.05
GAZP,D,20201014,000000,166.37
GAZP,D,20201015,000000,167.24
GAZP,D,20201016,000000,167.16
GAZP,D,20201017,000000,163.98
GAZP,D,20201020,000000,163.6
GAZP,D,20201021,000000,166.53
GAZP,D,20201022,000000,164.37
GAZP,D,20201023,000000,165.27
GAZP,D,20201024,000000,164.96
GAZP,D,20201027,000000,162.17
GAZP,D,20201028,000000,159.21
GAZP,D,20201029,000000,154.3
GAZP,D,20201030,000000,156.74
GAZP,D,20201031,000000,154.28
GAZP,D,20201103,000000,157.74
GAZP,D,20201104,000000,161.09
GAZP,D,20201106,000000,163.7
GAZP,D,20201107,000000,164.92
GAZP,D,20201110,000000,170.13
GAZP,D,20201111,000000,172.92
GAZP,D,20201112,000000,170.53
GAZP,D,20201113,000000,172.91
GAZP,D,20201114,000000,180.3
GAZP,D,20201117,000000,185.32
GAZP,D,20201118,000000,182.9
GAZP,D,20201119,000000,185
GAZP,D,20201120,000000,184.16
GAZP,D,20201121,000000,183.21
GAZP,D,20201124,000000,184.15
GAZP,D,20201125,000000,186.76
GAZP,D,20201126,000000,188.03
GAZP,D,20201127,000000,185.52
GAZP,D,20201128,000000,185.9
GAZP,D,20201201,000000,181.89
GAZP,D,20201202,000000,185.34
GAZP,D,20201203,000000,187.22
GAZP,D,20201204,000000,185.12
GAZP,D,20201205,000000,188.79
GAZP,D,20201208,000000,190.76
GAZP,D,20201209,000000,190
GAZP,D,20201210,000000,189.35
GAZP,D,20201211,000000,192.95
GAZP,D,20201212,000000,201.5
GAZP,D,20201215,000000,199.91
GAZP,D,20201216,000000,201
GAZP,D,20201217,000000,206.2
GAZP,D,20201218,000000,214.52
GAZP,D,20201219,000000,212.69
GAZP,D,20201222,000000,203.46
GAZP,D,20201223,000000,208.4
GAZP,D,20201224,000000,207.63
GAZP,D,20201225,000000,206.24
GAZP,D,20201226,000000,205.03
GAZP,D,20201229,000000,206.11
GAZP,D,20201230,000000,208.75
GAZP,D,20201231,000000,212.98
GAZP,D,20210105,000000,212.71
GAZP,D,20210106,000000,215.32
GAZP,D,20210107,000000,214.38
GAZP,D,20210109,000000,225.49
GAZP,D,20210112,000000,227.6
GAZP,D,20210113,000000,228.69
GAZP,D,20210114,000000,226.8
GAZP,D,20210115,000000,228.86
GAZP,D,20210116,000000,226.5
GAZP,D,20210119,000000,226.88
GAZP,D,20210120,000000,223.15
GAZP,D,20210121,000000,224.3
GAZP,D,20210122,000000,217.28
GAZP,D,20210123,000000,215.49
GAZP,D,20210126,000000,218.68
GAZP,D,20210127,000000,218.8
GAZP,D,20210128,000000,217.4
GAZP,D,20210129,000000,217.7
GAZP,D,20210130,000000,212.83
GAZP,D,20210202,000000,214.66
GAZP,D,20210203,000000,214.42
GAZP,D,20210204,000000,218.1
GAZP,D,20210205,000000,219.79
GAZP,D,20210206,000000,222.01
GAZP,D,20210209,000000,228
GAZP,D,20210210,000000,227.73
GAZP,D,20210211,000000,223.24
GAZP,D,20210212,000000,221.35
GAZP,D,20210213,000000,226.71
GAZP,D,20210216,000000,229.22
GAZP,D,20210217,000000,232.46
GAZP,D,20210218,000000,229.14
GAZP,D,20210219,000000,224.47
GAZP,D,20210220,000000,226
GAZP,D,20210221,000000,225.84
GAZP,D,20210223,000000,225.63
GAZP,D,20210225,000000,222.55
GAZP,D,20210226,000000,221.7
GAZP,D,20210227,000000,217.56
GAZP,D,20210302,000000,221.47
