<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GMKN,D,20150106,000000,85.9
GMKN,D,20150107,000000,91.01
GMKN,D,20150109,000000,95.5
GMKN,D,20150110,000000,97.4
GMKN,D,20150113,000000,98.39
GMKN,D,20150114,000000,100.25
GMKN,D,20150115,000000,96
GMKN,D,20150116,000000,92.9
GMKN,D,20150117,000000,95.61
GMKN,D,20150120,000000,94.17
GMKN,D,20150121,000000,94.7
GMKN,D,20150122,000000,96.75
GMKN,D,20150123,000000,103.86
GMKN,D,20150124,000000,104
GMKN,D,20150127,000000,107.55
GMKN,D,20150128,000000,111.79
GMKN,D,20150129,000000,115.34
GMKN,D,20150130,000000,114.5
GMKN,D,20150131,000000,116.1
GMKN,D,20150203,000000,112.8
GMKN,D,20150204,000000,109.9
GMKN,D,20150205,000000,107.5
GMKN,D,20150206,000000,111
GMKN,D,20150207,000000,113.94
GMKN,D,20150210,000000,113.52
GMKN,D,20150211,000000,113.45
GMKN,D,20150212,000000,116.97
GMKN,D,20150213,000000,120.37
GMKN,D,20150214,000000,121.06
GMKN,D,20150217,000000,119
GMKN,D,20150218,000000,113.75
GMKN,D,20150219,000000,111.4
GMKN,D,20150220,000000,113.55
GMKN,D,20150221,000000,113.3
GMKN,D,20150225,000000,113.48
GMKN,D,20150226,000000,110.61
GMKN,D,20150227,000000,110.93
GMKN,D,20150228,000000,111.82
GMKN,D,20150303,000000,112.69
GMKN,D,20150304,000000,114.8
GMKN,D,20150305,000000,111.4
GMKN,D,20150306,000000,111.8
GMKN,D,20150307,000000,109.9
GMKN,D,20150311,000000,104.25
GMKN,D,20150312,000000,105.88
GMKN,D,20150313,000000,107.3
GMKN,D,20150314,000000,103.8
GMKN,D,20150317,000000,102.98
GMKN,D,20150318,000000,105.95
GMKN,D,20150319,000000,106.92
GMKN,D,20150320,000000,104.1
GMKN,D,20150321,000000,105.01
GMKN,D,20150324,000000,104.2
GMKN,D,20150325,000000,103.3
GMKN,D,20150326,000000,105
GMKN,D,20150327,000000,103.1
GMKN,D,20150328,000000,99.05
GMKN,D,20150331,000000,105.3
GMKN,D,20150401,000000,103.99
GMKN,D,20150402,000000,105.39
GMKN,D,20150403,000000,100.9
GMKN,D,20150404,000000,102.37
GMKN,D,20150407,000000,102
GMKN,D,20150408,000000,101.25
GMKN,D,20150409,000000,99.86
GMKN,D,20150410,000000,97.4
GMKN,D,20150411,000000,99.36
GMKN,D,20150414,000000,98.39
GMKN,D,20150415,000000,95.2
GMKN,D,20150416,000000,96.32
GMKN,D,20150417,000000,94.8
GMKN,D,20150418,000000,94.6
GMKN,D,20150421,000000,95.9
GMKN,D,20150422,000000,97
GMKN,D,20150423,000000,96
GMKN,D,20150424,000000,95.3
GMKN,D,20150425,000000,97.19
GMKN,D,20150428,000000,96.65
GMKN,D,20150429,000000,96.73
GMKN,D,20150430,000000,95.52
GMKN,D,20150501,000000,96.4
GMKN,D,20150506,000000,101.7
GMKN,D,20150507,000000,105
GMKN,D,20150508,000000,102.01
GMKN,D,20150509,000000,105.4
GMKN,D,20150513,000000,106.8
GMKN,D,20150514,000000,104.35
GMKN,D,20150515,000000,102.45
GMKN,D,20150516,000000,102.88
GMKN,D,20150519,000000,102.48
GMKN,D,20150520,000000,100.39
GMKN,D,20150521,000000,101.8
GMKN,D,20150522,000000,102.1
GMKN,D,20150523,000000,95.34
GMKN,D,20150526,000000,95.15
GMKN,D,20150527,000000,92.5
GMKN,D,20150528,000000,93.8
GMKN,D,20150529,000000,93.97
GMKN,D,20150530,000000,90.05
GMKN,D,20150602,000000,93.03
GMKN,D,20150603,000000,96.19
GMKN,D,20150604,000000,97.04
GMKN,D,20150605,000000,97.42
GMKN,D,20150606,000000,99.86
GMKN,D,20150609,000000,99.54
GMKN,D,20150610,000000,97.01
GMKN,D,20150611,000000,95.95
GMKN,D,20150612,000000,96.55
GMKN,D,20150616,000000,97.58
GMKN,D,20150617,000000,96.95
GMKN,D,20150618,000000,96.8
GMKN,D,20150619,000000,95.79
GMKN,D,20150620,000000,96.85
GMKN,D,20150623,000000,96.7
GMKN,D,20150624,000000,95.03
GMKN,D,20150625,000000,94.5
GMKN,D,20150626,000000,94
GMKN,D,20150627,000000,95.75
GMKN,D,20150630,000000,95.4
GMKN,D,20150701,000000,95
GMKN,D,20150702,000000,92.15
GMKN,D,20150703,000000,92.5
GMKN,D,20150704,000000,92.63
GMKN,D,20150707,000000,92.77
GMKN,D,20150708,000000,93.4
GMKN,D,20150709,000000,91
GMKN,D,20150710,000000,91.01
GMKN,D,20150711,000000,91.47
GMKN,D,20150714,000000,93.66
GMKN,D,20150715,000000,94.5
GMKN,D,20150716,000000,94.88
GMKN,D,20150717,000000,96
GMKN,D,20150718,000000,95.36
GMKN,D,20150721,000000,93.93
GMKN,D,20150722,000000,94.28
