<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
IRAO,D,20150121,000000,0.7641
IRAO,D,20150122,000000,0.775
IRAO,D,20150123,000000,0.7908
IRAO,D,20150124,000000,0.7889
IRAO,D,20150127,000000,0.74
IRAO,D,20150128,000000,0.734
IRAO,D,20150129,000000,0.7273
IRAO,D,20150130,000000,0.706
IRAO,D,20150131,000000,0.72
IRAO,D,20150203,000000,0.72
IRAO,D,20150204,000000,0.7171
IRAO,D,20150205,000000,0.7202
IRAO,D,20150206,000000,0.7385
IRAO,D,20150207,000000,0.7495
IRAO,D,20150210,000000,0.7888
IRAO,D,20150211,000000,0.8071
IRAO,D,20150212,000000,0.877
IRAO,D,20150213,000000,0.8985
IRAO,D,20150214,000000,0.9001
IRAO,D,20150217,000000,0.89
IRAO,D,20150218,000000,0.885
IRAO,D,20150219,000000,0.8996
IRAO,D,20150220,000000,0.8639
IRAO,D,20150221,000000,0.884
IRAO,D,20150225,000000,0.86
IRAO,D,20150226,000000,0.8585
IRAO,D,20150227,000000,0.922
IRAO,D,20150228,000000,0.9188
IRAO,D,20150303,000000,0.9303
IRAO,D,20150304,000000,0.9259
IRAO,D,20150305,000000,0.9558
IRAO,D,20150306,000000,0.97
IRAO,D,20150307,000000,0.9683
IRAO,D,20150311,000000,0.945
IRAO,D,20150312,000000,0.9495
IRAO,D,20150313,000000,0.9313
IRAO,D,20150314,000000,0.9107
IRAO,D,20150317,000000,0.88
IRAO,D,20150318,000000,0.919
IRAO,D,20150319,000000,0.8959
IRAO,D,20150320,000000,0.9117
IRAO,D,20150321,000000,0.8399
IRAO,D,20150324,000000,0.861
IRAO,D,20150325,000000,0.8788
IRAO,D,20150326,000000,0.8755
IRAO,D,20150327,000000,0.892
IRAO,D,20150328,000000,0.931
IRAO,D,20150331,000000,1.045
IRAO,D,20150401,000000,1.0999
IRAO,D,20150402,000000,1.12
IRAO,D,20150403,000000,1.1034
IRAO,D,20150404,000000,1.105
IRAO,D,20150407,000000,1.1747
IRAO,D,20150408,000000,1.1759
IRAO,D,20150409,000000,1.1749
IRAO,D,20150410,000000,1.145
IRAO,D,20150411,000000,1.112
IRAO,D,20150414,000000,1.0794
IRAO,D,20150415,000000,1.083
IRAO,D,20150416,000000,1.156
IRAO,D,20150417,000000,1.145
IRAO,D,20150418,000000,1.1488
IRAO,D,20150421,000000,1.1518
IRAO,D,20150422,000000,1.148
IRAO,D,20150423,000000,1.1601
IRAO,D,20150424,000000,1.1406
IRAO,D,20150425,000000,1.1477
IRAO,D,20150428,000000,1.1756
IRAO,D,20150429,000000,1.1952
IRAO,D,20150430,000000,1.185
IRAO,D,20150501,000000,1.2098
IRAO,D,20150506,000000,1.238
IRAO,D,20150507,000000,1.223
IRAO,D,20150508,000000,1.215
IRAO,D,20150509,000000,1.231
IRAO,D,20150513,000000,1.266
IRAO,D,20150514,000000,1.24
IRAO,D,20150515,000000,1.248
IRAO,D,20150516,000000,1.231
IRAO,D,20150519,000000,1.195
IRAO,D,20150520,000000,1.1745
IRAO,D,20150521,000000,1.1745
IRAO,D,20150522,000000,1.172
