<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
LKOH,D,20150106,000000,2295
LKOH,D,20150107,000000,2345
LKOH,D,20150109,000000,2572
LKOH,D,20150110,000000,2461
LKOH,D,20150113,000000,2477
LKOH,D,20150114,000000,2522
LKOH,D,20150115,000000,2588
LKOH,D,20150116,000000,2618.9
LKOH,D,20150117,000000,2736
LKOH,D,20150120,000000,2640
LKOH,D,20150121,000000,2628.7
LKOH,D,20150122,000000,2752
LKOH,D,20150123,000000,2820
LKOH,D,20150124,000000,2849
LKOH,D,20150127,000000,2864.9
LKOH,D,20150128,000000,2925.1
LKOH,D,20150129,000000,2865.2
LKOH,D,20150130,000000,2845.2
LKOH,D,20150131,000000,2789.9
LKOH,D,20150203,000000,2750.1
LKOH,D,20150204,000000,2851.5
LKOH,D,20150205,000000,2910
LKOH,D,20150206,000000,2996
LKOH,D,20150207,000000,3120.1
LKOH,D,20150210,000000,3016
LKOH,D,20150211,000000,3000
LKOH,D,20150212,000000,3069.1
LKOH,D,20150213,000000,3120
LKOH,D,20150214,000000,3135
LKOH,D,20150217,000000,3020
LKOH,D,20150218,000000,3010
LKOH,D,20150219,000000,3000
LKOH,D,20150220,000000,2994.8
LKOH,D,20150221,000000,2990
LKOH,D,20150225,000000,3001
LKOH,D,20150226,000000,2933.4
LKOH,D,20150227,000000,2935
LKOH,D,20150228,000000,2981.2
LKOH,D,20150303,000000,3027.2
LKOH,D,20150304,000000,3009.5
LKOH,D,20150305,000000,2955
LKOH,D,20150306,000000,2915
LKOH,D,20150307,000000,2800
LKOH,D,20150311,000000,2699
LKOH,D,20150312,000000,2726.9
LKOH,D,20150313,000000,2733.9
LKOH,D,20150314,000000,2659
LKOH,D,20150317,000000,2666
LKOH,D,20150318,000000,2689
LKOH,D,20150319,000000,2735
LKOH,D,20150320,000000,2689.8
LKOH,D,20150321,000000,2710
LKOH,D,20150324,000000,2679.9
LKOH,D,20150325,000000,2709.7
LKOH,D,20150326,000000,2697.3
LKOH,D,20150327,000000,2623
LKOH,D,20150328,000000,2577
LKOH,D,20150331,000000,2657
LKOH,D,20150401,000000,2705
LKOH,D,20150402,000000,2755
LKOH,D,20150403,000000,2780.5
LKOH,D,20150404,000000,2824.8
LKOH,D,20150407,000000,2823.3
LKOH,D,20150408,000000,2790
LKOH,D,20150409,000000,2755
LKOH,D,20150410,000000,2707.8
LKOH,D,20150411,000000,2634.9
LKOH,D,20150414,000000,2617
LKOH,D,20150415,000000,2559
LKOH,D,20150416,000000,2595
LKOH,D,20150417,000000,2580
LKOH,D,20150418,000000,2576
LKOH,D,20150421,000000,2670
LKOH,D,20150422,000000,2728.2
LKOH,D,20150423,000000,2639.5
LKOH,D,20150424,000000,2592
LKOH,D,20150425,000000,2645
LKOH,D,20150428,000000,2662
LKOH,D,20150429,000000,2644.9
LKOH,D,20150430,000000,2610
LKOH,D,20150501,000000,2645.6
LKOH,D,20150506,000000,2655
LKOH,D,20150507,000000,2660
LKOH,D,20150508,000000,2650.5
LKOH,D,20150509,000000,2691.6
LKOH,D,20150513,000000,2698.6
LKOH,D,20150514,000000,2620
LKOH,D,20150515,000000,2610.1
LKOH,D,20150516,000000,2595
LKOH,D,20150519,000000,2550
LKOH,D,20150520,000000,2530
LKOH,D,20150521,000000,2481.1
LKOH,D,20150522,000000,2523
LKOH,D,20150523,000000,2537
LKOH,D,20150526,000000,2502.2
LKOH,D,20150527,000000,2508
LKOH,D,20150528,000000,2541.8
LKOH,D,20150529,000000,2563.8
LKOH,D,20150530,000000,2461.3
LKOH,D,20150602,000000,2447.5
LKOH,D,20150603,000000,2515
LKOH,D,20150604,000000,2480.3
LKOH,D,20150605,000000,2525
LKOH,D,20150606,000000,2570
LKOH,D,20150609,000000,2551.9
LKOH,D,20150610,000000,2606
LKOH,D,20150611,000000,2551.3
LKOH,D,20150612,000000,2506.9
LKOH,D,20150616,000000,2481.7
LKOH,D,20150617,000000,2500.3
LKOH,D,20150618,000000,2475
LKOH,D,20150619,000000,2476
LKOH,D,20150620,000000,2474.4
LKOH,D,20150623,000000,2487
LKOH,D,20150624,000000,2469
LKOH,D,20150625,000000,2445
LKOH,D,20150626,000000,2406
LKOH,D,20150627,000000,2401.7
LKOH,D,20150630,000000,2408
LKOH,D,20150701,000000,2469.9
LKOH,D,20150702,000000,2429.2
LKOH,D,20150703,000000,2455
LKOH,D,20150704,000000,2425.3
LKOH,D,20150707,000000,2460
LKOH,D,20150708,000000,2465
LKOH,D,20150709,000000,2470
LKOH,D,20150710,000000,2484.6
LKOH,D,20150711,000000,2465
LKOH,D,20150714,000000,2435.6
LKOH,D,20150715,000000,2421.9
LKOH,D,20150716,000000,2460
LKOH,D,20150717,000000,2461.6
LKOH,D,20150718,000000,2465.4
LKOH,D,20150721,000000,2428.2
LKOH,D,20150722,000000,2442
LKOH,D,20150723,000000,2465
LKOH,D,20150724,000000,2462.5
LKOH,D,20150725,000000,2468.9
LKOH,D,20150728,000000,2398.9
LKOH,D,20150729,000000,2433.4
LKOH,D,20150730,000000,2430.9
LKOH,D,20150731,000000,2441
LKOH,D,20150801,000000,2537.6
LKOH,D,20150804,000000,2509.1
LKOH,D,20150805,000000,2507.4
LKOH,D,20150806,000000,2529
LKOH,D,20150807,000000,2491.6
LKOH,D,20150808,000000,2520
LKOH,D,20150811,000000,2531
LKOH,D,20150812,000000,2519.7
LKOH,D,20150813,000000,2539.5
LKOH,D,20150814,000000,2548.2
LKOH,D,20150815,000000,2561.1
LKOH,D,20150818,000000,2554.9
LKOH,D,20150819,000000,2491
LKOH,D,20150820,000000,2468.5
LKOH,D,20150821,000000,2487.1
LKOH,D,20150822,000000,2412
LKOH,D,20150825,000000,2347
LKOH,D,20150826,000000,2381
LKOH,D,20150827,000000,2355
LKOH,D,20150828,000000,2424
LKOH,D,20150829,000000,2520
LKOH,D,20150901,000000,2531
LKOH,D,20150902,000000,2455
LKOH,D,20150903,000000,2440
LKOH,D,20150904,000000,2503
LKOH,D,20150905,000000,2458
LKOH,D,20150908,000000,2446.7
LKOH,D,20150909,000000,2462.1
LKOH,D,20150910,000000,2501.2
LKOH,D,20150911,000000,2489
LKOH,D,20150912,000000,2487.6
LKOH,D,20150915,000000,2524.5
LKOH,D,20150916,000000,2478.1
LKOH,D,20150917,000000,2475
LKOH,D,20150918,000000,2439
LKOH,D,20150919,000000,2403.8
LKOH,D,20150922,000000,2331.1
LKOH,D,20150923,000000,2225.9
LKOH,D,20150924,000000,2203
LKOH,D,20150925,000000,2185
LKOH,D,20150926,000000,2240
LKOH,D,20150929,000000,2241.9
LKOH,D,20150930,000000,2261
LKOH,D,20151001,000000,2242.9
LKOH,D,20151002,000000,2184
LKOH,D,20151003,000000,2140
LKOH,D,20151006,000000,2196
LKOH,D,20151007,000000,2238
LKOH,D,20151008,000000,2279
LKOH,D,20151009,000000,2294
LKOH,D,20151010,000000,2400.1
LKOH,D,20151013,000000,2340.2
LKOH,D,20151014,000000,2350
LKOH,D,20151015,000000,2341
LKOH,D,20151016,000000,2320
LKOH,D,20151017,000000,2303.8
LKOH,D,20151020,000000,2315
LKOH,D,20151021,000000,2332.9
LKOH,D,20151022,000000,2310.9
LKOH,D,20151023,000000,2334.5
LKOH,D,20151024,000000,2336.7
LKOH,D,20151027,000000,2298
LKOH,D,20151028,000000,2350.6
LKOH,D,20151029,000000,2357
LKOH,D,20151030,000000,2341.5
LKOH,D,20151031,000000,2320
LKOH,D,20151103,000000,2412
LKOH,D,20151104,000000,2483.9
LKOH,D,20151106,000000,2489.6
LKOH,D,20151107,000000,2511.8
LKOH,D,20151110,000000,2530
LKOH,D,20151111,000000,2520
LKOH,D,20151112,000000,2548
LKOH,D,20151113,000000,2555
LKOH,D,20151114,000000,2485
LKOH,D,20151117,000000,2476
LKOH,D,20151118,000000,2524.5
LKOH,D,20151119,000000,2526
LKOH,D,20151120,000000,2534
LKOH,D,20151121,000000,2540
LKOH,D,20151124,000000,2652.8
LKOH,D,20151125,000000,2576.9
LKOH,D,20151126,000000,2606.9
LKOH,D,20151127,000000,2598.6
LKOH,D,20151128,000000,2539.4
LKOH,D,20151201,000000,2534.1
LKOH,D,20151202,000000,2559
