<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MAGN,D,20200104,000000,42.545
MAGN,D,20200107,000000,42.3
MAGN,D,20200109,000000,42.285
MAGN,D,20200110,000000,42.75
MAGN,D,20200111,000000,43.345
MAGN,D,20200114,000000,44.61
MAGN,D,20200115,000000,44.28
MAGN,D,20200116,000000,44.4
MAGN,D,20200117,000000,45.1
MAGN,D,20200118,000000,47.09
MAGN,D,20200121,000000,47.53
MAGN,D,20200122,000000,46.2
MAGN,D,20200123,000000,44.715
MAGN,D,20200124,000000,45.3
MAGN,D,20200125,000000,45.35
MAGN,D,20200128,000000,44.305
MAGN,D,20200129,000000,45.32
MAGN,D,20200130,000000,45.43
MAGN,D,20200131,000000,45.315
MAGN,D,20200201,000000,44.91
MAGN,D,20200204,000000,45.15
MAGN,D,20200205,000000,46.055
MAGN,D,20200206,000000,46.2
MAGN,D,20200207,000000,45.23
MAGN,D,20200208,000000,45.13
MAGN,D,20200211,000000,44.39
MAGN,D,20200212,000000,45.45
MAGN,D,20200213,000000,45.7
MAGN,D,20200214,000000,45.4
MAGN,D,20200215,000000,45.695
MAGN,D,20200218,000000,45.42
MAGN,D,20200219,000000,44.87
MAGN,D,20200220,000000,44.85
MAGN,D,20200221,000000,45.05
MAGN,D,20200222,000000,44.9
MAGN,D,20200226,000000,44.1
MAGN,D,20200227,000000,44.3
MAGN,D,20200228,000000,43
MAGN,D,20200229,000000,39.985
MAGN,D,20200303,000000,39.04
MAGN,D,20200304,000000,38.94
MAGN,D,20200305,000000,39.565
MAGN,D,20200306,000000,39.265
MAGN,D,20200307,000000,38.415
MAGN,D,20200311,000000,38.38
MAGN,D,20200312,000000,38.49
MAGN,D,20200313,000000,35
MAGN,D,20200314,000000,34.96
MAGN,D,20200317,000000,35.4
MAGN,D,20200318,000000,34.25
MAGN,D,20200319,000000,32
MAGN,D,20200320,000000,33.7
MAGN,D,20200321,000000,33.955
MAGN,D,20200324,000000,33.18
MAGN,D,20200325,000000,34.2
MAGN,D,20200326,000000,35.9
MAGN,D,20200327,000000,36.775
MAGN,D,20200328,000000,35.75
MAGN,D,20200331,000000,36.135
MAGN,D,20200401,000000,38.5
MAGN,D,20200402,000000,38.485
MAGN,D,20200403,000000,38.1
MAGN,D,20200404,000000,37.92
MAGN,D,20200407,000000,39.88
MAGN,D,20200408,000000,39.035
MAGN,D,20200409,000000,39.955
MAGN,D,20200410,000000,40.18
MAGN,D,20200411,000000,39.85
MAGN,D,20200414,000000,39.34
MAGN,D,20200415,000000,39.84
MAGN,D,20200416,000000,37.93
MAGN,D,20200417,000000,38.785
MAGN,D,20200418,000000,38.73
MAGN,D,20200421,000000,39.32
MAGN,D,20200422,000000,39.115
MAGN,D,20200423,000000,39.795
MAGN,D,20200424,000000,40.01
MAGN,D,20200425,000000,39.125
MAGN,D,20200428,000000,40.7
MAGN,D,20200429,000000,41.675
MAGN,D,20200430,000000,40.35
MAGN,D,20200501,000000,40.26
MAGN,D,20200505,000000,39.51
MAGN,D,20200506,000000,39.5
MAGN,D,20200507,000000,39.13
MAGN,D,20200508,000000,38.5
MAGN,D,20200509,000000,38.1
