<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MGNT,D,20200104,000000,3.445.5
MGNT,D,20200107,000000,3.416
MGNT,D,20200109,000000,3.427
MGNT,D,20200110,000000,3.348
MGNT,D,20200111,000000,3.319.5
MGNT,D,20200114,000000,3.345
MGNT,D,20200115,000000,3.339
MGNT,D,20200116,000000,3.440
MGNT,D,20200117,000000,3.625
MGNT,D,20200118,000000,3.623
MGNT,D,20200121,000000,3.855
MGNT,D,20200122,000000,3.840
MGNT,D,20200123,000000,3.750
MGNT,D,20200124,000000,3.702.5
MGNT,D,20200125,000000,3.796
MGNT,D,20200128,000000,3.708.5
MGNT,D,20200129,000000,3.751
MGNT,D,20200130,000000,3.819.5
MGNT,D,20200131,000000,3.830
MGNT,D,20200201,000000,3.727
MGNT,D,20200204,000000,3.720.5
MGNT,D,20200205,000000,3.750
MGNT,D,20200206,000000,3.783.5
MGNT,D,20200207,000000,3.713
MGNT,D,20200208,000000,3.640
MGNT,D,20200211,000000,3.564.5
MGNT,D,20200212,000000,3.575
MGNT,D,20200213,000000,3.760
MGNT,D,20200214,000000,3.750
MGNT,D,20200215,000000,3.669
MGNT,D,20200218,000000,3.697
MGNT,D,20200219,000000,3.620
MGNT,D,20200220,000000,3.640.5
MGNT,D,20200221,000000,3.641
MGNT,D,20200222,000000,3.625
MGNT,D,20200226,000000,3.503
MGNT,D,20200227,000000,3.529
MGNT,D,20200228,000000,3.345
MGNT,D,20200229,000000,3.160.5
MGNT,D,20200303,000000,3.201
MGNT,D,20200304,000000,3.150
MGNT,D,20200305,000000,3.130
MGNT,D,20200306,000000,3.121
MGNT,D,20200307,000000,2.984
MGNT,D,20200311,000000,2.669.5
MGNT,D,20200312,000000,2.705
MGNT,D,20200313,000000,2.337
MGNT,D,20200314,000000,2.501
MGNT,D,20200317,000000,2.636
MGNT,D,20200318,000000,2.765.5
MGNT,D,20200319,000000,2.780
MGNT,D,20200320,000000,2.950
MGNT,D,20200321,000000,3.002.5
MGNT,D,20200324,000000,2.986
MGNT,D,20200325,000000,3.020
MGNT,D,20200326,000000,3.070
MGNT,D,20200327,000000,3.249.5
MGNT,D,20200328,000000,3.140
MGNT,D,20200331,000000,3.128.5
MGNT,D,20200401,000000,3.202.5
MGNT,D,20200402,000000,3.140
MGNT,D,20200403,000000,3.190
MGNT,D,20200404,000000,3.189
MGNT,D,20200407,000000,3.262
MGNT,D,20200408,000000,3.255
MGNT,D,20200409,000000,3.372.5
MGNT,D,20200410,000000,3.318
MGNT,D,20200411,000000,3.321.5
MGNT,D,20200414,000000,3.286
MGNT,D,20200415,000000,3.362
MGNT,D,20200416,000000,3.244.5
MGNT,D,20200417,000000,3.196.5
MGNT,D,20200418,000000,3.236
MGNT,D,20200421,000000,3.165
MGNT,D,20200422,000000,3.142.5
MGNT,D,20200423,000000,3.205
MGNT,D,20200424,000000,3.287
MGNT,D,20200425,000000,3.215.5
MGNT,D,20200428,000000,3.356
MGNT,D,20200429,000000,3.380
MGNT,D,20200430,000000,3.467
MGNT,D,20200501,000000,3.690
MGNT,D,20200505,000000,3.760
MGNT,D,20200506,000000,3.702
MGNT,D,20200507,000000,3.690
MGNT,D,20200508,000000,3.694
MGNT,D,20200509,000000,3.663
MGNT,D,20200513,000000,3.575.5
MGNT,D,20200514,000000,3.631
MGNT,D,20200515,000000,3.508
MGNT,D,20200516,000000,3.544.5
MGNT,D,20200519,000000,3.619.5
MGNT,D,20200520,000000,3.657
MGNT,D,20200521,000000,3.640
MGNT,D,20200522,000000,3.600
MGNT,D,20200523,000000,3.616
MGNT,D,20200526,000000,3.635
MGNT,D,20200527,000000,3.615.5
MGNT,D,20200528,000000,3.744.5
MGNT,D,20200529,000000,3.827
MGNT,D,20200530,000000,3.740
MGNT,D,20200602,000000,3.832
MGNT,D,20200603,000000,3.899.5
MGNT,D,20200604,000000,3.869
MGNT,D,20200605,000000,3.836
MGNT,D,20200606,000000,3.846
MGNT,D,20200609,000000,3.950
MGNT,D,20200610,000000,3.929
MGNT,D,20200611,000000,3.995
MGNT,D,20200612,000000,4.004
MGNT,D,20200616,000000,3.985.5
MGNT,D,20200617,000000,3.950
MGNT,D,20200618,000000,3.945
MGNT,D,20200619,000000,3.820
MGNT,D,20200620,000000,3.980
MGNT,D,20200623,000000,4.076
MGNT,D,20200624,000000,4.115
MGNT,D,20200626,000000,4.140.5
MGNT,D,20200627,000000,4.180.5
MGNT,D,20200630,000000,4.156.5
MGNT,D,20200701,000000,4.035
MGNT,D,20200703,000000,4.202
MGNT,D,20200704,000000,4.222
MGNT,D,20200707,000000,4.332
MGNT,D,20200708,000000,4.242
MGNT,D,20200709,000000,4.225
MGNT,D,20200710,000000,4.337
MGNT,D,20200711,000000,4.307
MGNT,D,20200714,000000,4.291
MGNT,D,20200715,000000,4.259.5
MGNT,D,20200716,000000,4.298
MGNT,D,20200717,000000,4.303.5
MGNT,D,20200718,000000,4.302
MGNT,D,20200721,000000,4.476.5
MGNT,D,20200722,000000,4.648
MGNT,D,20200723,000000,4.690
MGNT,D,20200724,000000,4.720
MGNT,D,20200725,000000,4.782.5
MGNT,D,20200728,000000,4.752
MGNT,D,20200729,000000,4.768
MGNT,D,20200730,000000,4.698
MGNT,D,20200731,000000,4.675.5
MGNT,D,20200801,000000,4.586
MGNT,D,20200804,000000,4.614
MGNT,D,20200805,000000,4.658.5
MGNT,D,20200806,000000,4.632
MGNT,D,20200807,000000,4.606.5
MGNT,D,20200808,000000,4.618
MGNT,D,20200811,000000,4.613.5
MGNT,D,20200812,000000,4.622
MGNT,D,20200813,000000,4.619.5
MGNT,D,20200814,000000,4.738.5
MGNT,D,20200815,000000,4.763.5
MGNT,D,20200818,000000,4.688
MGNT,D,20200819,000000,4.690.5
MGNT,D,20200820,000000,4.671.5
MGNT,D,20200821,000000,4.561.5
MGNT,D,20200822,000000,4.523
MGNT,D,20200825,000000,4.608
MGNT,D,20200826,000000,4.642.5
MGNT,D,20200827,000000,4.666
MGNT,D,20200828,000000,4.728
MGNT,D,20200829,000000,4.581.5
MGNT,D,20200901,000000,4.474.5
MGNT,D,20200902,000000,4.497.5
MGNT,D,20200903,000000,4.564.5
MGNT,D,20200904,000000,4.565
MGNT,D,20200905,000000,4.590.5
MGNT,D,20200908,000000,4.558.5
MGNT,D,20200909,000000,4.535
MGNT,D,20200910,000000,4.456
MGNT,D,20200911,000000,4.475
MGNT,D,20200912,000000,4.663.5
MGNT,D,20200915,000000,4.671.5
MGNT,D,20200916,000000,4.724.5
MGNT,D,20200917,000000,4.710
MGNT,D,20200918,000000,4.863
MGNT,D,20200919,000000,4.805
MGNT,D,20200922,000000,4.772.5
MGNT,D,20200923,000000,4.962
MGNT,D,20200924,000000,4.989.5
MGNT,D,20200925,000000,5.057
MGNT,D,20200926,000000,5.025
MGNT,D,20200929,000000,5.080
MGNT,D,20200930,000000,4.965.5
MGNT,D,20201001,000000,4.956
MGNT,D,20201002,000000,4.896
MGNT,D,20201003,000000,4.906.5
MGNT,D,20201006,000000,4.895
MGNT,D,20201007,000000,4.879
MGNT,D,20201008,000000,4.766.5
MGNT,D,20201009,000000,4.722
MGNT,D,20201010,000000,4.690.5
MGNT,D,20201013,000000,4.859
MGNT,D,20201014,000000,4.837
MGNT,D,20201015,000000,4.912
MGNT,D,20201016,000000,4.741
MGNT,D,20201017,000000,4.782
MGNT,D,20201020,000000,4.914.5
MGNT,D,20201021,000000,4.910.5
MGNT,D,20201022,000000,4.863
MGNT,D,20201023,000000,4.900.5
MGNT,D,20201024,000000,4.855.5
MGNT,D,20201027,000000,4.799.5
MGNT,D,20201028,000000,4.784
MGNT,D,20201029,000000,4.702
MGNT,D,20201030,000000,4.659
MGNT,D,20201031,000000,4.706
MGNT,D,20201103,000000,4.829
MGNT,D,20201104,000000,4.770
MGNT,D,20201106,000000,4.741.5
MGNT,D,20201107,000000,4.796
MGNT,D,20201110,000000,4.893.5
MGNT,D,20201111,000000,4.945
MGNT,D,20201112,000000,4.780
MGNT,D,20201113,000000,4.910
MGNT,D,20201114,000000,4.932
MGNT,D,20201117,000000,4.982
MGNT,D,20201118,000000,4.891.5
MGNT,D,20201119,000000,4.980
MGNT,D,20201120,000000,5.012.5
MGNT,D,20201121,000000,4.933
MGNT,D,20201124,000000,4.945
MGNT,D,20201125,000000,4.910
MGNT,D,20201126,000000,4.891.5
MGNT,D,20201127,000000,4.971.5
MGNT,D,20201128,000000,4.985.5
MGNT,D,20201201,000000,4.979
MGNT,D,20201202,000000,5.019.5
MGNT,D,20201203,000000,4.995
MGNT,D,20201204,000000,5.008
MGNT,D,20201205,000000,4.992.5
MGNT,D,20201208,000000,5.008
MGNT,D,20201209,000000,5.040.5
MGNT,D,20201210,000000,5.384
MGNT,D,20201211,000000,5.384.5
MGNT,D,20201212,000000,5.381
MGNT,D,20201215,000000,5.512
MGNT,D,20201216,000000,5.494
MGNT,D,20201217,000000,5.432
MGNT,D,20201218,000000,5.421
MGNT,D,20201219,000000,5.449
MGNT,D,20201222,000000,5.362
MGNT,D,20201223,000000,5.346
MGNT,D,20201224,000000,5.356
MGNT,D,20201225,000000,5.424.5
MGNT,D,20201226,000000,5.474.5
MGNT,D,20201229,000000,5.599
MGNT,D,20201230,000000,5.643
MGNT,D,20201231,000000,5.685.5
MGNT,D,20210105,000000,5.744
MGNT,D,20210106,000000,5.762.5
MGNT,D,20210107,000000,5.534
MGNT,D,20210109,000000,5.478
MGNT,D,20210112,000000,5.484.5
MGNT,D,20210113,000000,5.450.5
MGNT,D,20210114,000000,5.410
MGNT,D,20210115,000000,5.375.5
MGNT,D,20210116,000000,5.210
MGNT,D,20210119,000000,5.219
MGNT,D,20210120,000000,5.183.5
MGNT,D,20210121,000000,5.161.5
MGNT,D,20210122,000000,5.060
MGNT,D,20210123,000000,4.991
MGNT,D,20210126,000000,5.168.5
MGNT,D,20210127,000000,5.175
MGNT,D,20210128,000000,5.087.5
MGNT,D,20210129,000000,5.060
MGNT,D,20210130,000000,4.924
MGNT,D,20210202,000000,4.948.5
MGNT,D,20210203,000000,5.014.5
MGNT,D,20210204,000000,5.048.5
MGNT,D,20210205,000000,5.062.5
MGNT,D,20210206,000000,4.996
MGNT,D,20210209,000000,5.107.5
MGNT,D,20210210,000000,5.273
MGNT,D,20210211,000000,5.197
MGNT,D,20210212,000000,5.117.5
MGNT,D,20210213,000000,5.169
MGNT,D,20210216,000000,5.280
MGNT,D,20210217,000000,5.297.5
MGNT,D,20210218,000000,5.260
MGNT,D,20210219,000000,5.155.5
MGNT,D,20210220,000000,5.172.5
MGNT,D,20210221,000000,5.149.5
MGNT,D,20210223,000000,5.098
MGNT,D,20210225,000000,5.008
MGNT,D,20210226,000000,4.919.5
MGNT,D,20210227,000000,4.929
MGNT,D,20210302,000000,4.970.5
MGNT,D,20210303,000000,5.068.5
MGNT,D,20210304,000000,5.030
MGNT,D,20210305,000000,4.965.5
MGNT,D,20210306,000000,5.010
MGNT,D,20210310,000000,4.980.5
MGNT,D,20210311,000000,5.070
MGNT,D,20210312,000000,5.096.5
MGNT,D,20210313,000000,5.135.5
MGNT,D,20210316,000000,5.217.5
MGNT,D,20210317,000000,5.170.5
MGNT,D,20210318,000000,5.274.5
MGNT,D,20210319,000000,5.362
MGNT,D,20210320,000000,5.428.5
MGNT,D,20210323,000000,5.409
MGNT,D,20210324,000000,5.300.5
MGNT,D,20210325,000000,5.354.5
MGNT,D,20210326,000000,5.294.5
MGNT,D,20210327,000000,5.348
MGNT,D,20210330,000000,5.300
MGNT,D,20210331,000000,5.281
MGNT,D,20210401,000000,5.344.5
MGNT,D,20210402,000000,5.293.5
MGNT,D,20210403,000000,5.301.5
