<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MOEX,D,20150106,000000,60.4
MOEX,D,20150107,000000,61.9
MOEX,D,20150109,000000,61.9
MOEX,D,20150110,000000,60.14
MOEX,D,20150113,000000,59.59
MOEX,D,20150114,000000,58.51
MOEX,D,20150115,000000,61.22
MOEX,D,20150116,000000,61.8
MOEX,D,20150117,000000,62.5
MOEX,D,20150120,000000,63.45
MOEX,D,20150121,000000,62
MOEX,D,20150122,000000,64.5
MOEX,D,20150123,000000,68
MOEX,D,20150124,000000,69.11
MOEX,D,20150127,000000,66.6
MOEX,D,20150128,000000,67.84
MOEX,D,20150129,000000,68
MOEX,D,20150130,000000,69.3
MOEX,D,20150131,000000,70
MOEX,D,20150203,000000,69.66
MOEX,D,20150204,000000,73.5
MOEX,D,20150205,000000,73.3
MOEX,D,20150206,000000,72
MOEX,D,20150207,000000,74.8
MOEX,D,20150210,000000,74.2
MOEX,D,20150211,000000,71.26
MOEX,D,20150212,000000,70.5
MOEX,D,20150213,000000,72.5
MOEX,D,20150214,000000,72.5
MOEX,D,20150217,000000,74.88
MOEX,D,20150218,000000,75.45
MOEX,D,20150219,000000,78.4
MOEX,D,20150220,000000,76.75
MOEX,D,20150221,000000,75.69
MOEX,D,20150225,000000,76.5
MOEX,D,20150226,000000,76.6
MOEX,D,20150227,000000,77.45
MOEX,D,20150228,000000,76.9
MOEX,D,20150303,000000,76.01
MOEX,D,20150304,000000,74.88
MOEX,D,20150305,000000,70.67
MOEX,D,20150306,000000,70
MOEX,D,20150307,000000,69
MOEX,D,20150311,000000,65
MOEX,D,20150312,000000,67.9
MOEX,D,20150313,000000,69.2
MOEX,D,20150314,000000,67.3
MOEX,D,20150317,000000,67.26
MOEX,D,20150318,000000,66.5
MOEX,D,20150319,000000,67.7
MOEX,D,20150320,000000,66.99
MOEX,D,20150321,000000,65.8
MOEX,D,20150324,000000,65.98
MOEX,D,20150325,000000,69
MOEX,D,20150326,000000,69.25
MOEX,D,20150327,000000,69.43
MOEX,D,20150328,000000,66.65
MOEX,D,20150331,000000,68.99
MOEX,D,20150401,000000,69
MOEX,D,20150402,000000,70.26
MOEX,D,20150403,000000,75.49
MOEX,D,20150404,000000,74.75
MOEX,D,20150407,000000,76.49
MOEX,D,20150408,000000,77.01
MOEX,D,20150409,000000,75.2
MOEX,D,20150410,000000,72.3
MOEX,D,20150411,000000,73.5
MOEX,D,20150414,000000,74.5
MOEX,D,20150415,000000,73.4
MOEX,D,20150416,000000,73.3
MOEX,D,20150417,000000,76
MOEX,D,20150418,000000,73.6
MOEX,D,20150421,000000,75.59
MOEX,D,20150422,000000,76.1
MOEX,D,20150423,000000,75.8
MOEX,D,20150424,000000,74.01
MOEX,D,20150425,000000,75.2
MOEX,D,20150428,000000,76.65
MOEX,D,20150429,000000,74.35
MOEX,D,20150430,000000,74.03
MOEX,D,20150501,000000,77
MOEX,D,20150506,000000,79.4
MOEX,D,20150507,000000,78.8
MOEX,D,20150508,000000,76
MOEX,D,20150509,000000,73.49
MOEX,D,20150513,000000,74.5
MOEX,D,20150514,000000,73.5
MOEX,D,20150515,000000,71.4
MOEX,D,20150516,000000,72.25
MOEX,D,20150519,000000,73.54
MOEX,D,20150520,000000,72.63
MOEX,D,20150521,000000,73.18
MOEX,D,20150522,000000,74.82
MOEX,D,20150523,000000,75.15
MOEX,D,20150526,000000,75.47
MOEX,D,20150527,000000,74.3
MOEX,D,20150528,000000,72.89
MOEX,D,20150529,000000,71.23
MOEX,D,20150530,000000,72
MOEX,D,20150602,000000,72.23
MOEX,D,20150603,000000,73.5
MOEX,D,20150604,000000,71.15
MOEX,D,20150605,000000,70.55
MOEX,D,20150606,000000,72.8
MOEX,D,20150609,000000,72.2
MOEX,D,20150610,000000,72.25
MOEX,D,20150611,000000,71.5
MOEX,D,20150612,000000,71.65
MOEX,D,20150616,000000,71.55
MOEX,D,20150617,000000,71
MOEX,D,20150618,000000,72.77
MOEX,D,20150619,000000,71.31
MOEX,D,20150620,000000,71.15
MOEX,D,20150623,000000,70.64
MOEX,D,20150624,000000,69.21
MOEX,D,20150625,000000,67.85
MOEX,D,20150626,000000,68.21
MOEX,D,20150627,000000,69.59
MOEX,D,20150630,000000,69.38
MOEX,D,20150701,000000,69.82
MOEX,D,20150702,000000,68.8
MOEX,D,20150703,000000,69.57
MOEX,D,20150704,000000,68.53
MOEX,D,20150707,000000,66.99
MOEX,D,20150708,000000,66.49
MOEX,D,20150709,000000,66.59
MOEX,D,20150710,000000,67.01
MOEX,D,20150711,000000,66.1
MOEX,D,20150714,000000,67.57
MOEX,D,20150715,000000,70.24
MOEX,D,20150716,000000,72.23
