<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MSNG,D,20200104,000000,2.2765
MSNG,D,20200107,000000,2.271
MSNG,D,20200109,000000,2.286
MSNG,D,20200110,000000,2.297
MSNG,D,20200111,000000,2.33
MSNG,D,20200114,000000,2.3455
MSNG,D,20200115,000000,2.341
MSNG,D,20200116,000000,2.3495
MSNG,D,20200117,000000,2.36
MSNG,D,20200118,000000,2.369
MSNG,D,20200121,000000,2.43
MSNG,D,20200122,000000,2.3895
MSNG,D,20200123,000000,2.334
MSNG,D,20200124,000000,2.3
MSNG,D,20200125,000000,2.341
MSNG,D,20200128,000000,2.2645
MSNG,D,20200129,000000,2.304
MSNG,D,20200130,000000,2.3305
MSNG,D,20200131,000000,2.3115
MSNG,D,20200201,000000,2.312
MSNG,D,20200204,000000,2.3075
MSNG,D,20200205,000000,2.332
MSNG,D,20200206,000000,2.3365
MSNG,D,20200207,000000,2.319
MSNG,D,20200208,000000,2.3505
MSNG,D,20200211,000000,2.305
MSNG,D,20200212,000000,2.3705
MSNG,D,20200213,000000,2.434
MSNG,D,20200214,000000,2.4845
MSNG,D,20200215,000000,2.5
MSNG,D,20200218,000000,2.468
MSNG,D,20200219,000000,2.395
MSNG,D,20200220,000000,2.64
MSNG,D,20200221,000000,2.5585
MSNG,D,20200222,000000,2.524
MSNG,D,20200226,000000,2.45
MSNG,D,20200227,000000,2.4695
MSNG,D,20200228,000000,2.3095
MSNG,D,20200229,000000,2.3245
MSNG,D,20200303,000000,2.3
MSNG,D,20200304,000000,2.315
MSNG,D,20200305,000000,2.281
MSNG,D,20200306,000000,2.275
MSNG,D,20200307,000000,2.197
MSNG,D,20200311,000000,1.97
MSNG,D,20200312,000000,1.908
MSNG,D,20200313,000000,1.689
MSNG,D,20200314,000000,1.62
MSNG,D,20200317,000000,1.515
MSNG,D,20200318,000000,1.5215
MSNG,D,20200319,000000,1.431
MSNG,D,20200320,000000,1.5225
MSNG,D,20200321,000000,1.614
MSNG,D,20200324,000000,1.685
MSNG,D,20200325,000000,1.739
MSNG,D,20200326,000000,1.8295
MSNG,D,20200327,000000,1.81
MSNG,D,20200328,000000,1.77
MSNG,D,20200331,000000,1.7755
MSNG,D,20200401,000000,1.849
MSNG,D,20200402,000000,1.815
MSNG,D,20200403,000000,1.851
MSNG,D,20200404,000000,1.9055
MSNG,D,20200407,000000,1.984
MSNG,D,20200408,000000,2.0335
MSNG,D,20200409,000000,2.0205
MSNG,D,20200410,000000,2.023
MSNG,D,20200411,000000,2.028
MSNG,D,20200414,000000,1.978
MSNG,D,20200415,000000,1.997
MSNG,D,20200416,000000,1.88
MSNG,D,20200417,000000,1.891
MSNG,D,20200418,000000,1.8995
MSNG,D,20200421,000000,1.887
MSNG,D,20200422,000000,1.8615
MSNG,D,20200423,000000,1.902
MSNG,D,20200424,000000,1.9255
MSNG,D,20200425,000000,1.888
MSNG,D,20200428,000000,1.901
MSNG,D,20200429,000000,1.925
MSNG,D,20200430,000000,1.929
MSNG,D,20200501,000000,1.962
MSNG,D,20200505,000000,1.9545
MSNG,D,20200506,000000,1.96
MSNG,D,20200507,000000,1.9705
MSNG,D,20200508,000000,1.955
MSNG,D,20200509,000000,1.977
MSNG,D,20200513,000000,1.9465
MSNG,D,20200514,000000,1.9135
MSNG,D,20200515,000000,1.887
MSNG,D,20200516,000000,1.9165
MSNG,D,20200519,000000,1.975
MSNG,D,20200520,000000,1.947
MSNG,D,20200521,000000,1.961
MSNG,D,20200522,000000,1.9495
MSNG,D,20200523,000000,1.9565
MSNG,D,20200526,000000,2
MSNG,D,20200527,000000,2.025
MSNG,D,20200528,000000,2.029
MSNG,D,20200529,000000,2.04
MSNG,D,20200530,000000,2.0285
MSNG,D,20200602,000000,2.1135
MSNG,D,20200603,000000,2.171
MSNG,D,20200604,000000,2.228
MSNG,D,20200605,000000,2.169
MSNG,D,20200606,000000,2.1545
MSNG,D,20200609,000000,2.1835
MSNG,D,20200610,000000,2.14
MSNG,D,20200611,000000,2.111
MSNG,D,20200612,000000,2.049
MSNG,D,20200616,000000,2.0955
MSNG,D,20200617,000000,2.084
MSNG,D,20200618,000000,2.073
MSNG,D,20200619,000000,2.0665
MSNG,D,20200620,000000,2.1565
MSNG,D,20200623,000000,2.146
MSNG,D,20200624,000000,2.1395
MSNG,D,20200626,000000,2.1195
MSNG,D,20200627,000000,2.1165
MSNG,D,20200630,000000,2.133
MSNG,D,20200701,000000,2.2195
MSNG,D,20200703,000000,2.178
MSNG,D,20200704,000000,2.183
MSNG,D,20200707,000000,2.245
MSNG,D,20200708,000000,2.139
MSNG,D,20200709,000000,2.1255
MSNG,D,20200710,000000,2.1065
MSNG,D,20200711,000000,2.103
MSNG,D,20200714,000000,2.109
MSNG,D,20200715,000000,2.0615
MSNG,D,20200716,000000,2.067
MSNG,D,20200717,000000,2.0315
MSNG,D,20200718,000000,2.04
MSNG,D,20200721,000000,2.12
MSNG,D,20200722,000000,2.1975
MSNG,D,20200723,000000,2.172
MSNG,D,20200724,000000,2.158
MSNG,D,20200725,000000,2.15
MSNG,D,20200728,000000,2.1285
MSNG,D,20200729,000000,2.14
MSNG,D,20200730,000000,2.1605
MSNG,D,20200731,000000,2.139
MSNG,D,20200801,000000,2.169
MSNG,D,20200804,000000,2.1635
MSNG,D,20200805,000000,2.161
MSNG,D,20200806,000000,2.156
MSNG,D,20200807,000000,2.1765
MSNG,D,20200808,000000,2.1345
MSNG,D,20200811,000000,2.133
MSNG,D,20200812,000000,2.149
MSNG,D,20200813,000000,2.14
MSNG,D,20200814,000000,2.1405
MSNG,D,20200815,000000,2.145
MSNG,D,20200818,000000,2.135
MSNG,D,20200819,000000,2.1315
MSNG,D,20200820,000000,2.1255
MSNG,D,20200821,000000,2.072
MSNG,D,20200822,000000,2.107
MSNG,D,20200825,000000,2.089
MSNG,D,20200826,000000,2.073
MSNG,D,20200827,000000,2.095
MSNG,D,20200828,000000,2.0895
MSNG,D,20200829,000000,2.075
MSNG,D,20200901,000000,2.069
MSNG,D,20200902,000000,2.098
MSNG,D,20200903,000000,2.087
MSNG,D,20200904,000000,2.0645
MSNG,D,20200905,000000,2.022
MSNG,D,20200908,000000,2.037
MSNG,D,20200909,000000,2.0185
MSNG,D,20200910,000000,2.0505
MSNG,D,20200911,000000,2.051
MSNG,D,20200912,000000,2.043
MSNG,D,20200915,000000,2.0425
MSNG,D,20200916,000000,2.0595
MSNG,D,20200917,000000,2.047
MSNG,D,20200918,000000,2.0595
MSNG,D,20200919,000000,2.045
MSNG,D,20200922,000000,2.039
MSNG,D,20200923,000000,2.054
MSNG,D,20200924,000000,2.048
MSNG,D,20200925,000000,2.039
MSNG,D,20200926,000000,2.0315
MSNG,D,20200929,000000,2.052
MSNG,D,20200930,000000,2.057
MSNG,D,20201001,000000,2.046
MSNG,D,20201002,000000,2.0235
MSNG,D,20201003,000000,2.032
MSNG,D,20201006,000000,2.053
MSNG,D,20201007,000000,2.0535
MSNG,D,20201008,000000,2.0295
MSNG,D,20201009,000000,2.0375
MSNG,D,20201010,000000,2.031
MSNG,D,20201013,000000,2.0335
MSNG,D,20201014,000000,2.041
MSNG,D,20201015,000000,2.048
MSNG,D,20201016,000000,2.047
MSNG,D,20201017,000000,2.0565
