<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MTLRP,D,20150106,000000,16.6
MTLRP,D,20150107,000000,17.29
MTLRP,D,20150109,000000,17.84
MTLRP,D,20150110,000000,17.67
MTLRP,D,20150113,000000,17.79
MTLRP,D,20150114,000000,17.39
MTLRP,D,20150115,000000,17.29
MTLRP,D,20150116,000000,17.51
MTLRP,D,20150117,000000,17.51
MTLRP,D,20150120,000000,17.91
MTLRP,D,20150121,000000,18.55
MTLRP,D,20150122,000000,21.08
MTLRP,D,20150123,000000,22.71
MTLRP,D,20150124,000000,22.1
MTLRP,D,20150127,000000,20.96
MTLRP,D,20150128,000000,21.71
MTLRP,D,20150129,000000,21.75
MTLRP,D,20150130,000000,31.7
MTLRP,D,20150131,000000,34.19
MTLRP,D,20150203,000000,31
MTLRP,D,20150204,000000,30
MTLRP,D,20150205,000000,31.31
MTLRP,D,20150206,000000,33.16
MTLRP,D,20150207,000000,32.06
MTLRP,D,20150210,000000,32.25
MTLRP,D,20150211,000000,32.9
MTLRP,D,20150212,000000,33
MTLRP,D,20150213,000000,34.79
MTLRP,D,20150214,000000,35.37
MTLRP,D,20150217,000000,34.55
MTLRP,D,20150218,000000,36.56
MTLRP,D,20150219,000000,38.89
MTLRP,D,20150220,000000,46.49
MTLRP,D,20150221,000000,44.6
MTLRP,D,20150225,000000,48.5
MTLRP,D,20150226,000000,55.41
MTLRP,D,20150227,000000,59
MTLRP,D,20150228,000000,58.4
MTLRP,D,20150303,000000,59.76
MTLRP,D,20150304,000000,60.19
MTLRP,D,20150305,000000,62
MTLRP,D,20150306,000000,63.89
MTLRP,D,20150307,000000,53.4
MTLRP,D,20150311,000000,46.21
MTLRP,D,20150312,000000,57.7
MTLRP,D,20150313,000000,58.5
MTLRP,D,20150314,000000,54.3
MTLRP,D,20150317,000000,47
MTLRP,D,20150318,000000,46.41
MTLRP,D,20150319,000000,51.9
MTLRP,D,20150320,000000,53.07
MTLRP,D,20150321,000000,50
MTLRP,D,20150324,000000,49.6
MTLRP,D,20150325,000000,48.96
MTLRP,D,20150326,000000,47.77
MTLRP,D,20150327,000000,45.72
MTLRP,D,20150328,000000,42.01
MTLRP,D,20150331,000000,51.15
MTLRP,D,20150401,000000,50.76
MTLRP,D,20150402,000000,49.97
MTLRP,D,20150403,000000,49.59
MTLRP,D,20150404,000000,48.44
MTLRP,D,20150407,000000,49.15
MTLRP,D,20150408,000000,48.5
MTLRP,D,20150409,000000,50.1
MTLRP,D,20150410,000000,47.85
MTLRP,D,20150411,000000,46.51
MTLRP,D,20150414,000000,45.4
MTLRP,D,20150415,000000,45.41
MTLRP,D,20150416,000000,48.24
MTLRP,D,20150417,000000,46.73
MTLRP,D,20150418,000000,45.05
MTLRP,D,20150421,000000,45.39
MTLRP,D,20150422,000000,46
MTLRP,D,20150423,000000,45.36
MTLRP,D,20150424,000000,44.05
MTLRP,D,20150425,000000,46.67
MTLRP,D,20150428,000000,45.9
MTLRP,D,20150429,000000,45.9
MTLRP,D,20150430,000000,47.01
MTLRP,D,20150501,000000,47.29
MTLRP,D,20150506,000000,47.14
MTLRP,D,20150507,000000,46.58
MTLRP,D,20150508,000000,46.09
