<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MTLR,D,20200104,000000,62.89
MTLR,D,20200107,000000,76.3
MTLR,D,20200109,000000,99.8
MTLR,D,20200110,000000,91.5
MTLR,D,20200111,000000,91.49
MTLR,D,20200114,000000,89.8
MTLR,D,20200115,000000,86.45
MTLR,D,20200116,000000,92.17
MTLR,D,20200117,000000,96.21
MTLR,D,20200118,000000,98.9
MTLR,D,20200121,000000,107.49
MTLR,D,20200122,000000,103.42
MTLR,D,20200123,000000,98.8
MTLR,D,20200124,000000,97.28
MTLR,D,20200125,000000,101.85
MTLR,D,20200128,000000,97.69
MTLR,D,20200129,000000,103.09
MTLR,D,20200130,000000,101.31
MTLR,D,20200131,000000,101.64
MTLR,D,20200201,000000,98.1
MTLR,D,20200204,000000,98
MTLR,D,20200205,000000,98
MTLR,D,20200206,000000,99.95
MTLR,D,20200207,000000,100.32
MTLR,D,20200208,000000,100.05
MTLR,D,20200211,000000,99.83
MTLR,D,20200212,000000,100.53
MTLR,D,20200213,000000,101.9
MTLR,D,20200214,000000,102.1
MTLR,D,20200215,000000,102.87
MTLR,D,20200218,000000,104.16
MTLR,D,20200219,000000,103.16
MTLR,D,20200220,000000,103.41
MTLR,D,20200221,000000,103.76
MTLR,D,20200222,000000,103.07
MTLR,D,20200226,000000,100.79
MTLR,D,20200227,000000,101.47
MTLR,D,20200228,000000,93.33
MTLR,D,20200229,000000,85.7
MTLR,D,20200303,000000,86.22
MTLR,D,20200304,000000,90.89
MTLR,D,20200305,000000,93.4
MTLR,D,20200306,000000,92.4
MTLR,D,20200307,000000,87.52
MTLR,D,20200311,000000,76.99
MTLR,D,20200312,000000,71.7
MTLR,D,20200313,000000,56.6
MTLR,D,20200314,000000,61.7
MTLR,D,20200317,000000,60.25
MTLR,D,20200318,000000,59.6
MTLR,D,20200319,000000,56.71
MTLR,D,20200320,000000,54.55
MTLR,D,20200321,000000,57.5
MTLR,D,20200324,000000,56.7
MTLR,D,20200325,000000,60.32
MTLR,D,20200326,000000,59.57
MTLR,D,20200327,000000,63
MTLR,D,20200328,000000,58.3
MTLR,D,20200331,000000,59.29
MTLR,D,20200401,000000,60.79
MTLR,D,20200402,000000,59.76
MTLR,D,20200403,000000,60.18
MTLR,D,20200404,000000,61.9
MTLR,D,20200407,000000,63.07
MTLR,D,20200408,000000,65.28
MTLR,D,20200409,000000,66.26
MTLR,D,20200410,000000,67.37
MTLR,D,20200411,000000,67.32
MTLR,D,20200414,000000,66.51
MTLR,D,20200415,000000,65.38
MTLR,D,20200416,000000,64.97
MTLR,D,20200417,000000,65.12
MTLR,D,20200418,000000,66.78
MTLR,D,20200421,000000,65.82
MTLR,D,20200422,000000,65.35
MTLR,D,20200423,000000,65.07
MTLR,D,20200424,000000,68.81
MTLR,D,20200425,000000,68
MTLR,D,20200428,000000,67.38
MTLR,D,20200429,000000,67.23
MTLR,D,20200430,000000,66.9
MTLR,D,20200501,000000,65.67
MTLR,D,20200505,000000,64
MTLR,D,20200506,000000,64.34
MTLR,D,20200507,000000,63.8
MTLR,D,20200508,000000,63.46
MTLR,D,20200509,000000,63.18
MTLR,D,20200513,000000,63.35
MTLR,D,20200514,000000,61.75
MTLR,D,20200515,000000,60.88
MTLR,D,20200516,000000,61.22
MTLR,D,20200519,000000,63.09
MTLR,D,20200520,000000,63.82
MTLR,D,20200521,000000,64.49
MTLR,D,20200522,000000,64.31
MTLR,D,20200523,000000,64.61
MTLR,D,20200526,000000,64.5
MTLR,D,20200527,000000,64.18
MTLR,D,20200528,000000,64.82
MTLR,D,20200529,000000,65.53
MTLR,D,20200530,000000,64.65
MTLR,D,20200602,000000,65.73
MTLR,D,20200603,000000,66.2
MTLR,D,20200604,000000,69.15
MTLR,D,20200605,000000,72.98
MTLR,D,20200606,000000,70.64
MTLR,D,20200609,000000,69.11
MTLR,D,20200610,000000,68.12
MTLR,D,20200611,000000,67.58
MTLR,D,20200612,000000,66.29
MTLR,D,20200616,000000,67.3
MTLR,D,20200617,000000,67.22
MTLR,D,20200618,000000,68.12
MTLR,D,20200619,000000,67.38
MTLR,D,20200620,000000,66.98
MTLR,D,20200623,000000,67.5
MTLR,D,20200624,000000,67.18
MTLR,D,20200626,000000,65.95
MTLR,D,20200627,000000,65.62
MTLR,D,20200630,000000,65.52
MTLR,D,20200701,000000,65.16
MTLR,D,20200703,000000,66.33
MTLR,D,20200704,000000,65.97
MTLR,D,20200707,000000,66.36
MTLR,D,20200708,000000,65.52
MTLR,D,20200709,000000,64.8
MTLR,D,20200710,000000,64.69
MTLR,D,20200711,000000,64.89
MTLR,D,20200714,000000,64.8
MTLR,D,20200715,000000,63.44
MTLR,D,20200716,000000,63.21
MTLR,D,20200717,000000,63.4
MTLR,D,20200718,000000,62.88
MTLR,D,20200721,000000,64.26
MTLR,D,20200722,000000,67.35
MTLR,D,20200723,000000,66.5
MTLR,D,20200724,000000,66
MTLR,D,20200725,000000,65.7
MTLR,D,20200728,000000,66.89
MTLR,D,20200729,000000,66.26
MTLR,D,20200730,000000,66.95
MTLR,D,20200731,000000,65.5
MTLR,D,20200801,000000,65.98
MTLR,D,20200804,000000,65.65
MTLR,D,20200805,000000,65.55
MTLR,D,20200806,000000,66.39
MTLR,D,20200807,000000,67.96
MTLR,D,20200808,000000,66.24
MTLR,D,20200811,000000,65.93
MTLR,D,20200812,000000,66.07
MTLR,D,20200813,000000,65.91
MTLR,D,20200814,000000,66.6
MTLR,D,20200815,000000,66.53
MTLR,D,20200818,000000,66.87
MTLR,D,20200819,000000,66.6
MTLR,D,20200820,000000,65.88
MTLR,D,20200821,000000,64.3
MTLR,D,20200822,000000,65.08
MTLR,D,20200825,000000,65.77
MTLR,D,20200826,000000,65.88
MTLR,D,20200827,000000,65.62
MTLR,D,20200828,000000,65.56
MTLR,D,20200829,000000,65.32
MTLR,D,20200901,000000,64.1
MTLR,D,20200902,000000,64.93
MTLR,D,20200903,000000,64.45
MTLR,D,20200904,000000,64.09
MTLR,D,20200905,000000,63.23
MTLR,D,20200908,000000,63.23
MTLR,D,20200909,000000,60.98
MTLR,D,20200910,000000,62.18
MTLR,D,20200911,000000,61.81
MTLR,D,20200912,000000,62.65
MTLR,D,20200915,000000,62.91
MTLR,D,20200916,000000,64.74
MTLR,D,20200917,000000,63.11
MTLR,D,20200918,000000,63.6
MTLR,D,20200919,000000,62.85
MTLR,D,20200922,000000,61.11
MTLR,D,20200923,000000,61.97
MTLR,D,20200924,000000,61.87
MTLR,D,20200925,000000,61.15
MTLR,D,20200926,000000,60.66
MTLR,D,20200929,000000,61.28
MTLR,D,20200930,000000,61.13
MTLR,D,20201001,000000,61.52
MTLR,D,20201002,000000,60.91
MTLR,D,20201003,000000,60.2
MTLR,D,20201006,000000,60.45
MTLR,D,20201007,000000,62.71
MTLR,D,20201008,000000,60.9
MTLR,D,20201009,000000,60.42
MTLR,D,20201010,000000,60.46
MTLR,D,20201013,000000,60
MTLR,D,20201014,000000,59.61
MTLR,D,20201015,000000,59.54
MTLR,D,20201016,000000,57.77
MTLR,D,20201017,000000,57.41
MTLR,D,20201020,000000,58.11
MTLR,D,20201021,000000,58
MTLR,D,20201022,000000,58.29
MTLR,D,20201023,000000,58.59
MTLR,D,20201024,000000,59.34
MTLR,D,20201027,000000,58.02
MTLR,D,20201028,000000,58.1
MTLR,D,20201029,000000,55.62
MTLR,D,20201030,000000,54.9
MTLR,D,20201031,000000,54.15
MTLR,D,20201103,000000,55.46
MTLR,D,20201104,000000,55.85
MTLR,D,20201106,000000,56.73
MTLR,D,20201107,000000,55.78
MTLR,D,20201110,000000,57.76
MTLR,D,20201111,000000,58.55
MTLR,D,20201112,000000,57.64
MTLR,D,20201113,000000,57.67
MTLR,D,20201114,000000,58
MTLR,D,20201117,000000,61.25
MTLR,D,20201118,000000,59.75
MTLR,D,20201119,000000,60.6
MTLR,D,20201120,000000,59.41
MTLR,D,20201121,000000,59.85
MTLR,D,20201124,000000,58.9
MTLR,D,20201125,000000,58.93
MTLR,D,20201126,000000,58.55
MTLR,D,20201127,000000,59.13
MTLR,D,20201128,000000,59.13
MTLR,D,20201201,000000,58.6
MTLR,D,20201202,000000,59.05
MTLR,D,20201203,000000,58.77
MTLR,D,20201204,000000,60.63
MTLR,D,20201205,000000,59.54
MTLR,D,20201208,000000,62.64
MTLR,D,20201209,000000,61.88
MTLR,D,20201210,000000,61.7
MTLR,D,20201211,000000,61.85
MTLR,D,20201212,000000,64.93
MTLR,D,20201215,000000,63.4
MTLR,D,20201216,000000,63.11
MTLR,D,20201217,000000,63.73
MTLR,D,20201218,000000,63.31
MTLR,D,20201219,000000,63.75
MTLR,D,20201222,000000,60.55
MTLR,D,20201223,000000,62.43
MTLR,D,20201224,000000,67.8
MTLR,D,20201225,000000,78.7
MTLR,D,20201226,000000,78.1
MTLR,D,20201229,000000,81.3
MTLR,D,20201230,000000,79.2
MTLR,D,20201231,000000,79.1
MTLR,D,20210105,000000,79.8
MTLR,D,20210106,000000,78.74
MTLR,D,20210107,000000,77.51
MTLR,D,20210109,000000,77.5
MTLR,D,20210112,000000,79.21
MTLR,D,20210113,000000,78.2
MTLR,D,20210114,000000,84.05
MTLR,D,20210115,000000,81.75
MTLR,D,20210116,000000,80.2
MTLR,D,20210119,000000,80.34
MTLR,D,20210120,000000,79.93
MTLR,D,20210121,000000,79.77
MTLR,D,20210122,000000,76.04
MTLR,D,20210123,000000,72.5
MTLR,D,20210126,000000,73.2
MTLR,D,20210127,000000,74.29
MTLR,D,20210128,000000,72.64
MTLR,D,20210129,000000,71.81
MTLR,D,20210130,000000,70.19
MTLR,D,20210202,000000,72.22
MTLR,D,20210203,000000,73.62
MTLR,D,20210204,000000,73.03
MTLR,D,20210205,000000,72.99
MTLR,D,20210206,000000,73.13
MTLR,D,20210209,000000,73.6
MTLR,D,20210210,000000,72.3
MTLR,D,20210211,000000,71.75
MTLR,D,20210212,000000,72.33
MTLR,D,20210213,000000,70.77
MTLR,D,20210216,000000,73.27
MTLR,D,20210217,000000,72.33
MTLR,D,20210218,000000,72.37
MTLR,D,20210219,000000,69.84
MTLR,D,20210220,000000,70.51
MTLR,D,20210221,000000,71.62
MTLR,D,20210223,000000,71.49
MTLR,D,20210225,000000,71
MTLR,D,20210226,000000,72.8
MTLR,D,20210227,000000,70
MTLR,D,20210302,000000,71.08
MTLR,D,20210303,000000,70.8
MTLR,D,20210304,000000,70.62
MTLR,D,20210305,000000,69.57
MTLR,D,20210306,000000,70
MTLR,D,20210310,000000,70.59
MTLR,D,20210311,000000,70.01
MTLR,D,20210312,000000,70.78
MTLR,D,20210313,000000,70.05
MTLR,D,20210316,000000,70.41
MTLR,D,20210317,000000,70.67
MTLR,D,20210318,000000,69.7
MTLR,D,20210319,000000,70.03
MTLR,D,20210320,000000,68.16
MTLR,D,20210323,000000,66.99
MTLR,D,20210324,000000,64.49
MTLR,D,20210325,000000,62.88
MTLR,D,20210326,000000,63.32
MTLR,D,20210327,000000,64.39
MTLR,D,20210330,000000,66.24
MTLR,D,20210331,000000,65.51
MTLR,D,20210401,000000,68
MTLR,D,20210402,000000,66.92
MTLR,D,20210403,000000,68.2
MTLR,D,20210406,000000,67.38
MTLR,D,20210407,000000,68.1
MTLR,D,20210408,000000,68.11
MTLR,D,20210409,000000,67.8
MTLR,D,20210410,000000,67.16
MTLR,D,20210413,000000,68.03
MTLR,D,20210414,000000,68.63
MTLR,D,20210415,000000,72.72
MTLR,D,20210416,000000,72.62
MTLR,D,20210417,000000,75.7
MTLR,D,20210420,000000,77
MTLR,D,20210421,000000,77.97
MTLR,D,20210422,000000,79.35
MTLR,D,20210423,000000,78.02
MTLR,D,20210424,000000,78.5
MTLR,D,20210427,000000,79.54
MTLR,D,20210428,000000,77.73
MTLR,D,20210429,000000,77.5
MTLR,D,20210430,000000,72.92
MTLR,D,20210501,000000,72.74
MTLR,D,20210505,000000,72.62
MTLR,D,20210506,000000,78.19
MTLR,D,20210507,000000,78.89
MTLR,D,20210508,000000,78.47
MTLR,D,20210511,000000,77.13
MTLR,D,20210512,000000,75.68
MTLR,D,20210513,000000,74.87
MTLR,D,20210514,000000,76.06
MTLR,D,20210515,000000,78.94
MTLR,D,20210518,000000,78.18
MTLR,D,20210519,000000,77.72
MTLR,D,20210520,000000,75.65
MTLR,D,20210521,000000,83.5
MTLR,D,20210522,000000,85.5
MTLR,D,20210525,000000,82.8
MTLR,D,20210526,000000,82
MTLR,D,20210527,000000,80.5
MTLR,D,20210528,000000,80
MTLR,D,20210529,000000,79.6
MTLR,D,20210601,000000,79.86
MTLR,D,20210602,000000,80.11
MTLR,D,20210603,000000,79.96
MTLR,D,20210604,000000,80.38
MTLR,D,20210605,000000,80.13
MTLR,D,20210608,000000,79.3
MTLR,D,20210609,000000,79.77
MTLR,D,20210610,000000,79.54
MTLR,D,20210611,000000,79
MTLR,D,20210612,000000,80
MTLR,D,20210615,000000,79.35
MTLR,D,20210616,000000,78.2
MTLR,D,20210617,000000,78.18
MTLR,D,20210618,000000,79.04
MTLR,D,20210619,000000,77
MTLR,D,20210622,000000,79.49
MTLR,D,20210623,000000,80
MTLR,D,20210624,000000,79.51
MTLR,D,20210625,000000,76.13
MTLR,D,20210626,000000,77.01
MTLR,D,20210629,000000,75.77
MTLR,D,20210630,000000,75.2
MTLR,D,20210701,000000,75.54
MTLR,D,20210702,000000,76.9
MTLR,D,20210703,000000,76.1
MTLR,D,20210706,000000,76.5
MTLR,D,20210707,000000,74.53
MTLR,D,20210708,000000,74.42
MTLR,D,20210709,000000,74.69
MTLR,D,20210710,000000,76.8
MTLR,D,20210713,000000,76.74
MTLR,D,20210714,000000,79.52
MTLR,D,20210715,000000,80
MTLR,D,20210716,000000,79.36
MTLR,D,20210717,000000,79.8
MTLR,D,20210720,000000,76.49
MTLR,D,20210721,000000,79.35
MTLR,D,20210722,000000,79.8
MTLR,D,20210723,000000,79.3
MTLR,D,20210724,000000,79.28
MTLR,D,20210727,000000,78.41
MTLR,D,20210728,000000,79.34
MTLR,D,20210729,000000,79.8
MTLR,D,20210730,000000,81.19
MTLR,D,20210731,000000,80.5
MTLR,D,20210803,000000,81.55
MTLR,D,20210804,000000,81.5
MTLR,D,20210805,000000,82.69
MTLR,D,20210806,000000,81.9
MTLR,D,20210807,000000,81.33
MTLR,D,20210810,000000,81.2
