<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MTSS,D,20200104,000000,322.1
MTSS,D,20200107,000000,323.45
MTSS,D,20200109,000000,328.15
MTSS,D,20200110,000000,324.3
MTSS,D,20200111,000000,319.4
MTSS,D,20200114,000000,319.45
MTSS,D,20200115,000000,317.3
MTSS,D,20200116,000000,318.65
MTSS,D,20200117,000000,319.8
MTSS,D,20200118,000000,321.15
MTSS,D,20200121,000000,327.2
MTSS,D,20200122,000000,328.7
MTSS,D,20200123,000000,333.8
MTSS,D,20200124,000000,329.95
MTSS,D,20200125,000000,336.45
MTSS,D,20200128,000000,326.75
MTSS,D,20200129,000000,327.25
MTSS,D,20200130,000000,328.5
MTSS,D,20200131,000000,330.5
MTSS,D,20200201,000000,326.4
MTSS,D,20200204,000000,331.95
MTSS,D,20200205,000000,332.95
MTSS,D,20200206,000000,331.4
MTSS,D,20200207,000000,331
MTSS,D,20200208,000000,331
MTSS,D,20200211,000000,330.7
MTSS,D,20200212,000000,332.7
MTSS,D,20200213,000000,339
MTSS,D,20200214,000000,337.8
MTSS,D,20200215,000000,340.55
MTSS,D,20200218,000000,341
MTSS,D,20200219,000000,341.4
MTSS,D,20200220,000000,348.1
MTSS,D,20200221,000000,347.5
MTSS,D,20200222,000000,348
MTSS,D,20200226,000000,337.5
MTSS,D,20200227,000000,339
MTSS,D,20200228,000000,329
MTSS,D,20200229,000000,320.5
MTSS,D,20200303,000000,327.2
MTSS,D,20200304,000000,328.25
MTSS,D,20200305,000000,328.75
MTSS,D,20200306,000000,329.55
MTSS,D,20200307,000000,318.8
MTSS,D,20200311,000000,294.8
MTSS,D,20200312,000000,293.3
MTSS,D,20200313,000000,272.95
MTSS,D,20200314,000000,269
MTSS,D,20200317,000000,267.1
MTSS,D,20200318,000000,268.45
MTSS,D,20200319,000000,256.75
MTSS,D,20200320,000000,265.5
MTSS,D,20200321,000000,276.5
MTSS,D,20200324,000000,262.1
MTSS,D,20200325,000000,280
MTSS,D,20200326,000000,278.35
MTSS,D,20200327,000000,285.95
MTSS,D,20200328,000000,290
MTSS,D,20200331,000000,296.95
MTSS,D,20200401,000000,299.1
MTSS,D,20200402,000000,297
MTSS,D,20200403,000000,299.3
MTSS,D,20200404,000000,295.6
MTSS,D,20200407,000000,308.85
MTSS,D,20200408,000000,308.7
MTSS,D,20200409,000000,313.85
MTSS,D,20200410,000000,310.45
MTSS,D,20200411,000000,310.95
MTSS,D,20200414,000000,308
MTSS,D,20200415,000000,310.95
MTSS,D,20200416,000000,304
MTSS,D,20200417,000000,303.4
MTSS,D,20200418,000000,305.35
MTSS,D,20200421,000000,306
MTSS,D,20200422,000000,302
MTSS,D,20200423,000000,309.7
MTSS,D,20200424,000000,314.25
MTSS,D,20200425,000000,306.8
MTSS,D,20200428,000000,311.4
MTSS,D,20200429,000000,313.5
MTSS,D,20200430,000000,319.2
MTSS,D,20200501,000000,319.6
MTSS,D,20200505,000000,316.55
MTSS,D,20200506,000000,320.4
MTSS,D,20200507,000000,318
MTSS,D,20200508,000000,320.3
MTSS,D,20200509,000000,325.3
MTSS,D,20200513,000000,323.6
MTSS,D,20200514,000000,318.45
MTSS,D,20200515,000000,315.15
MTSS,D,20200516,000000,320.15
MTSS,D,20200519,000000,325.5
MTSS,D,20200520,000000,327.25
MTSS,D,20200521,000000,332.55
MTSS,D,20200522,000000,328.7
MTSS,D,20200523,000000,327.1
MTSS,D,20200526,000000,332.2
MTSS,D,20200527,000000,331.9
MTSS,D,20200528,000000,326.5
MTSS,D,20200529,000000,324.05
MTSS,D,20200530,000000,320
MTSS,D,20200602,000000,319.6
MTSS,D,20200603,000000,326.7
MTSS,D,20200604,000000,329.7
MTSS,D,20200605,000000,323.5
MTSS,D,20200606,000000,326.25
MTSS,D,20200609,000000,325.5
MTSS,D,20200610,000000,329.15
MTSS,D,20200611,000000,326.85
MTSS,D,20200612,000000,322.8
MTSS,D,20200616,000000,323.8
MTSS,D,20200617,000000,328
MTSS,D,20200618,000000,325.75
MTSS,D,20200619,000000,326.05
MTSS,D,20200620,000000,327.35
MTSS,D,20200623,000000,325
MTSS,D,20200624,000000,324.7
MTSS,D,20200626,000000,325.45
MTSS,D,20200627,000000,324.3
MTSS,D,20200630,000000,325.95
MTSS,D,20200701,000000,330.45
MTSS,D,20200703,000000,330.85
MTSS,D,20200704,000000,334.6
MTSS,D,20200707,000000,338.1
MTSS,D,20200708,000000,336.6
MTSS,D,20200709,000000,321.1
MTSS,D,20200710,000000,315
MTSS,D,20200711,000000,314.95
MTSS,D,20200714,000000,315.7
MTSS,D,20200715,000000,317
MTSS,D,20200716,000000,319.7
MTSS,D,20200717,000000,321
MTSS,D,20200718,000000,321.55
MTSS,D,20200721,000000,322.75
MTSS,D,20200722,000000,322.2
MTSS,D,20200723,000000,323.85
MTSS,D,20200724,000000,321.95
MTSS,D,20200725,000000,321
MTSS,D,20200728,000000,323.25
MTSS,D,20200729,000000,326.7
