<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
NVTK,D,20150106,000000,455.5
NVTK,D,20150107,000000,476.7
NVTK,D,20150109,000000,483
NVTK,D,20150110,000000,475.1
NVTK,D,20150113,000000,470.7
NVTK,D,20150114,000000,489.4
NVTK,D,20150115,000000,497.9
NVTK,D,20150116,000000,483.2
NVTK,D,20150117,000000,490
NVTK,D,20150120,000000,487
NVTK,D,20150121,000000,475
NVTK,D,20150122,000000,490.4
NVTK,D,20150123,000000,523.7
NVTK,D,20150124,000000,512
NVTK,D,20150127,000000,504
NVTK,D,20150128,000000,505.5
NVTK,D,20150129,000000,488
NVTK,D,20150130,000000,480.4
NVTK,D,20150131,000000,460
NVTK,D,20150203,000000,472
NVTK,D,20150204,000000,482.3
NVTK,D,20150205,000000,478.5
NVTK,D,20150206,000000,500.2
NVTK,D,20150207,000000,522.2
NVTK,D,20150210,000000,527.5
NVTK,D,20150211,000000,520
NVTK,D,20150212,000000,530.9
NVTK,D,20150213,000000,539.5
NVTK,D,20150214,000000,543.8
NVTK,D,20150217,000000,524.6
NVTK,D,20150218,000000,522.7
NVTK,D,20150219,000000,527.5
NVTK,D,20150220,000000,529.2
NVTK,D,20150221,000000,518.1
NVTK,D,20150225,000000,518.3
NVTK,D,20150226,000000,506.7
NVTK,D,20150227,000000,499.3
NVTK,D,20150228,000000,503.7
NVTK,D,20150303,000000,512.2
NVTK,D,20150304,000000,522
NVTK,D,20150305,000000,512.7
NVTK,D,20150306,000000,512.4
NVTK,D,20150307,000000,498.7
NVTK,D,20150311,000000,485
NVTK,D,20150312,000000,482
NVTK,D,20150313,000000,471.8
NVTK,D,20150314,000000,461.7
NVTK,D,20150317,000000,466
NVTK,D,20150318,000000,460
NVTK,D,20150319,000000,464
NVTK,D,20150320,000000,447
NVTK,D,20150321,000000,453
NVTK,D,20150324,000000,434.8
NVTK,D,20150325,000000,429.4
NVTK,D,20150326,000000,430.3
NVTK,D,20150327,000000,418
NVTK,D,20150328,000000,416.5
NVTK,D,20150331,000000,432
NVTK,D,20150401,000000,432
NVTK,D,20150402,000000,450.3
NVTK,D,20150403,000000,467.2
NVTK,D,20150404,000000,476.4
NVTK,D,20150407,000000,478
NVTK,D,20150408,000000,474.4
