<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
OZON,D,20201125,000000,3033
OZON,D,20201126,000000,2954
OZON,D,20201127,000000,2944
OZON,D,20201128,000000,3025
OZON,D,20201201,000000,3071
OZON,D,20201202,000000,3059.5
OZON,D,20201203,000000,3184
OZON,D,20201204,000000,3614.5
OZON,D,20201205,000000,3556
OZON,D,20201208,000000,3422
OZON,D,20201209,000000,3471
OZON,D,20201210,000000,3301
OZON,D,20201211,000000,3294
OZON,D,20201212,000000,3164.5
OZON,D,20201215,000000,3069
OZON,D,20201216,000000,3201
OZON,D,20201217,000000,3357
OZON,D,20201218,000000,3211.5
OZON,D,20201219,000000,3264.5
OZON,D,20201222,000000,3264
OZON,D,20201223,000000,3231
OZON,D,20201224,000000,3222
OZON,D,20201225,000000,3149
OZON,D,20201226,000000,3150.5
OZON,D,20201229,000000,3290
OZON,D,20201230,000000,3232
OZON,D,20201231,000000,3289.5
OZON,D,20210105,000000,3229.5
OZON,D,20210106,000000,3348.5
OZON,D,20210107,000000,3257
OZON,D,20210109,000000,3376.5
OZON,D,20210112,000000,3382
OZON,D,20210113,000000,3530.5
OZON,D,20210114,000000,3491
OZON,D,20210115,000000,3636.5
OZON,D,20210116,000000,3805.5
OZON,D,20210119,000000,3795
OZON,D,20210120,000000,3972
OZON,D,20210121,000000,4001
OZON,D,20210122,000000,4057
OZON,D,20210123,000000,3980
OZON,D,20210126,000000,4014.5
OZON,D,20210127,000000,3901
OZON,D,20210128,000000,3560.5
OZON,D,20210129,000000,3846
OZON,D,20210130,000000,3662
OZON,D,20210202,000000,3867.5
OZON,D,20210203,000000,4016
OZON,D,20210204,000000,4023
OZON,D,20210205,000000,4185.5
OZON,D,20210206,000000,4650
OZON,D,20210209,000000,4969
OZON,D,20210210,000000,4665
OZON,D,20210211,000000,4883
OZON,D,20210212,000000,4726.5
OZON,D,20210213,000000,4753
OZON,D,20210216,000000,4739
OZON,D,20210217,000000,4765
OZON,D,20210218,000000,4420
OZON,D,20210219,000000,4573.5
OZON,D,20210220,000000,4884.5
OZON,D,20210221,000000,4864
OZON,D,20210223,000000,4938
OZON,D,20210225,000000,4557.5
OZON,D,20210226,000000,4330
OZON,D,20210227,000000,4480
OZON,D,20210302,000000,4703.5
OZON,D,20210303,000000,4602
OZON,D,20210304,000000,4490.5
OZON,D,20210305,000000,4226.5
OZON,D,20210306,000000,4073
OZON,D,20210310,000000,3831
OZON,D,20210311,000000,3844
