<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
PHOR,D,20200104,000000,2.427
PHOR,D,20200107,000000,2.418
PHOR,D,20200109,000000,2.415
PHOR,D,20200110,000000,2.418
PHOR,D,20200111,000000,2.418
PHOR,D,20200114,000000,2.452
PHOR,D,20200115,000000,2.476
PHOR,D,20200116,000000,2.475
PHOR,D,20200117,000000,2.483
PHOR,D,20200118,000000,2.487
PHOR,D,20200121,000000,2.490
PHOR,D,20200122,000000,2.487
PHOR,D,20200123,000000,2.463
PHOR,D,20200124,000000,2.447
PHOR,D,20200125,000000,2.452
PHOR,D,20200128,000000,2.426
PHOR,D,20200129,000000,2.417
PHOR,D,20200130,000000,2.452
PHOR,D,20200131,000000,2.470
PHOR,D,20200201,000000,2.469
PHOR,D,20200204,000000,2.425
PHOR,D,20200205,000000,2.444
PHOR,D,20200206,000000,2.432
PHOR,D,20200207,000000,2.420
PHOR,D,20200208,000000,2.439
PHOR,D,20200211,000000,2.440
PHOR,D,20200212,000000,2.439
PHOR,D,20200213,000000,2.431
PHOR,D,20200214,000000,2.418
PHOR,D,20200215,000000,2.418
PHOR,D,20200218,000000,2.423
PHOR,D,20200219,000000,2.427
PHOR,D,20200220,000000,2.427
PHOR,D,20200221,000000,2.433
PHOR,D,20200222,000000,2.418
PHOR,D,20200226,000000,2.395
PHOR,D,20200227,000000,2.396
PHOR,D,20200228,000000,2.356
PHOR,D,20200229,000000,2.317
PHOR,D,20200303,000000,2.257
PHOR,D,20200304,000000,2.262
PHOR,D,20200305,000000,2.292
PHOR,D,20200306,000000,2.325
PHOR,D,20200307,000000,2.267
PHOR,D,20200311,000000,2.347
PHOR,D,20200312,000000,2.325
PHOR,D,20200313,000000,2.172
PHOR,D,20200314,000000,2.099
PHOR,D,20200317,000000,2.156
PHOR,D,20200318,000000,2.236
PHOR,D,20200319,000000,2.284
PHOR,D,20200320,000000,2.314
PHOR,D,20200321,000000,2.311
PHOR,D,20200324,000000,2.360
PHOR,D,20200325,000000,2.419
PHOR,D,20200326,000000,2.407
PHOR,D,20200327,000000,2.449
PHOR,D,20200328,000000,2.408
PHOR,D,20200331,000000,2.473
PHOR,D,20200401,000000,2.480
PHOR,D,20200402,000000,2.431
PHOR,D,20200403,000000,2.439
PHOR,D,20200404,000000,2.430
PHOR,D,20200407,000000,2.443
PHOR,D,20200408,000000,2.480
PHOR,D,20200409,000000,2.560
PHOR,D,20200410,000000,2.575
PHOR,D,20200411,000000,2.542
PHOR,D,20200414,000000,2.547
PHOR,D,20200415,000000,2.587
PHOR,D,20200416,000000,2.615
PHOR,D,20200417,000000,2.600
PHOR,D,20200418,000000,2.627
PHOR,D,20200421,000000,2.644
PHOR,D,20200422,000000,2.692
PHOR,D,20200423,000000,2.765
PHOR,D,20200424,000000,2.705
PHOR,D,20200425,000000,2.719
PHOR,D,20200428,000000,2.735
PHOR,D,20200429,000000,2.790
PHOR,D,20200430,000000,2.761
PHOR,D,20200501,000000,2.701
PHOR,D,20200505,000000,2.765
PHOR,D,20200506,000000,2.742
PHOR,D,20200507,000000,2.757
PHOR,D,20200508,000000,2.725
PHOR,D,20200509,000000,2.730
PHOR,D,20200513,000000,2.745
PHOR,D,20200514,000000,2.752
PHOR,D,20200515,000000,2.733
PHOR,D,20200516,000000,2.756
PHOR,D,20200519,000000,2.734
PHOR,D,20200520,000000,2.744
PHOR,D,20200521,000000,2.774
PHOR,D,20200522,000000,2.738
PHOR,D,20200523,000000,2.789
PHOR,D,20200526,000000,2.796
PHOR,D,20200527,000000,2.800
PHOR,D,20200528,000000,2.812
PHOR,D,20200529,000000,2.875
PHOR,D,20200530,000000,2.788
PHOR,D,20200602,000000,2.802
PHOR,D,20200603,000000,2.819
PHOR,D,20200604,000000,2.839
PHOR,D,20200605,000000,2.816
