<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
PLZL,D,20150106,000000,1.000.5
PLZL,D,20150107,000000,1.047
PLZL,D,20150109,000000,1.060
PLZL,D,20150110,000000,1.050
PLZL,D,20150113,000000,1.020
PLZL,D,20150114,000000,1.035.5
PLZL,D,20150115,000000,1.024
PLZL,D,20150116,000000,1.045
PLZL,D,20150117,000000,1.076
PLZL,D,20150120,000000,1.090
PLZL,D,20150121,000000,1.119
PLZL,D,20150122,000000,1.120
PLZL,D,20150123,000000,1.119
PLZL,D,20150124,000000,1.070
PLZL,D,20150127,000000,1.051
PLZL,D,20150128,000000,1.040
PLZL,D,20150129,000000,1.055
PLZL,D,20150130,000000,1.055
PLZL,D,20150131,000000,1.049.5
PLZL,D,20150203,000000,1.046.5
PLZL,D,20150204,000000,1.054
PLZL,D,20150205,000000,1.052
PLZL,D,20150206,000000,1.061
PLZL,D,20150207,000000,1.060
PLZL,D,20150210,000000,1.069
PLZL,D,20150211,000000,1.063
PLZL,D,20150212,000000,1.136
PLZL,D,20150213,000000,1.100.5
PLZL,D,20150214,000000,1.112
PLZL,D,20150217,000000,1.150
PLZL,D,20150218,000000,1.130.5
PLZL,D,20150219,000000,1.118.5
PLZL,D,20150220,000000,1.110
PLZL,D,20150221,000000,1.096
PLZL,D,20150225,000000,1.100
PLZL,D,20150226,000000,1.105
PLZL,D,20150227,000000,1.111.5
PLZL,D,20150228,000000,1.110
PLZL,D,20150303,000000,1.130
PLZL,D,20150304,000000,1.138
PLZL,D,20150305,000000,1.134.5
PLZL,D,20150306,000000,1.138.5
PLZL,D,20150307,000000,1.125.5
PLZL,D,20150311,000000,1.116.5
PLZL,D,20150312,000000,1.118
PLZL,D,20150313,000000,1.125.5
PLZL,D,20150314,000000,1.116
PLZL,D,20150317,000000,1.065
PLZL,D,20150318,000000,1.000
PLZL,D,20150319,000000,998
PLZL,D,20150320,000000,1.045
PLZL,D,20150321,000000,1.042.5
PLZL,D,20150324,000000,1.008
PLZL,D,20150325,000000,1.013
PLZL,D,20150326,000000,1.001.5
PLZL,D,20150327,000000,1.002
PLZL,D,20150328,000000,1.066
PLZL,D,20150331,000000,1.028
PLZL,D,20150401,000000,1.016.5
PLZL,D,20150402,000000,1.028
PLZL,D,20150403,000000,1.011
PLZL,D,20150404,000000,1.013
PLZL,D,20150407,000000,1.016.5
PLZL,D,20150408,000000,1.027.5
PLZL,D,20150409,000000,1.022
PLZL,D,20150410,000000,1.025
PLZL,D,20150411,000000,1.035
PLZL,D,20150414,000000,1.059.5
PLZL,D,20150415,000000,1.045
PLZL,D,20150416,000000,1.090
PLZL,D,20150417,000000,1.120.5
PLZL,D,20150418,000000,1.143
PLZL,D,20150421,000000,1.175
PLZL,D,20150422,000000,1.220
PLZL,D,20150423,000000,1.316
PLZL,D,20150424,000000,1.270.5
PLZL,D,20150425,000000,1.324.5
PLZL,D,20150428,000000,1.400
PLZL,D,20150429,000000,1.501.5
PLZL,D,20150430,000000,1.515
PLZL,D,20150501,000000,1.545
PLZL,D,20150506,000000,1.587.5
PLZL,D,20150507,000000,1.610
PLZL,D,20150508,000000,1.665.5
PLZL,D,20150509,000000,1.691
PLZL,D,20150513,000000,1.590
PLZL,D,20150514,000000,1.605.5
PLZL,D,20150515,000000,1.585
PLZL,D,20150516,000000,1.600
PLZL,D,20150519,000000,1.613.5
PLZL,D,20150520,000000,1.621.5
PLZL,D,20150521,000000,1.637
PLZL,D,20150522,000000,1.612
PLZL,D,20150523,000000,1.612
PLZL,D,20150526,000000,1.607.5
PLZL,D,20150527,000000,1.606.5
PLZL,D,20150528,000000,1.601.5
PLZL,D,20150529,000000,1.591.5
PLZL,D,20150530,000000,1.575
PLZL,D,20150602,000000,1.567
PLZL,D,20150603,000000,1.515
PLZL,D,20150604,000000,1.510
PLZL,D,20150605,000000,1.483
PLZL,D,20150606,000000,1.475.5
PLZL,D,20150609,000000,1.510
PLZL,D,20150610,000000,1.540
PLZL,D,20150611,000000,1.640
PLZL,D,20150612,000000,1.712
PLZL,D,20150616,000000,1.798.5
PLZL,D,20150617,000000,1.804.5
PLZL,D,20150618,000000,1.805
PLZL,D,20150619,000000,1.812
PLZL,D,20150620,000000,1.806
PLZL,D,20150623,000000,1.804.5
PLZL,D,20150624,000000,1.800.5
PLZL,D,20150625,000000,1.804
PLZL,D,20150626,000000,1.800
PLZL,D,20150627,000000,1.795
PLZL,D,20150630,000000,1.801.5
PLZL,D,20150701,000000,1.710
PLZL,D,20150702,000000,1.710
PLZL,D,20150703,000000,1.730
PLZL,D,20150704,000000,1.690
PLZL,D,20150707,000000,1.710
PLZL,D,20150708,000000,1.706
PLZL,D,20150709,000000,1.739.5
PLZL,D,20150710,000000,1.786
PLZL,D,20150711,000000,1.801
PLZL,D,20150714,000000,1.783
PLZL,D,20150715,000000,1.821
PLZL,D,20150716,000000,1.824
PLZL,D,20150717,000000,1.810
PLZL,D,20150718,000000,1.830
PLZL,D,20150721,000000,1.807
PLZL,D,20150722,000000,1.810.5
PLZL,D,20150723,000000,1.810.5
