<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
POSI,D,20211218,000000,994.8
POSI,D,20211221,000000,980
POSI,D,20211222,000000,922.4
POSI,D,20211223,000000,915
POSI,D,20211224,000000,904
POSI,D,20211225,000000,896.2
POSI,D,20211228,000000,875.8
POSI,D,20211229,000000,876
POSI,D,20211230,000000,859.4
POSI,D,20211231,000000,840
POSI,D,20220104,000000,849.4
POSI,D,20220105,000000,844
POSI,D,20220106,000000,838
POSI,D,20220107,000000,830
POSI,D,20220111,000000,784
POSI,D,20220112,000000,779.6
POSI,D,20220113,000000,800
POSI,D,20220114,000000,775.4
POSI,D,20220115,000000,788.8
POSI,D,20220118,000000,781.8
POSI,D,20220119,000000,743
POSI,D,20220120,000000,754.8
POSI,D,20220121,000000,757
POSI,D,20220122,000000,731.4
POSI,D,20220125,000000,643
POSI,D,20220126,000000,616
POSI,D,20220127,000000,618
POSI,D,20220128,000000,700
POSI,D,20220129,000000,728
POSI,D,20220201,000000,714
POSI,D,20220202,000000,700.2
POSI,D,20220203,000000,684.6
POSI,D,20220204,000000,667.8
POSI,D,20220205,000000,684.6
POSI,D,20220208,000000,688.2
POSI,D,20220209,000000,698.8
POSI,D,20220210,000000,706
POSI,D,20220211,000000,700
POSI,D,20220212,000000,689.8
POSI,D,20220215,000000,685.6
POSI,D,20220216,000000,700
POSI,D,20220217,000000,709.8
POSI,D,20220218,000000,688.8
POSI,D,20220219,000000,680
POSI,D,20220222,000000,619.2
POSI,D,20220223,000000,620
POSI,D,20220225,000000,477.4
POSI,D,20220226,000000,560.4
POSI,D,20220329,000000,783.6
POSI,D,20220330,000000,1095.8
POSI,D,20220331,000000,970.6
POSI,D,20220401,000000,996
POSI,D,20220402,000000,1002.2
POSI,D,20220405,000000,1175
POSI,D,20220406,000000,1187
POSI,D,20220407,000000,1104
POSI,D,20220408,000000,1063.2
POSI,D,20220409,000000,1056.6
POSI,D,20220412,000000,1025
POSI,D,20220413,000000,955
POSI,D,20220414,000000,995
POSI,D,20220415,000000,958
POSI,D,20220416,000000,944
POSI,D,20220419,000000,947.4
POSI,D,20220420,000000,925.2
POSI,D,20220421,000000,910
POSI,D,20220422,000000,858.4
POSI,D,20220423,000000,898.8
POSI,D,20220426,000000,860
POSI,D,20220427,000000,881.8
POSI,D,20220428,000000,917
POSI,D,20220429,000000,912.6
POSI,D,20220430,000000,917
POSI,D,20220505,000000,926
POSI,D,20220506,000000,935.8
POSI,D,20220507,000000,926
POSI,D,20220512,000000,950
POSI,D,20220513,000000,965.6
POSI,D,20220514,000000,949
POSI,D,20220517,000000,960
POSI,D,20220518,000000,963.6
POSI,D,20220519,000000,955
POSI,D,20220520,000000,951
POSI,D,20220521,000000,920
POSI,D,20220524,000000,912.2
POSI,D,20220525,000000,908
POSI,D,20220526,000000,913
POSI,D,20220527,000000,904
POSI,D,20220528,000000,905.6
POSI,D,20220531,000000,900.6
POSI,D,20220601,000000,888
POSI,D,20220602,000000,890.4
POSI,D,20220603,000000,882.2
POSI,D,20220604,000000,879.8
POSI,D,20220607,000000,860
POSI,D,20220608,000000,850
POSI,D,20220609,000000,861.8
POSI,D,20220610,000000,859
POSI,D,20220611,000000,847
POSI,D,20220615,000000,848.6
POSI,D,20220616,000000,849.6
POSI,D,20220617,000000,846
POSI,D,20220618,000000,844.4
POSI,D,20220621,000000,855
POSI,D,20220622,000000,876
POSI,D,20220623,000000,871.4
POSI,D,20220624,000000,894.8
POSI,D,20220625,000000,914
POSI,D,20220628,000000,891.6
POSI,D,20220629,000000,899.2
POSI,D,20220630,000000,883
POSI,D,20220701,000000,868
POSI,D,20220702,000000,890
POSI,D,20220705,000000,868.4
POSI,D,20220706,000000,877
POSI,D,20220707,000000,865
POSI,D,20220708,000000,864
POSI,D,20220709,000000,869.6
POSI,D,20220712,000000,862.2
POSI,D,20220713,000000,850
POSI,D,20220714,000000,863.6
POSI,D,20220715,000000,860
POSI,D,20220716,000000,870
POSI,D,20220719,000000,863.8
POSI,D,20220720,000000,870
POSI,D,20220721,000000,886.8
POSI,D,20220722,000000,895
POSI,D,20220723,000000,886.4
POSI,D,20220726,000000,888.8
POSI,D,20220727,000000,910
POSI,D,20220728,000000,934.8
POSI,D,20220729,000000,968.2
POSI,D,20220730,000000,990
POSI,D,20220802,000000,988
POSI,D,20220803,000000,1040.6
POSI,D,20220804,000000,1057
POSI,D,20220805,000000,1030
POSI,D,20220806,000000,1009.6
POSI,D,20220809,000000,1040.2
POSI,D,20220810,000000,1058
POSI,D,20220811,000000,1161.8
POSI,D,20220812,000000,1170
POSI,D,20220813,000000,1197
POSI,D,20220816,000000,1129
POSI,D,20220817,000000,1151.6
POSI,D,20220818,000000,1169.8
POSI,D,20220819,000000,1159.4
POSI,D,20220820,000000,1144
POSI,D,20220823,000000,1142
POSI,D,20220824,000000,1156.8
POSI,D,20220825,000000,1150
POSI,D,20220826,000000,1152
POSI,D,20220827,000000,1152
POSI,D,20220830,000000,1158.4
POSI,D,20220831,000000,1150
POSI,D,20220901,000000,1165
POSI,D,20220902,000000,1220
POSI,D,20220903,000000,1220
POSI,D,20220906,000000,1273
POSI,D,20220907,000000,1295.6
POSI,D,20220908,000000,1347
POSI,D,20220909,000000,1328
POSI,D,20220910,000000,1325
POSI,D,20220913,000000,1323.2
POSI,D,20220914,000000,1290.2
POSI,D,20220915,000000,1278
POSI,D,20220916,000000,1315
POSI,D,20220917,000000,1296
POSI,D,20220920,000000,1293
POSI,D,20220921,000000,1208.8
POSI,D,20220922,000000,1195.2
POSI,D,20220923,000000,1179.4
POSI,D,20220924,000000,1104.8
POSI,D,20220927,000000,1023.8
POSI,D,20220928,000000,1061.8
POSI,D,20220929,000000,1051
POSI,D,20220930,000000,1028
POSI,D,20221001,000000,1012
POSI,D,20221004,000000,1081.4
POSI,D,20221005,000000,1065.8
POSI,D,20221006,000000,1052.8
POSI,D,20221007,000000,1060
POSI,D,20221008,000000,1029
POSI,D,20221011,000000,1036.6
POSI,D,20221012,000000,1066.4
POSI,D,20221013,000000,1064.4
POSI,D,20221014,000000,1052.2
POSI,D,20221015,000000,1049
POSI,D,20221018,000000,1094.2
POSI,D,20221019,000000,1121.4
POSI,D,20221020,000000,1084.2
POSI,D,20221021,000000,1090
POSI,D,20221022,000000,1107.2
POSI,D,20221025,000000,1132
POSI,D,20221026,000000,1170
POSI,D,20221027,000000,1191.6
POSI,D,20221028,000000,1226.6
POSI,D,20221029,000000,1230.4
POSI,D,20221101,000000,1275
POSI,D,20221102,000000,1293
POSI,D,20221103,000000,1265
POSI,D,20221104,000000,1240
POSI,D,20221108,000000,1266.2
POSI,D,20221109,000000,1267
POSI,D,20221110,000000,1248.4
POSI,D,20221111,000000,1263
POSI,D,20221112,000000,1245.6
POSI,D,20221115,000000,1258.8
POSI,D,20221116,000000,1249.8
POSI,D,20221117,000000,1253.6
POSI,D,20221118,000000,1273.2
POSI,D,20221119,000000,1272.8
POSI,D,20221122,000000,1290
POSI,D,20221123,000000,1317.6
POSI,D,20221124,000000,1308.2
POSI,D,20221125,000000,1302.2
POSI,D,20221126,000000,1280.4
POSI,D,20221129,000000,1290.2
POSI,D,20221130,000000,1311.8
POSI,D,20221201,000000,1308.2
POSI,D,20221202,000000,1307
POSI,D,20221203,000000,1299.8
POSI,D,20221206,000000,1298.6
POSI,D,20221207,000000,1294.6
POSI,D,20221208,000000,1290.8
POSI,D,20221209,000000,1280.8
POSI,D,20221210,000000,1281
POSI,D,20221213,000000,1265
POSI,D,20221214,000000,1246.2
POSI,D,20221215,000000,1243
POSI,D,20221216,000000,1220.2
POSI,D,20221217,000000,1224.2
POSI,D,20221220,000000,1199.4
POSI,D,20221221,000000,1245
POSI,D,20221222,000000,1228.4
POSI,D,20221223,000000,1240
POSI,D,20221224,000000,1243.8
POSI,D,20221227,000000,1240.4
POSI,D,20221228,000000,1241
POSI,D,20221229,000000,1238
POSI,D,20221230,000000,1253.4
POSI,D,20221231,000000,1259.4
POSI,D,20230104,000000,1288.6
POSI,D,20230105,000000,1288.4
POSI,D,20230106,000000,1276.6
POSI,D,20230107,000000,1259.6
POSI,D,20230110,000000,1286.8
POSI,D,20230111,000000,1281.4
POSI,D,20230112,000000,1309.8
POSI,D,20230113,000000,1348.2
POSI,D,20230114,000000,1347.2
POSI,D,20230117,000000,1375
POSI,D,20230118,000000,1337.2
POSI,D,20230119,000000,1360.6
POSI,D,20230120,000000,1350.8
POSI,D,20230121,000000,1350.8
POSI,D,20230124,000000,1374.4
POSI,D,20230125,000000,1397
POSI,D,20230126,000000,1450
POSI,D,20230127,000000,1493
POSI,D,20230128,000000,1473
POSI,D,20230131,000000,1563.6
POSI,D,20230201,000000,1610
POSI,D,20230202,000000,1595.6
POSI,D,20230203,000000,1593.6
POSI,D,20230204,000000,1579
POSI,D,20230207,000000,1605
POSI,D,20230208,000000,1602.6
POSI,D,20230209,000000,1581.2
POSI,D,20230210,000000,1564.2
POSI,D,20230211,000000,1545
POSI,D,20230214,000000,1563.8
POSI,D,20230215,000000,1541.6
POSI,D,20230216,000000,1463.4
POSI,D,20230217,000000,1514.2
POSI,D,20230218,000000,1514.2
POSI,D,20230221,000000,1509
POSI,D,20230222,000000,1594.8
POSI,D,20230223,000000,1585.2
POSI,D,20230225,000000,1592.6
POSI,D,20230228,000000,1605.4
POSI,D,20230301,000000,1623.2
POSI,D,20230302,000000,1639.2
POSI,D,20230303,000000,1613.4
POSI,D,20230304,000000,1628.6
POSI,D,20230307,000000,1680.6
POSI,D,20230308,000000,1672
POSI,D,20230310,000000,1682.4
POSI,D,20230311,000000,1678.8
POSI,D,20230314,000000,1711
POSI,D,20230315,000000,1728.2
POSI,D,20230316,000000,1697
POSI,D,20230317,000000,1682.6
POSI,D,20230318,000000,1671.2
POSI,D,20230321,000000,1679.6
POSI,D,20230322,000000,1696
POSI,D,20230323,000000,1703.6
POSI,D,20230324,000000,1703
POSI,D,20230325,000000,1702.8
POSI,D,20230328,000000,1708
POSI,D,20230329,000000,1703.2
POSI,D,20230330,000000,1709.8
POSI,D,20230331,000000,1716
POSI,D,20230401,000000,1716.8
POSI,D,20230404,000000,1746.8
POSI,D,20230405,000000,1727.2
POSI,D,20230406,000000,1737.2
POSI,D,20230407,000000,1727.8
POSI,D,20230408,000000,1716.6
POSI,D,20230411,000000,1719.6
POSI,D,20230412,000000,1724.8
POSI,D,20230413,000000,1729.2
POSI,D,20230414,000000,1713
POSI,D,20230415,000000,1711.2
POSI,D,20230418,000000,1709.4
POSI,D,20230419,000000,1708.4
POSI,D,20230420,000000,1704.8
POSI,D,20230421,000000,1699
POSI,D,20230422,000000,1692.4
POSI,D,20230425,000000,1700
POSI,D,20230426,000000,1705.6
POSI,D,20230427,000000,1718
POSI,D,20230428,000000,1713
POSI,D,20230429,000000,1710.8
POSI,D,20230503,000000,1674.6
POSI,D,20230504,000000,1639.8
POSI,D,20230505,000000,1697.6
POSI,D,20230506,000000,1670.4
POSI,D,20230509,000000,1662
POSI,D,20230511,000000,1693
POSI,D,20230512,000000,1682.2
POSI,D,20230513,000000,1697
POSI,D,20230516,000000,1707.4
POSI,D,20230517,000000,1704
POSI,D,20230518,000000,1703.6
POSI,D,20230519,000000,1709.8
POSI,D,20230520,000000,1706.6
POSI,D,20230523,000000,1693
POSI,D,20230524,000000,1698.6
POSI,D,20230525,000000,1718
POSI,D,20230526,000000,1709.2
POSI,D,20230527,000000,1719.6
POSI,D,20230530,000000,1751.4
POSI,D,20230531,000000,1798.4
POSI,D,20230601,000000,1861.8
POSI,D,20230602,000000,1877.6
POSI,D,20230603,000000,1846.6
POSI,D,20230606,000000,1814.2
POSI,D,20230607,000000,1842
POSI,D,20230608,000000,1893.2
POSI,D,20230609,000000,1983.2
POSI,D,20230610,000000,1954.8
POSI,D,20230614,000000,2015.6
POSI,D,20230615,000000,2019.6
POSI,D,20230616,000000,2030.2
POSI,D,20230617,000000,2007.4
POSI,D,20230620,000000,1988.2
POSI,D,20230621,000000,1994.8
POSI,D,20230622,000000,2014.8
POSI,D,20230623,000000,1999.8
POSI,D,20230624,000000,1961.4
POSI,D,20230627,000000,1991
POSI,D,20230628,000000,1985
POSI,D,20230629,000000,1978.8
POSI,D,20230630,000000,1990
POSI,D,20230701,000000,1998.6
POSI,D,20230704,000000,1996.2
POSI,D,20230705,000000,1977.2
POSI,D,20230706,000000,1975.8
POSI,D,20230707,000000,1959
POSI,D,20230708,000000,1976
POSI,D,20230711,000000,1976.6
POSI,D,20230712,000000,2019.6
