<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,D,20150106,000000,196.75
ROSN,D,20150107,000000,200.3
ROSN,D,20150109,000000,214.95
ROSN,D,20150110,000000,206.6
ROSN,D,20150113,000000,204
ROSN,D,20150114,000000,204.9
ROSN,D,20150115,000000,209.5
ROSN,D,20150116,000000,219.9
ROSN,D,20150117,000000,226
ROSN,D,20150120,000000,225.3
ROSN,D,20150121,000000,227
ROSN,D,20150122,000000,234.6
ROSN,D,20150123,000000,241.8
ROSN,D,20150124,000000,243.9
ROSN,D,20150127,000000,237.25
ROSN,D,20150128,000000,239
ROSN,D,20150129,000000,231.5
ROSN,D,20150130,000000,226.55
ROSN,D,20150131,000000,229.35
ROSN,D,20150203,000000,230.55
ROSN,D,20150204,000000,238.35
ROSN,D,20150205,000000,239
ROSN,D,20150206,000000,251
ROSN,D,20150207,000000,261
ROSN,D,20150210,000000,257
ROSN,D,20150211,000000,257.05
ROSN,D,20150212,000000,265.35
ROSN,D,20150213,000000,274.05
ROSN,D,20150214,000000,290.2
ROSN,D,20150217,000000,279.7
ROSN,D,20150218,000000,275.95
ROSN,D,20150219,000000,281.45
ROSN,D,20150220,000000,275.75
ROSN,D,20150221,000000,274
ROSN,D,20150225,000000,268.65
ROSN,D,20150226,000000,263.45
ROSN,D,20150227,000000,263.85
ROSN,D,20150228,000000,265.85
ROSN,D,20150303,000000,269.7
ROSN,D,20150304,000000,277
ROSN,D,20150305,000000,264.95
ROSN,D,20150306,000000,269.6
ROSN,D,20150307,000000,263.5
ROSN,D,20150311,000000,253
ROSN,D,20150312,000000,251.45
ROSN,D,20150313,000000,247.7
ROSN,D,20150314,000000,241.3
ROSN,D,20150317,000000,236.7
ROSN,D,20150318,000000,237
ROSN,D,20150319,000000,243.4
ROSN,D,20150320,000000,237.05
ROSN,D,20150321,000000,239.3
ROSN,D,20150324,000000,239.95
ROSN,D,20150325,000000,244
ROSN,D,20150326,000000,242.7
ROSN,D,20150327,000000,237.1
ROSN,D,20150328,000000,237.25
ROSN,D,20150331,000000,247.5
ROSN,D,20150401,000000,252.15
ROSN,D,20150402,000000,261.35
ROSN,D,20150403,000000,262.55
ROSN,D,20150404,000000,263.7
ROSN,D,20150407,000000,266.15
ROSN,D,20150408,000000,264.1
ROSN,D,20150409,000000,263.7
ROSN,D,20150410,000000,258.55
ROSN,D,20150411,000000,256.95
ROSN,D,20150414,000000,255.5
ROSN,D,20150415,000000,249.5
ROSN,D,20150416,000000,254.4
ROSN,D,20150417,000000,259.25
ROSN,D,20150418,000000,256
ROSN,D,20150421,000000,260.5
ROSN,D,20150422,000000,259.7
ROSN,D,20150423,000000,252.4
ROSN,D,20150424,000000,249.1
ROSN,D,20150425,000000,258.2
ROSN,D,20150428,000000,256
ROSN,D,20150429,000000,256.55
ROSN,D,20150430,000000,255
ROSN,D,20150501,000000,256.5
ROSN,D,20150506,000000,261.5
ROSN,D,20150507,000000,259.9
ROSN,D,20150508,000000,255.25
ROSN,D,20150509,000000,259.45
ROSN,D,20150513,000000,258.35
ROSN,D,20150514,000000,252.45
ROSN,D,20150515,000000,255.7
ROSN,D,20150516,000000,257.45
ROSN,D,20150519,000000,256.1
ROSN,D,20150520,000000,252.25
ROSN,D,20150521,000000,245.9
ROSN,D,20150522,000000,245.65
ROSN,D,20150523,000000,249.9
ROSN,D,20150526,000000,244.6
ROSN,D,20150527,000000,245.15
ROSN,D,20150528,000000,247.5
ROSN,D,20150529,000000,245.8
ROSN,D,20150530,000000,234
ROSN,D,20150602,000000,236
ROSN,D,20150603,000000,237.5
ROSN,D,20150604,000000,233.1
ROSN,D,20150605,000000,236.25
ROSN,D,20150606,000000,236.75
ROSN,D,20150609,000000,239.6
ROSN,D,20150610,000000,245
ROSN,D,20150611,000000,246
ROSN,D,20150612,000000,245.2
ROSN,D,20150616,000000,243.4
ROSN,D,20150617,000000,245.7
ROSN,D,20150618,000000,245.9
ROSN,D,20150619,000000,245
ROSN,D,20150620,000000,250
ROSN,D,20150623,000000,251.6
ROSN,D,20150624,000000,250
ROSN,D,20150625,000000,246.05
ROSN,D,20150626,000000,238.55
ROSN,D,20150627,000000,229.9
ROSN,D,20150630,000000,229.65
ROSN,D,20150701,000000,232
ROSN,D,20150702,000000,232
ROSN,D,20150703,000000,231.2
ROSN,D,20150704,000000,228.4
ROSN,D,20150707,000000,222.8
ROSN,D,20150708,000000,220.5
ROSN,D,20150709,000000,219
ROSN,D,20150710,000000,223.6
ROSN,D,20150711,000000,227
ROSN,D,20150714,000000,231.5
ROSN,D,20150715,000000,228.8
ROSN,D,20150716,000000,230.5
ROSN,D,20150717,000000,233.9
ROSN,D,20150718,000000,232
ROSN,D,20150721,000000,227.2
ROSN,D,20150722,000000,227.05
ROSN,D,20150723,000000,226.95
ROSN,D,20150724,000000,223.2
ROSN,D,20150725,000000,220.6
ROSN,D,20150728,000000,220.5
ROSN,D,20150729,000000,222.9
ROSN,D,20150730,000000,229
ROSN,D,20150731,000000,230.1
ROSN,D,20150801,000000,236.7
ROSN,D,20150804,000000,233.05
ROSN,D,20150805,000000,233.05
ROSN,D,20150806,000000,236.15
ROSN,D,20150807,000000,233.65
ROSN,D,20150808,000000,235.55
ROSN,D,20150811,000000,236.85
ROSN,D,20150812,000000,235.5
ROSN,D,20150813,000000,240
ROSN,D,20150814,000000,243.9
ROSN,D,20150815,000000,246.6
ROSN,D,20150818,000000,245.15
ROSN,D,20150819,000000,243.25
ROSN,D,20150820,000000,241.05
ROSN,D,20150821,000000,240.7
ROSN,D,20150822,000000,235.25
ROSN,D,20150825,000000,227.25
ROSN,D,20150826,000000,235.4
ROSN,D,20150827,000000,240
ROSN,D,20150828,000000,245.5
ROSN,D,20150829,000000,246.35
ROSN,D,20150901,000000,245.1
ROSN,D,20150902,000000,242.7
