<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RTKM,D,20150106,000000,91.44
RTKM,D,20150107,000000,95.28
RTKM,D,20150109,000000,90.1
RTKM,D,20150110,000000,89.03
RTKM,D,20150113,000000,88.8
RTKM,D,20150114,000000,87.24
RTKM,D,20150115,000000,86.73
RTKM,D,20150116,000000,87.73
RTKM,D,20150117,000000,88.05
RTKM,D,20150120,000000,88
RTKM,D,20150121,000000,87.3
RTKM,D,20150122,000000,87.5
RTKM,D,20150123,000000,87.6
RTKM,D,20150124,000000,90.7
RTKM,D,20150127,000000,87.11
RTKM,D,20150128,000000,86.5
RTKM,D,20150129,000000,86.7
RTKM,D,20150130,000000,85.5
RTKM,D,20150131,000000,86.61
RTKM,D,20150203,000000,84.5
RTKM,D,20150204,000000,86
RTKM,D,20150205,000000,85.6
RTKM,D,20150206,000000,87.8
RTKM,D,20150207,000000,89.8
RTKM,D,20150210,000000,91
RTKM,D,20150211,000000,90.51
RTKM,D,20150212,000000,91.5
RTKM,D,20150213,000000,90.1
RTKM,D,20150214,000000,91.75
RTKM,D,20150217,000000,91.1
RTKM,D,20150218,000000,91
RTKM,D,20150219,000000,91.78
RTKM,D,20150220,000000,92
RTKM,D,20150221,000000,91.03
RTKM,D,20150225,000000,88.75
RTKM,D,20150226,000000,86.6
RTKM,D,20150227,000000,89.8
RTKM,D,20150228,000000,91
RTKM,D,20150303,000000,90.7
RTKM,D,20150304,000000,90.32
RTKM,D,20150305,000000,90
RTKM,D,20150306,000000,88.5
RTKM,D,20150307,000000,89.55
RTKM,D,20150311,000000,87
RTKM,D,20150312,000000,86.49
RTKM,D,20150313,000000,84.06
RTKM,D,20150314,000000,83.06
RTKM,D,20150317,000000,82
RTKM,D,20150318,000000,82.13
RTKM,D,20150319,000000,81.25
RTKM,D,20150320,000000,81.3
RTKM,D,20150321,000000,77.5
RTKM,D,20150324,000000,76
RTKM,D,20150325,000000,82.98
RTKM,D,20150326,000000,81.71
RTKM,D,20150327,000000,79.5
RTKM,D,20150328,000000,78.49
RTKM,D,20150331,000000,78.5
RTKM,D,20150401,000000,79
RTKM,D,20150402,000000,80
RTKM,D,20150403,000000,80.42
RTKM,D,20150404,000000,80.7
RTKM,D,20150407,000000,83.19
RTKM,D,20150408,000000,84.33
RTKM,D,20150409,000000,84.02
RTKM,D,20150410,000000,80.25
RTKM,D,20150411,000000,81.77
RTKM,D,20150414,000000,82.6
RTKM,D,20150415,000000,83.15
RTKM,D,20150416,000000,82.58
RTKM,D,20150417,000000,84.3
RTKM,D,20150418,000000,83
RTKM,D,20150421,000000,82.61
RTKM,D,20150422,000000,83
RTKM,D,20150423,000000,81.75
RTKM,D,20150424,000000,81.4
RTKM,D,20150425,000000,81.68
RTKM,D,20150428,000000,80.95
RTKM,D,20150429,000000,79.7
RTKM,D,20150430,000000,78.95
RTKM,D,20150501,000000,79.25
RTKM,D,20150506,000000,80.8
RTKM,D,20150507,000000,80.92
RTKM,D,20150508,000000,79.97
RTKM,D,20150509,000000,79.9
RTKM,D,20150513,000000,81.5
RTKM,D,20150514,000000,79.71
RTKM,D,20150515,000000,79.74
RTKM,D,20150516,000000,79.95
RTKM,D,20150519,000000,80.5
RTKM,D,20150520,000000,80.74
RTKM,D,20150521,000000,80.25
RTKM,D,20150522,000000,80.4
RTKM,D,20150523,000000,80.4
RTKM,D,20150526,000000,80.19
RTKM,D,20150527,000000,79.63
RTKM,D,20150528,000000,80
RTKM,D,20150529,000000,79.43
RTKM,D,20150530,000000,80.95
RTKM,D,20150602,000000,81.9
RTKM,D,20150603,000000,83.55
RTKM,D,20150604,000000,84.22
RTKM,D,20150605,000000,85.01
RTKM,D,20150606,000000,88.23
RTKM,D,20150609,000000,89.8
RTKM,D,20150610,000000,95.25
RTKM,D,20150611,000000,97.1
RTKM,D,20150612,000000,93.39
RTKM,D,20150616,000000,92.48
RTKM,D,20150617,000000,92
RTKM,D,20150618,000000,90.33
RTKM,D,20150619,000000,92.7
RTKM,D,20150620,000000,91
RTKM,D,20150623,000000,91.01
RTKM,D,20150624,000000,89.55
RTKM,D,20150625,000000,90
RTKM,D,20150626,000000,89.39
RTKM,D,20150627,000000,91
RTKM,D,20150630,000000,90.65
RTKM,D,20150701,000000,90.7
RTKM,D,20150702,000000,90.21
RTKM,D,20150703,000000,87.02
RTKM,D,20150704,000000,87.7
RTKM,D,20150707,000000,87.3
RTKM,D,20150708,000000,86.79
RTKM,D,20150709,000000,85.7
RTKM,D,20150710,000000,86.16
RTKM,D,20150711,000000,87
RTKM,D,20150714,000000,87.54
RTKM,D,20150715,000000,86.63
RTKM,D,20150716,000000,86.1
RTKM,D,20150717,000000,85.8
RTKM,D,20150718,000000,85.1
RTKM,D,20150721,000000,83.05
RTKM,D,20150722,000000,82.41
RTKM,D,20150723,000000,82.9
RTKM,D,20150724,000000,83.81
RTKM,D,20150725,000000,82.3
RTKM,D,20150728,000000,82.22
RTKM,D,20150729,000000,81.15
RTKM,D,20150730,000000,81.3
RTKM,D,20150731,000000,82.9
RTKM,D,20150801,000000,84.99
RTKM,D,20150804,000000,83.55
RTKM,D,20150805,000000,84.12
RTKM,D,20150806,000000,85
RTKM,D,20150807,000000,83.49
RTKM,D,20150808,000000,83.81
RTKM,D,20150811,000000,83.8
RTKM,D,20150812,000000,84.55
RTKM,D,20150813,000000,84.08
RTKM,D,20150814,000000,82.86
RTKM,D,20150815,000000,83.12
RTKM,D,20150818,000000,83.26
RTKM,D,20150819,000000,83.3
