<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RUAL,D,20150331,000000,37.34
RUAL,D,20150401,000000,36.79
RUAL,D,20150402,000000,35.825
RUAL,D,20150403,000000,36.45
RUAL,D,20150404,000000,36.72
RUAL,D,20150407,000000,36.8
RUAL,D,20150408,000000,36.66
RUAL,D,20150409,000000,37.49
RUAL,D,20150410,000000,36.55
RUAL,D,20150411,000000,35.38
RUAL,D,20150414,000000,34.79
RUAL,D,20150415,000000,34.49
RUAL,D,20150416,000000,34.7
RUAL,D,20150417,000000,34.6
RUAL,D,20150418,000000,34.54
RUAL,D,20150421,000000,32.845
RUAL,D,20150422,000000,31.98
RUAL,D,20150423,000000,31.99
RUAL,D,20150424,000000,31
RUAL,D,20150425,000000,30.2
RUAL,D,20150428,000000,30.325
RUAL,D,20150429,000000,31.77
RUAL,D,20150430,000000,31.13
RUAL,D,20150501,000000,31.41
RUAL,D,20150506,000000,31.21
RUAL,D,20150507,000000,31.3
RUAL,D,20150508,000000,30.72
RUAL,D,20150509,000000,31.59
RUAL,D,20150513,000000,31
RUAL,D,20150514,000000,30.8
RUAL,D,20150515,000000,31.3
RUAL,D,20150516,000000,31.03
RUAL,D,20150519,000000,30.74
RUAL,D,20150520,000000,30.4
RUAL,D,20150521,000000,29.7
RUAL,D,20150522,000000,29.4
RUAL,D,20150523,000000,28.9
RUAL,D,20150526,000000,29
RUAL,D,20150527,000000,29.05
RUAL,D,20150528,000000,29
RUAL,D,20150529,000000,29.38
RUAL,D,20150530,000000,28.78
RUAL,D,20150602,000000,28.75
RUAL,D,20150603,000000,29
RUAL,D,20150604,000000,28.8
RUAL,D,20150605,000000,29.2
RUAL,D,20150606,000000,29.26
RUAL,D,20150609,000000,30.38
RUAL,D,20150610,000000,30.3
RUAL,D,20150611,000000,30
RUAL,D,20150612,000000,29.86
RUAL,D,20150616,000000,29.55
RUAL,D,20150617,000000,29.47
RUAL,D,20150618,000000,29.21
RUAL,D,20150619,000000,29.31
RUAL,D,20150620,000000,29.99
RUAL,D,20150623,000000,30
RUAL,D,20150624,000000,29.87
RUAL,D,20150625,000000,29.85
RUAL,D,20150626,000000,29.25
RUAL,D,20150627,000000,29.22
RUAL,D,20150630,000000,28.67
RUAL,D,20150701,000000,28.73
RUAL,D,20150702,000000,28.55
RUAL,D,20150703,000000,27.18
RUAL,D,20150704,000000,27.3
RUAL,D,20150707,000000,26.49
RUAL,D,20150708,000000,25.5
RUAL,D,20150709,000000,24.2
RUAL,D,20150710,000000,24.44
RUAL,D,20150711,000000,25.42
RUAL,D,20150714,000000,25.98
RUAL,D,20150715,000000,27.75
RUAL,D,20150716,000000,29.2
RUAL,D,20150717,000000,28.79
RUAL,D,20150718,000000,28.5
RUAL,D,20150721,000000,28.44
RUAL,D,20150722,000000,28.78
RUAL,D,20150723,000000,29
RUAL,D,20150724,000000,28.75
RUAL,D,20150725,000000,29.3
RUAL,D,20150728,000000,28
RUAL,D,20150729,000000,28.39
RUAL,D,20150730,000000,28.47
RUAL,D,20150731,000000,28.15
RUAL,D,20150801,000000,28.5
RUAL,D,20150804,000000,28.88
RUAL,D,20150805,000000,29.26
RUAL,D,20150806,000000,29.45
RUAL,D,20150807,000000,29.44
RUAL,D,20150808,000000,30.09
RUAL,D,20150811,000000,30.19
RUAL,D,20150812,000000,29.95
RUAL,D,20150813,000000,29.8
RUAL,D,20150814,000000,29.3
RUAL,D,20150815,000000,30.75
RUAL,D,20150818,000000,32.85
RUAL,D,20150819,000000,31.77
RUAL,D,20150820,000000,31
