<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBERP,D,20150106,000000,38.59
SBERP,D,20150107,000000,39.5
SBERP,D,20150109,000000,43.75
SBERP,D,20150110,000000,42.9
SBERP,D,20150113,000000,42.41
SBERP,D,20150114,000000,40.82
SBERP,D,20150115,000000,41.5
SBERP,D,20150116,000000,41.7
SBERP,D,20150117,000000,42.03
SBERP,D,20150120,000000,42.09
SBERP,D,20150121,000000,42.24
SBERP,D,20150122,000000,43.29
SBERP,D,20150123,000000,44.8
SBERP,D,20150124,000000,45.94
SBERP,D,20150127,000000,42.88
SBERP,D,20150128,000000,43.8
SBERP,D,20150129,000000,43.15
SBERP,D,20150130,000000,43.39
SBERP,D,20150131,000000,43.84
SBERP,D,20150203,000000,42.7
SBERP,D,20150204,000000,43.23
SBERP,D,20150205,000000,42.51
SBERP,D,20150206,000000,43.5
SBERP,D,20150207,000000,44.7
SBERP,D,20150210,000000,45.6
SBERP,D,20150211,000000,45.28
SBERP,D,20150212,000000,45.93
SBERP,D,20150213,000000,48.68
SBERP,D,20150214,000000,52.77
SBERP,D,20150217,000000,52.7
SBERP,D,20150218,000000,53
SBERP,D,20150219,000000,55.5
SBERP,D,20150220,000000,53.19
SBERP,D,20150221,000000,54.09
SBERP,D,20150225,000000,52.67
SBERP,D,20150226,000000,52.36
SBERP,D,20150227,000000,54.45
SBERP,D,20150228,000000,53.7
SBERP,D,20150303,000000,54.1
SBERP,D,20150304,000000,54.15
SBERP,D,20150305,000000,52.91
SBERP,D,20150306,000000,53.5
SBERP,D,20150307,000000,53.36
SBERP,D,20150311,000000,50.77
SBERP,D,20150312,000000,50.45
SBERP,D,20150313,000000,49.95
SBERP,D,20150314,000000,48.6
SBERP,D,20150317,000000,46.91
SBERP,D,20150318,000000,46.27
SBERP,D,20150319,000000,47
SBERP,D,20150320,000000,46.55
SBERP,D,20150321,000000,47.51
SBERP,D,20150324,000000,46.1
SBERP,D,20150325,000000,45.71
SBERP,D,20150326,000000,45.8
SBERP,D,20150327,000000,44.65
SBERP,D,20150328,000000,44.15
SBERP,D,20150331,000000,46.03
SBERP,D,20150401,000000,45.63
SBERP,D,20150402,000000,47.3
SBERP,D,20150403,000000,48.9
SBERP,D,20150404,000000,48.86
SBERP,D,20150407,000000,50.62
SBERP,D,20150408,000000,51.35
SBERP,D,20150409,000000,50.7
SBERP,D,20150410,000000,51.8
SBERP,D,20150411,000000,51.97
SBERP,D,20150414,000000,53.5
SBERP,D,20150415,000000,53.95
SBERP,D,20150416,000000,54.41
SBERP,D,20150417,000000,54.5
SBERP,D,20150418,000000,50.11
SBERP,D,20150421,000000,49.29
SBERP,D,20150422,000000,50.69
SBERP,D,20150423,000000,49.47
SBERP,D,20150424,000000,50.44
SBERP,D,20150425,000000,50.88
SBERP,D,20150428,000000,51.22
SBERP,D,20150429,000000,50.39
SBERP,D,20150430,000000,49.71
SBERP,D,20150501,000000,50
SBERP,D,20150506,000000,52
SBERP,D,20150507,000000,52.28
SBERP,D,20150508,000000,50.72
SBERP,D,20150509,000000,50.79
SBERP,D,20150513,000000,49.43
SBERP,D,20150514,000000,50
SBERP,D,20150515,000000,50.3
SBERP,D,20150516,000000,50.36
SBERP,D,20150519,000000,50.45
SBERP,D,20150520,000000,49.68
SBERP,D,20150521,000000,48.95
SBERP,D,20150522,000000,49.66
SBERP,D,20150523,000000,49.3
SBERP,D,20150526,000000,49.05
SBERP,D,20150527,000000,48.97
SBERP,D,20150528,000000,47.8
SBERP,D,20150529,000000,47.54
SBERP,D,20150530,000000,48.25
SBERP,D,20150602,000000,48.03
SBERP,D,20150603,000000,49.2
SBERP,D,20150604,000000,48.11
SBERP,D,20150605,000000,47.64
SBERP,D,20150606,000000,47.85
SBERP,D,20150609,000000,47.56
SBERP,D,20150610,000000,47.31
SBERP,D,20150611,000000,48.31
SBERP,D,20150612,000000,48.2
SBERP,D,20150616,000000,49.05
SBERP,D,20150617,000000,50.85
SBERP,D,20150618,000000,49.61
SBERP,D,20150619,000000,49.84
SBERP,D,20150620,000000,49.12
SBERP,D,20150623,000000,49.14
SBERP,D,20150624,000000,49.54
SBERP,D,20150625,000000,50.04
SBERP,D,20150626,000000,49.73
SBERP,D,20150627,000000,49.42
SBERP,D,20150630,000000,47.9
SBERP,D,20150701,000000,48.32
SBERP,D,20150702,000000,47.92
SBERP,D,20150703,000000,47.95
SBERP,D,20150704,000000,48.15
SBERP,D,20150707,000000,46.55
SBERP,D,20150708,000000,47.3
SBERP,D,20150709,000000,46.67
SBERP,D,20150710,000000,48.38
SBERP,D,20150711,000000,49.15
SBERP,D,20150714,000000,49.95
SBERP,D,20150715,000000,50.66
SBERP,D,20150716,000000,50.7
SBERP,D,20150717,000000,50.7
SBERP,D,20150718,000000,51.05
SBERP,D,20150721,000000,50.7
SBERP,D,20150722,000000,51.5
SBERP,D,20150723,000000,51.65
SBERP,D,20150724,000000,50.76
SBERP,D,20150725,000000,49.26
SBERP,D,20150728,000000,48.4
SBERP,D,20150729,000000,48.9
SBERP,D,20150730,000000,50.51
SBERP,D,20150731,000000,50.9
SBERP,D,20150801,000000,51.39
SBERP,D,20150804,000000,50.83
SBERP,D,20150805,000000,51.67
SBERP,D,20150806,000000,52.76
SBERP,D,20150807,000000,51.89
SBERP,D,20150808,000000,53.07
SBERP,D,20150811,000000,53.95
SBERP,D,20150812,000000,52.9
SBERP,D,20150813,000000,53.18
SBERP,D,20150814,000000,53.43
SBERP,D,20150815,000000,54.1
SBERP,D,20150818,000000,53.34
SBERP,D,20150819,000000,53.23
SBERP,D,20150820,000000,51.66
SBERP,D,20150821,000000,52.5
SBERP,D,20150822,000000,50.75
SBERP,D,20150825,000000,49.84
SBERP,D,20150826,000000,51.36
SBERP,D,20150827,000000,52.06
SBERP,D,20150828,000000,53.53
SBERP,D,20150829,000000,53.98
SBERP,D,20150901,000000,54.34
SBERP,D,20150902,000000,53.56
SBERP,D,20150903,000000,54.32
SBERP,D,20150904,000000,53.53
SBERP,D,20150905,000000,53.31
SBERP,D,20150908,000000,53.16
SBERP,D,20150909,000000,53.38
SBERP,D,20150910,000000,53.89
SBERP,D,20150911,000000,53.7
SBERP,D,20150912,000000,53.5
SBERP,D,20150915,000000,54.58
SBERP,D,20150916,000000,54.47
SBERP,D,20150917,000000,56.17
SBERP,D,20150918,000000,56.56
SBERP,D,20150919,000000,56.37
SBERP,D,20150922,000000,56.94
SBERP,D,20150923,000000,56
SBERP,D,20150924,000000,55.6
SBERP,D,20150925,000000,55.18
SBERP,D,20150926,000000,57.25
SBERP,D,20150929,000000,57.44
SBERP,D,20150930,000000,56.87
SBERP,D,20151001,000000,58.05
SBERP,D,20151002,000000,56.88
SBERP,D,20151003,000000,57.25
SBERP,D,20151006,000000,58.4
SBERP,D,20151007,000000,58.95
SBERP,D,20151008,000000,61.8
SBERP,D,20151009,000000,64.24
SBERP,D,20151010,000000,66
SBERP,D,20151013,000000,65.75
SBERP,D,20151014,000000,65.55
SBERP,D,20151015,000000,65.75
SBERP,D,20151016,000000,67.25
SBERP,D,20151017,000000,67.99
SBERP,D,20151020,000000,65.8
SBERP,D,20151021,000000,65.23
SBERP,D,20151022,000000,63.86
SBERP,D,20151023,000000,64.19
SBERP,D,20151024,000000,66.75
SBERP,D,20151027,000000,67.26
SBERP,D,20151028,000000,65.2
SBERP,D,20151029,000000,67.05
SBERP,D,20151030,000000,67.06
SBERP,D,20151031,000000,68.49
SBERP,D,20151103,000000,69.45
SBERP,D,20151104,000000,69.95
SBERP,D,20151106,000000,70.35
SBERP,D,20151107,000000,68.5
SBERP,D,20151110,000000,67.95
SBERP,D,20151111,000000,68.06
SBERP,D,20151112,000000,67.5
SBERP,D,20151113,000000,68.3
SBERP,D,20151114,000000,69.37
SBERP,D,20151117,000000,71.3
SBERP,D,20151118,000000,75
SBERP,D,20151119,000000,76.1
SBERP,D,20151120,000000,76.5
SBERP,D,20151121,000000,77.24
SBERP,D,20151124,000000,79.6
SBERP,D,20151125,000000,76.35
SBERP,D,20151126,000000,78.45
SBERP,D,20151127,000000,77.89
SBERP,D,20151128,000000,77.8
SBERP,D,20151201,000000,76.2
SBERP,D,20151202,000000,74.5
SBERP,D,20151203,000000,74.5
SBERP,D,20151204,000000,75
SBERP,D,20151205,000000,72.81
SBERP,D,20151208,000000,73.99
SBERP,D,20151209,000000,71
SBERP,D,20151210,000000,72.85
SBERP,D,20151211,000000,72.61
SBERP,D,20151212,000000,71.21
SBERP,D,20151215,000000,69.1
SBERP,D,20151216,000000,71.4
SBERP,D,20151217,000000,72.5
SBERP,D,20151218,000000,73.7
SBERP,D,20151219,000000,68.24
SBERP,D,20151222,000000,70.7
SBERP,D,20151223,000000,72.45
SBERP,D,20151224,000000,75.67
SBERP,D,20151225,000000,75.88
SBERP,D,20151226,000000,75.26
SBERP,D,20151229,000000,75.25
SBERP,D,20151230,000000,76.85
SBERP,D,20151231,000000,76.5
SBERP,D,20160105,000000,73.88
SBERP,D,20160106,000000,74.23
SBERP,D,20160107,000000,72.62
SBERP,D,20160112,000000,69.11
SBERP,D,20160113,000000,69.32
SBERP,D,20160114,000000,70.6
SBERP,D,20160115,000000,70.57
SBERP,D,20160116,000000,66.8
SBERP,D,20160119,000000,66.33
SBERP,D,20160120,000000,66.1
SBERP,D,20160121,000000,63.55
SBERP,D,20160122,000000,65.39
SBERP,D,20160123,000000,68.75
SBERP,D,20160126,000000,66.75
SBERP,D,20160127,000000,67.21
SBERP,D,20160128,000000,68.8
SBERP,D,20160129,000000,68.89
SBERP,D,20160130,000000,68.5
SBERP,D,20160202,000000,69.5
SBERP,D,20160203,000000,67.96
SBERP,D,20160204,000000,68.25
