<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBER,D,20150106,000000,56.37
SBER,D,20150107,000000,58.28
SBER,D,20150109,000000,65.7
SBER,D,20150110,000000,63.1
SBER,D,20150113,000000,62.9
SBER,D,20150114,000000,60.31
SBER,D,20150115,000000,60.05
SBER,D,20150116,000000,61.8
SBER,D,20150117,000000,61.99
SBER,D,20150120,000000,61.8
SBER,D,20150121,000000,60.8
SBER,D,20150122,000000,62.8
SBER,D,20150123,000000,64.35
SBER,D,20150124,000000,64.45
SBER,D,20150127,000000,60.49
SBER,D,20150128,000000,61.2
SBER,D,20150129,000000,60.63
SBER,D,20150130,000000,60.5
SBER,D,20150131,000000,61.5
SBER,D,20150203,000000,61.4
SBER,D,20150204,000000,62
SBER,D,20150205,000000,61.04
SBER,D,20150206,000000,62.41
SBER,D,20150207,000000,64.31
SBER,D,20150210,000000,65.57
SBER,D,20150211,000000,65
SBER,D,20150212,000000,65.12
SBER,D,20150213,000000,67.21
SBER,D,20150214,000000,70.6
SBER,D,20150217,000000,70
SBER,D,20150218,000000,72.45
SBER,D,20150219,000000,76.4
SBER,D,20150220,000000,73.78
SBER,D,20150221,000000,74.75
SBER,D,20150225,000000,73.7
SBER,D,20150226,000000,74.2
SBER,D,20150227,000000,75.95
SBER,D,20150228,000000,75.91
SBER,D,20150303,000000,76.2
SBER,D,20150304,000000,75.55
SBER,D,20150305,000000,72.31
SBER,D,20150306,000000,72.7
SBER,D,20150307,000000,73.25
SBER,D,20150311,000000,69.8
SBER,D,20150312,000000,70.68
SBER,D,20150313,000000,70.79
SBER,D,20150314,000000,67.87
SBER,D,20150317,000000,65.57
SBER,D,20150318,000000,64.65
SBER,D,20150319,000000,65.26
SBER,D,20150320,000000,64.9
SBER,D,20150321,000000,67
SBER,D,20150324,000000,65
SBER,D,20150325,000000,65.6
SBER,D,20150326,000000,64.8
SBER,D,20150327,000000,62.85
SBER,D,20150328,000000,61
SBER,D,20150331,000000,63.01
SBER,D,20150401,000000,62.88
SBER,D,20150402,000000,64.5
SBER,D,20150403,000000,65.92
SBER,D,20150404,000000,65.5
SBER,D,20150407,000000,68.99
SBER,D,20150408,000000,69.6
SBER,D,20150409,000000,69.4
SBER,D,20150410,000000,72
SBER,D,20150411,000000,71.5
SBER,D,20150414,000000,74.1
SBER,D,20150415,000000,74.05
SBER,D,20150416,000000,76.49
SBER,D,20150417,000000,76.5
SBER,D,20150418,000000,72.5
SBER,D,20150421,000000,73.5
SBER,D,20150422,000000,75.24
SBER,D,20150423,000000,73.9
SBER,D,20150424,000000,75.8
SBER,D,20150425,000000,75.75
SBER,D,20150428,000000,75.2
SBER,D,20150429,000000,75.7
SBER,D,20150430,000000,75.2
SBER,D,20150501,000000,76.9
SBER,D,20150506,000000,80.21
SBER,D,20150507,000000,79.2
SBER,D,20150508,000000,76.5
SBER,D,20150509,000000,75.5
SBER,D,20150513,000000,75.19
SBER,D,20150514,000000,75.24
SBER,D,20150515,000000,74.31
SBER,D,20150516,000000,75.05
SBER,D,20150519,000000,75.36
SBER,D,20150520,000000,73.35
SBER,D,20150521,000000,71.6
SBER,D,20150522,000000,73.25
SBER,D,20150523,000000,74.35
SBER,D,20150526,000000,74.46
SBER,D,20150527,000000,74.67
SBER,D,20150528,000000,74.23
SBER,D,20150529,000000,73.6
SBER,D,20150530,000000,73.5
SBER,D,20150602,000000,72.65
SBER,D,20150603,000000,73.92
SBER,D,20150604,000000,71.72
SBER,D,20150605,000000,71.25
SBER,D,20150606,000000,70.61
SBER,D,20150609,000000,69.17
SBER,D,20150610,000000,70.21
SBER,D,20150611,000000,71.51
SBER,D,20150612,000000,72.55
SBER,D,20150616,000000,71.8
SBER,D,20150617,000000,73.5
SBER,D,20150618,000000,72.81
SBER,D,20150619,000000,72.98
SBER,D,20150620,000000,71.56
SBER,D,20150623,000000,72
SBER,D,20150624,000000,72.01
SBER,D,20150625,000000,71.98
SBER,D,20150626,000000,71.42
SBER,D,20150627,000000,70.6
SBER,D,20150630,000000,70.2
SBER,D,20150701,000000,72.35
SBER,D,20150702,000000,71
SBER,D,20150703,000000,70.54
SBER,D,20150704,000000,70.67
SBER,D,20150707,000000,68.45
SBER,D,20150708,000000,68.77
SBER,D,20150709,000000,67.73
SBER,D,20150710,000000,69.35
SBER,D,20150711,000000,71.06
SBER,D,20150714,000000,72.94
SBER,D,20150715,000000,73.9
SBER,D,20150716,000000,74
SBER,D,20150717,000000,74.21
SBER,D,20150718,000000,75.52
SBER,D,20150721,000000,74.1
SBER,D,20150722,000000,75.55
SBER,D,20150723,000000,74.6
SBER,D,20150724,000000,72.7
SBER,D,20150725,000000,70.45
SBER,D,20150728,000000,68.48
SBER,D,20150729,000000,69.55
SBER,D,20150730,000000,71.2
SBER,D,20150731,000000,72.2
SBER,D,20150801,000000,72.3
SBER,D,20150804,000000,71.1
SBER,D,20150805,000000,72.3
SBER,D,20150806,000000,73.49
SBER,D,20150807,000000,72.25
SBER,D,20150808,000000,74.2
SBER,D,20150811,000000,75.16
SBER,D,20150812,000000,73.2
SBER,D,20150813,000000,73.4
SBER,D,20150814,000000,73.7
SBER,D,20150815,000000,74.43
SBER,D,20150818,000000,73
SBER,D,20150819,000000,72.45
SBER,D,20150820,000000,71.5
SBER,D,20150821,000000,72.05
SBER,D,20150822,000000,69.86
SBER,D,20150825,000000,68.53
SBER,D,20150826,000000,70.79
SBER,D,20150827,000000,71
SBER,D,20150828,000000,73.8
SBER,D,20150829,000000,74.82
SBER,D,20150901,000000,74.5
SBER,D,20150902,000000,73.14
SBER,D,20150903,000000,72.9
SBER,D,20150904,000000,74.15
SBER,D,20150905,000000,73.96
SBER,D,20150908,000000,73.81
SBER,D,20150909,000000,74.9
SBER,D,20150910,000000,74.65
SBER,D,20150911,000000,74.3
SBER,D,20150912,000000,74.1
SBER,D,20150915,000000,74.88
SBER,D,20150916,000000,74.85
SBER,D,20150917,000000,77.71
SBER,D,20150918,000000,76.49
SBER,D,20150919,000000,75.5
SBER,D,20150922,000000,75.94
SBER,D,20150923,000000,74.39
SBER,D,20150924,000000,73.74
SBER,D,20150925,000000,73.33
SBER,D,20150926,000000,74.97
SBER,D,20150929,000000,74.57
SBER,D,20150930,000000,75.5
SBER,D,20151001,000000,75.3
SBER,D,20151002,000000,74.51
SBER,D,20151003,000000,73.8
SBER,D,20151006,000000,76.2
SBER,D,20151007,000000,77.31
SBER,D,20151008,000000,79.65
SBER,D,20151009,000000,83.11
SBER,D,20151010,000000,85.77
SBER,D,20151013,000000,85.45
SBER,D,20151014,000000,85
SBER,D,20151015,000000,86.81
SBER,D,20151016,000000,87.7
SBER,D,20151017,000000,88.52
SBER,D,20151020,000000,87.07
SBER,D,20151021,000000,88.14
SBER,D,20151022,000000,86.95
SBER,D,20151023,000000,86.53
SBER,D,20151024,000000,90.45
SBER,D,20151027,000000,92.3
SBER,D,20151028,000000,89
SBER,D,20151029,000000,90.05
SBER,D,20151030,000000,88.6
SBER,D,20151031,000000,90.53
SBER,D,20151103,000000,93.65
SBER,D,20151104,000000,95.4
SBER,D,20151106,000000,95.5
SBER,D,20151107,000000,94.09
SBER,D,20151110,000000,92.95
SBER,D,20151111,000000,94.35
SBER,D,20151112,000000,94
SBER,D,20151113,000000,94.29
SBER,D,20151114,000000,93.4
SBER,D,20151117,000000,95.8
SBER,D,20151118,000000,102.5
SBER,D,20151119,000000,104
SBER,D,20151120,000000,104.86
SBER,D,20151121,000000,107.3
SBER,D,20151124,000000,109.98
SBER,D,20151125,000000,105.6
SBER,D,20151126,000000,108.51
SBER,D,20151127,000000,106.48
SBER,D,20151128,000000,104.55
SBER,D,20151201,000000,102.9
SBER,D,20151202,000000,101.3
SBER,D,20151203,000000,102.5
SBER,D,20151204,000000,104
SBER,D,20151205,000000,103.05
SBER,D,20151208,000000,103
SBER,D,20151209,000000,97
SBER,D,20151210,000000,100.66
SBER,D,20151211,000000,100.13
SBER,D,20151212,000000,98.15
SBER,D,20151215,000000,97.7
SBER,D,20151216,000000,100
SBER,D,20151217,000000,102.45
SBER,D,20151218,000000,103.75
SBER,D,20151219,000000,98.81
SBER,D,20151222,000000,98.73
SBER,D,20151223,000000,99.8
SBER,D,20151224,000000,102.96
SBER,D,20151225,000000,101.35
SBER,D,20151226,000000,101.34
SBER,D,20151229,000000,100.2
SBER,D,20151230,000000,101.82
SBER,D,20151231,000000,101.26
SBER,D,20160105,000000,98.01
SBER,D,20160106,000000,98.89
SBER,D,20160107,000000,96.85
SBER,D,20160112,000000,91.03
SBER,D,20160113,000000,91.71
SBER,D,20160114,000000,91.5
SBER,D,20160115,000000,93.04
SBER,D,20160116,000000,87.27
SBER,D,20160119,000000,86.15
SBER,D,20160120,000000,86.68
SBER,D,20160121,000000,83.83
SBER,D,20160122,000000,86
SBER,D,20160123,000000,91.5
SBER,D,20160126,000000,91
SBER,D,20160127,000000,91.5
SBER,D,20160128,000000,95.75
SBER,D,20160129,000000,96.69
SBER,D,20160130,000000,96.5
SBER,D,20160202,000000,96.5
SBER,D,20160203,000000,94.4
SBER,D,20160204,000000,94.53
SBER,D,20160205,000000,97.57
SBER,D,20160206,000000,97.2
SBER,D,20160209,000000,94.7
SBER,D,20160210,000000,93.89
SBER,D,20160211,000000,96.35
SBER,D,20160212,000000,94.2
SBER,D,20160213,000000,94.85
SBER,D,20160216,000000,95.25
SBER,D,20160217,000000,96.51
SBER,D,20160218,000000,99.2
SBER,D,20160219,000000,102.7
SBER,D,20160220,000000,101.5
SBER,D,20160221,000000,102.35
SBER,D,20160223,000000,103.2
SBER,D,20160225,000000,102.1
SBER,D,20160226,000000,104.05
SBER,D,20160227,000000,106.24
SBER,D,20160301,000000,107
SBER,D,20160302,000000,108.26
SBER,D,20160303,000000,106.12
SBER,D,20160304,000000,106.99
SBER,D,20160305,000000,108.99
SBER,D,20160308,000000,109.47
SBER,D,20160310,000000,108.15
SBER,D,20160311,000000,108.84
SBER,D,20160312,000000,109.26
SBER,D,20160315,000000,109.26
SBER,D,20160316,000000,106.46
SBER,D,20160317,000000,107
SBER,D,20160318,000000,109.47
SBER,D,20160319,000000,112.4
SBER,D,20160322,000000,112.07
SBER,D,20160323,000000,111.49
SBER,D,20160324,000000,109.1
SBER,D,20160325,000000,108.06
SBER,D,20160326,000000,109.1
SBER,D,20160329,000000,108.12
SBER,D,20160330,000000,107.05
SBER,D,20160331,000000,109.15
SBER,D,20160401,000000,109.9
SBER,D,20160402,000000,108.52
SBER,D,20160405,000000,108.2
SBER,D,20160406,000000,106.87
SBER,D,20160407,000000,108
SBER,D,20160408,000000,108.51
SBER,D,20160409,000000,112.92
SBER,D,20160412,000000,117.35
SBER,D,20160413,000000,117.95
SBER,D,20160414,000000,119.5
SBER,D,20160415,000000,119.3
SBER,D,20160416,000000,119.3
SBER,D,20160419,000000,118.2
SBER,D,20160420,000000,121.5
SBER,D,20160421,000000,123.75
SBER,D,20160422,000000,119.17
SBER,D,20160423,000000,121.25
SBER,D,20160426,000000,120.08
SBER,D,20160427,000000,119.7
SBER,D,20160428,000000,120.8
SBER,D,20160429,000000,124.39
SBER,D,20160430,000000,123.55
SBER,D,20160505,000000,120.96
SBER,D,20160506,000000,120.92
SBER,D,20160507,000000,120.64
SBER,D,20160511,000000,119.55
SBER,D,20160512,000000,123.45
SBER,D,20160513,000000,121.2
SBER,D,20160514,000000,121.07
SBER,D,20160517,000000,122.6
SBER,D,20160518,000000,122.71
SBER,D,20160519,000000,123.12
SBER,D,20160520,000000,120.5
SBER,D,20160521,000000,121.9
SBER,D,20160524,000000,121.51
SBER,D,20160525,000000,123.5
SBER,D,20160526,000000,127.87
SBER,D,20160527,000000,132.16
SBER,D,20160528,000000,133.2
SBER,D,20160531,000000,134.45
SBER,D,20160601,000000,132.56
SBER,D,20160602,000000,131.36
SBER,D,20160603,000000,132.3
SBER,D,20160604,000000,131.59
SBER,D,20160607,000000,133.99
SBER,D,20160608,000000,139.97
SBER,D,20160609,000000,139.39
SBER,D,20160610,000000,139.61
SBER,D,20160611,000000,133.5
SBER,D,20160615,000000,127.08
SBER,D,20160616,000000,129.89
SBER,D,20160617,000000,127.1
SBER,D,20160618,000000,128.7
SBER,D,20160621,000000,132.13
SBER,D,20160622,000000,133.39
SBER,D,20160623,000000,134.81
SBER,D,20160624,000000,138
SBER,D,20160625,000000,133.4
SBER,D,20160628,000000,126.2
SBER,D,20160629,000000,129.57
SBER,D,20160630,000000,133.88
SBER,D,20160701,000000,133
SBER,D,20160702,000000,133.85
SBER,D,20160705,000000,134.6
SBER,D,20160706,000000,131.85
SBER,D,20160707,000000,129.36
SBER,D,20160708,000000,131.8
SBER,D,20160709,000000,134.41
SBER,D,20160712,000000,137.2
SBER,D,20160713,000000,140.4
SBER,D,20160714,000000,139.4
SBER,D,20160715,000000,140
SBER,D,20160716,000000,138.12
SBER,D,20160719,000000,139.93
SBER,D,20160720,000000,139.47
SBER,D,20160721,000000,138.57
SBER,D,20160722,000000,138.5
SBER,D,20160723,000000,137.8
SBER,D,20160726,000000,136
SBER,D,20160727,000000,135.75
SBER,D,20160728,000000,136.9
SBER,D,20160729,000000,136.85
SBER,D,20160730,000000,139.15
SBER,D,20160802,000000,138.52
SBER,D,20160803,000000,135.06
SBER,D,20160804,000000,135.73
SBER,D,20160805,000000,137.14
SBER,D,20160806,000000,138.69
SBER,D,20160809,000000,139.45
SBER,D,20160810,000000,139.2
SBER,D,20160811,000000,138.3
SBER,D,20160812,000000,139.7
SBER,D,20160813,000000,139.45
SBER,D,20160816,000000,139.5
SBER,D,20160817,000000,138.1
SBER,D,20160818,000000,138.44
SBER,D,20160819,000000,137
SBER,D,20160820,000000,135.8
SBER,D,20160823,000000,137.37
SBER,D,20160824,000000,140.35
SBER,D,20160825,000000,139.5
SBER,D,20160826,000000,142.84
SBER,D,20160827,000000,145.25
SBER,D,20160830,000000,143.55
SBER,D,20160831,000000,143.18
SBER,D,20160901,000000,143.5
SBER,D,20160902,000000,144.25
SBER,D,20160903,000000,146.88
SBER,D,20160906,000000,149.5
SBER,D,20160907,000000,150.64
SBER,D,20160908,000000,154.33
SBER,D,20160909,000000,153.45
SBER,D,20160910,000000,151.6
SBER,D,20160913,000000,151.43
SBER,D,20160914,000000,149.8
SBER,D,20160915,000000,150.86
SBER,D,20160916,000000,149.14
SBER,D,20160917,000000,147
SBER,D,20160920,000000,148.66
SBER,D,20160921,000000,149.3
SBER,D,20160922,000000,150.67
SBER,D,20160923,000000,154.18
SBER,D,20160924,000000,151.5
SBER,D,20160927,000000,149.1
SBER,D,20160928,000000,147.53
SBER,D,20160929,000000,147.18
SBER,D,20160930,000000,148.47
SBER,D,20161001,000000,145.34
SBER,D,20161004,000000,148.87
SBER,D,20161005,000000,148.1
SBER,D,20161006,000000,147.95
SBER,D,20161007,000000,148.9
SBER,D,20161008,000000,148.74
SBER,D,20161011,000000,151.27
SBER,D,20161012,000000,151.3
SBER,D,20161013,000000,149.2
SBER,D,20161014,000000,146.09
SBER,D,20161015,000000,146.73
SBER,D,20161018,000000,146.46
SBER,D,20161019,000000,147.74
SBER,D,20161020,000000,148.6
SBER,D,20161021,000000,148.26
SBER,D,20161022,000000,148.42
SBER,D,20161025,000000,149.15
SBER,D,20161026,000000,151.57
SBER,D,20161027,000000,150.67
SBER,D,20161028,000000,149.3
SBER,D,20161029,000000,149.2
SBER,D,20161101,000000,147.4
SBER,D,20161102,000000,145.85
SBER,D,20161103,000000,142.36
SBER,D,20161104,000000,142.75
SBER,D,20161108,000000,143.4
SBER,D,20161109,000000,146.11
SBER,D,20161110,000000,151.04
SBER,D,20161111,000000,153.36
SBER,D,20161112,000000,151.51
SBER,D,20161115,000000,150.4
SBER,D,20161116,000000,149.85
SBER,D,20161117,000000,149.94
SBER,D,20161118,000000,149.75
SBER,D,20161119,000000,150.05
SBER,D,20161122,000000,153
SBER,D,20161123,000000,155
SBER,D,20161124,000000,155.23
SBER,D,20161125,000000,161.15
SBER,D,20161126,000000,160.36
SBER,D,20161129,000000,159.4
SBER,D,20161130,000000,158.07
SBER,D,20161201,000000,158.7
SBER,D,20161202,000000,158.7
SBER,D,20161203,000000,159.4
SBER,D,20161206,000000,162.02
SBER,D,20161207,000000,159.35
SBER,D,20161208,000000,159.95
SBER,D,20161209,000000,168.98
SBER,D,20161210,000000,169.66
SBER,D,20161213,000000,175.4
SBER,D,20161214,000000,176.9
SBER,D,20161215,000000,173.7
SBER,D,20161216,000000,174.92
SBER,D,20161217,000000,173.9
SBER,D,20161220,000000,174.3
SBER,D,20161221,000000,175.9
SBER,D,20161222,000000,174.71
SBER,D,20161223,000000,170
SBER,D,20161224,000000,171.15
SBER,D,20161227,000000,171.97
SBER,D,20161228,000000,172.27
SBER,D,20161229,000000,170.1
SBER,D,20161230,000000,171.3
SBER,D,20161231,000000,173.25
SBER,D,20170104,000000,180.12
SBER,D,20170105,000000,175.95
SBER,D,20170106,000000,171.9
SBER,D,20170107,000000,170.69
SBER,D,20170110,000000,168.35
SBER,D,20170111,000000,171.6
SBER,D,20170112,000000,169.05
SBER,D,20170113,000000,168.27
SBER,D,20170114,000000,164.9
SBER,D,20170117,000000,164.66
SBER,D,20170118,000000,165.98
SBER,D,20170119,000000,165.24
SBER,D,20170120,000000,166.3
SBER,D,20170121,000000,167.49
SBER,D,20170124,000000,166.75
SBER,D,20170125,000000,170.25
SBER,D,20170126,000000,170.26
SBER,D,20170127,000000,173.79
SBER,D,20170128,000000,178.92
SBER,D,20170131,000000,174.6
SBER,D,20170201,000000,172.2
SBER,D,20170202,000000,173.9
SBER,D,20170203,000000,172.83
SBER,D,20170204,000000,173.8
SBER,D,20170207,000000,172.87
SBER,D,20170208,000000,173.47
SBER,D,20170209,000000,171.2
SBER,D,20170210,000000,168.8
SBER,D,20170211,000000,165.5
SBER,D,20170214,000000,164.7
SBER,D,20170215,000000,162.7
SBER,D,20170216,000000,163.5
SBER,D,20170217,000000,166.49
SBER,D,20170218,000000,165.49
SBER,D,20170221,000000,165.44
SBER,D,20170222,000000,167
SBER,D,20170223,000000,165.9
SBER,D,20170225,000000,165.51
SBER,D,20170228,000000,160.95
SBER,D,20170301,000000,156
SBER,D,20170302,000000,160
SBER,D,20170303,000000,163.4
SBER,D,20170304,000000,164.4
SBER,D,20170307,000000,162
SBER,D,20170308,000000,160.98
SBER,D,20170310,000000,156.2
SBER,D,20170311,000000,157.5
SBER,D,20170314,000000,158.92
SBER,D,20170315,000000,157.42
SBER,D,20170316,000000,156.2
SBER,D,20170317,000000,158.35
SBER,D,20170318,000000,161.15
SBER,D,20170321,000000,163.8
SBER,D,20170322,000000,162.98
SBER,D,20170323,000000,162.92
SBER,D,20170324,000000,164.15
SBER,D,20170325,000000,164.52
SBER,D,20170328,000000,162.69
SBER,D,20170329,000000,163.66
SBER,D,20170330,000000,163.22
SBER,D,20170331,000000,163.5
SBER,D,20170401,000000,159.8
SBER,D,20170404,000000,161.8
SBER,D,20170405,000000,163.5
SBER,D,20170406,000000,168.1
SBER,D,20170407,000000,167.49
SBER,D,20170408,000000,161.49
SBER,D,20170411,000000,155.2
SBER,D,20170412,000000,156
SBER,D,20170413,000000,150.28
SBER,D,20170414,000000,152
SBER,D,20170415,000000,149.24
SBER,D,20170418,000000,153.99
SBER,D,20170419,000000,153.4
SBER,D,20170420,000000,153.6
SBER,D,20170421,000000,158.21
SBER,D,20170422,000000,159.59
SBER,D,20170425,000000,162.5
