<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SELG,D,20200104,000000,12.88
SELG,D,20200107,000000,13.2
SELG,D,20200109,000000,13.32
SELG,D,20200110,000000,13.13
SELG,D,20200111,000000,13.05
SELG,D,20200114,000000,13.1
SELG,D,20200115,000000,13.11
SELG,D,20200116,000000,13.08
SELG,D,20200117,000000,13.15
SELG,D,20200118,000000,13.13
SELG,D,20200121,000000,13.05
SELG,D,20200122,000000,12.97
SELG,D,20200123,000000,13.01
SELG,D,20200124,000000,12.96
SELG,D,20200125,000000,13.09
SELG,D,20200128,000000,13.37
SELG,D,20200129,000000,13.2
SELG,D,20200130,000000,13.18
SELG,D,20200131,000000,14.4
SELG,D,20200201,000000,14.4
SELG,D,20200204,000000,14.12
SELG,D,20200205,000000,14.33
SELG,D,20200206,000000,14.39
SELG,D,20200207,000000,14.51
SELG,D,20200208,000000,14.54
SELG,D,20200211,000000,15.13
SELG,D,20200212,000000,15.65
SELG,D,20200213,000000,15.22
SELG,D,20200214,000000,15.46
SELG,D,20200215,000000,15.5
SELG,D,20200218,000000,15.36
SELG,D,20200219,000000,15.6
SELG,D,20200220,000000,15.69
SELG,D,20200221,000000,15.78
SELG,D,20200222,000000,16.4
SELG,D,20200226,000000,16.62
SELG,D,20200227,000000,16.3
SELG,D,20200228,000000,15.6
SELG,D,20200229,000000,14.08
SELG,D,20200303,000000,14.62
SELG,D,20200304,000000,15.06
SELG,D,20200305,000000,15.18
SELG,D,20200306,000000,15.27
SELG,D,20200307,000000,14.79
SELG,D,20200311,000000,14.5
SELG,D,20200312,000000,14.2
SELG,D,20200313,000000,13
SELG,D,20200314,000000,13.4
SELG,D,20200317,000000,13.03
SELG,D,20200318,000000,13.07
SELG,D,20200319,000000,12.63
SELG,D,20200320,000000,12.5
SELG,D,20200321,000000,12.77
SELG,D,20200324,000000,12.88
SELG,D,20200325,000000,13.65
SELG,D,20200326,000000,13.89
SELG,D,20200327,000000,14.53
SELG,D,20200328,000000,15.09
SELG,D,20200331,000000,15.7
SELG,D,20200401,000000,15.71
SELG,D,20200402,000000,17.98
SELG,D,20200403,000000,17.35
SELG,D,20200404,000000,17.1
SELG,D,20200407,000000,16.94
SELG,D,20200408,000000,17.05
SELG,D,20200409,000000,17.15
SELG,D,20200410,000000,17.89
SELG,D,20200411,000000,18.5
SELG,D,20200414,000000,21
SELG,D,20200415,000000,25
SELG,D,20200416,000000,22.84
SELG,D,20200417,000000,23.5
SELG,D,20200418,000000,23
SELG,D,20200421,000000,22.7
SELG,D,20200422,000000,23.44
SELG,D,20200423,000000,23.5
SELG,D,20200424,000000,23.31
SELG,D,20200425,000000,23
SELG,D,20200428,000000,22.68
SELG,D,20200429,000000,22.38
SELG,D,20200430,000000,21.52
SELG,D,20200501,000000,21.3
SELG,D,20200505,000000,21.53
SELG,D,20200506,000000,21.81
SELG,D,20200507,000000,22.89
SELG,D,20200508,000000,23.38
SELG,D,20200509,000000,24.35
SELG,D,20200513,000000,23.75
SELG,D,20200514,000000,23.9
SELG,D,20200515,000000,24.24
SELG,D,20200516,000000,24.19
SELG,D,20200519,000000,24.02
SELG,D,20200520,000000,23.8
SELG,D,20200521,000000,23.67
SELG,D,20200522,000000,23.63
SELG,D,20200523,000000,23.76
SELG,D,20200526,000000,24.34
SELG,D,20200527,000000,24.1
SELG,D,20200528,000000,24
SELG,D,20200529,000000,24.4
SELG,D,20200530,000000,24.36
SELG,D,20200602,000000,24.3
SELG,D,20200603,000000,24.26
SELG,D,20200604,000000,24.27
SELG,D,20200605,000000,24.2
SELG,D,20200606,000000,23.49
SELG,D,20200609,000000,23.48
SELG,D,20200610,000000,24.36
SELG,D,20200611,000000,24.3
SELG,D,20200612,000000,24.4
SELG,D,20200616,000000,23.89
SELG,D,20200617,000000,24.46
SELG,D,20200618,000000,24.89
SELG,D,20200619,000000,25.26
SELG,D,20200620,000000,25.9
SELG,D,20200623,000000,26.42
SELG,D,20200624,000000,26.65
SELG,D,20200626,000000,25.7
SELG,D,20200627,000000,25.6
SELG,D,20200630,000000,24.57
SELG,D,20200701,000000,24.59
SELG,D,20200703,000000,24.15
SELG,D,20200704,000000,24.2
SELG,D,20200707,000000,25.48
SELG,D,20200708,000000,25.69
SELG,D,20200709,000000,26.25
SELG,D,20200710,000000,26
SELG,D,20200711,000000,26.45
SELG,D,20200714,000000,26.38
SELG,D,20200715,000000,25.7
SELG,D,20200716,000000,26.34
SELG,D,20200717,000000,26.55
SELG,D,20200718,000000,26.42
SELG,D,20200721,000000,26.6
SELG,D,20200722,000000,26.62
SELG,D,20200723,000000,27.81
SELG,D,20200724,000000,30.9
SELG,D,20200725,000000,33.4
SELG,D,20200728,000000,38.9
SELG,D,20200729,000000,39
SELG,D,20200730,000000,39.42
SELG,D,20200731,000000,37.48
SELG,D,20200801,000000,39.2
SELG,D,20200804,000000,38.79
SELG,D,20200805,000000,38.4
SELG,D,20200806,000000,41
SELG,D,20200807,000000,47.19
SELG,D,20200808,000000,50.55
SELG,D,20200811,000000,53.3
SELG,D,20200812,000000,47.67
SELG,D,20200813,000000,48.79
SELG,D,20200814,000000,48.2
SELG,D,20200815,000000,47.26
SELG,D,20200818,000000,49.7
SELG,D,20200819,000000,49.98
SELG,D,20200820,000000,48.75
SELG,D,20200821,000000,48.3
SELG,D,20200822,000000,47.16
SELG,D,20200825,000000,47.5
SELG,D,20200826,000000,46.6
SELG,D,20200827,000000,46.09
SELG,D,20200828,000000,46.05
SELG,D,20200829,000000,47.88
SELG,D,20200901,000000,47.32
SELG,D,20200902,000000,47.75
SELG,D,20200903,000000,46.65
