<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SGZH,D,20210429,000000,7.968
SGZH,D,20210430,000000,7.9
SGZH,D,20210501,000000,7.88
SGZH,D,20210505,000000,7.91
SGZH,D,20210506,000000,8
SGZH,D,20210507,000000,8
SGZH,D,20210508,000000,8
SGZH,D,20210511,000000,7.981
SGZH,D,20210512,000000,7.994
SGZH,D,20210513,000000,7.965
SGZH,D,20210514,000000,7.97
SGZH,D,20210515,000000,7.951
SGZH,D,20210518,000000,7.95
SGZH,D,20210519,000000,7.926
SGZH,D,20210520,000000,7.95
SGZH,D,20210521,000000,7.994
SGZH,D,20210522,000000,7.96
SGZH,D,20210525,000000,7.99
SGZH,D,20210526,000000,7.97
SGZH,D,20210527,000000,7.97
SGZH,D,20210528,000000,8
SGZH,D,20210529,000000,7.8
SGZH,D,20210601,000000,7.824
SGZH,D,20210602,000000,7.86
SGZH,D,20210603,000000,7.8
SGZH,D,20210604,000000,7.767
SGZH,D,20210605,000000,7.659
SGZH,D,20210608,000000,7.6
SGZH,D,20210609,000000,7.612
SGZH,D,20210610,000000,7.894
SGZH,D,20210611,000000,7.931
SGZH,D,20210612,000000,7.949
SGZH,D,20210615,000000,7.965
SGZH,D,20210616,000000,7.869
SGZH,D,20210617,000000,7.783
SGZH,D,20210618,000000,7.774
SGZH,D,20210619,000000,7.603
SGZH,D,20210622,000000,7.68
SGZH,D,20210623,000000,7.66
SGZH,D,20210624,000000,7.685
SGZH,D,20210625,000000,7.6
SGZH,D,20210626,000000,7.554
SGZH,D,20210629,000000,7.63
SGZH,D,20210630,000000,7.523
SGZH,D,20210701,000000,7.62
SGZH,D,20210702,000000,7.652
SGZH,D,20210703,000000,7.563
SGZH,D,20210706,000000,7.65
SGZH,D,20210707,000000,7.556
SGZH,D,20210708,000000,7.555
SGZH,D,20210709,000000,7.455
SGZH,D,20210710,000000,7.45
SGZH,D,20210713,000000,7.421
SGZH,D,20210714,000000,7.4
SGZH,D,20210715,000000,7.291
SGZH,D,20210716,000000,7.205
SGZH,D,20210717,000000,7.186
SGZH,D,20210720,000000,6.805
SGZH,D,20210721,000000,6.95
SGZH,D,20210722,000000,7.027
SGZH,D,20210723,000000,7.289
SGZH,D,20210724,000000,7.41
SGZH,D,20210727,000000,7.233
SGZH,D,20210728,000000,7.286
SGZH,D,20210729,000000,7.38
SGZH,D,20210730,000000,7.46
SGZH,D,20210731,000000,7.35
SGZH,D,20210803,000000,7.366
SGZH,D,20210804,000000,7.321
SGZH,D,20210805,000000,7.342
SGZH,D,20210806,000000,7.34
SGZH,D,20210807,000000,7.25
SGZH,D,20210810,000000,7.17
SGZH,D,20210811,000000,7.219
SGZH,D,20210812,000000,7.31
SGZH,D,20210813,000000,7.23
SGZH,D,20210814,000000,7.23
SGZH,D,20210817,000000,7.161
SGZH,D,20210818,000000,7.211
SGZH,D,20210819,000000,7.23
SGZH,D,20210820,000000,7.32
SGZH,D,20210821,000000,7.45
SGZH,D,20210824,000000,7.53
SGZH,D,20210825,000000,7.69
SGZH,D,20210826,000000,8.005
SGZH,D,20210827,000000,8.029
SGZH,D,20210828,000000,8.181
SGZH,D,20210831,000000,8.688
SGZH,D,20210901,000000,8.463
SGZH,D,20210902,000000,8.621
SGZH,D,20210903,000000,8.557
SGZH,D,20210904,000000,8.821
SGZH,D,20210907,000000,8.994
SGZH,D,20210908,000000,8.938
SGZH,D,20210909,000000,8.869
SGZH,D,20210910,000000,8.637
SGZH,D,20210911,000000,8.681
SGZH,D,20210914,000000,8.817
SGZH,D,20210915,000000,8.805
SGZH,D,20210916,000000,8.702
SGZH,D,20210917,000000,8.686
SGZH,D,20210918,000000,8.78
SGZH,D,20210921,000000,8.536
SGZH,D,20210922,000000,8.508
SGZH,D,20210923,000000,8.571
SGZH,D,20210924,000000,8.639
SGZH,D,20210925,000000,8.683
SGZH,D,20210928,000000,8.797
SGZH,D,20210929,000000,8.717
SGZH,D,20210930,000000,8.7
SGZH,D,20211001,000000,8.788
SGZH,D,20211002,000000,8.696
SGZH,D,20211005,000000,8.728
SGZH,D,20211006,000000,8.754
SGZH,D,20211007,000000,8.77
SGZH,D,20211008,000000,8.971
SGZH,D,20211009,000000,9.481
SGZH,D,20211012,000000,9.99
SGZH,D,20211013,000000,9.78
SGZH,D,20211014,000000,10.359
SGZH,D,20211015,000000,10.451
SGZH,D,20211016,000000,10.75
SGZH,D,20211019,000000,11.134
SGZH,D,20211020,000000,11
SGZH,D,20211021,000000,11.301
SGZH,D,20211022,000000,10.87
SGZH,D,20211023,000000,10.75
SGZH,D,20211026,000000,10.85
SGZH,D,20211027,000000,10.89
SGZH,D,20211028,000000,10.516
SGZH,D,20211029,000000,10.135
SGZH,D,20211030,000000,9.854
SGZH,D,20211102,000000,10.516
SGZH,D,20211103,000000,10.32
SGZH,D,20211104,000000,10.201
SGZH,D,20211106,000000,10.301
SGZH,D,20211109,000000,10.261
SGZH,D,20211110,000000,10.75
SGZH,D,20211111,000000,10.79
SGZH,D,20211112,000000,10.729
SGZH,D,20211113,000000,10.861
SGZH,D,20211116,000000,10.897
SGZH,D,20211117,000000,10.861
SGZH,D,20211118,000000,10.889
SGZH,D,20211119,000000,10.909
SGZH,D,20211120,000000,10.576
SGZH,D,20211123,000000,10.05
