<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SNGS,D,20200104,000000,51.375
SNGS,D,20200107,000000,52.2
SNGS,D,20200109,000000,52
SNGS,D,20200110,000000,53.645
SNGS,D,20200111,000000,54
SNGS,D,20200114,000000,53.805
SNGS,D,20200115,000000,53.9
SNGS,D,20200116,000000,53.09
SNGS,D,20200117,000000,53.07
SNGS,D,20200118,000000,53.775
SNGS,D,20200121,000000,54.17
SNGS,D,20200122,000000,52.04
SNGS,D,20200123,000000,49.5
SNGS,D,20200124,000000,47.8
SNGS,D,20200125,000000,48.08
SNGS,D,20200128,000000,46.5
SNGS,D,20200129,000000,47.395
SNGS,D,20200130,000000,47.935
SNGS,D,20200131,000000,47.9
SNGS,D,20200201,000000,46.045
SNGS,D,20200204,000000,44.455
SNGS,D,20200205,000000,46.705
SNGS,D,20200206,000000,46.875
SNGS,D,20200207,000000,46.965
SNGS,D,20200208,000000,46.125
SNGS,D,20200211,000000,46.22
SNGS,D,20200212,000000,47.725
SNGS,D,20200213,000000,49
SNGS,D,20200214,000000,48.31
SNGS,D,20200215,000000,48.32
SNGS,D,20200218,000000,48.625
SNGS,D,20200219,000000,46.695
SNGS,D,20200220,000000,47.46
SNGS,D,20200221,000000,47.39
SNGS,D,20200222,000000,46.755
SNGS,D,20200226,000000,44.805
SNGS,D,20200227,000000,44
SNGS,D,20200228,000000,39.6
SNGS,D,20200229,000000,38.435
SNGS,D,20200303,000000,38.815
SNGS,D,20200304,000000,39.05
SNGS,D,20200305,000000,38.455
SNGS,D,20200306,000000,37.76
SNGS,D,20200307,000000,35.68
SNGS,D,20200311,000000,30.835
SNGS,D,20200312,000000,31.245
SNGS,D,20200313,000000,29.4
SNGS,D,20200314,000000,27.5
SNGS,D,20200317,000000,26.045
SNGS,D,20200318,000000,26.33
SNGS,D,20200319,000000,24.835
SNGS,D,20200320,000000,27
SNGS,D,20200321,000000,26.86
SNGS,D,20200324,000000,26.095
SNGS,D,20200325,000000,28.25
SNGS,D,20200326,000000,29.665
SNGS,D,20200327,000000,32.25
SNGS,D,20200328,000000,30.925
SNGS,D,20200331,000000,31.7
SNGS,D,20200401,000000,33.9
SNGS,D,20200402,000000,35
SNGS,D,20200403,000000,35.67
SNGS,D,20200404,000000,36.385
SNGS,D,20200407,000000,37.25
SNGS,D,20200408,000000,37.2
SNGS,D,20200409,000000,36.875
SNGS,D,20200410,000000,37.52
SNGS,D,20200411,000000,37.08
SNGS,D,20200414,000000,36.01
SNGS,D,20200415,000000,35.65
SNGS,D,20200416,000000,33.75
SNGS,D,20200417,000000,34.295
SNGS,D,20200418,000000,34.36
SNGS,D,20200421,000000,33.995
SNGS,D,20200422,000000,33.55
SNGS,D,20200423,000000,35.67
SNGS,D,20200424,000000,35.885
SNGS,D,20200425,000000,35.125
SNGS,D,20200428,000000,35
SNGS,D,20200429,000000,36.8
SNGS,D,20200430,000000,37.435
