<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
TATNP,D,20200104,000000,734
TATNP,D,20200107,000000,736.3
TATNP,D,20200109,000000,749.1
TATNP,D,20200110,000000,769.9
TATNP,D,20200111,000000,773.5
TATNP,D,20200114,000000,761.4
TATNP,D,20200115,000000,766.9
TATNP,D,20200116,000000,760
TATNP,D,20200117,000000,761
TATNP,D,20200118,000000,763.7
TATNP,D,20200121,000000,777.5
TATNP,D,20200122,000000,767.2
TATNP,D,20200123,000000,758.3
TATNP,D,20200124,000000,743.8
TATNP,D,20200125,000000,734.5
TATNP,D,20200128,000000,715.4
TATNP,D,20200129,000000,721.4
TATNP,D,20200130,000000,729.4
TATNP,D,20200131,000000,723
TATNP,D,20200201,000000,716.9
TATNP,D,20200204,000000,707.9
TATNP,D,20200205,000000,720
TATNP,D,20200206,000000,729.5
TATNP,D,20200207,000000,724
TATNP,D,20200208,000000,722.6
TATNP,D,20200211,000000,715
TATNP,D,20200212,000000,734.5
TATNP,D,20200213,000000,748.3
TATNP,D,20200214,000000,741
TATNP,D,20200215,000000,742
TATNP,D,20200218,000000,739.2
TATNP,D,20200219,000000,725.5
TATNP,D,20200220,000000,736
TATNP,D,20200221,000000,734.3
TATNP,D,20200222,000000,726
TATNP,D,20200226,000000,695
TATNP,D,20200227,000000,705
TATNP,D,20200228,000000,681.3
TATNP,D,20200229,000000,660.8
TATNP,D,20200303,000000,661.1
TATNP,D,20200304,000000,676
TATNP,D,20200305,000000,678
TATNP,D,20200306,000000,679.7
TATNP,D,20200307,000000,650.1
TATNP,D,20200311,000000,527
TATNP,D,20200312,000000,523.5
TATNP,D,20200313,000000,456
TATNP,D,20200314,000000,455.5
TATNP,D,20200317,000000,425.8
TATNP,D,20200318,000000,404.3
TATNP,D,20200319,000000,365.5
TATNP,D,20200320,000000,410.3
TATNP,D,20200321,000000,469.5
TATNP,D,20200324,000000,465.2
TATNP,D,20200325,000000,517.7
TATNP,D,20200326,000000,510.1
TATNP,D,20200327,000000,527
TATNP,D,20200328,000000,503
TATNP,D,20200331,000000,487
TATNP,D,20200401,000000,520.5
TATNP,D,20200402,000000,516
TATNP,D,20200403,000000,554
TATNP,D,20200404,000000,567.5
TATNP,D,20200407,000000,566.4
TATNP,D,20200408,000000,548.6
TATNP,D,20200409,000000,555.4
TATNP,D,20200410,000000,572
TATNP,D,20200411,000000,567
TATNP,D,20200414,000000,542.2
TATNP,D,20200415,000000,521.2
TATNP,D,20200416,000000,485
TATNP,D,20200417,000000,484
TATNP,D,20200418,000000,494
TATNP,D,20200421,000000,461
TATNP,D,20200422,000000,446
TATNP,D,20200423,000000,474
TATNP,D,20200424,000000,493
TATNP,D,20200425,000000,481
TATNP,D,20200428,000000,480.1
TATNP,D,20200429,000000,487
TATNP,D,20200430,000000,520
TATNP,D,20200501,000000,514.1
TATNP,D,20200505,000000,507
TATNP,D,20200506,000000,515
TATNP,D,20200507,000000,507.7
TATNP,D,20200508,000000,510.7
TATNP,D,20200509,000000,519
TATNP,D,20200513,000000,520.4
TATNP,D,20200514,000000,494.1
TATNP,D,20200515,000000,495.6
TATNP,D,20200516,000000,496
TATNP,D,20200519,000000,520
TATNP,D,20200520,000000,516.6
TATNP,D,20200521,000000,529.1
TATNP,D,20200522,000000,511.2
TATNP,D,20200523,000000,510.9
TATNP,D,20200526,000000,515.6
TATNP,D,20200527,000000,528
TATNP,D,20200528,000000,519.1
TATNP,D,20200529,000000,529.7
TATNP,D,20200530,000000,509
TATNP,D,20200602,000000,520.8
TATNP,D,20200603,000000,526
TATNP,D,20200604,000000,544.9
TATNP,D,20200605,000000,540
TATNP,D,20200606,000000,550.8
TATNP,D,20200609,000000,561.8
TATNP,D,20200610,000000,575
TATNP,D,20200611,000000,579
TATNP,D,20200612,000000,566.3
TATNP,D,20200616,000000,563.6
TATNP,D,20200617,000000,560.5
TATNP,D,20200618,000000,551
TATNP,D,20200619,000000,557.7
TATNP,D,20200620,000000,563.7
TATNP,D,20200623,000000,567.3
TATNP,D,20200624,000000,562.4
TATNP,D,20200626,000000,559.7
TATNP,D,20200627,000000,548
TATNP,D,20200630,000000,549.7
TATNP,D,20200701,000000,539.9
TATNP,D,20200703,000000,550
TATNP,D,20200704,000000,555
TATNP,D,20200707,000000,551.5
TATNP,D,20200708,000000,550.5
TATNP,D,20200709,000000,546.5
TATNP,D,20200710,000000,538
TATNP,D,20200711,000000,538.7
TATNP,D,20200714,000000,523.6
TATNP,D,20200715,000000,524.1
TATNP,D,20200716,000000,532.9
TATNP,D,20200717,000000,528.8
TATNP,D,20200718,000000,529.3
