<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
TATN,D,20150106,000000,238
TATN,D,20150107,000000,228.75
TATN,D,20150109,000000,245
TATN,D,20150110,000000,234.05
TATN,D,20150113,000000,228.25
TATN,D,20150114,000000,234.7
TATN,D,20150115,000000,244.55
TATN,D,20150116,000000,251.3
TATN,D,20150117,000000,260
TATN,D,20150120,000000,261
TATN,D,20150121,000000,257
TATN,D,20150122,000000,275
TATN,D,20150123,000000,287.3
TATN,D,20150124,000000,297.95
TATN,D,20150127,000000,285.65
TATN,D,20150128,000000,297.9
TATN,D,20150129,000000,289
TATN,D,20150130,000000,280.1
TATN,D,20150131,000000,270.15
TATN,D,20150203,000000,285
TATN,D,20150204,000000,294
TATN,D,20150205,000000,301
TATN,D,20150206,000000,319.35
TATN,D,20150207,000000,335.5
TATN,D,20150210,000000,324
TATN,D,20150211,000000,320.55
TATN,D,20150212,000000,320.5
TATN,D,20150213,000000,340
TATN,D,20150214,000000,353
TATN,D,20150217,000000,335
TATN,D,20150218,000000,338.6
TATN,D,20150219,000000,335.15
TATN,D,20150220,000000,343.3
TATN,D,20150221,000000,345.8
TATN,D,20150225,000000,340
TATN,D,20150226,000000,326.6
TATN,D,20150227,000000,327.55
TATN,D,20150228,000000,316
TATN,D,20150303,000000,330.95
TATN,D,20150304,000000,333.55
TATN,D,20150305,000000,319
TATN,D,20150306,000000,313.4
TATN,D,20150307,000000,298.2
TATN,D,20150311,000000,283.65
TATN,D,20150312,000000,285.9
TATN,D,20150313,000000,284.85
TATN,D,20150314,000000,277.95
TATN,D,20150317,000000,272
TATN,D,20150318,000000,271.45
TATN,D,20150319,000000,281.45
TATN,D,20150320,000000,288.45
TATN,D,20150321,000000,294.25
TATN,D,20150324,000000,282.5
TATN,D,20150325,000000,281
TATN,D,20150326,000000,277.5
TATN,D,20150327,000000,269.5
TATN,D,20150328,000000,267
TATN,D,20150331,000000,278.9
TATN,D,20150401,000000,287
TATN,D,20150402,000000,300.1
TATN,D,20150403,000000,301.5
TATN,D,20150404,000000,299
TATN,D,20150407,000000,307.45
TATN,D,20150408,000000,305.5
TATN,D,20150409,000000,303
TATN,D,20150410,000000,297.95
TATN,D,20150411,000000,297.2
TATN,D,20150414,000000,303
TATN,D,20150415,000000,301
TATN,D,20150416,000000,303.05
TATN,D,20150417,000000,313
TATN,D,20150418,000000,292.2
TATN,D,20150421,000000,301.2
TATN,D,20150422,000000,304.5
TATN,D,20150423,000000,295.85
TATN,D,20150424,000000,304.45
TATN,D,20150425,000000,297
TATN,D,20150428,000000,306.8
TATN,D,20150429,000000,309.9
TATN,D,20150430,000000,296.75
TATN,D,20150501,000000,292.35
TATN,D,20150506,000000,303.75
TATN,D,20150507,000000,309.9
TATN,D,20150508,000000,301.3
TATN,D,20150509,000000,303.25
TATN,D,20150513,000000,308.85
TATN,D,20150514,000000,303.2
TATN,D,20150515,000000,298.55
TATN,D,20150516,000000,296.7
TATN,D,20150519,000000,293.75
TATN,D,20150520,000000,294.95
TATN,D,20150521,000000,294.15
TATN,D,20150522,000000,297.85
TATN,D,20150523,000000,302.6
TATN,D,20150526,000000,297.3
TATN,D,20150527,000000,292
TATN,D,20150528,000000,297
TATN,D,20150529,000000,300.8
TATN,D,20150530,000000,280.2
TATN,D,20150602,000000,290.4
TATN,D,20150603,000000,294.25
TATN,D,20150604,000000,293.25
TATN,D,20150605,000000,297
TATN,D,20150606,000000,300.9
TATN,D,20150609,000000,292
TATN,D,20150610,000000,294.95
TATN,D,20150611,000000,294.6
TATN,D,20150612,000000,296.9
TATN,D,20150616,000000,298.25
TATN,D,20150617,000000,298.3
TATN,D,20150618,000000,296.25
TATN,D,20150619,000000,295.3
TATN,D,20150620,000000,290.4
TATN,D,20150623,000000,295.2
TATN,D,20150624,000000,293
TATN,D,20150625,000000,295.25
TATN,D,20150626,000000,291.35
TATN,D,20150627,000000,296.55
TATN,D,20150630,000000,294.95
TATN,D,20150701,000000,296.5
TATN,D,20150702,000000,294.8
TATN,D,20150703,000000,297.85
TATN,D,20150704,000000,297.65
TATN,D,20150707,000000,298.5
TATN,D,20150708,000000,296.95
TATN,D,20150709,000000,281.7
TATN,D,20150710,000000,290.9
TATN,D,20150711,000000,289.5
TATN,D,20150714,000000,295.05
TATN,D,20150715,000000,294.65
TATN,D,20150716,000000,299
TATN,D,20150717,000000,297.15
TATN,D,20150718,000000,295
TATN,D,20150721,000000,290.9
TATN,D,20150722,000000,296.35
TATN,D,20150723,000000,294.15
TATN,D,20150724,000000,287.3
TATN,D,20150725,000000,278.05
TATN,D,20150728,000000,278.8
TATN,D,20150729,000000,288.5
TATN,D,20150730,000000,284.2
TATN,D,20150731,000000,284.4
TATN,D,20150801,000000,301.85
TATN,D,20150804,000000,303.9
TATN,D,20150805,000000,306.6
TATN,D,20150806,000000,315
TATN,D,20150807,000000,303.6
TATN,D,20150808,000000,304.3
TATN,D,20150811,000000,308.95
TATN,D,20150812,000000,307.5
TATN,D,20150813,000000,308.1
TATN,D,20150814,000000,314
TATN,D,20150815,000000,314.4
TATN,D,20150818,000000,316.5
TATN,D,20150819,000000,315.55
TATN,D,20150820,000000,306.6
TATN,D,20150821,000000,309
TATN,D,20150822,000000,293.6
TATN,D,20150825,000000,291.25
TATN,D,20150826,000000,288.45
TATN,D,20150827,000000,292.05
TATN,D,20150828,000000,306
TATN,D,20150829,000000,313
TATN,D,20150901,000000,323
TATN,D,20150902,000000,310
TATN,D,20150903,000000,305.05
TATN,D,20150904,000000,309
TATN,D,20150905,000000,304.9
TATN,D,20150908,000000,304.95
TATN,D,20150909,000000,307.1
TATN,D,20150910,000000,308.5
TATN,D,20150911,000000,311
TATN,D,20150912,000000,308.2
TATN,D,20150915,000000,315.4
TATN,D,20150916,000000,315
TATN,D,20150917,000000,323.6
TATN,D,20150918,000000,327.3
TATN,D,20150919,000000,322
TATN,D,20150922,000000,315
TATN,D,20150923,000000,305.6
TATN,D,20150924,000000,301
TATN,D,20150925,000000,298.35
TATN,D,20150926,000000,307
TATN,D,20150929,000000,300.05
TATN,D,20150930,000000,299.9
TATN,D,20151001,000000,308.55
TATN,D,20151002,000000,306.65
TATN,D,20151003,000000,300.85
TATN,D,20151006,000000,316.9
TATN,D,20151007,000000,323.75
TATN,D,20151008,000000,328.9
TATN,D,20151009,000000,323.2
TATN,D,20151010,000000,333
TATN,D,20151013,000000,325
TATN,D,20151014,000000,332.65
TATN,D,20151015,000000,328.5
TATN,D,20151016,000000,329.1
TATN,D,20151017,000000,328
TATN,D,20151020,000000,331.25
TATN,D,20151021,000000,332.6
TATN,D,20151022,000000,327
TATN,D,20151023,000000,328.35
TATN,D,20151024,000000,333.8
TATN,D,20151027,000000,333.5
TATN,D,20151028,000000,345
TATN,D,20151029,000000,342.4
TATN,D,20151030,000000,334.95
TATN,D,20151031,000000,328.8
TATN,D,20151103,000000,336.2
TATN,D,20151104,000000,344.2
TATN,D,20151106,000000,346
TATN,D,20151107,000000,348
TATN,D,20151110,000000,346.4
TATN,D,20151111,000000,346.95
TATN,D,20151112,000000,345
TATN,D,20151113,000000,340.1
TATN,D,20151114,000000,335.5
TATN,D,20151117,000000,336.25
TATN,D,20151118,000000,340.2
TATN,D,20151119,000000,342.4
TATN,D,20151120,000000,349.1
TATN,D,20151121,000000,349.85
TATN,D,20151124,000000,354.45
TATN,D,20151125,000000,345
TATN,D,20151126,000000,345.9
TATN,D,20151127,000000,344.3
TATN,D,20151128,000000,336.9
TATN,D,20151201,000000,314.05
TATN,D,20151202,000000,323
TATN,D,20151203,000000,321.5
TATN,D,20151204,000000,316.9
TATN,D,20151205,000000,312
TATN,D,20151208,000000,308.8
TATN,D,20151209,000000,304.9
TATN,D,20151210,000000,311.6
TATN,D,20151211,000000,314.2
TATN,D,20151212,000000,310
TATN,D,20151215,000000,303.8
TATN,D,20151216,000000,316.6
TATN,D,20151217,000000,313.4
