<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
TCSG,D,20191029,000000,1206
TCSG,D,20191030,000000,1219.8
TCSG,D,20191031,000000,1217
TCSG,D,20191101,000000,1216
TCSG,D,20191102,000000,1214
TCSG,D,20191106,000000,1198
TCSG,D,20191107,000000,1208.6
TCSG,D,20191108,000000,1225.8
TCSG,D,20191109,000000,1222.8
TCSG,D,20191112,000000,1222
TCSG,D,20191113,000000,1235.6
TCSG,D,20191114,000000,1239.4
TCSG,D,20191115,000000,1261.2
TCSG,D,20191116,000000,1250
TCSG,D,20191119,000000,1255
TCSG,D,20191120,000000,1241
TCSG,D,20191121,000000,1215.8
TCSG,D,20191122,000000,1210.8
TCSG,D,20191123,000000,1202
TCSG,D,20191126,000000,1206
TCSG,D,20191127,000000,1199.4
TCSG,D,20191128,000000,1203
TCSG,D,20191129,000000,1194.2
TCSG,D,20191130,000000,1185.8
TCSG,D,20191203,000000,1176.4
TCSG,D,20191204,000000,1133
TCSG,D,20191205,000000,1140
TCSG,D,20191206,000000,1167.8
TCSG,D,20191207,000000,1186.2
TCSG,D,20191210,000000,1228.4
TCSG,D,20191211,000000,1238.8
TCSG,D,20191212,000000,1234.8
TCSG,D,20191213,000000,1235
TCSG,D,20191214,000000,1257.2
TCSG,D,20191217,000000,1300
TCSG,D,20191218,000000,1299.6
TCSG,D,20191219,000000,1322.4
TCSG,D,20191220,000000,1340
TCSG,D,20191221,000000,1285.6
TCSG,D,20191224,000000,1304.6
TCSG,D,20191225,000000,1310
TCSG,D,20191226,000000,1313.8
TCSG,D,20191227,000000,1305
TCSG,D,20191228,000000,1308.6
TCSG,D,20191231,000000,1311.2
