<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
TRNFP,D,20200104,000000,1779.5
TRNFP,D,20200107,000000,1763
TRNFP,D,20200109,000000,1790
TRNFP,D,20200110,000000,1791
TRNFP,D,20200111,000000,1785
TRNFP,D,20200114,000000,1768
TRNFP,D,20200115,000000,1777
TRNFP,D,20200116,000000,1768.5
TRNFP,D,20200117,000000,1780
TRNFP,D,20200118,000000,1786.5
TRNFP,D,20200121,000000,1783
TRNFP,D,20200122,000000,1784
TRNFP,D,20200123,000000,1780.5
TRNFP,D,20200124,000000,1780
TRNFP,D,20200125,000000,1767
TRNFP,D,20200128,000000,1735
TRNFP,D,20200129,000000,1712
TRNFP,D,20200130,000000,1685
TRNFP,D,20200131,000000,1676
TRNFP,D,20200201,000000,1649.5
TRNFP,D,20200204,000000,1620.5
TRNFP,D,20200205,000000,1660
TRNFP,D,20200206,000000,1651.5
TRNFP,D,20200207,000000,1666.5
TRNFP,D,20200208,000000,1640.5
TRNFP,D,20200211,000000,1615.5
TRNFP,D,20200212,000000,1620
TRNFP,D,20200213,000000,1613
TRNFP,D,20200214,000000,1620.5
TRNFP,D,20200215,000000,1630
TRNFP,D,20200218,000000,1647.5
TRNFP,D,20200219,000000,1617.5
TRNFP,D,20200220,000000,1634.5
TRNFP,D,20200221,000000,1640
TRNFP,D,20200222,000000,1622.5
TRNFP,D,20200226,000000,1600
TRNFP,D,20200227,000000,1600
TRNFP,D,20200228,000000,1574.5
TRNFP,D,20200229,000000,1518.5
TRNFP,D,20200303,000000,1491
TRNFP,D,20200304,000000,1516.5
TRNFP,D,20200305,000000,1515.5
TRNFP,D,20200306,000000,1513.5
TRNFP,D,20200307,000000,1459.5
TRNFP,D,20200311,000000,1399.5
TRNFP,D,20200312,000000,1377
TRNFP,D,20200313,000000,1416.5
TRNFP,D,20200314,000000,1389.5
TRNFP,D,20200317,000000,1448.5
TRNFP,D,20200318,000000,1452
TRNFP,D,20200319,000000,1350
TRNFP,D,20200320,000000,1330.5
TRNFP,D,20200321,000000,1347.5
TRNFP,D,20200324,000000,1317
TRNFP,D,20200325,000000,1367.5
TRNFP,D,20200326,000000,1392.5
TRNFP,D,20200327,000000,1417.5
TRNFP,D,20200328,000000,1383.5
TRNFP,D,20200331,000000,1402
TRNFP,D,20200401,000000,1477.5
TRNFP,D,20200402,000000,1446
TRNFP,D,20200403,000000,1477.5
TRNFP,D,20200404,000000,1512
TRNFP,D,20200407,000000,1598.5
TRNFP,D,20200408,000000,1584.5
TRNFP,D,20200409,000000,1577
TRNFP,D,20200410,000000,1560
TRNFP,D,20200411,000000,1553
TRNFP,D,20200414,000000,1534
TRNFP,D,20200415,000000,1545.5
TRNFP,D,20200416,000000,1459.5
TRNFP,D,20200417,000000,1552.5
TRNFP,D,20200418,000000,1500
TRNFP,D,20200421,000000,1435
TRNFP,D,20200422,000000,1394
TRNFP,D,20200423,000000,1393.5
TRNFP,D,20200424,000000,1400
TRNFP,D,20200425,000000,1370
TRNFP,D,20200428,000000,1340.5
TRNFP,D,20200429,000000,1350.5
TRNFP,D,20200430,000000,1377
TRNFP,D,20200501,000000,1365
TRNFP,D,20200505,000000,1366.5
TRNFP,D,20200506,000000,1365
TRNFP,D,20200507,000000,1354
TRNFP,D,20200508,000000,1360
TRNFP,D,20200509,000000,1353
TRNFP,D,20200513,000000,1335.5
TRNFP,D,20200514,000000,1287
TRNFP,D,20200515,000000,1295.5
TRNFP,D,20200516,000000,1294
TRNFP,D,20200519,000000,1289
TRNFP,D,20200520,000000,1301
TRNFP,D,20200521,000000,1333
TRNFP,D,20200522,000000,1325
TRNFP,D,20200523,000000,1315.5
TRNFP,D,20200526,000000,1310.5
TRNFP,D,20200527,000000,1320
TRNFP,D,20200528,000000,1320
TRNFP,D,20200529,000000,1328.5
TRNFP,D,20200530,000000,1291
TRNFP,D,20200602,000000,1336.5
TRNFP,D,20200603,000000,1381
TRNFP,D,20200604,000000,1394
TRNFP,D,20200605,000000,1388.5
TRNFP,D,20200606,000000,1390
TRNFP,D,20200609,000000,1376
TRNFP,D,20200610,000000,1381
TRNFP,D,20200611,000000,1386.5
TRNFP,D,20200612,000000,1370
TRNFP,D,20200616,000000,1346
TRNFP,D,20200617,000000,1352
TRNFP,D,20200618,000000,1346
TRNFP,D,20200619,000000,1335.5
TRNFP,D,20200620,000000,1330
TRNFP,D,20200623,000000,1379.5
TRNFP,D,20200624,000000,1385
TRNFP,D,20200626,000000,1368.5
TRNFP,D,20200627,000000,1345.5
TRNFP,D,20200630,000000,1348.5
TRNFP,D,20200701,000000,1341.5
TRNFP,D,20200703,000000,1369
TRNFP,D,20200704,000000,1367
TRNFP,D,20200707,000000,1376.5
TRNFP,D,20200708,000000,1378.5
TRNFP,D,20200709,000000,1390
TRNFP,D,20200710,000000,1367.5
TRNFP,D,20200711,000000,1369
TRNFP,D,20200714,000000,1360
TRNFP,D,20200715,000000,1342.5
TRNFP,D,20200716,000000,1341.5
TRNFP,D,20200717,000000,1342
TRNFP,D,20200718,000000,1335.5
TRNFP,D,20200721,000000,1341.5
TRNFP,D,20200722,000000,1333.5
TRNFP,D,20200723,000000,1339
TRNFP,D,20200724,000000,1337.5
TRNFP,D,20200725,000000,1338.5
TRNFP,D,20200728,000000,1352.5
TRNFP,D,20200729,000000,1350
TRNFP,D,20200730,000000,1352.5
TRNFP,D,20200731,000000,1351.5
TRNFP,D,20200801,000000,1347
TRNFP,D,20200804,000000,1323.5
TRNFP,D,20200805,000000,1329
TRNFP,D,20200806,000000,1342
TRNFP,D,20200807,000000,1352
TRNFP,D,20200808,000000,1362
TRNFP,D,20200811,000000,1358
TRNFP,D,20200812,000000,1370
TRNFP,D,20200813,000000,1400.5
TRNFP,D,20200814,000000,1461.5
TRNFP,D,20200815,000000,1453.5
TRNFP,D,20200818,000000,1462
TRNFP,D,20200819,000000,1454.5
TRNFP,D,20200820,000000,1454.5
TRNFP,D,20200821,000000,1432.5
TRNFP,D,20200822,000000,1422.5
TRNFP,D,20200825,000000,1422.5
TRNFP,D,20200826,000000,1416
TRNFP,D,20200827,000000,1424
