<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
VKCO,D,20200703,000000,1.666
VKCO,D,20200704,000000,1.754.8
VKCO,D,20200707,000000,1.852
VKCO,D,20200708,000000,1.873
VKCO,D,20200709,000000,1.838.6
VKCO,D,20200710,000000,1.808
VKCO,D,20200711,000000,1.811.8
VKCO,D,20200714,000000,1.822
VKCO,D,20200715,000000,1.786.6
VKCO,D,20200716,000000,1.811.8
VKCO,D,20200717,000000,1.821
VKCO,D,20200718,000000,1.827
VKCO,D,20200721,000000,1.822
VKCO,D,20200722,000000,1.851.2
VKCO,D,20200723,000000,1.863
VKCO,D,20200724,000000,1.911
VKCO,D,20200725,000000,1.906.2
VKCO,D,20200728,000000,1.915
VKCO,D,20200729,000000,1.985
VKCO,D,20200730,000000,2.005.8
VKCO,D,20200731,000000,1.990
VKCO,D,20200801,000000,1.975
VKCO,D,20200804,000000,2.028
VKCO,D,20200805,000000,2.043
VKCO,D,20200806,000000,2.031.4
VKCO,D,20200807,000000,1.985
VKCO,D,20200808,000000,1.986
VKCO,D,20200811,000000,1.999.4
VKCO,D,20200812,000000,1.973
VKCO,D,20200813,000000,1.986.6
VKCO,D,20200814,000000,2.044
VKCO,D,20200815,000000,2.079.8
VKCO,D,20200818,000000,2.106
VKCO,D,20200819,000000,2.080
VKCO,D,20200820,000000,2.163
VKCO,D,20200821,000000,2.128.8
VKCO,D,20200822,000000,2.150
VKCO,D,20200825,000000,2.182.6
VKCO,D,20200826,000000,2.314
VKCO,D,20200827,000000,2.337.6
VKCO,D,20200828,000000,2.335.2
VKCO,D,20200829,000000,2.299
VKCO,D,20200901,000000,2.350
VKCO,D,20200902,000000,2.390
VKCO,D,20200903,000000,2.316.8
VKCO,D,20200904,000000,2.268
VKCO,D,20200905,000000,2.200
VKCO,D,20200908,000000,2.182.2
VKCO,D,20200909,000000,2.110.2
VKCO,D,20200910,000000,2.143
VKCO,D,20200911,000000,2.138.2
VKCO,D,20200912,000000,2.129
VKCO,D,20200915,000000,2.210
VKCO,D,20200916,000000,2.228.8
VKCO,D,20200917,000000,2.177
VKCO,D,20200918,000000,2.222
VKCO,D,20200919,000000,2.220
VKCO,D,20200922,000000,2.202.4
VKCO,D,20200923,000000,2.307.2
VKCO,D,20200924,000000,2.325.2
VKCO,D,20200925,000000,2.216.6
VKCO,D,20200926,000000,2.200
VKCO,D,20200929,000000,2.210
VKCO,D,20200930,000000,2.156.2
VKCO,D,20201001,000000,2.135
VKCO,D,20201002,000000,2.156.4
VKCO,D,20201003,000000,2.201.4
VKCO,D,20201006,000000,2.198.2
VKCO,D,20201007,000000,2.156.4
VKCO,D,20201008,000000,2.152.6
VKCO,D,20201009,000000,2.170.8
VKCO,D,20201010,000000,2.167.8
VKCO,D,20201013,000000,2.239
VKCO,D,20201014,000000,2.268
VKCO,D,20201015,000000,2.266.8
VKCO,D,20201016,000000,2.256.8
VKCO,D,20201017,000000,2.289
VKCO,D,20201020,000000,2.295.6
VKCO,D,20201021,000000,2.269
VKCO,D,20201022,000000,2.257.4
VKCO,D,20201023,000000,2.249.8
VKCO,D,20201024,000000,2.242
VKCO,D,20201027,000000,2.163
VKCO,D,20201028,000000,2.151
VKCO,D,20201029,000000,2.109
VKCO,D,20201030,000000,2.127.6
VKCO,D,20201031,000000,2.090
VKCO,D,20201103,000000,2.119.8
VKCO,D,20201104,000000,2.119.8
VKCO,D,20201106,000000,2.196.2
VKCO,D,20201107,000000,2.242
VKCO,D,20201110,000000,2.264
VKCO,D,20201111,000000,2.250
VKCO,D,20201112,000000,2.234
VKCO,D,20201113,000000,2.216.6
VKCO,D,20201114,000000,2.227
VKCO,D,20201117,000000,2.206.8
VKCO,D,20201118,000000,2.177.4
VKCO,D,20201119,000000,2.166
VKCO,D,20201120,000000,2.140.8
VKCO,D,20201121,000000,2.155
VKCO,D,20201124,000000,2.180
VKCO,D,20201125,000000,2.175.6
VKCO,D,20201126,000000,2.197
VKCO,D,20201127,000000,2.256.8
VKCO,D,20201128,000000,2.280.8
VKCO,D,20201201,000000,2.193
VKCO,D,20201202,000000,2.174
VKCO,D,20201203,000000,2.163
VKCO,D,20201204,000000,2.160
VKCO,D,20201205,000000,2.141.8
VKCO,D,20201208,000000,2.114.8
VKCO,D,20201209,000000,2.126.6
VKCO,D,20201210,000000,2.110.4
VKCO,D,20201211,000000,2.095
VKCO,D,20201212,000000,2.111
VKCO,D,20201215,000000,2.085.2
VKCO,D,20201216,000000,2.086
VKCO,D,20201217,000000,2.063.8
VKCO,D,20201218,000000,2.049.6
VKCO,D,20201219,000000,2.007.4
VKCO,D,20201222,000000,2.000.8
VKCO,D,20201223,000000,1.979
VKCO,D,20201224,000000,1.973.2
VKCO,D,20201225,000000,1.982.6
VKCO,D,20201226,000000,2.025
VKCO,D,20201229,000000,1.999
VKCO,D,20201230,000000,1.975.8
VKCO,D,20201231,000000,1.980.8
VKCO,D,20210105,000000,1.984.8
VKCO,D,20210106,000000,2.041.8
VKCO,D,20210107,000000,2.005.6
VKCO,D,20210109,000000,2.016
VKCO,D,20210112,000000,2.059
VKCO,D,20210113,000000,2.044.8
VKCO,D,20210114,000000,2.017.4
VKCO,D,20210115,000000,1.987.8
VKCO,D,20210116,000000,1.967
VKCO,D,20210119,000000,1.958.6
VKCO,D,20210120,000000,1.935.4
VKCO,D,20210121,000000,1.966.2
VKCO,D,20210122,000000,1.950.8
VKCO,D,20210123,000000,1.951
VKCO,D,20210126,000000,1.959.8
VKCO,D,20210127,000000,1.979.4
VKCO,D,20210128,000000,1.990
VKCO,D,20210129,000000,1.979.2
VKCO,D,20210130,000000,1.962
VKCO,D,20210202,000000,1.977
VKCO,D,20210203,000000,1.990.4
VKCO,D,20210204,000000,2.014.8
VKCO,D,20210205,000000,2.037.6
VKCO,D,20210206,000000,2.042
VKCO,D,20210209,000000,2.023
VKCO,D,20210210,000000,2.013.6
VKCO,D,20210211,000000,2.013.6
VKCO,D,20210212,000000,2.020.2
VKCO,D,20210213,000000,2.004.8
VKCO,D,20210216,000000,2.021.2
VKCO,D,20210217,000000,2.039.8
VKCO,D,20210218,000000,2.024.2
VKCO,D,20210219,000000,1.997.4
VKCO,D,20210220,000000,2.018.8
VKCO,D,20210221,000000,2.019.2
VKCO,D,20210223,000000,2.002.4
VKCO,D,20210225,000000,2.041.8
VKCO,D,20210226,000000,2.007.6
VKCO,D,20210227,000000,2.011.4
VKCO,D,20210302,000000,2.013
VKCO,D,20210303,000000,2.007
VKCO,D,20210304,000000,2.010
VKCO,D,20210305,000000,1.938.8
VKCO,D,20210306,000000,1.908.2
VKCO,D,20210310,000000,1.884
VKCO,D,20210311,000000,1.851.8
VKCO,D,20210312,000000,1.861.8
VKCO,D,20210313,000000,1.827
VKCO,D,20210316,000000,1.834
VKCO,D,20210317,000000,1.810.2
VKCO,D,20210318,000000,1.818.8
VKCO,D,20210319,000000,1.804
VKCO,D,20210320,000000,1.792
VKCO,D,20210323,000000,1.794.2
VKCO,D,20210324,000000,1.749
VKCO,D,20210325,000000,1.741.2
VKCO,D,20210326,000000,1.716
VKCO,D,20210327,000000,1.732
VKCO,D,20210330,000000,1.755.8
VKCO,D,20210331,000000,1.750
VKCO,D,20210401,000000,1.738
VKCO,D,20210402,000000,1.751.8
VKCO,D,20210403,000000,1.770.2
VKCO,D,20210406,000000,1.790.2
VKCO,D,20210407,000000,1.759.4
VKCO,D,20210408,000000,1.748
VKCO,D,20210409,000000,1.743.6
VKCO,D,20210410,000000,1.717.2
VKCO,D,20210413,000000,1.750.2
VKCO,D,20210414,000000,1.787.2
VKCO,D,20210415,000000,1.803.2
VKCO,D,20210416,000000,1.765
VKCO,D,20210417,000000,1.750.6
VKCO,D,20210420,000000,1.739
VKCO,D,20210421,000000,1.720
VKCO,D,20210422,000000,1.695
VKCO,D,20210423,000000,1.728.4
VKCO,D,20210424,000000,1.735.2
VKCO,D,20210427,000000,1.731.2
VKCO,D,20210428,000000,1.722.2
VKCO,D,20210429,000000,1.719.6
VKCO,D,20210430,000000,1.707
VKCO,D,20210501,000000,1.681.2
VKCO,D,20210505,000000,1.662.8
VKCO,D,20210506,000000,1.663
VKCO,D,20210507,000000,1.642.6
VKCO,D,20210508,000000,1.636.8
VKCO,D,20210511,000000,1.613
VKCO,D,20210512,000000,1.588.6
VKCO,D,20210513,000000,1.553
VKCO,D,20210514,000000,1.505
VKCO,D,20210515,000000,1.516.4
VKCO,D,20210518,000000,1.516.8
VKCO,D,20210519,000000,1.549.2
VKCO,D,20210520,000000,1.517
VKCO,D,20210521,000000,1.509.8
VKCO,D,20210522,000000,1.530.6
VKCO,D,20210525,000000,1.562.2
VKCO,D,20210526,000000,1.570
VKCO,D,20210527,000000,1.630.2
VKCO,D,20210528,000000,1.680
VKCO,D,20210529,000000,1.669.6
VKCO,D,20210601,000000,1.673.6
VKCO,D,20210602,000000,1.693.4
VKCO,D,20210603,000000,1.678.6
VKCO,D,20210604,000000,1.673.6
VKCO,D,20210605,000000,1.669.8
VKCO,D,20210608,000000,1.663
VKCO,D,20210609,000000,1.662.6
VKCO,D,20210610,000000,1.670
VKCO,D,20210611,000000,1.664
VKCO,D,20210612,000000,1.637.8
VKCO,D,20210615,000000,1.636.6
VKCO,D,20210616,000000,1.618
VKCO,D,20210617,000000,1.600.6
VKCO,D,20210618,000000,1.631.4
VKCO,D,20210619,000000,1.624.2
VKCO,D,20210622,000000,1.614
VKCO,D,20210623,000000,1.601
VKCO,D,20210624,000000,1.602.2
VKCO,D,20210625,000000,1.590
VKCO,D,20210626,000000,1.610.8
VKCO,D,20210629,000000,1.627.2
VKCO,D,20210630,000000,1.622
VKCO,D,20210701,000000,1.655.6
VKCO,D,20210702,000000,1.669.4
VKCO,D,20210703,000000,1.661.2
VKCO,D,20210706,000000,1.658
VKCO,D,20210707,000000,1.649
VKCO,D,20210708,000000,1.649
VKCO,D,20210709,000000,1.629.8
VKCO,D,20210710,000000,1.616
VKCO,D,20210713,000000,1.619.6
VKCO,D,20210714,000000,1.642.4
VKCO,D,20210715,000000,1.607
VKCO,D,20210716,000000,1.585.2
VKCO,D,20210717,000000,1.560.8
VKCO,D,20210720,000000,1.528.6
VKCO,D,20210721,000000,1.534
VKCO,D,20210722,000000,1.541
VKCO,D,20210723,000000,1.549
VKCO,D,20210724,000000,1.539
VKCO,D,20210727,000000,1.544
VKCO,D,20210728,000000,1.517.4
VKCO,D,20210729,000000,1.548.6
VKCO,D,20210730,000000,1.520.4
VKCO,D,20210731,000000,1.514.8
VKCO,D,20210803,000000,1.506.4
VKCO,D,20210804,000000,1.481.4
VKCO,D,20210805,000000,1.487.8
VKCO,D,20210806,000000,1.507
VKCO,D,20210807,000000,1.506
VKCO,D,20210810,000000,1.505.6
VKCO,D,20210811,000000,1.515
VKCO,D,20210812,000000,1.543
VKCO,D,20210813,000000,1.536.6
VKCO,D,20210814,000000,1.513.8
VKCO,D,20210817,000000,1.494
VKCO,D,20210818,000000,1.488.8
VKCO,D,20210819,000000,1.482
VKCO,D,20210820,000000,1.482.6
VKCO,D,20210821,000000,1.441.6
VKCO,D,20210824,000000,1.426.2
VKCO,D,20210825,000000,1.436.4
VKCO,D,20210826,000000,1.436
VKCO,D,20210827,000000,1.432.2
VKCO,D,20210828,000000,1.430.2
VKCO,D,20210831,000000,1.436
VKCO,D,20210901,000000,1.484.4
VKCO,D,20210902,000000,1.519
VKCO,D,20210903,000000,1.535.2
VKCO,D,20210904,000000,1.541
VKCO,D,20210907,000000,1.541.2
VKCO,D,20210908,000000,1.536
VKCO,D,20210909,000000,1.529.8
VKCO,D,20210910,000000,1.514.8
VKCO,D,20210911,000000,1.530.8
VKCO,D,20210914,000000,1.586.4
VKCO,D,20210915,000000,1.571.2
VKCO,D,20210916,000000,1.557.2
VKCO,D,20210917,000000,1.559.2
VKCO,D,20210918,000000,1.570.4
VKCO,D,20210921,000000,1.521.4
VKCO,D,20210922,000000,1.535
VKCO,D,20210923,000000,1.537.8
VKCO,D,20210924,000000,1.515
VKCO,D,20210925,000000,1.525.4
VKCO,D,20210928,000000,1.487
VKCO,D,20210929,000000,1.498.2
VKCO,D,20210930,000000,1.497.2
VKCO,D,20211001,000000,1.488
VKCO,D,20211002,000000,1.481.8
VKCO,D,20211005,000000,1.461.8
VKCO,D,20211006,000000,1.466
VKCO,D,20211007,000000,1.448.2
VKCO,D,20211008,000000,1.495
VKCO,D,20211009,000000,1.465
VKCO,D,20211012,000000,1.456.6
VKCO,D,20211013,000000,1.468
VKCO,D,20211014,000000,1.473.2
VKCO,D,20211015,000000,1.472.8
VKCO,D,20211016,000000,1.495
VKCO,D,20211019,000000,1.570.6
VKCO,D,20211020,000000,1.573.8
VKCO,D,20211021,000000,1.614.8
VKCO,D,20211022,000000,1.596.2
VKCO,D,20211023,000000,1.546
VKCO,D,20211026,000000,1.547
VKCO,D,20211027,000000,1.515.4
VKCO,D,20211028,000000,1.540.2
VKCO,D,20211029,000000,1.504.2
VKCO,D,20211030,000000,1.461.2
VKCO,D,20211102,000000,1.463.4
VKCO,D,20211103,000000,1.441.4
VKCO,D,20211104,000000,1.449.8
VKCO,D,20211106,000000,1.438
VKCO,D,20211109,000000,1.433.8
VKCO,D,20211110,000000,1.405
VKCO,D,20211111,000000,1.379.4
VKCO,D,20211112,000000,1.391
VKCO,D,20211113,000000,1.403
VKCO,D,20211116,000000,1.388.8
VKCO,D,20211117,000000,1.389.4
VKCO,D,20211118,000000,1.380.8
VKCO,D,20211119,000000,1.385
VKCO,D,20211120,000000,1.325.8
VKCO,D,20211123,000000,1.280
VKCO,D,20211124,000000,1.295
VKCO,D,20211125,000000,1.290.2
VKCO,D,20211126,000000,1.279
VKCO,D,20211127,000000,1.206.8
VKCO,D,20211130,000000,1.244.8
VKCO,D,20211201,000000,1.247
VKCO,D,20211202,000000,1.264.8
VKCO,D,20211203,000000,1.348.2
VKCO,D,20211204,000000,1.240.8
VKCO,D,20211207,000000,1.167.8
VKCO,D,20211208,000000,1.111
VKCO,D,20211209,000000,1.041.4
VKCO,D,20211210,000000,1.015
VKCO,D,20211211,000000,986.6
VKCO,D,20211214,000000,905.8
VKCO,D,20211215,000000,897.4
VKCO,D,20211216,000000,961
VKCO,D,20211217,000000,982.8
VKCO,D,20211218,000000,962
VKCO,D,20211221,000000,912
VKCO,D,20211222,000000,924.6
VKCO,D,20211223,000000,912.2
VKCO,D,20211224,000000,880.2
VKCO,D,20211225,000000,877
VKCO,D,20211228,000000,884.8
VKCO,D,20211229,000000,876.6
VKCO,D,20211230,000000,865.4
VKCO,D,20211231,000000,872.4
VKCO,D,20220104,000000,885.8
VKCO,D,20220105,000000,874
VKCO,D,20220106,000000,816.2
VKCO,D,20220107,000000,793
VKCO,D,20220111,000000,766.8
VKCO,D,20220112,000000,770.8
VKCO,D,20220113,000000,770.4
VKCO,D,20220114,000000,754.6
VKCO,D,20220115,000000,686.4
VKCO,D,20220118,000000,710.6
VKCO,D,20220119,000000,662.8
VKCO,D,20220120,000000,675.6
VKCO,D,20220121,000000,683
VKCO,D,20220122,000000,645.8
VKCO,D,20220125,000000,596.2
VKCO,D,20220126,000000,594.2
VKCO,D,20220127,000000,583
VKCO,D,20220128,000000,591.2
VKCO,D,20220129,000000,597
VKCO,D,20220201,000000,630
VKCO,D,20220202,000000,655.6
VKCO,D,20220203,000000,633
VKCO,D,20220204,000000,602
VKCO,D,20220205,000000,580.8
VKCO,D,20220208,000000,581.8
VKCO,D,20220209,000000,609.8
VKCO,D,20220210,000000,635
VKCO,D,20220211,000000,607.4
VKCO,D,20220212,000000,584.8
VKCO,D,20220215,000000,596
VKCO,D,20220216,000000,617.4
VKCO,D,20220217,000000,614.6
VKCO,D,20220218,000000,588
VKCO,D,20220219,000000,559.2
VKCO,D,20220222,000000,420
VKCO,D,20220223,000000,479.8
VKCO,D,20220225,000000,309
VKCO,D,20220226,000000,296
VKCO,D,20220330,000000,510
VKCO,D,20220331,000000,559.4
VKCO,D,20220401,000000,567
VKCO,D,20220402,000000,556.2
VKCO,D,20220405,000000,536
VKCO,D,20220406,000000,502.2
VKCO,D,20220407,000000,502
VKCO,D,20220408,000000,492
VKCO,D,20220409,000000,497.8
VKCO,D,20220412,000000,488
VKCO,D,20220413,000000,468.8
VKCO,D,20220414,000000,466.8
VKCO,D,20220415,000000,430.2
VKCO,D,20220416,000000,422.6
VKCO,D,20220419,000000,426
VKCO,D,20220420,000000,422
VKCO,D,20220421,000000,437.8
VKCO,D,20220422,000000,425.4
VKCO,D,20220423,000000,416.8
VKCO,D,20220426,000000,370.6
VKCO,D,20220427,000000,378.2
VKCO,D,20220428,000000,432
VKCO,D,20220429,000000,404
VKCO,D,20220430,000000,399
VKCO,D,20220505,000000,386.8
VKCO,D,20220506,000000,386
VKCO,D,20220507,000000,374.6
VKCO,D,20220512,000000,370
VKCO,D,20220513,000000,338.4
VKCO,D,20220514,000000,339
VKCO,D,20220517,000000,349
VKCO,D,20220518,000000,357.2
VKCO,D,20220519,000000,375.2
VKCO,D,20220520,000000,361.6
VKCO,D,20220521,000000,350.2
VKCO,D,20220524,000000,345
VKCO,D,20220525,000000,335.6
VKCO,D,20220526,000000,344.8
VKCO,D,20220527,000000,351.4
VKCO,D,20220528,000000,347
VKCO,D,20220531,000000,340.2
VKCO,D,20220601,000000,336
VKCO,D,20220602,000000,333.4
VKCO,D,20220603,000000,328.8
VKCO,D,20220604,000000,307.8
VKCO,D,20220607,000000,288
VKCO,D,20220608,000000,280.2
VKCO,D,20220609,000000,290
VKCO,D,20220610,000000,279
VKCO,D,20220611,000000,280
VKCO,D,20220615,000000,269
VKCO,D,20220616,000000,300.8
VKCO,D,20220617,000000,313.6
VKCO,D,20220618,000000,308
VKCO,D,20220621,000000,310
VKCO,D,20220622,000000,300
VKCO,D,20220623,000000,292.8
VKCO,D,20220624,000000,310.6
VKCO,D,20220625,000000,302.8
VKCO,D,20220628,000000,316.2
VKCO,D,20220629,000000,338.4
VKCO,D,20220630,000000,324
VKCO,D,20220701,000000,302.4
VKCO,D,20220702,000000,303
VKCO,D,20220705,000000,315.6
VKCO,D,20220706,000000,314.8
VKCO,D,20220707,000000,321
VKCO,D,20220708,000000,332.8
VKCO,D,20220709,000000,328.8
VKCO,D,20220712,000000,323
VKCO,D,20220713,000000,319.8
VKCO,D,20220714,000000,307.8
VKCO,D,20220715,000000,300.8
VKCO,D,20220716,000000,307.6
VKCO,D,20220719,000000,322.2
VKCO,D,20220720,000000,319.6
VKCO,D,20220721,000000,315.8
VKCO,D,20220722,000000,311.4
VKCO,D,20220723,000000,318.2
VKCO,D,20220726,000000,360.2
VKCO,D,20220727,000000,410
VKCO,D,20220728,000000,400
VKCO,D,20220729,000000,414.4
VKCO,D,20220730,000000,409
VKCO,D,20220802,000000,391
VKCO,D,20220803,000000,365.6
VKCO,D,20220804,000000,402.4
VKCO,D,20220805,000000,413.8
VKCO,D,20220806,000000,387.6
VKCO,D,20220809,000000,411.8
VKCO,D,20220810,000000,444
VKCO,D,20220811,000000,461
VKCO,D,20220812,000000,407
VKCO,D,20220813,000000,418
VKCO,D,20220816,000000,411
VKCO,D,20220817,000000,413.8
VKCO,D,20220818,000000,419.6
VKCO,D,20220819,000000,416.2
VKCO,D,20220820,000000,414.4
VKCO,D,20220823,000000,421.8
VKCO,D,20220824,000000,447.8
VKCO,D,20220825,000000,429
VKCO,D,20220826,000000,433.2
VKCO,D,20220827,000000,436.8
VKCO,D,20220830,000000,433
VKCO,D,20220831,000000,429.2
VKCO,D,20220901,000000,428
VKCO,D,20220902,000000,422
VKCO,D,20220903,000000,419.6
VKCO,D,20220906,000000,431.6
VKCO,D,20220907,000000,418
VKCO,D,20220908,000000,422
VKCO,D,20220909,000000,423
VKCO,D,20220910,000000,437
VKCO,D,20220913,000000,468
VKCO,D,20220914,000000,461.8
VKCO,D,20220915,000000,464.8
VKCO,D,20220916,000000,484.6
VKCO,D,20220917,000000,510
VKCO,D,20220920,000000,550.2
VKCO,D,20220921,000000,493
VKCO,D,20220922,000000,447.6
VKCO,D,20220923,000000,469.6
VKCO,D,20220924,000000,419.8
VKCO,D,20220927,000000,330.2
VKCO,D,20220928,000000,375.4
VKCO,D,20220929,000000,362
VKCO,D,20220930,000000,356
VKCO,D,20221001,000000,363.2
VKCO,D,20221004,000000,392.2
VKCO,D,20221005,000000,390.4
VKCO,D,20221006,000000,390
VKCO,D,20221007,000000,386.4
VKCO,D,20221008,000000,360.8
VKCO,D,20221011,000000,382.4
VKCO,D,20221012,000000,403.4
VKCO,D,20221013,000000,427.6
VKCO,D,20221014,000000,440
VKCO,D,20221015,000000,439
VKCO,D,20221018,000000,455.2
VKCO,D,20221019,000000,429.2
VKCO,D,20221020,000000,436
VKCO,D,20221021,000000,435
VKCO,D,20221022,000000,440.6
VKCO,D,20221025,000000,437.6
VKCO,D,20221026,000000,448.2
VKCO,D,20221027,000000,450.2
VKCO,D,20221028,000000,446.2
VKCO,D,20221029,000000,446.4
VKCO,D,20221101,000000,453
VKCO,D,20221102,000000,468.8
VKCO,D,20221103,000000,449.6
VKCO,D,20221104,000000,455.4
VKCO,D,20221108,000000,469.8
VKCO,D,20221109,000000,476.2
VKCO,D,20221110,000000,464
VKCO,D,20221111,000000,502.4
VKCO,D,20221112,000000,499.8
VKCO,D,20221115,000000,521
VKCO,D,20221116,000000,497.8
VKCO,D,20221117,000000,508
VKCO,D,20221118,000000,505.2
VKCO,D,20221119,000000,502.4
VKCO,D,20221122,000000,489.8
VKCO,D,20221123,000000,501.2
VKCO,D,20221124,000000,505.6
VKCO,D,20221125,000000,506.8
VKCO,D,20221126,000000,498.8
VKCO,D,20221129,000000,495.8
VKCO,D,20221130,000000,499.4
VKCO,D,20221201,000000,506.4
VKCO,D,20221202,000000,501.8
VKCO,D,20221203,000000,496.6
VKCO,D,20221206,000000,498.2
VKCO,D,20221207,000000,487.8
VKCO,D,20221208,000000,484.6
VKCO,D,20221209,000000,474.4
VKCO,D,20221210,000000,471.2
VKCO,D,20221213,000000,468.2
VKCO,D,20221214,000000,463.6
VKCO,D,20221215,000000,443
VKCO,D,20221216,000000,441.2
VKCO,D,20221217,000000,442.6
VKCO,D,20221220,000000,433.4
VKCO,D,20221221,000000,449.4
VKCO,D,20221222,000000,440
VKCO,D,20221223,000000,460.8
VKCO,D,20221224,000000,451
VKCO,D,20221227,000000,452.6
VKCO,D,20221228,000000,453.2
VKCO,D,20221229,000000,440.6
VKCO,D,20221230,000000,441.6
VKCO,D,20221231,000000,437
VKCO,D,20230104,000000,446.8
VKCO,D,20230105,000000,451.2
VKCO,D,20230106,000000,450.6
VKCO,D,20230107,000000,446.6
VKCO,D,20230110,000000,451
VKCO,D,20230111,000000,449.8
VKCO,D,20230112,000000,462.8
VKCO,D,20230113,000000,469.4
VKCO,D,20230114,000000,473.4
VKCO,D,20230117,000000,489.8
VKCO,D,20230118,000000,474.2
VKCO,D,20230119,000000,476.8
VKCO,D,20230120,000000,467.6
VKCO,D,20230121,000000,468.2
