<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
VTBR,D,20200104,000000,0.04624
VTBR,D,20200107,000000,0.04611
VTBR,D,20200109,000000,0.046525
VTBR,D,20200110,000000,0.047075
VTBR,D,20200111,000000,0.0476
VTBR,D,20200114,000000,0.04806
VTBR,D,20200115,000000,0.04726
VTBR,D,20200116,000000,0.046805
VTBR,D,20200117,000000,0.047825
VTBR,D,20200118,000000,0.048035
VTBR,D,20200121,000000,0.048015
VTBR,D,20200122,000000,0.04981
VTBR,D,20200123,000000,0.04897
VTBR,D,20200124,000000,0.0485
VTBR,D,20200125,000000,0.048
VTBR,D,20200128,000000,0.04682
VTBR,D,20200129,000000,0.0472
VTBR,D,20200130,000000,0.04754
VTBR,D,20200131,000000,0.047045
VTBR,D,20200201,000000,0.0464
VTBR,D,20200204,000000,0.04615
VTBR,D,20200205,000000,0.047255
VTBR,D,20200206,000000,0.04768
VTBR,D,20200207,000000,0.048075
VTBR,D,20200208,000000,0.04809
VTBR,D,20200211,000000,0.0474
VTBR,D,20200212,000000,0.04744
VTBR,D,20200213,000000,0.04787
VTBR,D,20200214,000000,0.048
VTBR,D,20200215,000000,0.047885
VTBR,D,20200218,000000,0.048095
VTBR,D,20200219,000000,0.047205
VTBR,D,20200220,000000,0.04747
VTBR,D,20200221,000000,0.04751
VTBR,D,20200222,000000,0.04796
VTBR,D,20200226,000000,0.047295
VTBR,D,20200227,000000,0.04723
VTBR,D,20200228,000000,0.04539
VTBR,D,20200229,000000,0.04333
VTBR,D,20200303,000000,0.043
VTBR,D,20200304,000000,0.043255
VTBR,D,20200305,000000,0.043155
VTBR,D,20200306,000000,0.04307
VTBR,D,20200307,000000,0.04122
VTBR,D,20200311,000000,0.03745
VTBR,D,20200312,000000,0.036355
VTBR,D,20200313,000000,0.03112
VTBR,D,20200314,000000,0.031575
VTBR,D,20200317,000000,0.03015
VTBR,D,20200318,000000,0.029735
VTBR,D,20200319,000000,0.02814
VTBR,D,20200320,000000,0.03057
VTBR,D,20200321,000000,0.0315
VTBR,D,20200324,000000,0.0316
VTBR,D,20200325,000000,0.03288
VTBR,D,20200326,000000,0.0328
VTBR,D,20200327,000000,0.0325
VTBR,D,20200328,000000,0.0311
VTBR,D,20200331,000000,0.03165
VTBR,D,20200401,000000,0.0326
VTBR,D,20200402,000000,0.03203
VTBR,D,20200403,000000,0.032175
VTBR,D,20200404,000000,0.03208
VTBR,D,20200407,000000,0.03367
VTBR,D,20200408,000000,0.03437
VTBR,D,20200409,000000,0.035
VTBR,D,20200410,000000,0.0364
VTBR,D,20200411,000000,0.03659
VTBR,D,20200414,000000,0.0359
VTBR,D,20200415,000000,0.035415
VTBR,D,20200416,000000,0.03324
VTBR,D,20200417,000000,0.034
VTBR,D,20200418,000000,0.0343
VTBR,D,20200421,000000,0.033805
VTBR,D,20200422,000000,0.0331
VTBR,D,20200423,000000,0.034
VTBR,D,20200424,000000,0.03427
VTBR,D,20200425,000000,0.033705
VTBR,D,20200428,000000,0.0339
VTBR,D,20200429,000000,0.0345
VTBR,D,20200430,000000,0.035195
VTBR,D,20200501,000000,0.0349
VTBR,D,20200505,000000,0.03486
VTBR,D,20200506,000000,0.035475
VTBR,D,20200507,000000,0.03531
VTBR,D,20200508,000000,0.03553
VTBR,D,20200509,000000,0.035375
VTBR,D,20200513,000000,0.035185
VTBR,D,20200514,000000,0.034205
VTBR,D,20200515,000000,0.03431
VTBR,D,20200516,000000,0.034215
VTBR,D,20200519,000000,0.03499
VTBR,D,20200520,000000,0.03483
VTBR,D,20200521,000000,0.03521
VTBR,D,20200522,000000,0.03496
VTBR,D,20200523,000000,0.03467
VTBR,D,20200526,000000,0.035005
VTBR,D,20200527,000000,0.0351
VTBR,D,20200528,000000,0.03539
VTBR,D,20200529,000000,0.03597
VTBR,D,20200530,000000,0.03631
VTBR,D,20200602,000000,0.03664
VTBR,D,20200603,000000,0.037175
VTBR,D,20200604,000000,0.03798
VTBR,D,20200605,000000,0.03715
VTBR,D,20200606,000000,0.037595
VTBR,D,20200609,000000,0.037695
VTBR,D,20200610,000000,0.0377
VTBR,D,20200611,000000,0.03758
VTBR,D,20200612,000000,0.036745
VTBR,D,20200616,000000,0.036845
VTBR,D,20200617,000000,0.03688
VTBR,D,20200618,000000,0.0365
VTBR,D,20200619,000000,0.0359
VTBR,D,20200620,000000,0.035255
VTBR,D,20200623,000000,0.035565
VTBR,D,20200624,000000,0.03554
VTBR,D,20200626,000000,0.0356
VTBR,D,20200627,000000,0.03515
VTBR,D,20200630,000000,0.035485
