length,true_params_1,true_params_2,true_params_3,mean_estimates_1,mean_estimates_2,mean_estimates_3,rmse_1,rmse_2,rmse_3
250,-0.821,0.9,0.675,-1.07804510747227,0.868346307142177,0.717344209393511,0.569925813723382,0.0685575491927323,0.22229668567395
250,-0.368,0.95,0.26,-0.793861594555179,0.892165507707054,0.330305999477534,0.717987413655714,0.0966730130922942,0.212554863415938
250,-0.1412,0.98,0.0614,-1.22116211234408,0.826851383351624,0.159378016446487,1.22637139223753,0.173612861222804,0.211711431579214
500,-0.821,0.9,0.675,-0.950000800161162,0.884287698321686,0.689433176457863,0.403696971747024,0.0485423271456976,0.153666047341369
500,-0.368,0.95,0.26,-0.586524813477194,0.920452648011964,0.299642613622415,0.495550784428507,0.0666728254938717,0.145741641135778
500,-0.1412,0.98,0.0614,-0.903297838943651,0.872326172562313,0.140283872040784,0.997490415777841,0.140645366012162,0.169043038801064
1000,-0.821,0.9,0.675,-0.869613729781729,0.89388514059927,0.681114834228672,0.25122632455973,0.0302731862715907,0.104792934323926
1000,-0.368,0.95,0.26,-0.453103057497088,0.938385778146826,0.276269935579619,0.267588814018765,0.0361527138996947,0.0881425040915094
1000,-0.1412,0.98,0.0614,-0.627596276890265,0.911227983870451,0.120787536974261,0.792528927481686,0.111778950002339,0.128421370306398
2000,-0.821,0.9,0.675,-0.838736435110905,0.897785618195919,0.675400038340875,0.169633504243564,0.0202456563452954,0.0732169548762614
2000,-0.368,0.95,0.26,-0.403751129812892,0.945133790464945,0.266633752042821,0.15385986483863,0.0207823388728546,0.0560643664248551
2000,-0.1412,0.98,0.0614,-0.420107115712546,0.940592889647855,0.0978700599666416,0.589860641672301,0.0831990970055283,0.0926706111988871
4000,-0.821,0.9,0.675,-0.831009954147175,0.898701973505296,0.675429996824477,0.117877112181853,0.0141037809089276,0.0509344976625564
4000,-0.368,0.95,0.26,-0.381947211978204,0.948078218351251,0.261599586526627,0.0947881705911923,0.0127620049781695,0.0375510472284966
4000,-0.1412,0.98,0.0614,-0.244155067743508,0.96545855814294,0.0778045984550266,0.325818873102389,0.045912616378807,0.0567664188884273
