length,true_params_1,true_params_2,true_params_3,mean_estimates_1,mean_estimates_2,mean_estimates_3,rmse_1,rmse_2,rmse_3
1000,-0.4106,0.95,0.4835,-0.455303205180463,0.944425341031957,0.490714871944928,0.155114541163624,0.0186446148011249,0.0758170118520077
1000,-0.1642,0.98,0.308,-0.20628862701193,0.974794007685732,0.315548513467935,0.0985999738441015,0.0118853549858751,0.0523492578129848
1000,-0.736,0.9,0.363,-0.852518017206747,0.88414845213725,0.382148996737671,0.42443262933005,0.0571281068964289,0.124536054339972
1000,-0.1472,0.98,0.166,-0.205333408007552,0.972063733613403,0.177977199216675,0.133647604214505,0.0180474340459478,0.052378338308846
1000,-0.706,0.9,0.135,-1.02152217341356,0.855359104558031,0.153460741515154,0.66584786167339,0.0939018038768657,0.130338026640738
1000,-0.353,0.95,0.0964,-0.800840394001749,0.886679883264872,0.141155670585183,0.752039210314492,0.106036644818899,0.129117331939512
2000,-0.4106,0.95,0.4835,-0.429500453234333,0.947651007071026,0.486027136018927,0.101151287414965,0.0120949182385316,0.0533533381671754
2000,-0.1642,0.98,0.308,-0.183251001587888,0.977641530201517,0.311548981593827,0.0597719743143327,0.00719165048265232,0.0370015753661133
2000,-0.736,0.9,0.363,-0.788427003648122,0.89291185409347,0.370809832392236,0.281689179246583,0.037862112677779,0.0856372815853522
2000,-0.1472,0.98,0.166,-0.172426643890821,0.976552710263436,0.17108678547766,0.0761285452740484,0.0102907792190809,0.0341410657116794
2000,-0.706,0.9,0.135,-0.978447397813439,0.861609045233411,0.155320669313679,0.649279789234867,0.0914518249518287,0.111031386719763
2000,-0.353,0.95,0.0964,-0.699437116430005,0.901111530109004,0.134714830238657,0.669982816969871,0.0944097264137213,0.104925323953011
