length,true_params_1,true_params_2,true_params_3,mean_estimates_1,mean_estimates_2,mean_estimates_3,rmse_1,rmse_2,rmse_3
250,-0.821,0.9,0.675,-1.08342375742506,0.866357689265165,0.650108581414284,0.604072281680816,0.07449242962154,0.2105335598136
250,-0.368,0.95,0.26,-0.701160441097582,0.904387884927204,0.284950857472654,0.590223116862639,0.0806194633564809,0.119682703104427
250,-0.1412,0.98,0.0614,-1.04147019323206,0.852451555155674,0.127180543087386,0.986591411185039,0.139683610705319,0.101075946680964
500,-0.821,0.9,0.675,-0.988983381894469,0.879000885571106,0.659427210498748,0.455551595548343,0.0550304352396594,0.168681021708884
500,-0.368,0.95,0.26,-0.544016078234632,0.92621355473357,0.27498563610157,0.363237414714653,0.0490075815858149,0.0850176848366729
500,-0.1412,0.98,0.0614,-0.97237301988524,0.862555482197039,0.139222595723484,0.902710729749995,0.127473292783968,0.0967773364730829
1000,-0.821,0.9,0.675,-0.889106090794906,0.891207984476623,0.654441403398599,0.292432833525056,0.0350422902207571,0.13501311024622
1000,-0.368,0.95,0.26,-0.460110633509769,0.937421712460148,0.271993647585323,0.219661767938232,0.0297627386215927,0.060653908735867
1000,-0.1412,0.98,0.0614,-0.861507553139844,0.877992062881169,0.143175411301224,0.779660967254735,0.110375660814528,0.0909161199768749
2000,-0.821,0.9,0.675,-0.854104401181493,0.895562314015081,0.662654536015933,0.223388340075597,0.0269405199933839,0.107529173763195
2000,-0.368,0.95,0.26,-0.430250026281398,0.94152892847264,0.274793858151512,0.144104516900887,0.0194535642834191,0.0440814362578933
2000,-0.1412,0.98,0.0614,-0.80109147197455,0.886600078052018,0.15095733381232,0.707342226920952,0.100066750261656,0.0942013987908616
4000,-0.821,0.9,0.675,-0.838088366019399,0.897578307661736,0.663871310203139,0.171777396272689,0.020767187353677,0.0842766798387532
4000,-0.368,0.95,0.26,-0.41647024711285,0.943386903913041,0.273196571918325,0.100087359369249,0.013537597669901,0.0315697248860606
4000,-0.1412,0.98,0.0614,-0.756944486927323,0.892822716895462,0.149596451997891,0.645181567070129,0.0913132885802086,0.0902945965401057
