length,true_params_1,true_params_2,true_params_3,mean_estimates_1,mean_estimates_2,mean_estimates_3,rmse_1,rmse_2,rmse_3
250,-0.821,0.9,0.675,-1.08368806476148,0.866521383381391,0.662114154407181,0.577746907081465,0.0710497103064473,0.211944854400247
250,-0.368,0.95,0.26,-0.742174458396643,0.898998712657095,0.300916287512963,0.592464993894352,0.0804152435070029,0.1257019593985
250,-0.1412,0.98,0.0614,-1.08356968296035,0.846513472586725,0.143318681715222,0.994684036898997,0.140791892709799,0.115276078693945
500,-0.821,0.9,0.675,-0.977939863302296,0.880318719173733,0.662571763082696,0.458769593971052,0.0555245580303496,0.164404551307676
500,-0.368,0.95,0.26,-0.610723490338112,0.917175587318199,0.295949612208662,0.431215113104373,0.058154687977928,0.0983201283946741
500,-0.1412,0.98,0.0614,-1.03169819731568,0.854093695704104,0.152707753059578,0.935258726078686,0.132182924544289,0.110365852760227
1000,-0.821,0.9,0.675,-0.878378404176046,0.892346832762515,0.65320959032297,0.297619838543979,0.0359614950964283,0.130269006587502
1000,-0.368,0.95,0.26,-0.524153253345348,0.928742630592821,0.292377878740689,0.275576487225563,0.0371882522026696,0.0681213377962623
1000,-0.1412,0.98,0.0614,-1.00489450783818,0.857657324166717,0.161533394688907,0.895986497172866,0.126820341513819,0.109486805142734
2000,-0.821,0.9,0.675,-0.843637492885822,0.896947700852294,0.662337812933657,0.214582929409915,0.0257692920805848,0.103735157396963
2000,-0.368,0.95,0.26,-0.489095889562464,0.934081167742537,0.295155193113531,0.214526860970178,0.0262583795969693,0.0629623633704265
2000,-0.1412,0.98,0.0614,-0.970761833496817,0.862622100799966,0.170982401712878,0.851929207091489,0.120486036069431,0.114397584111438
4000,-0.821,0.9,0.675,-0.843689549299438,0.897227244914305,0.668013159788983,0.175395147364384,0.0201756153560161,0.0823516623525344
4000,-0.368,0.95,0.26,-0.474786110617563,0.935515196735199,0.294074436513545,0.152802278074863,0.0206539861669784,0.046703712976524
4000,-0.1412,0.98,0.0614,-0.959319742620979,0.864227136681385,0.172514322679397,0.831060389343065,0.117576299928981,0.113357503543798
