<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
AFKS,D,20200104,000000,15.134
AFKS,D,20200107,000000,15.039
AFKS,D,20200109,000000,15.094
AFKS,D,20200110,000000,15.075
AFKS,D,20200111,000000,15.047
AFKS,D,20200114,000000,15.14
AFKS,D,20200115,000000,15.625
AFKS,D,20200116,000000,15.6
AFKS,D,20200117,000000,15.724
AFKS,D,20200118,000000,16.07
AFKS,D,20200121,000000,16.256
AFKS,D,20200122,000000,16.112
AFKS,D,20200123,000000,16.94
AFKS,D,20200124,000000,17.77
AFKS,D,20200125,000000,18.04
AFKS,D,20200128,000000,17.48
AFKS,D,20200129,000000,17.98
AFKS,D,20200130,000000,17.935
AFKS,D,20200131,000000,18.121
AFKS,D,20200201,000000,18.317
AFKS,D,20200204,000000,18.4
AFKS,D,20200205,000000,18.662
AFKS,D,20200206,000000,18.57
AFKS,D,20200207,000000,18.486
AFKS,D,20200208,000000,18.443
AFKS,D,20200211,000000,18.17
AFKS,D,20200212,000000,18.809
AFKS,D,20200213,000000,18.782
AFKS,D,20200214,000000,19.397
AFKS,D,20200215,000000,18.998
AFKS,D,20200218,000000,19.175
AFKS,D,20200219,000000,18.85
AFKS,D,20200220,000000,18.7
AFKS,D,20200221,000000,18.615
AFKS,D,20200222,000000,18.48
AFKS,D,20200226,000000,17.931
AFKS,D,20200227,000000,18.04
AFKS,D,20200228,000000,17.261
AFKS,D,20200229,000000,16.035
AFKS,D,20200303,000000,16.548
AFKS,D,20200304,000000,16.5
AFKS,D,20200305,000000,16.046
AFKS,D,20200306,000000,15.658
AFKS,D,20200307,000000,14.982
AFKS,D,20200311,000000,13.64
AFKS,D,20200312,000000,12.855
AFKS,D,20200313,000000,11.25
AFKS,D,20200314,000000,11.474
AFKS,D,20200317,000000,11.28
AFKS,D,20200318,000000,11.13
AFKS,D,20200319,000000,10.789
AFKS,D,20200320,000000,12.055
AFKS,D,20200321,000000,12.48
AFKS,D,20200324,000000,11.86
AFKS,D,20200325,000000,12.5
AFKS,D,20200326,000000,12.677
AFKS,D,20200327,000000,12.3
AFKS,D,20200328,000000,12.16
AFKS,D,20200331,000000,12.373
AFKS,D,20200401,000000,13.115
AFKS,D,20200402,000000,12.93
AFKS,D,20200403,000000,13.01
AFKS,D,20200404,000000,13.304
AFKS,D,20200407,000000,13.95
AFKS,D,20200408,000000,13.96
AFKS,D,20200409,000000,14.16
AFKS,D,20200410,000000,14.12
AFKS,D,20200411,000000,14.33
AFKS,D,20200414,000000,14.051
AFKS,D,20200415,000000,13.829
AFKS,D,20200416,000000,13.17
AFKS,D,20200417,000000,13
AFKS,D,20200418,000000,13.327
AFKS,D,20200421,000000,13.97
AFKS,D,20200422,000000,13.39
AFKS,D,20200423,000000,13.652
AFKS,D,20200424,000000,13.82
AFKS,D,20200425,000000,13.505
AFKS,D,20200428,000000,13.91
AFKS,D,20200429,000000,13.881
AFKS,D,20200430,000000,14.193
AFKS,D,20200501,000000,14.45
AFKS,D,20200505,000000,14.209
AFKS,D,20200506,000000,14.489
AFKS,D,20200507,000000,14.515
AFKS,D,20200508,000000,14.388
AFKS,D,20200509,000000,14.485
AFKS,D,20200513,000000,14.407
AFKS,D,20200514,000000,14.16
AFKS,D,20200515,000000,13.8
AFKS,D,20200516,000000,14
AFKS,D,20200519,000000,14.42
AFKS,D,20200520,000000,14.506
AFKS,D,20200521,000000,14.891
AFKS,D,20200522,000000,14.52
AFKS,D,20200523,000000,14.488
AFKS,D,20200526,000000,14.83
AFKS,D,20200527,000000,14.84
AFKS,D,20200528,000000,14.99
AFKS,D,20200529,000000,15.07
AFKS,D,20200530,000000,15.3
AFKS,D,20200602,000000,15.741
AFKS,D,20200603,000000,16.22
AFKS,D,20200604,000000,16.162
AFKS,D,20200605,000000,17.133
AFKS,D,20200606,000000,16.941
AFKS,D,20200609,000000,16.947
AFKS,D,20200610,000000,16.943
AFKS,D,20200611,000000,16.742
AFKS,D,20200612,000000,16.11
AFKS,D,20200616,000000,16.484
AFKS,D,20200617,000000,16.95
AFKS,D,20200618,000000,17.484
AFKS,D,20200619,000000,17.131
AFKS,D,20200620,000000,16.785
AFKS,D,20200623,000000,17.1
AFKS,D,20200624,000000,17.074
AFKS,D,20200626,000000,17.18
AFKS,D,20200627,000000,17.235
AFKS,D,20200630,000000,17.45
AFKS,D,20200701,000000,17.1
AFKS,D,20200703,000000,17.172
AFKS,D,20200704,000000,17.256
AFKS,D,20200707,000000,17.789
AFKS,D,20200708,000000,17.32
AFKS,D,20200709,000000,18
AFKS,D,20200710,000000,18
AFKS,D,20200711,000000,17.717
AFKS,D,20200714,000000,17.865
AFKS,D,20200715,000000,17.552
AFKS,D,20200716,000000,17.95
AFKS,D,20200717,000000,18.087
AFKS,D,20200718,000000,18.41
AFKS,D,20200721,000000,19.222
AFKS,D,20200722,000000,18.926
AFKS,D,20200723,000000,19.272
AFKS,D,20200724,000000,19.005
AFKS,D,20200725,000000,18.898
AFKS,D,20200728,000000,19.053
AFKS,D,20200729,000000,19.092
AFKS,D,20200730,000000,19.283
AFKS,D,20200731,000000,19.19
AFKS,D,20200801,000000,19.758
AFKS,D,20200804,000000,19.99
AFKS,D,20200805,000000,20.38
AFKS,D,20200806,000000,20.485
AFKS,D,20200807,000000,20.125
AFKS,D,20200808,000000,20.116
AFKS,D,20200811,000000,20.114
AFKS,D,20200812,000000,21.8
AFKS,D,20200813,000000,21.669
AFKS,D,20200814,000000,21.415
AFKS,D,20200815,000000,21.747
AFKS,D,20200818,000000,21.1
AFKS,D,20200819,000000,20.924
AFKS,D,20200820,000000,20.826
AFKS,D,20200821,000000,20.575
AFKS,D,20200822,000000,20.7
AFKS,D,20200825,000000,21.39
AFKS,D,20200826,000000,21.389
AFKS,D,20200827,000000,21.333
AFKS,D,20200828,000000,21.224
AFKS,D,20200829,000000,21.297
AFKS,D,20200901,000000,21.39
AFKS,D,20200902,000000,21.629
AFKS,D,20200903,000000,20.927
AFKS,D,20200904,000000,20.573
AFKS,D,20200905,000000,20.719
AFKS,D,20200908,000000,20.65
AFKS,D,20200909,000000,20.488
AFKS,D,20200910,000000,20.678
AFKS,D,20200911,000000,20.648
AFKS,D,20200912,000000,20.95
AFKS,D,20200915,000000,20.94
AFKS,D,20200916,000000,21.024
AFKS,D,20200917,000000,21.37
AFKS,D,20200918,000000,20.854
AFKS,D,20200919,000000,20.698
AFKS,D,20200922,000000,20.19
AFKS,D,20200923,000000,20.9
AFKS,D,20200924,000000,21.79
AFKS,D,20200925,000000,21.777
