<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ALRS,D,20200104,000000,85.33
ALRS,D,20200107,000000,85.24
ALRS,D,20200109,000000,85.45
ALRS,D,20200110,000000,87.78
ALRS,D,20200111,000000,89.3
ALRS,D,20200114,000000,91.89
ALRS,D,20200115,000000,90.02
ALRS,D,20200116,000000,90.37
ALRS,D,20200117,000000,88.96
ALRS,D,20200118,000000,91.85
ALRS,D,20200121,000000,90.99
ALRS,D,20200122,000000,90.87
ALRS,D,20200123,000000,91.49
ALRS,D,20200124,000000,90.02
ALRS,D,20200125,000000,90.49
ALRS,D,20200128,000000,87
ALRS,D,20200129,000000,85.53
ALRS,D,20200130,000000,85.5
ALRS,D,20200131,000000,82.82
ALRS,D,20200201,000000,80.2
ALRS,D,20200204,000000,81.45
ALRS,D,20200205,000000,82.7
ALRS,D,20200206,000000,84.39
ALRS,D,20200207,000000,83.71
ALRS,D,20200208,000000,84.53
ALRS,D,20200211,000000,82.05
ALRS,D,20200212,000000,82.18
ALRS,D,20200213,000000,82.78
ALRS,D,20200214,000000,81.47
ALRS,D,20200215,000000,82.17
ALRS,D,20200218,000000,82.19
ALRS,D,20200219,000000,80.5
ALRS,D,20200220,000000,81.25
ALRS,D,20200221,000000,82.96
ALRS,D,20200222,000000,83.2
ALRS,D,20200226,000000,80.2
ALRS,D,20200227,000000,79
ALRS,D,20200228,000000,76.26
ALRS,D,20200229,000000,71.39
ALRS,D,20200303,000000,71.56
ALRS,D,20200304,000000,70.82
ALRS,D,20200305,000000,71.56
ALRS,D,20200306,000000,71.65
ALRS,D,20200307,000000,70.75
ALRS,D,20200311,000000,68.61
ALRS,D,20200312,000000,69.42
ALRS,D,20200313,000000,63.55
ALRS,D,20200314,000000,62.79
ALRS,D,20200317,000000,59.95
ALRS,D,20200318,000000,58.98
ALRS,D,20200319,000000,54
ALRS,D,20200320,000000,59.7
ALRS,D,20200321,000000,57.3
ALRS,D,20200324,000000,57.56
ALRS,D,20200325,000000,58.37
ALRS,D,20200326,000000,61.61
ALRS,D,20200327,000000,60.46
ALRS,D,20200328,000000,56.9
ALRS,D,20200331,000000,58.72
ALRS,D,20200401,000000,64.59
ALRS,D,20200402,000000,63.43
ALRS,D,20200403,000000,61.8
ALRS,D,20200404,000000,61.59
ALRS,D,20200407,000000,63.5
ALRS,D,20200408,000000,65.8
ALRS,D,20200409,000000,65.58
ALRS,D,20200410,000000,67.33
ALRS,D,20200411,000000,66.35
ALRS,D,20200414,000000,64.75
ALRS,D,20200415,000000,63.5
ALRS,D,20200416,000000,59.9
ALRS,D,20200417,000000,59.24
ALRS,D,20200418,000000,60.78
ALRS,D,20200421,000000,60.02
ALRS,D,20200422,000000,60.28
ALRS,D,20200423,000000,61.71
ALRS,D,20200424,000000,62.87
ALRS,D,20200425,000000,61.11
ALRS,D,20200428,000000,61.76
ALRS,D,20200429,000000,63.77
ALRS,D,20200430,000000,63.9
ALRS,D,20200501,000000,62.2
ALRS,D,20200505,000000,62.5
ALRS,D,20200506,000000,62.79
ALRS,D,20200507,000000,61.73
ALRS,D,20200508,000000,62.51
ALRS,D,20200509,000000,62.4
ALRS,D,20200513,000000,62.86
ALRS,D,20200514,000000,61.18
ALRS,D,20200515,000000,61.09
ALRS,D,20200516,000000,59.82
ALRS,D,20200519,000000,61.33
ALRS,D,20200520,000000,61.5
ALRS,D,20200521,000000,63.97
ALRS,D,20200522,000000,63.6
ALRS,D,20200523,000000,63.81
ALRS,D,20200526,000000,63.9
ALRS,D,20200527,000000,64.7
ALRS,D,20200528,000000,65.84
ALRS,D,20200529,000000,67.95
ALRS,D,20200530,000000,66
ALRS,D,20200602,000000,69.02
ALRS,D,20200603,000000,68.27
ALRS,D,20200604,000000,68.03
ALRS,D,20200605,000000,66.89
ALRS,D,20200606,000000,65.05
ALRS,D,20200609,000000,66.5
ALRS,D,20200610,000000,65.28
ALRS,D,20200611,000000,64.15
ALRS,D,20200612,000000,62.95
ALRS,D,20200616,000000,63.5
ALRS,D,20200617,000000,63.92
ALRS,D,20200618,000000,63.94
ALRS,D,20200619,000000,63.25
ALRS,D,20200620,000000,64.22
ALRS,D,20200623,000000,64.2
ALRS,D,20200624,000000,64.29
ALRS,D,20200626,000000,63.39
ALRS,D,20200627,000000,63.24
ALRS,D,20200630,000000,64.22
ALRS,D,20200701,000000,64.49
ALRS,D,20200703,000000,65.32
ALRS,D,20200704,000000,65.67
ALRS,D,20200707,000000,66.07
ALRS,D,20200708,000000,66.15
ALRS,D,20200709,000000,66.88
ALRS,D,20200710,000000,65.91
ALRS,D,20200711,000000,64.2
ALRS,D,20200714,000000,63.55
ALRS,D,20200715,000000,62.49
ALRS,D,20200716,000000,63.41
ALRS,D,20200717,000000,64.18
ALRS,D,20200718,000000,64.04
ALRS,D,20200721,000000,64.5
ALRS,D,20200722,000000,65
ALRS,D,20200723,000000,64.94
ALRS,D,20200724,000000,64.02
ALRS,D,20200725,000000,64.94
ALRS,D,20200728,000000,66.68
ALRS,D,20200729,000000,65.64
ALRS,D,20200730,000000,66.34
ALRS,D,20200731,000000,66.5
ALRS,D,20200801,000000,68.27
ALRS,D,20200804,000000,68.57
ALRS,D,20200805,000000,69.9
ALRS,D,20200806,000000,69.86
ALRS,D,20200807,000000,70.1
ALRS,D,20200808,000000,68.85
ALRS,D,20200811,000000,69.85
ALRS,D,20200812,000000,69.44
ALRS,D,20200813,000000,69.89
ALRS,D,20200814,000000,69.75
ALRS,D,20200815,000000,67.98
ALRS,D,20200818,000000,66.48
ALRS,D,20200819,000000,65.42
ALRS,D,20200820,000000,66.33
ALRS,D,20200821,000000,66.34
ALRS,D,20200822,000000,66.43
ALRS,D,20200825,000000,67.39
ALRS,D,20200826,000000,67.19
ALRS,D,20200827,000000,67.4
ALRS,D,20200828,000000,67.4
ALRS,D,20200829,000000,67.18
ALRS,D,20200901,000000,66.15
ALRS,D,20200902,000000,68.25
ALRS,D,20200903,000000,66.67
ALRS,D,20200904,000000,66.9
ALRS,D,20200905,000000,67.92
ALRS,D,20200908,000000,68.39
ALRS,D,20200909,000000,69.37
ALRS,D,20200910,000000,69.2
ALRS,D,20200911,000000,71.65
ALRS,D,20200912,000000,74.94
ALRS,D,20200915,000000,73.7
ALRS,D,20200916,000000,75.15
ALRS,D,20200917,000000,74.98
ALRS,D,20200918,000000,75.1
ALRS,D,20200919,000000,76.3
ALRS,D,20200922,000000,74.7
ALRS,D,20200923,000000,74.93
ALRS,D,20200924,000000,72.95
ALRS,D,20200925,000000,73.04
ALRS,D,20200926,000000,71.94
ALRS,D,20200929,000000,72.64
ALRS,D,20200930,000000,72.1
ALRS,D,20201001,000000,73.78
ALRS,D,20201002,000000,73.99
ALRS,D,20201003,000000,74.12
ALRS,D,20201006,000000,74.56
ALRS,D,20201007,000000,76.97
ALRS,D,20201008,000000,76.28
ALRS,D,20201009,000000,77.7
ALRS,D,20201010,000000,75.41
ALRS,D,20201013,000000,78.22
ALRS,D,20201014,000000,76.4
ALRS,D,20201015,000000,76.85
ALRS,D,20201016,000000,75.71
ALRS,D,20201017,000000,76
ALRS,D,20201020,000000,75.64
ALRS,D,20201021,000000,75.48
ALRS,D,20201022,000000,74.83
ALRS,D,20201023,000000,75.18
ALRS,D,20201024,000000,74.94
ALRS,D,20201027,000000,74.15
ALRS,D,20201028,000000,74.46
ALRS,D,20201029,000000,70.24
ALRS,D,20201030,000000,71.81
ALRS,D,20201031,000000,70.75
ALRS,D,20201103,000000,70.96
ALRS,D,20201104,000000,71.89
