<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
CBOM,D,20150702,000000,3.68
CBOM,D,20150703,000000,3.6455
CBOM,D,20150704,000000,3.637
CBOM,D,20150707,000000,3.67
CBOM,D,20150708,000000,3.631
CBOM,D,20150709,000000,3.649
CBOM,D,20150710,000000,3.65
CBOM,D,20150711,000000,3.65
CBOM,D,20150714,000000,3.6545
CBOM,D,20150715,000000,3.6525
CBOM,D,20150716,000000,3.656
CBOM,D,20150717,000000,3.676
CBOM,D,20150718,000000,3.669
CBOM,D,20150721,000000,3.6625
CBOM,D,20150722,000000,3.677
CBOM,D,20150723,000000,3.67
CBOM,D,20150724,000000,3.677
CBOM,D,20150725,000000,3.67
CBOM,D,20150728,000000,3.6745
CBOM,D,20150729,000000,3.6605
CBOM,D,20150730,000000,3.655
CBOM,D,20150731,000000,3.672
CBOM,D,20150801,000000,3.6745
CBOM,D,20150804,000000,3.6595
CBOM,D,20150805,000000,3.639
CBOM,D,20150806,000000,3.635
CBOM,D,20150807,000000,3.63
CBOM,D,20150808,000000,3.655
CBOM,D,20150811,000000,3.655
CBOM,D,20150812,000000,3.66
CBOM,D,20150813,000000,3.68
CBOM,D,20150814,000000,3.6905
CBOM,D,20150815,000000,3.675
CBOM,D,20150818,000000,3.691
CBOM,D,20150819,000000,3.665
CBOM,D,20150820,000000,3.66
CBOM,D,20150821,000000,3.665
CBOM,D,20150822,000000,3.65
CBOM,D,20150825,000000,3.6205
CBOM,D,20150826,000000,3.62
CBOM,D,20150827,000000,3.625
CBOM,D,20150828,000000,3.645
CBOM,D,20150829,000000,3.65
CBOM,D,20150901,000000,3.6455
CBOM,D,20150902,000000,3.63
CBOM,D,20150903,000000,3.64
CBOM,D,20150904,000000,3.65
CBOM,D,20150905,000000,3.652
CBOM,D,20150908,000000,3.635
CBOM,D,20150909,000000,3.6355
CBOM,D,20150910,000000,3.66
CBOM,D,20150911,000000,3.635
CBOM,D,20150912,000000,3.635
CBOM,D,20150915,000000,3.65
CBOM,D,20150916,000000,3.68
CBOM,D,20150917,000000,3.66
CBOM,D,20150918,000000,3.635
CBOM,D,20150919,000000,3.67
CBOM,D,20150922,000000,3.66
CBOM,D,20150923,000000,3.6455
CBOM,D,20150924,000000,3.66
CBOM,D,20150925,000000,3.66
CBOM,D,20150926,000000,3.6655
CBOM,D,20150929,000000,3.68
CBOM,D,20150930,000000,3.69
CBOM,D,20151001,000000,3.704
CBOM,D,20151002,000000,3.7
CBOM,D,20151003,000000,3.732
CBOM,D,20151006,000000,3.7295
CBOM,D,20151007,000000,3.7355
CBOM,D,20151008,000000,3.715
CBOM,D,20151009,000000,3.73
CBOM,D,20151010,000000,3.748
CBOM,D,20151013,000000,3.732
CBOM,D,20151014,000000,3.748
CBOM,D,20151015,000000,3.74
CBOM,D,20151016,000000,3.756
CBOM,D,20151017,000000,3.75
CBOM,D,20151020,000000,3.755
CBOM,D,20151021,000000,3.796
CBOM,D,20151022,000000,3.79
CBOM,D,20151023,000000,3.796
CBOM,D,20151024,000000,3.796
CBOM,D,20151027,000000,3.795
CBOM,D,20151028,000000,3.76
CBOM,D,20151029,000000,3.77
CBOM,D,20151030,000000,3.73
CBOM,D,20151031,000000,3.756
CBOM,D,20151103,000000,3.77
CBOM,D,20151104,000000,3.77
CBOM,D,20151106,000000,3.77
CBOM,D,20151107,000000,3.765
CBOM,D,20151110,000000,3.75
CBOM,D,20151111,000000,3.745
CBOM,D,20151112,000000,3.74
CBOM,D,20151113,000000,3.755
CBOM,D,20151114,000000,3.78
CBOM,D,20151117,000000,3.775
CBOM,D,20151118,000000,3.81
CBOM,D,20151119,000000,3.795
CBOM,D,20151120,000000,3.78
CBOM,D,20151121,000000,3.795
CBOM,D,20151124,000000,3.775
CBOM,D,20151125,000000,3.78
CBOM,D,20151126,000000,3.795
CBOM,D,20151127,000000,3.85
CBOM,D,20151128,000000,3.91
CBOM,D,20151201,000000,3.83
CBOM,D,20151202,000000,3.85
CBOM,D,20151203,000000,3.84
CBOM,D,20151204,000000,3.805
CBOM,D,20151205,000000,3.815
CBOM,D,20151208,000000,3.84
CBOM,D,20151209,000000,3.84
CBOM,D,20151210,000000,3.835
CBOM,D,20151211,000000,3.825
CBOM,D,20151212,000000,3.825
CBOM,D,20151215,000000,3.825
CBOM,D,20151216,000000,3.84
CBOM,D,20151217,000000,3.85
CBOM,D,20151218,000000,3.68
CBOM,D,20151219,000000,3.685
CBOM,D,20151222,000000,3.67
CBOM,D,20151223,000000,3.675
CBOM,D,20151224,000000,3.67
CBOM,D,20151225,000000,3.685
CBOM,D,20151226,000000,3.75
CBOM,D,20151229,000000,3.73
CBOM,D,20151230,000000,3.77
CBOM,D,20151231,000000,3.8
CBOM,D,20160105,000000,3.93
CBOM,D,20160106,000000,3.865
CBOM,D,20160107,000000,3.885
CBOM,D,20160112,000000,3.875
CBOM,D,20160113,000000,3.82
CBOM,D,20160114,000000,3.77
CBOM,D,20160115,000000,3.75
CBOM,D,20160116,000000,3.74
CBOM,D,20160119,000000,3.74
CBOM,D,20160120,000000,3.73
CBOM,D,20160121,000000,3.735
CBOM,D,20160122,000000,3.74
CBOM,D,20160123,000000,3.74
CBOM,D,20160126,000000,3.75
CBOM,D,20160127,000000,3.745
CBOM,D,20160128,000000,3.74
CBOM,D,20160129,000000,3.745
CBOM,D,20160130,000000,3.76
CBOM,D,20160202,000000,3.77
CBOM,D,20160203,000000,3.765
CBOM,D,20160204,000000,3.77
CBOM,D,20160205,000000,3.765
CBOM,D,20160206,000000,3.76
CBOM,D,20160209,000000,3.755
CBOM,D,20160210,000000,3.74
CBOM,D,20160211,000000,3.74
