<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GLTR,D,20201029,000000,456.9
GLTR,D,20201030,000000,457.7
GLTR,D,20201031,000000,455.6
GLTR,D,20201103,000000,461.25
GLTR,D,20201104,000000,456.65
GLTR,D,20201106,000000,451.95
GLTR,D,20201107,000000,456.45
GLTR,D,20201110,000000,457
GLTR,D,20201111,000000,456
GLTR,D,20201112,000000,459.1
GLTR,D,20201113,000000,468.6
GLTR,D,20201114,000000,467.9
GLTR,D,20201117,000000,463
GLTR,D,20201118,000000,460.9
GLTR,D,20201119,000000,459
GLTR,D,20201120,000000,457.2
GLTR,D,20201121,000000,448.4
GLTR,D,20201124,000000,439
GLTR,D,20201125,000000,440.15
GLTR,D,20201126,000000,442.45
GLTR,D,20201127,000000,441.65
GLTR,D,20201128,000000,449.9
GLTR,D,20201201,000000,443.95
GLTR,D,20201202,000000,436.55
GLTR,D,20201203,000000,434.5
GLTR,D,20201204,000000,437
GLTR,D,20201205,000000,437.1
GLTR,D,20201208,000000,442.1
GLTR,D,20201209,000000,440.9
GLTR,D,20201210,000000,442.4
GLTR,D,20201211,000000,443
GLTR,D,20201212,000000,447.15
GLTR,D,20201215,000000,445
GLTR,D,20201216,000000,443.7
GLTR,D,20201217,000000,445.45
GLTR,D,20201218,000000,449.1
GLTR,D,20201219,000000,443.3
GLTR,D,20201222,000000,440
GLTR,D,20201223,000000,445.2
GLTR,D,20201224,000000,443.65
GLTR,D,20201225,000000,441.8
GLTR,D,20201226,000000,446
GLTR,D,20201229,000000,448
GLTR,D,20201230,000000,453
GLTR,D,20201231,000000,455.75
GLTR,D,20210105,000000,458
GLTR,D,20210106,000000,465
GLTR,D,20210107,000000,463.3
GLTR,D,20210109,000000,477
GLTR,D,20210112,000000,492.9
GLTR,D,20210113,000000,485.5
GLTR,D,20210114,000000,484.2
GLTR,D,20210115,000000,491
GLTR,D,20210116,000000,500.2
GLTR,D,20210119,000000,516.95
GLTR,D,20210120,000000,517.05
GLTR,D,20210121,000000,528
GLTR,D,20210122,000000,547
GLTR,D,20210123,000000,537
GLTR,D,20210126,000000,532.6
GLTR,D,20210127,000000,525.5
GLTR,D,20210128,000000,511.55
GLTR,D,20210129,000000,511.5
GLTR,D,20210130,000000,512.45
GLTR,D,20210202,000000,511.15
GLTR,D,20210203,000000,512.15
GLTR,D,20210204,000000,512.5
GLTR,D,20210205,000000,512.1
GLTR,D,20210206,000000,509
GLTR,D,20210209,000000,518.5
GLTR,D,20210210,000000,514.2
GLTR,D,20210211,000000,507.5
GLTR,D,20210212,000000,505.4
GLTR,D,20210213,000000,506.7
GLTR,D,20210216,000000,504.8
GLTR,D,20210217,000000,503.95
GLTR,D,20210218,000000,500
GLTR,D,20210219,000000,498.2
GLTR,D,20210220,000000,496.5
GLTR,D,20210221,000000,501
GLTR,D,20210223,000000,493.45
GLTR,D,20210225,000000,493
GLTR,D,20210226,000000,494.4
GLTR,D,20210227,000000,498.05
GLTR,D,20210302,000000,509.4
GLTR,D,20210303,000000,505
GLTR,D,20210304,000000,504.7
GLTR,D,20210305,000000,502.05
GLTR,D,20210306,000000,506.4
GLTR,D,20210310,000000,507
GLTR,D,20210311,000000,501
GLTR,D,20210312,000000,496.5
GLTR,D,20210313,000000,498
GLTR,D,20210316,000000,512
GLTR,D,20210317,000000,511
