<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
HYDR,D,20150106,000000,0.5656
HYDR,D,20150107,000000,0.5684
HYDR,D,20150109,000000,0.5772
HYDR,D,20150110,000000,0.5498
HYDR,D,20150113,000000,0.5451
HYDR,D,20150114,000000,0.5415
HYDR,D,20150115,000000,0.552
HYDR,D,20150116,000000,0.5495
HYDR,D,20150117,000000,0.546
HYDR,D,20150120,000000,0.5381
HYDR,D,20150121,000000,0.5416
HYDR,D,20150122,000000,0.56
HYDR,D,20150123,000000,0.5687
HYDR,D,20150124,000000,0.5609
HYDR,D,20150127,000000,0.5432
HYDR,D,20150128,000000,0.5451
HYDR,D,20150129,000000,0.5359
HYDR,D,20150130,000000,0.508
HYDR,D,20150131,000000,0.5251
HYDR,D,20150203,000000,0.511
HYDR,D,20150204,000000,0.5197
HYDR,D,20150205,000000,0.518
HYDR,D,20150206,000000,0.5182
HYDR,D,20150207,000000,0.5292
HYDR,D,20150210,000000,0.5272
HYDR,D,20150211,000000,0.5291
HYDR,D,20150212,000000,0.5275
HYDR,D,20150213,000000,0.5385
HYDR,D,20150214,000000,0.61
HYDR,D,20150217,000000,0.608
HYDR,D,20150218,000000,0.5749
HYDR,D,20150219,000000,0.6
HYDR,D,20150220,000000,0.5925
HYDR,D,20150221,000000,0.6285
HYDR,D,20150225,000000,0.6002
HYDR,D,20150226,000000,0.6025
HYDR,D,20150227,000000,0.647
HYDR,D,20150228,000000,0.6448
HYDR,D,20150303,000000,0.6458
HYDR,D,20150304,000000,0.6427
HYDR,D,20150305,000000,0.63
HYDR,D,20150306,000000,0.6265
HYDR,D,20150307,000000,0.6236
HYDR,D,20150311,000000,0.585
HYDR,D,20150312,000000,0.5805
HYDR,D,20150313,000000,0.585
HYDR,D,20150314,000000,0.5669
HYDR,D,20150317,000000,0.5408
HYDR,D,20150318,000000,0.54
HYDR,D,20150319,000000,0.5413
HYDR,D,20150320,000000,0.5441
HYDR,D,20150321,000000,0.5491
HYDR,D,20150324,000000,0.5235
