<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MAGN,D,20150106,000000,11.279
MAGN,D,20150107,000000,11.55
MAGN,D,20150109,000000,12.35
MAGN,D,20150110,000000,12.1
MAGN,D,20150113,000000,11.893
MAGN,D,20150114,000000,12.38
MAGN,D,20150115,000000,12.546
MAGN,D,20150116,000000,12.28
MAGN,D,20150117,000000,12.151
MAGN,D,20150120,000000,12.24
MAGN,D,20150121,000000,12.366
MAGN,D,20150122,000000,12.405
MAGN,D,20150123,000000,12.8
MAGN,D,20150124,000000,12.899
MAGN,D,20150127,000000,12.81
MAGN,D,20150128,000000,13.3
MAGN,D,20150129,000000,13.048
MAGN,D,20150130,000000,13.1
MAGN,D,20150131,000000,13.134
MAGN,D,20150203,000000,13.16
MAGN,D,20150204,000000,13.715
MAGN,D,20150205,000000,13.689
MAGN,D,20150206,000000,13.638
MAGN,D,20150207,000000,13.766
MAGN,D,20150210,000000,14.13
MAGN,D,20150211,000000,14.216
MAGN,D,20150212,000000,14.5
MAGN,D,20150213,000000,14.12
MAGN,D,20150214,000000,14.01
MAGN,D,20150217,000000,13.9
MAGN,D,20150218,000000,14.58
MAGN,D,20150219,000000,14.529
MAGN,D,20150220,000000,14.4
MAGN,D,20150221,000000,14.52
MAGN,D,20150225,000000,14.471
MAGN,D,20150226,000000,14.228
MAGN,D,20150227,000000,14.26
MAGN,D,20150228,000000,14.6
MAGN,D,20150303,000000,14.93
MAGN,D,20150304,000000,15.9
MAGN,D,20150305,000000,15.73
MAGN,D,20150306,000000,15.9
MAGN,D,20150307,000000,15.98
MAGN,D,20150311,000000,15.05
MAGN,D,20150312,000000,15.497
MAGN,D,20150313,000000,15.485
MAGN,D,20150314,000000,15.555
MAGN,D,20150317,000000,15.375
MAGN,D,20150318,000000,15.317
MAGN,D,20150319,000000,15.066
MAGN,D,20150320,000000,14.455
MAGN,D,20150321,000000,14.022
MAGN,D,20150324,000000,14.388
MAGN,D,20150325,000000,14
MAGN,D,20150326,000000,13.7
MAGN,D,20150327,000000,13.299
MAGN,D,20150328,000000,14
MAGN,D,20150331,000000,14
MAGN,D,20150401,000000,14.99
MAGN,D,20150402,000000,15.149
MAGN,D,20150403,000000,14.802
MAGN,D,20150404,000000,14.731
MAGN,D,20150407,000000,14.698
MAGN,D,20150408,000000,15.095
MAGN,D,20150409,000000,15.257
MAGN,D,20150410,000000,15.052
MAGN,D,20150411,000000,14.46
MAGN,D,20150414,000000,15.249
MAGN,D,20150415,000000,14.9
MAGN,D,20150416,000000,14.26
MAGN,D,20150417,000000,13.715
MAGN,D,20150418,000000,13.91
MAGN,D,20150421,000000,15.002
MAGN,D,20150422,000000,15.49
MAGN,D,20150423,000000,15.2
MAGN,D,20150424,000000,14.995
MAGN,D,20150425,000000,14.599
MAGN,D,20150428,000000,15
MAGN,D,20150429,000000,14.84
MAGN,D,20150430,000000,14.641
MAGN,D,20150501,000000,15.12
MAGN,D,20150506,000000,15.103
MAGN,D,20150507,000000,14.678
MAGN,D,20150508,000000,14.75
MAGN,D,20150509,000000,14.665
MAGN,D,20150513,000000,14.999
MAGN,D,20150514,000000,14.511
MAGN,D,20150515,000000,14.71
MAGN,D,20150516,000000,15.352
MAGN,D,20150519,000000,15.06
MAGN,D,20150520,000000,14.82
MAGN,D,20150521,000000,15.015
MAGN,D,20150522,000000,14.95
MAGN,D,20150523,000000,14.68
MAGN,D,20150526,000000,14.99
MAGN,D,20150527,000000,14.582
MAGN,D,20150528,000000,14.882
MAGN,D,20150529,000000,14.824
MAGN,D,20150530,000000,14.705
MAGN,D,20150602,000000,14.709
MAGN,D,20150603,000000,15.21
MAGN,D,20150604,000000,14.655
MAGN,D,20150605,000000,14.823
MAGN,D,20150606,000000,14.832
MAGN,D,20150609,000000,14.78
MAGN,D,20150610,000000,14.828
MAGN,D,20150611,000000,14.742
MAGN,D,20150612,000000,14.75
MAGN,D,20150616,000000,14.653
MAGN,D,20150617,000000,14.75
MAGN,D,20150618,000000,14.949
MAGN,D,20150619,000000,14.7
MAGN,D,20150620,000000,14.499
MAGN,D,20150623,000000,14.67
MAGN,D,20150624,000000,14.7
MAGN,D,20150625,000000,14.66
MAGN,D,20150626,000000,14.661
MAGN,D,20150627,000000,14.55
MAGN,D,20150630,000000,14.722
MAGN,D,20150701,000000,14.7
MAGN,D,20150702,000000,14.783
MAGN,D,20150703,000000,15.002
MAGN,D,20150704,000000,14.915
MAGN,D,20150707,000000,15.289
MAGN,D,20150708,000000,16.4
MAGN,D,20150709,000000,17.04
MAGN,D,20150710,000000,16.8
