<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MGNT,D,20200104,000000,3445.5
MGNT,D,20200107,000000,3416
MGNT,D,20200109,000000,3427
MGNT,D,20200110,000000,3348
MGNT,D,20200111,000000,3319.5
MGNT,D,20200114,000000,3345
MGNT,D,20200115,000000,3339
MGNT,D,20200116,000000,3440
MGNT,D,20200117,000000,3625
MGNT,D,20200118,000000,3623
MGNT,D,20200121,000000,3855
MGNT,D,20200122,000000,3840
MGNT,D,20200123,000000,3750
MGNT,D,20200124,000000,3702.5
MGNT,D,20200125,000000,3796
MGNT,D,20200128,000000,3708.5
MGNT,D,20200129,000000,3751
MGNT,D,20200130,000000,3819.5
MGNT,D,20200131,000000,3830
MGNT,D,20200201,000000,3727
MGNT,D,20200204,000000,3720.5
MGNT,D,20200205,000000,3750
MGNT,D,20200206,000000,3783.5
MGNT,D,20200207,000000,3713
MGNT,D,20200208,000000,3640
MGNT,D,20200211,000000,3564.5
MGNT,D,20200212,000000,3575
MGNT,D,20200213,000000,3760
MGNT,D,20200214,000000,3750
MGNT,D,20200215,000000,3669
MGNT,D,20200218,000000,3697
MGNT,D,20200219,000000,3620
MGNT,D,20200220,000000,3640.5
MGNT,D,20200221,000000,3641
MGNT,D,20200222,000000,3625
MGNT,D,20200226,000000,3503
MGNT,D,20200227,000000,3529
MGNT,D,20200228,000000,3345
MGNT,D,20200229,000000,3160.5
MGNT,D,20200303,000000,3201
MGNT,D,20200304,000000,3150
MGNT,D,20200305,000000,3130
MGNT,D,20200306,000000,3121
MGNT,D,20200307,000000,2984
MGNT,D,20200311,000000,2669.5
MGNT,D,20200312,000000,2705
MGNT,D,20200313,000000,2337
MGNT,D,20200314,000000,2501
MGNT,D,20200317,000000,2636
MGNT,D,20200318,000000,2765.5
MGNT,D,20200319,000000,2780
MGNT,D,20200320,000000,2950
MGNT,D,20200321,000000,3002.5
MGNT,D,20200324,000000,2986
MGNT,D,20200325,000000,3020
MGNT,D,20200326,000000,3070
MGNT,D,20200327,000000,3249.5
MGNT,D,20200328,000000,3140
MGNT,D,20200331,000000,3128.5
MGNT,D,20200401,000000,3202.5
MGNT,D,20200402,000000,3140
MGNT,D,20200403,000000,3190
MGNT,D,20200404,000000,3189
MGNT,D,20200407,000000,3262
MGNT,D,20200408,000000,3255
MGNT,D,20200409,000000,3372.5
MGNT,D,20200410,000000,3318
MGNT,D,20200411,000000,3321.5
MGNT,D,20200414,000000,3286
MGNT,D,20200415,000000,3362
MGNT,D,20200416,000000,3244.5
MGNT,D,20200417,000000,3196.5
MGNT,D,20200418,000000,3236
MGNT,D,20200421,000000,3165
MGNT,D,20200422,000000,3142.5
MGNT,D,20200423,000000,3205
MGNT,D,20200424,000000,3287
MGNT,D,20200425,000000,3215.5
MGNT,D,20200428,000000,3356
MGNT,D,20200429,000000,3380
MGNT,D,20200430,000000,3467
MGNT,D,20200501,000000,3690
MGNT,D,20200505,000000,3760
MGNT,D,20200506,000000,3702
MGNT,D,20200507,000000,3690
MGNT,D,20200508,000000,3694
MGNT,D,20200509,000000,3663
MGNT,D,20200513,000000,3575.5
MGNT,D,20200514,000000,3631
MGNT,D,20200515,000000,3508
MGNT,D,20200516,000000,3544.5
MGNT,D,20200519,000000,3619.5
MGNT,D,20200520,000000,3657
MGNT,D,20200521,000000,3640
MGNT,D,20200522,000000,3600
MGNT,D,20200523,000000,3616
MGNT,D,20200526,000000,3635
MGNT,D,20200527,000000,3615.5
MGNT,D,20200528,000000,3744.5
MGNT,D,20200529,000000,3827
MGNT,D,20200530,000000,3740
MGNT,D,20200602,000000,3832
MGNT,D,20200603,000000,3899.5
MGNT,D,20200604,000000,3869
MGNT,D,20200605,000000,3836
MGNT,D,20200606,000000,3846
MGNT,D,20200609,000000,3950
MGNT,D,20200610,000000,3929
MGNT,D,20200611,000000,3995
MGNT,D,20200612,000000,4004
MGNT,D,20200616,000000,3985.5
MGNT,D,20200617,000000,3950
MGNT,D,20200618,000000,3945
MGNT,D,20200619,000000,3820
MGNT,D,20200620,000000,3980
MGNT,D,20200623,000000,4076
MGNT,D,20200624,000000,4115
MGNT,D,20200626,000000,4140.5
MGNT,D,20200627,000000,4180.5
MGNT,D,20200630,000000,4156.5
MGNT,D,20200701,000000,4035
MGNT,D,20200703,000000,4202
MGNT,D,20200704,000000,4222
MGNT,D,20200707,000000,4332
MGNT,D,20200708,000000,4242
MGNT,D,20200709,000000,4225
MGNT,D,20200710,000000,4337
MGNT,D,20200711,000000,4307
MGNT,D,20200714,000000,4291
MGNT,D,20200715,000000,4259.5
MGNT,D,20200716,000000,4298
MGNT,D,20200717,000000,4303.5
MGNT,D,20200718,000000,4302
MGNT,D,20200721,000000,4476.5
MGNT,D,20200722,000000,4648
MGNT,D,20200723,000000,4690
MGNT,D,20200724,000000,4720
MGNT,D,20200725,000000,4782.5
MGNT,D,20200728,000000,4752
MGNT,D,20200729,000000,4768
MGNT,D,20200730,000000,4698
MGNT,D,20200731,000000,4675.5
MGNT,D,20200801,000000,4586
MGNT,D,20200804,000000,4614
MGNT,D,20200805,000000,4658.5
MGNT,D,20200806,000000,4632
MGNT,D,20200807,000000,4606.5
MGNT,D,20200808,000000,4618
MGNT,D,20200811,000000,4613.5
MGNT,D,20200812,000000,4622
MGNT,D,20200813,000000,4619.5
MGNT,D,20200814,000000,4738.5
MGNT,D,20200815,000000,4763.5
MGNT,D,20200818,000000,4688
MGNT,D,20200819,000000,4690.5
MGNT,D,20200820,000000,4671.5
MGNT,D,20200821,000000,4561.5
MGNT,D,20200822,000000,4523
MGNT,D,20200825,000000,4608
MGNT,D,20200826,000000,4642.5
MGNT,D,20200827,000000,4666
MGNT,D,20200828,000000,4728
MGNT,D,20200829,000000,4581.5
MGNT,D,20200901,000000,4474.5
MGNT,D,20200902,000000,4497.5
MGNT,D,20200903,000000,4564.5
MGNT,D,20200904,000000,4565
MGNT,D,20200905,000000,4590.5
MGNT,D,20200908,000000,4558.5
MGNT,D,20200909,000000,4535
MGNT,D,20200910,000000,4456
MGNT,D,20200911,000000,4475
MGNT,D,20200912,000000,4663.5
MGNT,D,20200915,000000,4671.5
MGNT,D,20200916,000000,4724.5
MGNT,D,20200917,000000,4710
MGNT,D,20200918,000000,4863
MGNT,D,20200919,000000,4805
MGNT,D,20200922,000000,4772.5
MGNT,D,20200923,000000,4962
MGNT,D,20200924,000000,4989.5
MGNT,D,20200925,000000,5057
MGNT,D,20200926,000000,5025
MGNT,D,20200929,000000,5080
MGNT,D,20200930,000000,4965.5
MGNT,D,20201001,000000,4956
MGNT,D,20201002,000000,4896
MGNT,D,20201003,000000,4906.5
MGNT,D,20201006,000000,4895
MGNT,D,20201007,000000,4879
MGNT,D,20201008,000000,4766.5
MGNT,D,20201009,000000,4722
MGNT,D,20201010,000000,4690.5
MGNT,D,20201013,000000,4859
MGNT,D,20201014,000000,4837
MGNT,D,20201015,000000,4912
MGNT,D,20201016,000000,4741
MGNT,D,20201017,000000,4782
MGNT,D,20201020,000000,4914.5
MGNT,D,20201021,000000,4910.5
MGNT,D,20201022,000000,4863
MGNT,D,20201023,000000,4900.5
MGNT,D,20201024,000000,4855.5
MGNT,D,20201027,000000,4799.5
MGNT,D,20201028,000000,4784
MGNT,D,20201029,000000,4702
MGNT,D,20201030,000000,4659
MGNT,D,20201031,000000,4706
MGNT,D,20201103,000000,4829
MGNT,D,20201104,000000,4770
MGNT,D,20201106,000000,4741.5
MGNT,D,20201107,000000,4796
MGNT,D,20201110,000000,4893.5
MGNT,D,20201111,000000,4945
MGNT,D,20201112,000000,4780
MGNT,D,20201113,000000,4910
MGNT,D,20201114,000000,4932
MGNT,D,20201117,000000,4982
MGNT,D,20201118,000000,4891.5
MGNT,D,20201119,000000,4980
MGNT,D,20201120,000000,5012.5
MGNT,D,20201121,000000,4933
MGNT,D,20201124,000000,4945
MGNT,D,20201125,000000,4910
MGNT,D,20201126,000000,4891.5
MGNT,D,20201127,000000,4971.5
MGNT,D,20201128,000000,4985.5
MGNT,D,20201201,000000,4979
MGNT,D,20201202,000000,5019.5
MGNT,D,20201203,000000,4995
MGNT,D,20201204,000000,5008
MGNT,D,20201205,000000,4992.5
MGNT,D,20201208,000000,5008
MGNT,D,20201209,000000,5040.5
MGNT,D,20201210,000000,5384
MGNT,D,20201211,000000,5384.5
MGNT,D,20201212,000000,5381
MGNT,D,20201215,000000,5512
MGNT,D,20201216,000000,5494
MGNT,D,20201217,000000,5432
MGNT,D,20201218,000000,5421
MGNT,D,20201219,000000,5449
MGNT,D,20201222,000000,5362
MGNT,D,20201223,000000,5346
MGNT,D,20201224,000000,5356
MGNT,D,20201225,000000,5424.5
MGNT,D,20201226,000000,5474.5
MGNT,D,20201229,000000,5599
MGNT,D,20201230,000000,5643
MGNT,D,20201231,000000,5685.5
MGNT,D,20210105,000000,5744
MGNT,D,20210106,000000,5762.5
MGNT,D,20210107,000000,5534
MGNT,D,20210109,000000,5478
MGNT,D,20210112,000000,5484.5
MGNT,D,20210113,000000,5450.5
MGNT,D,20210114,000000,5410
MGNT,D,20210115,000000,5375.5
MGNT,D,20210116,000000,5210
MGNT,D,20210119,000000,5219
MGNT,D,20210120,000000,5183.5
MGNT,D,20210121,000000,5161.5
MGNT,D,20210122,000000,5060
MGNT,D,20210123,000000,4991
MGNT,D,20210126,000000,5168.5
MGNT,D,20210127,000000,5175
MGNT,D,20210128,000000,5087.5
MGNT,D,20210129,000000,5060
MGNT,D,20210130,000000,4924
MGNT,D,20210202,000000,4948.5
MGNT,D,20210203,000000,5014.5
MGNT,D,20210204,000000,5048.5
MGNT,D,20210205,000000,5062.5
MGNT,D,20210206,000000,4996
MGNT,D,20210209,000000,5107.5
MGNT,D,20210210,000000,5273
MGNT,D,20210211,000000,5197
MGNT,D,20210212,000000,5117.5
MGNT,D,20210213,000000,5169
MGNT,D,20210216,000000,5280
MGNT,D,20210217,000000,5297.5
MGNT,D,20210218,000000,5260
MGNT,D,20210219,000000,5155.5
MGNT,D,20210220,000000,5172.5
MGNT,D,20210221,000000,5149.5
MGNT,D,20210223,000000,5098
MGNT,D,20210225,000000,5008
MGNT,D,20210226,000000,4919.5
MGNT,D,20210227,000000,4929
MGNT,D,20210302,000000,4970.5
MGNT,D,20210303,000000,5068.5
MGNT,D,20210304,000000,5030
MGNT,D,20210305,000000,4965.5
MGNT,D,20210306,000000,5010
MGNT,D,20210310,000000,4980.5
MGNT,D,20210311,000000,5070
MGNT,D,20210312,000000,5096.5
MGNT,D,20210313,000000,5135.5
MGNT,D,20210316,000000,5217.5
MGNT,D,20210317,000000,5170.5
MGNT,D,20210318,000000,5274.5
MGNT,D,20210319,000000,5362
MGNT,D,20210320,000000,5428.5
MGNT,D,20210323,000000,5409
MGNT,D,20210324,000000,5300.5
MGNT,D,20210325,000000,5354.5
MGNT,D,20210326,000000,5294.5
MGNT,D,20210327,000000,5348
MGNT,D,20210330,000000,5300
MGNT,D,20210331,000000,5281
MGNT,D,20210401,000000,5344.5
MGNT,D,20210402,000000,5293.5
MGNT,D,20210403,000000,5301.5
MGNT,D,20210406,000000,5254.5
MGNT,D,20210407,000000,5110.5
MGNT,D,20210408,000000,5080
MGNT,D,20210409,000000,5099
MGNT,D,20210410,000000,5135
MGNT,D,20210413,000000,5180
MGNT,D,20210414,000000,5134.5
MGNT,D,20210415,000000,5095
MGNT,D,20210416,000000,5111.5
MGNT,D,20210417,000000,5111.5
MGNT,D,20210420,000000,5095.5
MGNT,D,20210421,000000,5086
MGNT,D,20210422,000000,5140
MGNT,D,20210423,000000,5153.5
MGNT,D,20210424,000000,5258
MGNT,D,20210427,000000,5277
MGNT,D,20210428,000000,5255
MGNT,D,20210429,000000,5226
