<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MTLR,D,20150106,000000,24.97
MTLR,D,20150107,000000,25.3
MTLR,D,20150109,000000,26.4
MTLR,D,20150110,000000,26.5
MTLR,D,20150113,000000,26.4
MTLR,D,20150114,000000,25
MTLR,D,20150115,000000,25.25
MTLR,D,20150116,000000,26.13
MTLR,D,20150117,000000,26.28
MTLR,D,20150120,000000,26.8
MTLR,D,20150121,000000,27.23
MTLR,D,20150122,000000,32.15
MTLR,D,20150123,000000,35.55
MTLR,D,20150124,000000,34.4
MTLR,D,20150127,000000,32.71
MTLR,D,20150128,000000,33.7
MTLR,D,20150129,000000,33.59
MTLR,D,20150130,000000,43.3
MTLR,D,20150131,000000,44.85
MTLR,D,20150203,000000,39.59
MTLR,D,20150204,000000,39.1
MTLR,D,20150205,000000,40.89
MTLR,D,20150206,000000,43.28
MTLR,D,20150207,000000,41.99
MTLR,D,20150210,000000,43
MTLR,D,20150211,000000,43.28
MTLR,D,20150212,000000,43.31
MTLR,D,20150213,000000,45
MTLR,D,20150214,000000,45.44
MTLR,D,20150217,000000,44.24
MTLR,D,20150218,000000,46.6
MTLR,D,20150219,000000,47.84
MTLR,D,20150220,000000,55.35
MTLR,D,20150221,000000,55.1
MTLR,D,20150225,000000,61.99
MTLR,D,20150226,000000,73
MTLR,D,20150227,000000,83.58
MTLR,D,20150228,000000,82.27
MTLR,D,20150303,000000,83
MTLR,D,20150304,000000,83.79
MTLR,D,20150305,000000,89.45
MTLR,D,20150306,000000,93.5
MTLR,D,20150307,000000,77.49
MTLR,D,20150311,000000,70.04
MTLR,D,20150312,000000,88
MTLR,D,20150313,000000,87.27
MTLR,D,20150314,000000,82.5
MTLR,D,20150317,000000,73.78
MTLR,D,20150318,000000,72.68
MTLR,D,20150319,000000,78
MTLR,D,20150320,000000,80.05
MTLR,D,20150321,000000,70.54
MTLR,D,20150324,000000,72.15
MTLR,D,20150325,000000,72.19
MTLR,D,20150326,000000,70.3
MTLR,D,20150327,000000,65.54
