<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MTSS,D,20150106,000000,174.7
MTSS,D,20150107,000000,179.9
MTSS,D,20150109,000000,190.05
MTSS,D,20150110,000000,195
MTSS,D,20150113,000000,193
MTSS,D,20150114,000000,204.5
MTSS,D,20150115,000000,210.2
MTSS,D,20150116,000000,216.5
MTSS,D,20150117,000000,215.8
MTSS,D,20150120,000000,215
MTSS,D,20150121,000000,214.15
MTSS,D,20150122,000000,222.95
MTSS,D,20150123,000000,227
MTSS,D,20150124,000000,228
MTSS,D,20150127,000000,214.25
MTSS,D,20150128,000000,215.55
MTSS,D,20150129,000000,214
MTSS,D,20150130,000000,219.55
MTSS,D,20150131,000000,217.85
MTSS,D,20150203,000000,227.3
MTSS,D,20150204,000000,233.05
MTSS,D,20150205,000000,232
MTSS,D,20150206,000000,235.5
MTSS,D,20150207,000000,240.8
MTSS,D,20150210,000000,240.6
MTSS,D,20150211,000000,230.05
MTSS,D,20150212,000000,237.95
MTSS,D,20150213,000000,250.95
MTSS,D,20150214,000000,257.35
MTSS,D,20150217,000000,252.3
MTSS,D,20150218,000000,252
MTSS,D,20150219,000000,250.35
MTSS,D,20150220,000000,257
MTSS,D,20150221,000000,252.5
MTSS,D,20150225,000000,250.3
MTSS,D,20150226,000000,248.6
MTSS,D,20150227,000000,253.5
MTSS,D,20150228,000000,249
MTSS,D,20150303,000000,247.55
MTSS,D,20150304,000000,257.25
MTSS,D,20150305,000000,252
MTSS,D,20150306,000000,247.5
MTSS,D,20150307,000000,244.5
MTSS,D,20150311,000000,234.5
MTSS,D,20150312,000000,234
MTSS,D,20150313,000000,232.35
MTSS,D,20150314,000000,230.3
MTSS,D,20150317,000000,222.7
MTSS,D,20150318,000000,220.4
MTSS,D,20150319,000000,227.3
MTSS,D,20150320,000000,227
MTSS,D,20150321,000000,238.95
MTSS,D,20150324,000000,238.75
MTSS,D,20150325,000000,246
MTSS,D,20150326,000000,249.65
MTSS,D,20150327,000000,242.75
MTSS,D,20150328,000000,243
MTSS,D,20150331,000000,246.3
MTSS,D,20150401,000000,247
MTSS,D,20150402,000000,250.9
MTSS,D,20150403,000000,250
MTSS,D,20150404,000000,248.6
MTSS,D,20150407,000000,253.9
MTSS,D,20150408,000000,255
MTSS,D,20150409,000000,253
MTSS,D,20150410,000000,252
MTSS,D,20150411,000000,248
MTSS,D,20150414,000000,253.1
MTSS,D,20150415,000000,253.5
MTSS,D,20150416,000000,263
MTSS,D,20150417,000000,263.7
MTSS,D,20150418,000000,257
MTSS,D,20150421,000000,252.9
MTSS,D,20150422,000000,255.15
MTSS,D,20150423,000000,252.4
MTSS,D,20150424,000000,253.25
MTSS,D,20150425,000000,255.15
MTSS,D,20150428,000000,257.8
MTSS,D,20150429,000000,261
MTSS,D,20150430,000000,258
MTSS,D,20150501,000000,265
MTSS,D,20150506,000000,267.25
MTSS,D,20150507,000000,262.55
MTSS,D,20150508,000000,260
MTSS,D,20150509,000000,264.85
MTSS,D,20150513,000000,266.3
MTSS,D,20150514,000000,271
MTSS,D,20150515,000000,268.7
MTSS,D,20150516,000000,269.05
MTSS,D,20150519,000000,267.65
MTSS,D,20150520,000000,260
MTSS,D,20150521,000000,252.65
MTSS,D,20150522,000000,251
MTSS,D,20150523,000000,252.5
MTSS,D,20150526,000000,254
MTSS,D,20150527,000000,249.4
MTSS,D,20150528,000000,244.5
MTSS,D,20150529,000000,246.85
MTSS,D,20150530,000000,243
MTSS,D,20150602,000000,241.4
MTSS,D,20150603,000000,245.3
MTSS,D,20150604,000000,241.05
MTSS,D,20150605,000000,239.5
MTSS,D,20150606,000000,239.3
MTSS,D,20150609,000000,241.5
MTSS,D,20150610,000000,241.5
