<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
NVTK,D,20200104,000000,1264
NVTK,D,20200107,000000,1271
NVTK,D,20200109,000000,1325.4
NVTK,D,20200110,000000,1339.4
NVTK,D,20200111,000000,1306.8
NVTK,D,20200114,000000,1305.6
NVTK,D,20200115,000000,1259
NVTK,D,20200116,000000,1260
NVTK,D,20200117,000000,1264
NVTK,D,20200118,000000,1255.4
NVTK,D,20200121,000000,1243
NVTK,D,20200122,000000,1242
NVTK,D,20200123,000000,1196.8
NVTK,D,20200124,000000,1212.4
NVTK,D,20200125,000000,1202
NVTK,D,20200128,000000,1176.6
NVTK,D,20200129,000000,1168.2
NVTK,D,20200130,000000,1199
NVTK,D,20200131,000000,1193.6
NVTK,D,20200201,000000,1155.6
NVTK,D,20200204,000000,1140
NVTK,D,20200205,000000,1143.6
NVTK,D,20200206,000000,1153.8
NVTK,D,20200207,000000,1097.6
NVTK,D,20200208,000000,1072
NVTK,D,20200211,000000,1047.2
NVTK,D,20200212,000000,1060
NVTK,D,20200213,000000,1050
NVTK,D,20200214,000000,1054
NVTK,D,20200215,000000,1051.4
NVTK,D,20200218,000000,1092
NVTK,D,20200219,000000,1094.4
NVTK,D,20200220,000000,1117
NVTK,D,20200221,000000,1106.4
NVTK,D,20200222,000000,1094.2
NVTK,D,20200226,000000,1048
NVTK,D,20200227,000000,1039.6
NVTK,D,20200228,000000,998.4
NVTK,D,20200229,000000,964.8
NVTK,D,20200303,000000,997.2
NVTK,D,20200304,000000,1007.6
NVTK,D,20200305,000000,998
NVTK,D,20200306,000000,988
NVTK,D,20200307,000000,964.8
NVTK,D,20200311,000000,963
NVTK,D,20200312,000000,916.6
NVTK,D,20200313,000000,801
NVTK,D,20200314,000000,806
NVTK,D,20200317,000000,824.2
NVTK,D,20200318,000000,788.4
NVTK,D,20200319,000000,715.8
NVTK,D,20200320,000000,832.4
NVTK,D,20200321,000000,781.8
NVTK,D,20200324,000000,806
NVTK,D,20200325,000000,864
NVTK,D,20200326,000000,922.2
NVTK,D,20200327,000000,918.2
NVTK,D,20200328,000000,869.6
NVTK,D,20200331,000000,866
NVTK,D,20200401,000000,917.6
NVTK,D,20200402,000000,891
NVTK,D,20200403,000000,953
NVTK,D,20200404,000000,987
NVTK,D,20200407,000000,1006.2
NVTK,D,20200408,000000,1038
NVTK,D,20200409,000000,1053.8
NVTK,D,20200410,000000,1073
NVTK,D,20200411,000000,1062.6
NVTK,D,20200414,000000,1024
NVTK,D,20200415,000000,1007.2
NVTK,D,20200416,000000,952
NVTK,D,20200417,000000,938.4
NVTK,D,20200418,000000,957.8
NVTK,D,20200421,000000,971.2
NVTK,D,20200422,000000,955
NVTK,D,20200423,000000,981.4
NVTK,D,20200424,000000,976.4
NVTK,D,20200425,000000,973.2
NVTK,D,20200428,000000,993.8
NVTK,D,20200429,000000,1034.2
NVTK,D,20200430,000000,1040.2
NVTK,D,20200501,000000,1037.2
NVTK,D,20200505,000000,1030
NVTK,D,20200506,000000,1059.8
NVTK,D,20200507,000000,1060
NVTK,D,20200508,000000,1028
NVTK,D,20200509,000000,1032
NVTK,D,20200513,000000,1028
NVTK,D,20200514,000000,1002.6
NVTK,D,20200515,000000,1003
NVTK,D,20200516,000000,1008.2
NVTK,D,20200519,000000,1060
NVTK,D,20200520,000000,1077
NVTK,D,20200521,000000,1140
NVTK,D,20200522,000000,1093
NVTK,D,20200523,000000,1078.4
NVTK,D,20200526,000000,1096
NVTK,D,20200527,000000,1093
NVTK,D,20200528,000000,1068
NVTK,D,20200529,000000,1084
NVTK,D,20200530,000000,1029.6
NVTK,D,20200602,000000,1039.2
NVTK,D,20200603,000000,1066
NVTK,D,20200604,000000,1066.8
NVTK,D,20200605,000000,1067.6
NVTK,D,20200606,000000,1086.4
NVTK,D,20200609,000000,1080
NVTK,D,20200610,000000,1078
NVTK,D,20200611,000000,1092
NVTK,D,20200612,000000,1068.4
NVTK,D,20200616,000000,1060
NVTK,D,20200617,000000,1075.4
NVTK,D,20200618,000000,1072.2
NVTK,D,20200619,000000,1075.2
NVTK,D,20200620,000000,1079
NVTK,D,20200623,000000,1081.4
NVTK,D,20200624,000000,1076.2
NVTK,D,20200626,000000,1064
NVTK,D,20200627,000000,1045
NVTK,D,20200630,000000,1043.8
NVTK,D,20200701,000000,1022
NVTK,D,20200703,000000,1043
NVTK,D,20200704,000000,1048.6
NVTK,D,20200707,000000,1047.4
NVTK,D,20200708,000000,1034.4
NVTK,D,20200709,000000,1045.4
NVTK,D,20200710,000000,1025.8
NVTK,D,20200711,000000,1039
NVTK,D,20200714,000000,1036.4
NVTK,D,20200715,000000,1059.4
NVTK,D,20200716,000000,1069.8
NVTK,D,20200717,000000,1067.2
NVTK,D,20200718,000000,1086.8
NVTK,D,20200721,000000,1094
NVTK,D,20200722,000000,1099
NVTK,D,20200723,000000,1098.4
NVTK,D,20200724,000000,1082.4
NVTK,D,20200725,000000,1093
NVTK,D,20200728,000000,1082
NVTK,D,20200729,000000,1080
NVTK,D,20200730,000000,1089.6
NVTK,D,20200731,000000,1080.8
NVTK,D,20200801,000000,1089.4
NVTK,D,20200804,000000,1065.8
NVTK,D,20200805,000000,1066.4
NVTK,D,20200806,000000,1096.2
NVTK,D,20200807,000000,1108.4
NVTK,D,20200808,000000,1104.8
NVTK,D,20200811,000000,1107.4
NVTK,D,20200812,000000,1115
NVTK,D,20200813,000000,1153.4
NVTK,D,20200814,000000,1150
NVTK,D,20200815,000000,1180.2
NVTK,D,20200818,000000,1162.6
NVTK,D,20200819,000000,1154.4
NVTK,D,20200820,000000,1147.2
NVTK,D,20200821,000000,1127.8
NVTK,D,20200822,000000,1120.6
NVTK,D,20200825,000000,1141.4
NVTK,D,20200826,000000,1138
NVTK,D,20200827,000000,1138.4
NVTK,D,20200828,000000,1110.4
NVTK,D,20200829,000000,1096.4
NVTK,D,20200901,000000,1103
NVTK,D,20200902,000000,1106
NVTK,D,20200903,000000,1097
NVTK,D,20200904,000000,1095
NVTK,D,20200905,000000,1130.4
NVTK,D,20200908,000000,1113.6
NVTK,D,20200909,000000,1102.8
NVTK,D,20200910,000000,1092
NVTK,D,20200911,000000,1078
NVTK,D,20200912,000000,1077.8
NVTK,D,20200915,000000,1091.2
NVTK,D,20200916,000000,1118.2
NVTK,D,20200917,000000,1114.4
NVTK,D,20200918,000000,1125
NVTK,D,20200919,000000,1122
NVTK,D,20200922,000000,1092
NVTK,D,20200923,000000,1087.6
NVTK,D,20200924,000000,1054
NVTK,D,20200925,000000,1063
NVTK,D,20200926,000000,1081.4
NVTK,D,20200929,000000,1092
NVTK,D,20200930,000000,1073.2
NVTK,D,20201001,000000,1064
NVTK,D,20201002,000000,1050.4
NVTK,D,20201003,000000,1060.4
NVTK,D,20201006,000000,1070.6
NVTK,D,20201007,000000,1107.2
NVTK,D,20201008,000000,1097.6
NVTK,D,20201009,000000,1090.6
NVTK,D,20201010,000000,1090.8
NVTK,D,20201013,000000,1099.8
NVTK,D,20201014,000000,1077
NVTK,D,20201015,000000,1089
NVTK,D,20201016,000000,1067
NVTK,D,20201017,000000,1069.6
NVTK,D,20201020,000000,1066.8
NVTK,D,20201021,000000,1062.2
NVTK,D,20201022,000000,1043.2
NVTK,D,20201023,000000,1034.6
NVTK,D,20201024,000000,1058.6
NVTK,D,20201027,000000,1037.8
NVTK,D,20201028,000000,1032
NVTK,D,20201029,000000,991.6
NVTK,D,20201030,000000,985.8
NVTK,D,20201031,000000,951.4
NVTK,D,20201103,000000,1026
NVTK,D,20201104,000000,1030.8
NVTK,D,20201106,000000,1063
NVTK,D,20201107,000000,1094.4
NVTK,D,20201110,000000,1159
NVTK,D,20201111,000000,1188.2
NVTK,D,20201112,000000,1193
NVTK,D,20201113,000000,1198
NVTK,D,20201114,000000,1240.8
NVTK,D,20201117,000000,1253
NVTK,D,20201118,000000,1248.2
NVTK,D,20201119,000000,1261.4
NVTK,D,20201120,000000,1246.8
NVTK,D,20201121,000000,1264
NVTK,D,20201124,000000,1257.2
NVTK,D,20201125,000000,1269.6
NVTK,D,20201126,000000,1267.6
NVTK,D,20201127,000000,1251
