<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RTKM,D,20200104,000000,78.85
RTKM,D,20200107,000000,78.55
RTKM,D,20200109,000000,79
RTKM,D,20200110,000000,83.96
RTKM,D,20200111,000000,83.5
RTKM,D,20200114,000000,82.2
RTKM,D,20200115,000000,82.99
RTKM,D,20200116,000000,86
RTKM,D,20200117,000000,85.89
RTKM,D,20200118,000000,86.9
RTKM,D,20200121,000000,87.3
RTKM,D,20200122,000000,87.1
RTKM,D,20200123,000000,86.5
RTKM,D,20200124,000000,86.4
RTKM,D,20200125,000000,86.2
RTKM,D,20200128,000000,85.8
RTKM,D,20200129,000000,85.3
RTKM,D,20200130,000000,87.2
RTKM,D,20200131,000000,88.4
RTKM,D,20200201,000000,88
RTKM,D,20200204,000000,87.7
RTKM,D,20200205,000000,89.32
RTKM,D,20200206,000000,90.5
RTKM,D,20200207,000000,88.91
RTKM,D,20200208,000000,88.2
RTKM,D,20200211,000000,90.69
RTKM,D,20200212,000000,91.95
RTKM,D,20200213,000000,91
RTKM,D,20200214,000000,90.07
RTKM,D,20200215,000000,90.25
RTKM,D,20200218,000000,90.22
RTKM,D,20200219,000000,89.02
RTKM,D,20200220,000000,89.77
RTKM,D,20200221,000000,89.29
RTKM,D,20200222,000000,89.24
RTKM,D,20200226,000000,89.2
RTKM,D,20200227,000000,88.2
RTKM,D,20200228,000000,86.5
RTKM,D,20200229,000000,86.68
RTKM,D,20200303,000000,86.92
RTKM,D,20200304,000000,86.36
RTKM,D,20200305,000000,83.93
RTKM,D,20200306,000000,82.27
RTKM,D,20200307,000000,80.17
RTKM,D,20200311,000000,75
RTKM,D,20200312,000000,71.56
RTKM,D,20200313,000000,64
RTKM,D,20200314,000000,64.15
RTKM,D,20200317,000000,67.18
RTKM,D,20200318,000000,68.27
RTKM,D,20200319,000000,68
RTKM,D,20200320,000000,69.5
RTKM,D,20200321,000000,66.37
RTKM,D,20200324,000000,65.4
RTKM,D,20200325,000000,67.1
RTKM,D,20200326,000000,68.07
RTKM,D,20200327,000000,69.88
RTKM,D,20200328,000000,67.19
RTKM,D,20200331,000000,70.72
RTKM,D,20200401,000000,74
RTKM,D,20200402,000000,72
RTKM,D,20200403,000000,72
RTKM,D,20200404,000000,73.59
RTKM,D,20200407,000000,76.53
RTKM,D,20200408,000000,78.67
RTKM,D,20200409,000000,79
RTKM,D,20200410,000000,78.45
RTKM,D,20200411,000000,78.17
RTKM,D,20200414,000000,77
RTKM,D,20200415,000000,78.7
RTKM,D,20200416,000000,77.81
RTKM,D,20200417,000000,78.13
RTKM,D,20200418,000000,78.26
RTKM,D,20200421,000000,78.06
RTKM,D,20200422,000000,77.08
RTKM,D,20200423,000000,77.23
RTKM,D,20200424,000000,78
RTKM,D,20200425,000000,77.38
RTKM,D,20200428,000000,79.12
RTKM,D,20200429,000000,81.9
RTKM,D,20200430,000000,82.7
RTKM,D,20200501,000000,82.1
RTKM,D,20200505,000000,82.76
RTKM,D,20200506,000000,82.42
RTKM,D,20200507,000000,81.6
RTKM,D,20200508,000000,81.94
RTKM,D,20200509,000000,82.55
RTKM,D,20200513,000000,81.8
RTKM,D,20200514,000000,80.15
RTKM,D,20200515,000000,81.95
RTKM,D,20200516,000000,80.88
RTKM,D,20200519,000000,82.38
RTKM,D,20200520,000000,82.84
RTKM,D,20200521,000000,82.2
RTKM,D,20200522,000000,81.46
RTKM,D,20200523,000000,81.62
RTKM,D,20200526,000000,82.03
RTKM,D,20200527,000000,81.52
RTKM,D,20200528,000000,81.21
RTKM,D,20200529,000000,82.4
RTKM,D,20200530,000000,82.92
RTKM,D,20200602,000000,83.5
RTKM,D,20200603,000000,84.44
RTKM,D,20200604,000000,84.72
RTKM,D,20200605,000000,85
RTKM,D,20200606,000000,84.9
RTKM,D,20200609,000000,84.2
RTKM,D,20200610,000000,84.9
RTKM,D,20200611,000000,84.98
RTKM,D,20200612,000000,84
RTKM,D,20200616,000000,82.68
RTKM,D,20200617,000000,82.56
RTKM,D,20200618,000000,82.69
RTKM,D,20200619,000000,84.5
RTKM,D,20200620,000000,86.8
RTKM,D,20200623,000000,86
RTKM,D,20200624,000000,85.26
