<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RUAL,D,20200104,000000,30.605
RUAL,D,20200107,000000,30.26
RUAL,D,20200109,000000,30.155
RUAL,D,20200110,000000,30.8
RUAL,D,20200111,000000,31.7
RUAL,D,20200114,000000,32.2
RUAL,D,20200115,000000,32.83
RUAL,D,20200116,000000,32.8
RUAL,D,20200117,000000,33.575
RUAL,D,20200118,000000,37
RUAL,D,20200121,000000,39.22
RUAL,D,20200122,000000,37.85
RUAL,D,20200123,000000,35.535
RUAL,D,20200124,000000,35.2
RUAL,D,20200125,000000,35
RUAL,D,20200128,000000,34.18
RUAL,D,20200129,000000,34.15
RUAL,D,20200130,000000,35.2
RUAL,D,20200131,000000,35.3
RUAL,D,20200201,000000,34.795
RUAL,D,20200204,000000,34.95
RUAL,D,20200205,000000,36.37
RUAL,D,20200206,000000,36.665
RUAL,D,20200207,000000,35.81
RUAL,D,20200208,000000,35.615
RUAL,D,20200211,000000,35.035
RUAL,D,20200212,000000,35.245
RUAL,D,20200213,000000,35.405
RUAL,D,20200214,000000,35.49
RUAL,D,20200215,000000,35.33
RUAL,D,20200218,000000,36.47
RUAL,D,20200219,000000,35.8
RUAL,D,20200220,000000,36.95
RUAL,D,20200221,000000,37
RUAL,D,20200222,000000,36.5
RUAL,D,20200226,000000,34.4
RUAL,D,20200227,000000,34.97
RUAL,D,20200228,000000,32.6
RUAL,D,20200229,000000,31.375
RUAL,D,20200303,000000,30.405
RUAL,D,20200304,000000,31.49
RUAL,D,20200305,000000,31.9
RUAL,D,20200306,000000,32.3
RUAL,D,20200307,000000,31.5
RUAL,D,20200311,000000,31
RUAL,D,20200312,000000,29.65
RUAL,D,20200313,000000,25
RUAL,D,20200314,000000,24.4
RUAL,D,20200317,000000,23.785
RUAL,D,20200318,000000,23
RUAL,D,20200319,000000,20.41
RUAL,D,20200320,000000,21.105
RUAL,D,20200321,000000,22.4
RUAL,D,20200324,000000,21.595
RUAL,D,20200325,000000,24.35
