<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBERP,D,20200104,000000,226.4
SBERP,D,20200107,000000,225.95
SBERP,D,20200109,000000,230.38
SBERP,D,20200110,000000,231
SBERP,D,20200111,000000,232
SBERP,D,20200114,000000,234.95
SBERP,D,20200115,000000,232.2
SBERP,D,20200116,000000,230.16
SBERP,D,20200117,000000,230.99
SBERP,D,20200118,000000,234.57
SBERP,D,20200121,000000,238.5
SBERP,D,20200122,000000,238.4
SBERP,D,20200123,000000,236.5
SBERP,D,20200124,000000,233.77
SBERP,D,20200125,000000,234.61
SBERP,D,20200128,000000,228.51
SBERP,D,20200129,000000,229.86
SBERP,D,20200130,000000,231.39
SBERP,D,20200131,000000,229.63
SBERP,D,20200201,000000,227.1
SBERP,D,20200204,000000,225.6
SBERP,D,20200205,000000,226.9
SBERP,D,20200206,000000,229.4
SBERP,D,20200207,000000,229.54
SBERP,D,20200208,000000,231.08
SBERP,D,20200211,000000,231.8
SBERP,D,20200212,000000,237
SBERP,D,20200213,000000,235.6
SBERP,D,20200214,000000,236.3
SBERP,D,20200215,000000,232.87
SBERP,D,20200218,000000,231.47
SBERP,D,20200219,000000,228.14
SBERP,D,20200220,000000,229.53
SBERP,D,20200221,000000,229.9
SBERP,D,20200222,000000,230.91
SBERP,D,20200226,000000,227.5
SBERP,D,20200227,000000,229.08
SBERP,D,20200228,000000,222
SBERP,D,20200229,000000,215.15
SBERP,D,20200303,000000,216.96
SBERP,D,20200304,000000,222.4
SBERP,D,20200305,000000,222
SBERP,D,20200306,000000,220
SBERP,D,20200307,000000,210.01
SBERP,D,20200311,000000,193.18
SBERP,D,20200312,000000,188.8
SBERP,D,20200313,000000,171.37
SBERP,D,20200314,000000,185.85
SBERP,D,20200317,000000,177
SBERP,D,20200318,000000,172.46
SBERP,D,20200319,000000,162
SBERP,D,20200320,000000,172.95
SBERP,D,20200321,000000,180.9
SBERP,D,20200324,000000,174.2
SBERP,D,20200325,000000,181.1
SBERP,D,20200326,000000,177.01
SBERP,D,20200327,000000,179.1
SBERP,D,20200328,000000,173
SBERP,D,20200331,000000,173.75
SBERP,D,20200401,000000,176.83
SBERP,D,20200402,000000,174.1
SBERP,D,20200403,000000,174.34
SBERP,D,20200404,000000,175.5
SBERP,D,20200407,000000,179.88
SBERP,D,20200408,000000,183.74
SBERP,D,20200409,000000,185.17
SBERP,D,20200410,000000,186.6
SBERP,D,20200411,000000,185.34
SBERP,D,20200414,000000,181.4
SBERP,D,20200415,000000,180.36
SBERP,D,20200416,000000,172
SBERP,D,20200417,000000,172.16
SBERP,D,20200418,000000,174.1
SBERP,D,20200421,000000,171.37
SBERP,D,20200422,000000,167.65
SBERP,D,20200423,000000,171.9
SBERP,D,20200424,000000,172.64
SBERP,D,20200425,000000,171.46
SBERP,D,20200428,000000,172.43
SBERP,D,20200429,000000,176.12
SBERP,D,20200430,000000,177.5
SBERP,D,20200501,000000,177.2
SBERP,D,20200505,000000,176.34
SBERP,D,20200506,000000,178.49
SBERP,D,20200507,000000,181
SBERP,D,20200508,000000,180.02
SBERP,D,20200509,000000,179.79
SBERP,D,20200513,000000,177.9
SBERP,D,20200514,000000,174.62
SBERP,D,20200515,000000,172.63
SBERP,D,20200516,000000,172.28
SBERP,D,20200519,000000,177.14
SBERP,D,20200520,000000,174.59
SBERP,D,20200521,000000,177.88
SBERP,D,20200522,000000,176.79
SBERP,D,20200523,000000,176.66
SBERP,D,20200526,000000,176.8
SBERP,D,20200527,000000,177.22
SBERP,D,20200528,000000,178.8
SBERP,D,20200529,000000,185.5
SBERP,D,20200530,000000,181.6
SBERP,D,20200602,000000,184
SBERP,D,20200603,000000,192.5
SBERP,D,20200604,000000,198.99
SBERP,D,20200605,000000,193.1
SBERP,D,20200606,000000,200.3
SBERP,D,20200609,000000,200.5
SBERP,D,20200610,000000,198.45
SBERP,D,20200611,000000,195.85
SBERP,D,20200612,000000,191.4
SBERP,D,20200616,000000,191
SBERP,D,20200617,000000,193.2
SBERP,D,20200618,000000,191.29
SBERP,D,20200619,000000,189.8
SBERP,D,20200620,000000,191.09
SBERP,D,20200623,000000,191.01
SBERP,D,20200624,000000,190.5
SBERP,D,20200626,000000,190
SBERP,D,20200627,000000,187.6
SBERP,D,20200630,000000,190.6
SBERP,D,20200701,000000,188.76
SBERP,D,20200703,000000,192.6
SBERP,D,20200704,000000,193.47
SBERP,D,20200707,000000,196.91
SBERP,D,20200708,000000,193.25
SBERP,D,20200709,000000,193.48
SBERP,D,20200710,000000,192.46
SBERP,D,20200711,000000,193.49
SBERP,D,20200714,000000,190.87
SBERP,D,20200715,000000,192.17
SBERP,D,20200716,000000,193.21
SBERP,D,20200717,000000,193.86
SBERP,D,20200718,000000,195.19
SBERP,D,20200721,000000,197.74
SBERP,D,20200722,000000,198.35
SBERP,D,20200723,000000,199.36
SBERP,D,20200724,000000,198.4
SBERP,D,20200725,000000,199
SBERP,D,20200728,000000,201.29
SBERP,D,20200729,000000,200.47
SBERP,D,20200730,000000,202.87
SBERP,D,20200731,000000,203.33
SBERP,D,20200801,000000,205.47
SBERP,D,20200804,000000,209.82
SBERP,D,20200805,000000,210.4
SBERP,D,20200806,000000,209.35
SBERP,D,20200807,000000,209.45
SBERP,D,20200808,000000,210.6
SBERP,D,20200811,000000,210.64
SBERP,D,20200812,000000,214.06
SBERP,D,20200813,000000,220.5
SBERP,D,20200814,000000,220.01
SBERP,D,20200815,000000,219.27
SBERP,D,20200818,000000,217.79
SBERP,D,20200819,000000,216.3
SBERP,D,20200820,000000,218.15
SBERP,D,20200821,000000,215.5
SBERP,D,20200822,000000,217.71
SBERP,D,20200825,000000,218.95
SBERP,D,20200826,000000,216.99
SBERP,D,20200827,000000,217.4
SBERP,D,20200828,000000,216.6
SBERP,D,20200829,000000,215.54
SBERP,D,20200901,000000,215.5
SBERP,D,20200902,000000,217.16
SBERP,D,20200903,000000,214
SBERP,D,20200904,000000,210.4
SBERP,D,20200905,000000,214.35
SBERP,D,20200908,000000,213.93
SBERP,D,20200909,000000,211.04
SBERP,D,20200910,000000,211.17
SBERP,D,20200911,000000,211.4
SBERP,D,20200912,000000,214.31
SBERP,D,20200915,000000,218.3
SBERP,D,20200916,000000,221.87
SBERP,D,20200917,000000,222.11
SBERP,D,20200918,000000,221.89
SBERP,D,20200919,000000,222.14
SBERP,D,20200922,000000,219.25
SBERP,D,20200923,000000,222.24
SBERP,D,20200924,000000,221.8
SBERP,D,20200925,000000,220
SBERP,D,20200926,000000,220.9
SBERP,D,20200929,000000,221.47
SBERP,D,20200930,000000,219.98
SBERP,D,20201001,000000,221.8
SBERP,D,20201002,000000,220.02
SBERP,D,20201003,000000,202.25
SBERP,D,20201006,000000,202.62
SBERP,D,20201007,000000,201.49
