<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBER,D,20200104,000000,255
SBER,D,20200107,000000,253.9
SBER,D,20200109,000000,259.15
SBER,D,20200110,000000,257.99
SBER,D,20200111,000000,258.19
SBER,D,20200114,000000,262.4
SBER,D,20200115,000000,259.05
SBER,D,20200116,000000,256.31
SBER,D,20200117,000000,257.51
SBER,D,20200118,000000,262.5
SBER,D,20200121,000000,266.28
SBER,D,20200122,000000,268.06
SBER,D,20200123,000000,266.54
SBER,D,20200124,000000,263.73
SBER,D,20200125,000000,265.49
SBER,D,20200128,000000,255.32
SBER,D,20200129,000000,257.7
SBER,D,20200130,000000,259.94
SBER,D,20200131,000000,257.31
SBER,D,20200201,000000,252.2
SBER,D,20200204,000000,253.99
SBER,D,20200205,000000,255.4
SBER,D,20200206,000000,255.2
SBER,D,20200207,000000,252.11
SBER,D,20200208,000000,254.3
SBER,D,20200211,000000,252.26
SBER,D,20200212,000000,254.5
SBER,D,20200213,000000,254.5
SBER,D,20200214,000000,253.89
SBER,D,20200215,000000,251.75
SBER,D,20200218,000000,251.36
SBER,D,20200219,000000,249.2
SBER,D,20200220,000000,249.7
SBER,D,20200221,000000,250.15
SBER,D,20200222,000000,250.8
SBER,D,20200226,000000,245.19
SBER,D,20200227,000000,250.8
SBER,D,20200228,000000,242.88
SBER,D,20200229,000000,233.36
SBER,D,20200303,000000,228.17
SBER,D,20200304,000000,236.63
SBER,D,20200305,000000,235.27
SBER,D,20200306,000000,232.33
SBER,D,20200307,000000,219.99
SBER,D,20200311,000000,201.2
SBER,D,20200312,000000,194.53
SBER,D,20200313,000000,175.91
SBER,D,20200314,000000,198.6
SBER,D,20200317,000000,195.85
SBER,D,20200318,000000,184.01
SBER,D,20200319,000000,174.27
SBER,D,20200320,000000,189.51
SBER,D,20200321,000000,195.69
SBER,D,20200324,000000,183.37
SBER,D,20200325,000000,192.64
SBER,D,20200326,000000,188.08
SBER,D,20200327,000000,188.07
SBER,D,20200328,000000,180.38
