<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SELG,D,20150106,000000,4.595
SELG,D,20150107,000000,4.5
SELG,D,20150109,000000,4.595
SELG,D,20150110,000000,4.555
SELG,D,20150113,000000,4.65
SELG,D,20150114,000000,4.695
SELG,D,20150115,000000,4.48
SELG,D,20150116,000000,4.305
SELG,D,20150117,000000,4.275
SELG,D,20150120,000000,4.345
SELG,D,20150121,000000,4.25
SELG,D,20150122,000000,3.935
SELG,D,20150123,000000,4.085
SELG,D,20150124,000000,3.98
SELG,D,20150127,000000,3.945
SELG,D,20150128,000000,4.015
SELG,D,20150129,000000,3.96
SELG,D,20150130,000000,3.9
SELG,D,20150131,000000,3.92
SELG,D,20150203,000000,3.85
SELG,D,20150204,000000,3.835
SELG,D,20150205,000000,3.855
SELG,D,20150206,000000,3.915
SELG,D,20150207,000000,3.88
SELG,D,20150210,000000,3.855
SELG,D,20150211,000000,4.15
SELG,D,20150212,000000,4.095
SELG,D,20150213,000000,3.91
SELG,D,20150214,000000,3.935
SELG,D,20150217,000000,3.995
SELG,D,20150218,000000,3.945
SELG,D,20150219,000000,3.995
SELG,D,20150220,000000,3.98
SELG,D,20150221,000000,4.035
SELG,D,20150225,000000,4
SELG,D,20150226,000000,4.125
SELG,D,20150227,000000,4.895
SELG,D,20150228,000000,4.615
SELG,D,20150303,000000,4.55
SELG,D,20150304,000000,4.445
SELG,D,20150305,000000,4.41
SELG,D,20150306,000000,4.445
SELG,D,20150307,000000,4.985
SELG,D,20150311,000000,4.49
SELG,D,20150312,000000,4.44
SELG,D,20150313,000000,4.475
SELG,D,20150314,000000,4.435
SELG,D,20150317,000000,4.17
SELG,D,20150318,000000,4.2
SELG,D,20150319,000000,4.185
SELG,D,20150320,000000,4.185
SELG,D,20150321,000000,4.155
SELG,D,20150324,000000,4.335
SELG,D,20150325,000000,4.295
SELG,D,20150326,000000,4.295
SELG,D,20150327,000000,4.335
SELG,D,20150328,000000,4.48
SELG,D,20150331,000000,4.445
SELG,D,20150401,000000,4.38
SELG,D,20150402,000000,4.4
SELG,D,20150403,000000,4.37
SELG,D,20150404,000000,4.23
SELG,D,20150407,000000,4.77
SELG,D,20150408,000000,4.44
SELG,D,20150409,000000,4.32
SELG,D,20150410,000000,4.26
SELG,D,20150411,000000,4.3
SELG,D,20150414,000000,4.4
SELG,D,20150415,000000,4.3
SELG,D,20150416,000000,4.25
SELG,D,20150417,000000,4.13
SELG,D,20150418,000000,4.125
SELG,D,20150421,000000,4.13
SELG,D,20150422,000000,4.125
SELG,D,20150423,000000,4.075
SELG,D,20150424,000000,4.095
SELG,D,20150425,000000,4.04
SELG,D,20150428,000000,4.1
SELG,D,20150429,000000,4.09
SELG,D,20150430,000000,4.145
SELG,D,20150501,000000,4.095
SELG,D,20150506,000000,4.195
SELG,D,20150507,000000,4.2
SELG,D,20150508,000000,4.09
SELG,D,20150509,000000,4.095
SELG,D,20150513,000000,4.09
SELG,D,20150514,000000,4.11
SELG,D,20150515,000000,4.115
SELG,D,20150516,000000,4.15
SELG,D,20150519,000000,4.16
SELG,D,20150520,000000,4.15
SELG,D,20150521,000000,4.095
SELG,D,20150522,000000,4.14
SELG,D,20150523,000000,4.08
SELG,D,20150526,000000,4.02
SELG,D,20150527,000000,4.03
SELG,D,20150528,000000,4.11
SELG,D,20150529,000000,4.075
SELG,D,20150530,000000,4.09
SELG,D,20150602,000000,4.045
SELG,D,20150603,000000,4.05
SELG,D,20150604,000000,4.05
SELG,D,20150605,000000,4.04
SELG,D,20150606,000000,4.05
SELG,D,20150609,000000,4.05
SELG,D,20150610,000000,4.03
SELG,D,20150611,000000,4.035
SELG,D,20150612,000000,4.07
SELG,D,20150616,000000,4.09
SELG,D,20150617,000000,4.09
SELG,D,20150618,000000,4.015
SELG,D,20150619,000000,4.1
SELG,D,20150620,000000,4.165
SELG,D,20150623,000000,4.085
SELG,D,20150624,000000,4.09
SELG,D,20150625,000000,4.035
SELG,D,20150626,000000,4.115
SELG,D,20150627,000000,4.2
SELG,D,20150630,000000,4.15
SELG,D,20150701,000000,4.11
SELG,D,20150702,000000,4.09
SELG,D,20150703,000000,4.045
SELG,D,20150704,000000,4.095
SELG,D,20150707,000000,4.02
SELG,D,20150708,000000,4.05
SELG,D,20150709,000000,4.01
SELG,D,20150710,000000,4.09
SELG,D,20150711,000000,4.075
SELG,D,20150714,000000,4.02
SELG,D,20150715,000000,4.005
SELG,D,20150716,000000,4.005
SELG,D,20150717,000000,4.135
SELG,D,20150718,000000,4.19
SELG,D,20150721,000000,4.3
SELG,D,20150722,000000,4.23
SELG,D,20150723,000000,4.22
SELG,D,20150724,000000,4.2
SELG,D,20150725,000000,4.16
SELG,D,20150728,000000,4.105
SELG,D,20150729,000000,4.065
SELG,D,20150730,000000,4.18
SELG,D,20150731,000000,4.065
SELG,D,20150801,000000,4.055
SELG,D,20150804,000000,4
SELG,D,20150805,000000,4
SELG,D,20150806,000000,4.08
SELG,D,20150807,000000,4.02
SELG,D,20150808,000000,3.98
SELG,D,20150811,000000,4.04
SELG,D,20150812,000000,3.98
SELG,D,20150813,000000,4.04
SELG,D,20150814,000000,4.03
SELG,D,20150815,000000,4
SELG,D,20150818,000000,4
SELG,D,20150819,000000,4.02
SELG,D,20150820,000000,4
SELG,D,20150821,000000,3.98
SELG,D,20150822,000000,4.15
