<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
UPRO,D,20200104,000000,2.811
UPRO,D,20200107,000000,2.786
UPRO,D,20200109,000000,2.81
UPRO,D,20200110,000000,2.83
UPRO,D,20200111,000000,2.846
UPRO,D,20200114,000000,2.862
UPRO,D,20200115,000000,2.952
UPRO,D,20200116,000000,2.92
UPRO,D,20200117,000000,3.034
UPRO,D,20200118,000000,2.99
UPRO,D,20200121,000000,2.98
UPRO,D,20200122,000000,2.97
UPRO,D,20200123,000000,2.93
UPRO,D,20200124,000000,2.88
UPRO,D,20200125,000000,2.925
UPRO,D,20200128,000000,2.908
UPRO,D,20200129,000000,2.956
UPRO,D,20200130,000000,2.97
UPRO,D,20200131,000000,2.96
UPRO,D,20200201,000000,2.942
UPRO,D,20200204,000000,2.917
UPRO,D,20200205,000000,2.97
UPRO,D,20200206,000000,3.02
UPRO,D,20200207,000000,3.039
UPRO,D,20200208,000000,3.027
UPRO,D,20200211,000000,3.019
UPRO,D,20200212,000000,3.065
UPRO,D,20200213,000000,3.1
UPRO,D,20200214,000000,3.14
UPRO,D,20200215,000000,3.125
UPRO,D,20200218,000000,3.139
UPRO,D,20200219,000000,3.057
UPRO,D,20200220,000000,3.114
UPRO,D,20200221,000000,3.129
UPRO,D,20200222,000000,3.133
UPRO,D,20200226,000000,3.021
UPRO,D,20200227,000000,3.09
UPRO,D,20200228,000000,2.999
UPRO,D,20200229,000000,2.988
UPRO,D,20200303,000000,2.922
UPRO,D,20200304,000000,2.957
UPRO,D,20200305,000000,2.963
UPRO,D,20200306,000000,2.949
UPRO,D,20200307,000000,2.908
UPRO,D,20200311,000000,2.786
UPRO,D,20200312,000000,2.742
UPRO,D,20200313,000000,2.58
UPRO,D,20200314,000000,2.5
UPRO,D,20200317,000000,2.432
UPRO,D,20200318,000000,2.315
UPRO,D,20200319,000000,2.33
UPRO,D,20200320,000000,2.425
UPRO,D,20200321,000000,2.454
UPRO,D,20200324,000000,2.416
UPRO,D,20200325,000000,2.508
UPRO,D,20200326,000000,2.525
UPRO,D,20200327,000000,2.566
UPRO,D,20200328,000000,2.499
UPRO,D,20200331,000000,2.482
UPRO,D,20200401,000000,2.574
UPRO,D,20200402,000000,2.54
UPRO,D,20200403,000000,2.549
UPRO,D,20200404,000000,2.571
UPRO,D,20200407,000000,2.639
UPRO,D,20200408,000000,2.613
UPRO,D,20200409,000000,2.66
UPRO,D,20200410,000000,2.649
UPRO,D,20200411,000000,2.705
UPRO,D,20200414,000000,2.705
UPRO,D,20200415,000000,2.788
UPRO,D,20200416,000000,2.678
UPRO,D,20200417,000000,2.702
UPRO,D,20200418,000000,2.69
UPRO,D,20200421,000000,2.698
UPRO,D,20200422,000000,2.68
UPRO,D,20200423,000000,2.702
UPRO,D,20200424,000000,2.69
UPRO,D,20200425,000000,2.68
UPRO,D,20200428,000000,2.705
UPRO,D,20200429,000000,2.713
UPRO,D,20200430,000000,2.745
