<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
CHMF,D,20150106,000000,522
CHMF,D,20150107,000000,556.9
CHMF,D,20150109,000000,542.7
CHMF,D,20150110,000000,548.55
CHMF,D,20150113,000000,558.45
CHMF,D,20150114,000000,583
CHMF,D,20150115,000000,595
CHMF,D,20150116,000000,577
CHMF,D,20150117,000000,587.9
CHMF,D,20150120,000000,589
CHMF,D,20150121,000000,586.9
CHMF,D,20150122,000000,592
CHMF,D,20150123,000000,599.5
CHMF,D,20150124,000000,587
CHMF,D,20150127,000000,616.15
CHMF,D,20150128,000000,632.5
CHMF,D,20150129,000000,630.85
CHMF,D,20150130,000000,634.2
CHMF,D,20150131,000000,642.35
CHMF,D,20150203,000000,645.9
CHMF,D,20150204,000000,632
CHMF,D,20150205,000000,656
CHMF,D,20150206,000000,663.4
CHMF,D,20150207,000000,701.2
CHMF,D,20150210,000000,696
CHMF,D,20150211,000000,688
CHMF,D,20150212,000000,695
CHMF,D,20150213,000000,713
CHMF,D,20150214,000000,711.5
CHMF,D,20150217,000000,685
CHMF,D,20150218,000000,698.6
CHMF,D,20150219,000000,702
CHMF,D,20150220,000000,706
CHMF,D,20150221,000000,704.9
CHMF,D,20150225,000000,698.1
CHMF,D,20150226,000000,689
CHMF,D,20150227,000000,684
CHMF,D,20150228,000000,682
CHMF,D,20150303,000000,707.6
CHMF,D,20150304,000000,738.45
CHMF,D,20150305,000000,730
CHMF,D,20150306,000000,730.05
CHMF,D,20150307,000000,721
CHMF,D,20150311,000000,710.35
CHMF,D,20150312,000000,734.5
CHMF,D,20150313,000000,710
CHMF,D,20150314,000000,708.1
CHMF,D,20150317,000000,708.6
CHMF,D,20150318,000000,692.8
CHMF,D,20150319,000000,690
CHMF,D,20150320,000000,680.75
CHMF,D,20150321,000000,683
CHMF,D,20150324,000000,674.5
CHMF,D,20150325,000000,661.7
CHMF,D,20150326,000000,658.15
CHMF,D,20150327,000000,636.9
CHMF,D,20150328,000000,642.8
CHMF,D,20150331,000000,657
CHMF,D,20150401,000000,658
CHMF,D,20150402,000000,644.5
CHMF,D,20150403,000000,643
CHMF,D,20150404,000000,641.05
CHMF,D,20150407,000000,638.2
CHMF,D,20150408,000000,636.9
CHMF,D,20150409,000000,620
CHMF,D,20150410,000000,612.6
CHMF,D,20150411,000000,607
CHMF,D,20150414,000000,604.5
CHMF,D,20150415,000000,590
CHMF,D,20150416,000000,580.95
CHMF,D,20150417,000000,566.55
CHMF,D,20150418,000000,563
CHMF,D,20150421,000000,564.95
CHMF,D,20150422,000000,569
CHMF,D,20150423,000000,572.6
CHMF,D,20150424,000000,548.7
