<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
FEES,D,20150106,000000,0.04713
FEES,D,20150107,000000,0.0485
FEES,D,20150109,000000,0.0503
FEES,D,20150110,000000,0.04897
FEES,D,20150113,000000,0.04955
FEES,D,20150114,000000,0.05003
FEES,D,20150115,000000,0.05226
FEES,D,20150116,000000,0.051
FEES,D,20150117,000000,0.05195
FEES,D,20150120,000000,0.05097
FEES,D,20150121,000000,0.05195
FEES,D,20150122,000000,0.05238
FEES,D,20150123,000000,0.05263
FEES,D,20150124,000000,0.052
FEES,D,20150127,000000,0.0505
FEES,D,20150128,000000,0.05035
FEES,D,20150129,000000,0.05072
FEES,D,20150130,000000,0.04941
FEES,D,20150131,000000,0.04982
FEES,D,20150203,000000,0.04913
FEES,D,20150204,000000,0.04889
FEES,D,20150205,000000,0.04953
FEES,D,20150206,000000,0.05004
FEES,D,20150207,000000,0.0524
FEES,D,20150210,000000,0.05404
FEES,D,20150211,000000,0.05389
FEES,D,20150212,000000,0.05471
FEES,D,20150213,000000,0.05795
FEES,D,20150214,000000,0.0677
FEES,D,20150217,000000,0.06853
FEES,D,20150218,000000,0.0643
FEES,D,20150219,000000,0.06813
FEES,D,20150220,000000,0.0652
FEES,D,20150221,000000,0.068
FEES,D,20150225,000000,0.0665
FEES,D,20150226,000000,0.07165
FEES,D,20150227,000000,0.07621
FEES,D,20150228,000000,0.07535
FEES,D,20150303,000000,0.07452
FEES,D,20150304,000000,0.0757
FEES,D,20150305,000000,0.07777
FEES,D,20150306,000000,0.07755
FEES,D,20150307,000000,0.07555
FEES,D,20150311,000000,0.06999
FEES,D,20150312,000000,0.0743
FEES,D,20150313,000000,0.07889
FEES,D,20150314,000000,0.0763
FEES,D,20150317,000000,0.07334
FEES,D,20150318,000000,0.0782
FEES,D,20150319,000000,0.07458
FEES,D,20150320,000000,0.0723
FEES,D,20150321,000000,0.06728
FEES,D,20150324,000000,0.06294
FEES,D,20150325,000000,0.06669
FEES,D,20150326,000000,0.0652
