<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,D,20150106,000000,133.95
GAZP,D,20150107,000000,138.92
GAZP,D,20150109,000000,146.46
GAZP,D,20150110,000000,141.7
GAZP,D,20150113,000000,140.22
GAZP,D,20150114,000000,142.64
GAZP,D,20150115,000000,146.3
GAZP,D,20150116,000000,147
GAZP,D,20150117,000000,149.6
GAZP,D,20150120,000000,148.11
GAZP,D,20150121,000000,145.75
GAZP,D,20150122,000000,148.8
GAZP,D,20150123,000000,151.5
GAZP,D,20150124,000000,152.83
GAZP,D,20150127,000000,148
GAZP,D,20150128,000000,150.9
GAZP,D,20150129,000000,147.7
GAZP,D,20150130,000000,145
GAZP,D,20150131,000000,143.82
GAZP,D,20150203,000000,138.18
GAZP,D,20150204,000000,140.35
GAZP,D,20150205,000000,142.6
GAZP,D,20150206,000000,147.6
GAZP,D,20150207,000000,151.6
GAZP,D,20150210,000000,149.3
GAZP,D,20150211,000000,149.31
GAZP,D,20150212,000000,150.55
GAZP,D,20150213,000000,157.7
GAZP,D,20150214,000000,162.4
GAZP,D,20150217,000000,160.19
GAZP,D,20150218,000000,159.2
GAZP,D,20150219,000000,163
GAZP,D,20150220,000000,160.9
GAZP,D,20150221,000000,158
GAZP,D,20150225,000000,154.99
GAZP,D,20150226,000000,150.7
GAZP,D,20150227,000000,151.65
GAZP,D,20150228,000000,152.95
GAZP,D,20150303,000000,155.5
GAZP,D,20150304,000000,159
GAZP,D,20150305,000000,154
GAZP,D,20150306,000000,154.8
GAZP,D,20150307,000000,152.12
GAZP,D,20150311,000000,148.05
GAZP,D,20150312,000000,145.99
GAZP,D,20150313,000000,144.7
GAZP,D,20150314,000000,141.8
GAZP,D,20150317,000000,139.75
GAZP,D,20150318,000000,139.7
GAZP,D,20150319,000000,140.25
GAZP,D,20150320,000000,136.81
GAZP,D,20150321,000000,136
GAZP,D,20150324,000000,134.61
GAZP,D,20150325,000000,137.15
GAZP,D,20150326,000000,134.9
GAZP,D,20150327,000000,132.2
GAZP,D,20150328,000000,134.88
GAZP,D,20150331,000000,137
GAZP,D,20150401,000000,138.9
GAZP,D,20150402,000000,143
GAZP,D,20150403,000000,143.9
GAZP,D,20150404,000000,143.94
GAZP,D,20150407,000000,145.7
GAZP,D,20150408,000000,146.2
GAZP,D,20150409,000000,147.27
GAZP,D,20150410,000000,148.1
GAZP,D,20150411,000000,148
GAZP,D,20150414,000000,148.8
GAZP,D,20150415,000000,144.4
GAZP,D,20150416,000000,150.1
GAZP,D,20150417,000000,152.4
GAZP,D,20150418,000000,149.3
GAZP,D,20150421,000000,153.96
GAZP,D,20150422,000000,155.35
GAZP,D,20150423,000000,150.8
GAZP,D,20150424,000000,150.15
GAZP,D,20150425,000000,153.89
GAZP,D,20150428,000000,152.05
GAZP,D,20150429,000000,152.79
GAZP,D,20150430,000000,152.5
GAZP,D,20150501,000000,153.5
GAZP,D,20150506,000000,156.33
GAZP,D,20150507,000000,155.25
GAZP,D,20150508,000000,152.1
GAZP,D,20150509,000000,155.52
GAZP,D,20150513,000000,154.2
GAZP,D,20150514,000000,151.74
GAZP,D,20150515,000000,151.8
GAZP,D,20150516,000000,152.98
GAZP,D,20150519,000000,151.9
GAZP,D,20150520,000000,149.85
GAZP,D,20150521,000000,146.35
GAZP,D,20150522,000000,147.16
GAZP,D,20150523,000000,148.8
GAZP,D,20150526,000000,146.69
GAZP,D,20150527,000000,145.25
GAZP,D,20150528,000000,147.66
GAZP,D,20150529,000000,146.11
GAZP,D,20150530,000000,139
GAZP,D,20150602,000000,139.4
GAZP,D,20150603,000000,140.75
GAZP,D,20150604,000000,140.71
GAZP,D,20150605,000000,140.2
GAZP,D,20150606,000000,142.4
GAZP,D,20150609,000000,142.66
GAZP,D,20150610,000000,146.17
GAZP,D,20150611,000000,145.6
GAZP,D,20150612,000000,145.4
GAZP,D,20150616,000000,144.95
GAZP,D,20150617,000000,146
GAZP,D,20150618,000000,147.6
GAZP,D,20150619,000000,147.15
GAZP,D,20150620,000000,147.15
GAZP,D,20150623,000000,148.5
GAZP,D,20150624,000000,146.25
GAZP,D,20150625,000000,146.68
GAZP,D,20150626,000000,143.7
GAZP,D,20150627,000000,145.18
GAZP,D,20150630,000000,143.59
GAZP,D,20150701,000000,145.85
GAZP,D,20150702,000000,145.5
GAZP,D,20150703,000000,145.8
GAZP,D,20150704,000000,144.33
GAZP,D,20150707,000000,143
GAZP,D,20150708,000000,142.5
GAZP,D,20150709,000000,141.5
GAZP,D,20150710,000000,143.77
GAZP,D,20150711,000000,143.9
GAZP,D,20150714,000000,145.27
GAZP,D,20150715,000000,146.5
GAZP,D,20150716,000000,142.7
GAZP,D,20150717,000000,144.2
GAZP,D,20150718,000000,143.6
GAZP,D,20150721,000000,141.78
GAZP,D,20150722,000000,141.41
GAZP,D,20150723,000000,140.8
GAZP,D,20150724,000000,138.37
GAZP,D,20150725,000000,136.41
GAZP,D,20150728,000000,134.51
GAZP,D,20150729,000000,135.05
GAZP,D,20150730,000000,138.7
GAZP,D,20150731,000000,139.8
GAZP,D,20150801,000000,142.5
GAZP,D,20150804,000000,141.45
GAZP,D,20150805,000000,141.89
GAZP,D,20150806,000000,143.78
GAZP,D,20150807,000000,140.88
GAZP,D,20150808,000000,141.34
GAZP,D,20150811,000000,141.5
GAZP,D,20150812,000000,141.97
GAZP,D,20150813,000000,142.99
GAZP,D,20150814,000000,143.7
GAZP,D,20150815,000000,144.8
GAZP,D,20150818,000000,144.25
GAZP,D,20150819,000000,142.65
GAZP,D,20150820,000000,140.8
GAZP,D,20150821,000000,142.64
GAZP,D,20150822,000000,140.29
GAZP,D,20150825,000000,135.35
GAZP,D,20150826,000000,140.4
GAZP,D,20150827,000000,140.51
GAZP,D,20150828,000000,144.6
GAZP,D,20150829,000000,146.6
GAZP,D,20150901,000000,148.19
GAZP,D,20150902,000000,144.5
GAZP,D,20150903,000000,142.57
GAZP,D,20150904,000000,145.3
GAZP,D,20150905,000000,142.8
GAZP,D,20150908,000000,141.67
GAZP,D,20150909,000000,143.21
GAZP,D,20150910,000000,144.22
GAZP,D,20150911,000000,142.99
GAZP,D,20150912,000000,142.4
GAZP,D,20150915,000000,143.58
GAZP,D,20150916,000000,141.95
GAZP,D,20150917,000000,142.91
GAZP,D,20150918,000000,142.8
GAZP,D,20150919,000000,139.5
GAZP,D,20150922,000000,139.45
GAZP,D,20150923,000000,136.4
GAZP,D,20150924,000000,134.3
GAZP,D,20150925,000000,132.2
GAZP,D,20150926,000000,133.85
GAZP,D,20150929,000000,130.9
GAZP,D,20150930,000000,133.2
GAZP,D,20151001,000000,134.55
GAZP,D,20151002,000000,132.9
GAZP,D,20151003,000000,131.5
GAZP,D,20151006,000000,136.8
GAZP,D,20151007,000000,137.87
GAZP,D,20151008,000000,140
GAZP,D,20151009,000000,139.8
GAZP,D,20151010,000000,143.81
GAZP,D,20151013,000000,141.7
GAZP,D,20151014,000000,141.8
GAZP,D,20151015,000000,142.01
GAZP,D,20151016,000000,142.61
GAZP,D,20151017,000000,141
GAZP,D,20151020,000000,140.27
GAZP,D,20151021,000000,140.4
GAZP,D,20151022,000000,139.49
GAZP,D,20151023,000000,139.25
GAZP,D,20151024,000000,138.94
GAZP,D,20151027,000000,138.5
GAZP,D,20151028,000000,138.5
GAZP,D,20151029,000000,138.1
GAZP,D,20151030,000000,136.11
GAZP,D,20151031,000000,135.75
GAZP,D,20151103,000000,137.8
GAZP,D,20151104,000000,141.75
GAZP,D,20151106,000000,140.97
GAZP,D,20151107,000000,137.75
GAZP,D,20151110,000000,136.5
GAZP,D,20151111,000000,135.58
GAZP,D,20151112,000000,135
GAZP,D,20151113,000000,136.6
GAZP,D,20151114,000000,136
GAZP,D,20151117,000000,137.21
GAZP,D,20151118,000000,142.75
GAZP,D,20151119,000000,147.47
GAZP,D,20151120,000000,147.5
GAZP,D,20151121,000000,148.05
GAZP,D,20151124,000000,152
GAZP,D,20151125,000000,145.65
GAZP,D,20151126,000000,143.99
GAZP,D,20151127,000000,143.2
GAZP,D,20151128,000000,140.65
GAZP,D,20151201,000000,138
GAZP,D,20151202,000000,137.42
GAZP,D,20151203,000000,136.85
GAZP,D,20151204,000000,140
GAZP,D,20151205,000000,137.7
GAZP,D,20151208,000000,134.5
GAZP,D,20151209,000000,134.65
GAZP,D,20151210,000000,135.81
GAZP,D,20151211,000000,135.6
GAZP,D,20151212,000000,133.8
GAZP,D,20151215,000000,131.59
GAZP,D,20151216,000000,134.4
GAZP,D,20151217,000000,134.5
GAZP,D,20151218,000000,137.9
GAZP,D,20151219,000000,132.25
GAZP,D,20151222,000000,131.5
GAZP,D,20151223,000000,133.2
GAZP,D,20151224,000000,135.3
GAZP,D,20151225,000000,136
GAZP,D,20151226,000000,134.48
GAZP,D,20151229,000000,134.97
GAZP,D,20151230,000000,137.49
GAZP,D,20151231,000000,136.09
GAZP,D,20160105,000000,134.91
GAZP,D,20160106,000000,136.45
GAZP,D,20160107,000000,135.94
GAZP,D,20160112,000000,131.38
GAZP,D,20160113,000000,133.54
GAZP,D,20160114,000000,131.3
GAZP,D,20160115,000000,130.86
GAZP,D,20160116,000000,125.1
GAZP,D,20160119,000000,124.6
GAZP,D,20160120,000000,125.98
GAZP,D,20160121,000000,125.83
GAZP,D,20160122,000000,127.75
GAZP,D,20160123,000000,132.4
GAZP,D,20160126,000000,133
GAZP,D,20160127,000000,131.89
GAZP,D,20160128,000000,134
GAZP,D,20160129,000000,136.5
GAZP,D,20160130,000000,136.6
GAZP,D,20160202,000000,133.9
GAZP,D,20160203,000000,132.5
GAZP,D,20160204,000000,131.01
GAZP,D,20160205,000000,135.07
GAZP,D,20160206,000000,134.43
GAZP,D,20160209,000000,133.5
GAZP,D,20160210,000000,132.7
GAZP,D,20160211,000000,133.03
GAZP,D,20160212,000000,130.49
GAZP,D,20160213,000000,131.3
GAZP,D,20160216,000000,133.43
GAZP,D,20160217,000000,135.85
GAZP,D,20160218,000000,137.1
GAZP,D,20160219,000000,138
GAZP,D,20160220,000000,136.9
GAZP,D,20160221,000000,136.59
GAZP,D,20160223,000000,139.9
GAZP,D,20160225,000000,137.15
GAZP,D,20160226,000000,137.97
GAZP,D,20160227,000000,138.67
GAZP,D,20160301,000000,141.4
GAZP,D,20160302,000000,142
GAZP,D,20160303,000000,140.14
GAZP,D,20160304,000000,144.5
GAZP,D,20160305,000000,146.16
GAZP,D,20160308,000000,150.15
GAZP,D,20160310,000000,147.43
GAZP,D,20160311,000000,146.94
GAZP,D,20160312,000000,144.3
GAZP,D,20160315,000000,143.2
GAZP,D,20160316,000000,142.54
GAZP,D,20160317,000000,144.75
GAZP,D,20160318,000000,147.27
GAZP,D,20160319,000000,150.65
GAZP,D,20160322,000000,149.9
GAZP,D,20160323,000000,149.55
GAZP,D,20160324,000000,146
GAZP,D,20160325,000000,145.8
GAZP,D,20160326,000000,146.04
GAZP,D,20160329,000000,145.1
GAZP,D,20160330,000000,144.7
GAZP,D,20160331,000000,147.8
GAZP,D,20160401,000000,147.75
GAZP,D,20160402,000000,147.2
GAZP,D,20160405,000000,146.38
GAZP,D,20160406,000000,144.34
GAZP,D,20160407,000000,144.2
GAZP,D,20160408,000000,143.89
GAZP,D,20160409,000000,145.7
GAZP,D,20160412,000000,147.3
GAZP,D,20160413,000000,148.9
GAZP,D,20160414,000000,153.12
GAZP,D,20160415,000000,150.43
GAZP,D,20160416,000000,147.99
GAZP,D,20160419,000000,146.3
GAZP,D,20160420,000000,155.95
GAZP,D,20160421,000000,161.95
GAZP,D,20160422,000000,161.8
GAZP,D,20160423,000000,161.2
GAZP,D,20160426,000000,160.3
GAZP,D,20160427,000000,163
GAZP,D,20160428,000000,160.99
GAZP,D,20160429,000000,164.75
GAZP,D,20160430,000000,168.47
GAZP,D,20160505,000000,162.4
GAZP,D,20160506,000000,160.5
GAZP,D,20160507,000000,159.27
GAZP,D,20160511,000000,156.85
GAZP,D,20160512,000000,159.45
GAZP,D,20160513,000000,159.03
GAZP,D,20160514,000000,159.85
GAZP,D,20160517,000000,158.07
GAZP,D,20160518,000000,153.58
GAZP,D,20160519,000000,152.1
GAZP,D,20160520,000000,148.33
GAZP,D,20160521,000000,146.7
GAZP,D,20160524,000000,144.31
GAZP,D,20160525,000000,146.35
GAZP,D,20160526,000000,146.55
GAZP,D,20160527,000000,148.87
GAZP,D,20160528,000000,149.88
GAZP,D,20160531,000000,149.6
GAZP,D,20160601,000000,145.5
GAZP,D,20160602,000000,144.7
GAZP,D,20160603,000000,144
GAZP,D,20160604,000000,143.41
GAZP,D,20160607,000000,146.4
GAZP,D,20160608,000000,147.75
GAZP,D,20160609,000000,146.95
GAZP,D,20160610,000000,144.98
GAZP,D,20160611,000000,142.44
