<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
HYDR,D,20200104,000000,0.5547
HYDR,D,20200107,000000,0.5603
HYDR,D,20200109,000000,0.5649
HYDR,D,20200110,000000,0.5829
HYDR,D,20200111,000000,0.5882
HYDR,D,20200114,000000,0.609
HYDR,D,20200115,000000,0.687
HYDR,D,20200116,000000,0.6653
HYDR,D,20200117,000000,0.64
HYDR,D,20200118,000000,0.657
HYDR,D,20200121,000000,0.6772
HYDR,D,20200122,000000,0.665
HYDR,D,20200123,000000,0.6603
HYDR,D,20200124,000000,0.6849
HYDR,D,20200125,000000,0.6946
HYDR,D,20200128,000000,0.6771
HYDR,D,20200129,000000,0.687
HYDR,D,20200130,000000,0.7072
HYDR,D,20200131,000000,0.7039
HYDR,D,20200201,000000,0.6888
HYDR,D,20200204,000000,0.7015
HYDR,D,20200205,000000,0.7078
HYDR,D,20200206,000000,0.7086
HYDR,D,20200207,000000,0.706
HYDR,D,20200208,000000,0.7271
HYDR,D,20200211,000000,0.716
HYDR,D,20200212,000000,0.7165
HYDR,D,20200213,000000,0.7319
HYDR,D,20200214,000000,0.7461
HYDR,D,20200215,000000,0.745
HYDR,D,20200218,000000,0.749
HYDR,D,20200219,000000,0.738
HYDR,D,20200220,000000,0.745
HYDR,D,20200221,000000,0.7435
HYDR,D,20200222,000000,0.7441
HYDR,D,20200226,000000,0.7174
HYDR,D,20200227,000000,0.7085
HYDR,D,20200228,000000,0.6546
HYDR,D,20200229,000000,0.6422
HYDR,D,20200303,000000,0.66
HYDR,D,20200304,000000,0.6806
HYDR,D,20200305,000000,0.694
HYDR,D,20200306,000000,0.6736
HYDR,D,20200307,000000,0.643
HYDR,D,20200311,000000,0.5705
HYDR,D,20200312,000000,0.5497
HYDR,D,20200313,000000,0.4761
HYDR,D,20200314,000000,0.5
HYDR,D,20200317,000000,0.4955
HYDR,D,20200318,000000,0.486
HYDR,D,20200319,000000,0.4855
HYDR,D,20200320,000000,0.5077
HYDR,D,20200321,000000,0.5397
HYDR,D,20200324,000000,0.577
HYDR,D,20200325,000000,0.6216
HYDR,D,20200326,000000,0.621
HYDR,D,20200327,000000,0.6234
HYDR,D,20200328,000000,0.5974
HYDR,D,20200331,000000,0.6008
HYDR,D,20200401,000000,0.6077
HYDR,D,20200402,000000,0.6079
HYDR,D,20200403,000000,0.6223
HYDR,D,20200404,000000,0.627
HYDR,D,20200407,000000,0.6431
HYDR,D,20200408,000000,0.631
HYDR,D,20200409,000000,0.6357
HYDR,D,20200410,000000,0.637
HYDR,D,20200411,000000,0.6312
HYDR,D,20200414,000000,0.6135
HYDR,D,20200415,000000,0.625
HYDR,D,20200416,000000,0.5969
HYDR,D,20200417,000000,0.6016
HYDR,D,20200418,000000,0.6156
HYDR,D,20200421,000000,0.6037
HYDR,D,20200422,000000,0.6159
HYDR,D,20200423,000000,0.6252
HYDR,D,20200424,000000,0.6294
HYDR,D,20200425,000000,0.6118
HYDR,D,20200428,000000,0.6202
HYDR,D,20200429,000000,0.6256
HYDR,D,20200430,000000,0.6416
HYDR,D,20200501,000000,0.6301
HYDR,D,20200505,000000,0.6313
HYDR,D,20200506,000000,0.6388
HYDR,D,20200507,000000,0.631
HYDR,D,20200508,000000,0.6332
HYDR,D,20200509,000000,0.6343
HYDR,D,20200513,000000,0.64
HYDR,D,20200514,000000,0.6524
HYDR,D,20200515,000000,0.6313
HYDR,D,20200516,000000,0.6385
HYDR,D,20200519,000000,0.6615
HYDR,D,20200520,000000,0.6795
HYDR,D,20200521,000000,0.665
HYDR,D,20200522,000000,0.652
HYDR,D,20200523,000000,0.6562
HYDR,D,20200526,000000,0.67
HYDR,D,20200527,000000,0.6879
HYDR,D,20200528,000000,0.6934
HYDR,D,20200529,000000,0.6957
HYDR,D,20200530,000000,0.6929
HYDR,D,20200602,000000,0.694
HYDR,D,20200603,000000,0.7055
HYDR,D,20200604,000000,0.7092
HYDR,D,20200605,000000,0.7202
HYDR,D,20200606,000000,0.7414
HYDR,D,20200609,000000,0.7888
HYDR,D,20200610,000000,0.7799
HYDR,D,20200611,000000,0.793
HYDR,D,20200612,000000,0.78
HYDR,D,20200616,000000,0.7889
HYDR,D,20200617,000000,0.8333
HYDR,D,20200618,000000,0.8246
HYDR,D,20200619,000000,0.8216
HYDR,D,20200620,000000,0.8138
HYDR,D,20200623,000000,0.82
HYDR,D,20200624,000000,0.812
HYDR,D,20200626,000000,0.7768
HYDR,D,20200627,000000,0.748
HYDR,D,20200630,000000,0.7568
HYDR,D,20200701,000000,0.7367
HYDR,D,20200703,000000,0.7672
HYDR,D,20200704,000000,0.7745
HYDR,D,20200707,000000,0.7793
HYDR,D,20200708,000000,0.7565
HYDR,D,20200709,000000,0.776
HYDR,D,20200710,000000,0.76
HYDR,D,20200711,000000,0.7662
HYDR,D,20200714,000000,0.7553
HYDR,D,20200715,000000,0.7587
HYDR,D,20200716,000000,0.7524
HYDR,D,20200717,000000,0.7514
HYDR,D,20200718,000000,0.755
HYDR,D,20200721,000000,0.7745
HYDR,D,20200722,000000,0.7711
HYDR,D,20200723,000000,0.7672
HYDR,D,20200724,000000,0.758
HYDR,D,20200725,000000,0.7463
