<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
IRAO,D,20200104,000000,5.092
IRAO,D,20200107,000000,5.174
IRAO,D,20200109,000000,5.598
IRAO,D,20200110,000000,5.6465
IRAO,D,20200111,000000,5.744
IRAO,D,20200114,000000,6.0965
IRAO,D,20200115,000000,5.8775
IRAO,D,20200116,000000,5.859
IRAO,D,20200117,000000,5.8895
IRAO,D,20200118,000000,5.9185
IRAO,D,20200121,000000,6.03
IRAO,D,20200122,000000,6.013
IRAO,D,20200123,000000,5.86
IRAO,D,20200124,000000,5.91
IRAO,D,20200125,000000,5.88
IRAO,D,20200128,000000,5.667
IRAO,D,20200129,000000,5.802
IRAO,D,20200130,000000,5.919
IRAO,D,20200131,000000,5.94
IRAO,D,20200201,000000,5.785
IRAO,D,20200204,000000,5.8285
IRAO,D,20200205,000000,5.921
IRAO,D,20200206,000000,5.96
IRAO,D,20200207,000000,5.899
IRAO,D,20200208,000000,5.879
IRAO,D,20200211,000000,5.9
IRAO,D,20200212,000000,5.9505
IRAO,D,20200213,000000,6.04
IRAO,D,20200214,000000,6.28
IRAO,D,20200215,000000,6.3095
IRAO,D,20200218,000000,6.5
IRAO,D,20200219,000000,6.3105
IRAO,D,20200220,000000,6.31
IRAO,D,20200221,000000,6.35
IRAO,D,20200222,000000,6.22
IRAO,D,20200226,000000,5.9375
IRAO,D,20200227,000000,5.91
IRAO,D,20200228,000000,5.7575
IRAO,D,20200229,000000,5.204
IRAO,D,20200303,000000,5.4285
IRAO,D,20200304,000000,5.67
IRAO,D,20200305,000000,5.6325
IRAO,D,20200306,000000,5.605
IRAO,D,20200307,000000,5.455
IRAO,D,20200311,000000,4.94
IRAO,D,20200312,000000,4.964
IRAO,D,20200313,000000,4.45
IRAO,D,20200314,000000,4.406
IRAO,D,20200317,000000,4.482
IRAO,D,20200318,000000,4.439
IRAO,D,20200319,000000,4.18
IRAO,D,20200320,000000,4.418
IRAO,D,20200321,000000,4.6365
IRAO,D,20200324,000000,4.564
IRAO,D,20200325,000000,4.841
IRAO,D,20200326,000000,4.8665
IRAO,D,20200327,000000,4.795
IRAO,D,20200328,000000,4.55
IRAO,D,20200331,000000,4.6995
IRAO,D,20200401,000000,4.9225
IRAO,D,20200402,000000,4.9055
IRAO,D,20200403,000000,4.9335
