<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MTLRP,D,20200104,000000,89.6
MTLRP,D,20200107,000000,97.15
MTLRP,D,20200109,000000,114.8
MTLRP,D,20200110,000000,102.5
MTLRP,D,20200111,000000,99.35
MTLRP,D,20200114,000000,102
MTLRP,D,20200115,000000,101.9
MTLRP,D,20200116,000000,104
MTLRP,D,20200117,000000,107
MTLRP,D,20200118,000000,109.35
MTLRP,D,20200121,000000,113.45
MTLRP,D,20200122,000000,108
MTLRP,D,20200123,000000,105.1
MTLRP,D,20200124,000000,105.55
MTLRP,D,20200125,000000,108.95
MTLRP,D,20200128,000000,104.9
MTLRP,D,20200129,000000,107.3
MTLRP,D,20200130,000000,107.2
MTLRP,D,20200131,000000,109.6
MTLRP,D,20200201,000000,107.4
MTLRP,D,20200204,000000,105.35
MTLRP,D,20200205,000000,107.6
MTLRP,D,20200206,000000,108.1
MTLRP,D,20200207,000000,107.45
MTLRP,D,20200208,000000,107.45
MTLRP,D,20200211,000000,107.5
MTLRP,D,20200212,000000,107.9
MTLRP,D,20200213,000000,109.1
MTLRP,D,20200214,000000,110
MTLRP,D,20200215,000000,112.45
MTLRP,D,20200218,000000,114.65
MTLRP,D,20200219,000000,114.15
MTLRP,D,20200220,000000,113.85
MTLRP,D,20200221,000000,113.65
MTLRP,D,20200222,000000,113.4
MTLRP,D,20200226,000000,109
MTLRP,D,20200227,000000,108
MTLRP,D,20200228,000000,102.6
MTLRP,D,20200229,000000,94
MTLRP,D,20200303,000000,96.45
MTLRP,D,20200304,000000,99.35
MTLRP,D,20200305,000000,99.3
MTLRP,D,20200306,000000,99.25
MTLRP,D,20200307,000000,94.7
MTLRP,D,20200311,000000,87
MTLRP,D,20200312,000000,89.7
MTLRP,D,20200313,000000,74.85
MTLRP,D,20200314,000000,75.7
MTLRP,D,20200317,000000,69
MTLRP,D,20200318,000000,68
MTLRP,D,20200319,000000,65.85
MTLRP,D,20200320,000000,57
MTLRP,D,20200321,000000,53.85
MTLRP,D,20200324,000000,49.3
MTLRP,D,20200325,000000,54.7
MTLRP,D,20200326,000000,60.5
MTLRP,D,20200327,000000,62.05
MTLRP,D,20200328,000000,58.9
MTLRP,D,20200331,000000,62.75
MTLRP,D,20200401,000000,64.5
MTLRP,D,20200402,000000,62.75
MTLRP,D,20200403,000000,62.45
MTLRP,D,20200404,000000,62.15
MTLRP,D,20200407,000000,62.55
MTLRP,D,20200408,000000,64.9
MTLRP,D,20200409,000000,65.75
MTLRP,D,20200410,000000,66.55
MTLRP,D,20200411,000000,67.5
MTLRP,D,20200414,000000,65.85
MTLRP,D,20200415,000000,65.2
MTLRP,D,20200416,000000,60.95
MTLRP,D,20200417,000000,62.2
MTLRP,D,20200418,000000,63
MTLRP,D,20200421,000000,62.45
MTLRP,D,20200422,000000,61.8
MTLRP,D,20200423,000000,69.5
MTLRP,D,20200424,000000,80.8
MTLRP,D,20200425,000000,77.5
MTLRP,D,20200428,000000,75.7
MTLRP,D,20200429,000000,74.6
MTLRP,D,20200430,000000,73.95
MTLRP,D,20200501,000000,74
MTLRP,D,20200505,000000,72.2
MTLRP,D,20200506,000000,72.5
MTLRP,D,20200507,000000,71.7
MTLRP,D,20200508,000000,71.65
MTLRP,D,20200509,000000,71.3
MTLRP,D,20200513,000000,73.6
MTLRP,D,20200514,000000,72
MTLRP,D,20200515,000000,71.3
MTLRP,D,20200516,000000,70.5
MTLRP,D,20200519,000000,71.65
MTLRP,D,20200520,000000,71.55
MTLRP,D,20200521,000000,72.95
MTLRP,D,20200522,000000,74.35
MTLRP,D,20200523,000000,74.1
MTLRP,D,20200526,000000,74.6
MTLRP,D,20200527,000000,74.6
MTLRP,D,20200528,000000,74.35
MTLRP,D,20200529,000000,75.9
MTLRP,D,20200530,000000,77.95
MTLRP,D,20200602,000000,77
MTLRP,D,20200603,000000,77
MTLRP,D,20200604,000000,79.95
MTLRP,D,20200605,000000,79.45
MTLRP,D,20200606,000000,79.1
MTLRP,D,20200609,000000,80.2
MTLRP,D,20200610,000000,81.3
MTLRP,D,20200611,000000,80.5
MTLRP,D,20200612,000000,78.95
MTLRP,D,20200616,000000,85
MTLRP,D,20200617,000000,85.25
MTLRP,D,20200618,000000,83.75
MTLRP,D,20200619,000000,83.05
MTLRP,D,20200620,000000,87
MTLRP,D,20200623,000000,85.7
MTLRP,D,20200624,000000,85.85
MTLRP,D,20200626,000000,84.4
MTLRP,D,20200627,000000,84.7
MTLRP,D,20200630,000000,83.55
MTLRP,D,20200701,000000,82.6
MTLRP,D,20200703,000000,82.35
MTLRP,D,20200704,000000,84.4
MTLRP,D,20200707,000000,86.25
MTLRP,D,20200708,000000,85.45
MTLRP,D,20200709,000000,84.85
MTLRP,D,20200710,000000,84.1
MTLRP,D,20200711,000000,84.55
MTLRP,D,20200714,000000,85
MTLRP,D,20200715,000000,83.85
MTLRP,D,20200716,000000,84.8
MTLRP,D,20200717,000000,81.3
MTLRP,D,20200718,000000,81.75
MTLRP,D,20200721,000000,81.55
MTLRP,D,20200722,000000,81.9
MTLRP,D,20200723,000000,81.7
MTLRP,D,20200724,000000,83.5
MTLRP,D,20200725,000000,84.5
MTLRP,D,20200728,000000,85.95
MTLRP,D,20200729,000000,86.7
MTLRP,D,20200730,000000,86.05
MTLRP,D,20200731,000000,84.5
MTLRP,D,20200801,000000,84.4
MTLRP,D,20200804,000000,81.9
MTLRP,D,20200805,000000,82
MTLRP,D,20200806,000000,82.35
MTLRP,D,20200807,000000,81.75
MTLRP,D,20200808,000000,81.7
MTLRP,D,20200811,000000,81.75
MTLRP,D,20200812,000000,81.7
MTLRP,D,20200813,000000,81.5
MTLRP,D,20200814,000000,80.9
MTLRP,D,20200815,000000,80.75
MTLRP,D,20200818,000000,80.35
MTLRP,D,20200819,000000,81.8
MTLRP,D,20200820,000000,78.85
MTLRP,D,20200821,000000,75.4
MTLRP,D,20200822,000000,74.15
